time,lat_center,lon_center,bearing_motion,max_wind_speed_circle,max_wind_lat_circle,max_wind_lon_circle,max_wind_dist_circle,exceeded_15_6_circle,exceeded_20_0_circle,exceeded_25_0_circle,exceeded_q90_circle,exceeded_q95_circle,exceeded_q99_circle,fixed_q1_max_wind_speed,fixed_q1_max_wind_lat,fixed_q1_max_wind_lon,fixed_q1_max_wind_dist_km,fixed_q1_exceeded_15_6,fixed_q1_exceeded_20_0,fixed_q1_exceeded_25_0,fixed_q1_exceeded_q90,fixed_q1_exceeded_q95,fixed_q1_exceeded_q99,fixed_q2_max_wind_speed,fixed_q2_max_wind_lat,fixed_q2_max_wind_lon,fixed_q2_max_wind_dist_km,fixed_q2_exceeded_15_6,fixed_q2_exceeded_20_0,fixed_q2_exceeded_25_0,fixed_q2_exceeded_q90,fixed_q2_exceeded_q95,fixed_q2_exceeded_q99,fixed_q3_max_wind_speed,fixed_q3_max_wind_lat,fixed_q3_max_wind_lon,fixed_q3_max_wind_dist_km,fixed_q3_exceeded_15_6,fixed_q3_exceeded_20_0,fixed_q3_exceeded_25_0,fixed_q3_exceeded_q90,fixed_q3_exceeded_q95,fixed_q3_exceeded_q99,fixed_q4_max_wind_speed,fixed_q4_max_wind_lat,fixed_q4_max_wind_lon,fixed_q4_max_wind_dist_km,fixed_q4_exceeded_15_6,fixed_q4_exceeded_20_0,fixed_q4_exceeded_25_0,fixed_q4_exceeded_q90,fixed_q4_exceeded_q95,fixed_q4_exceeded_q99,rotated_q1_max_wind_speed,rotated_q1_max_wind_lat,rotated_q1_max_wind_lon,rotated_q1_max_wind_dist_km,rotated_q1_exceeded_15_6,rotated_q1_exceeded_20_0,rotated_q1_exceeded_25_0,rotated_q1_exceeded_q90,rotated_q1_exceeded_q95,rotated_q1_exceeded_q99,rotated_q2_max_wind_speed,rotated_q2_max_wind_lat,rotated_q2_max_wind_lon,rotated_q2_max_wind_dist_km,rotated_q2_exceeded_15_6,rotated_q2_exceeded_20_0,rotated_q2_exceeded_25_0,rotated_q2_exceeded_q90,rotated_q2_exceeded_q95,rotated_q2_exceeded_q99,rotated_q3_max_wind_speed,rotated_q3_max_wind_lat,rotated_q3_max_wind_lon,rotated_q3_max_wind_dist_km,rotated_q3_exceeded_15_6,rotated_q3_exceeded_20_0,rotated_q3_exceeded_25_0,rotated_q3_exceeded_q90,rotated_q3_exceeded_q95,rotated_q3_exceeded_q99,rotated_q4_max_wind_speed,rotated_q4_max_wind_lat,rotated_q4_max_wind_lon,rotated_q4_max_wind_dist_km,rotated_q4_exceeded_15_6,rotated_q4_exceeded_20_0,rotated_q4_exceeded_25_0,rotated_q4_exceeded_q90,rotated_q4_exceeded_q95,rotated_q4_exceeded_q99
2010-01-10 00:00,-43.0,-59.75,323.3823050430034,13.670040130615234,-46.5,-62.25,436.33421299594806,0,0,0,1,1,0,11.641410827636719,-41.25,-63.75,382.9375153569031,0,0,0,1,0,0,9.908147811889648,-41.75,-59.75,138.9936583056984,0,0,0,0,0,0,11.835373878479004,-46.75,-51.0,805.0620714436832,0,0,0,1,0,0,13.670040130615234,-46.5,-62.25,436.33421299594806,0,0,0,1,1,0,11.641410827636719,-41.25,-63.75,382.9375153569031,0,0,0,1,0,0,9.908147811889648,-41.75,-59.75,138.9936583056984,0,0,0,0,0,0,11.835373878479004,-46.75,-51.0,805.0620714436832,0,0,0,1,0,0,13.670040130615234,-46.5,-62.25,436.33421299594806,0,0,0,1,1,0
2010-01-10 06:00,-41.0,-61.75,323.1684145390965,13.950614929199219,-45.25,-63.75,499.6310609246701,0,0,0,1,1,0,10.331079483032227,-39.25,-62.0,195.7483413460279,0,0,0,0,0,0,12.739605903625488,-40.25,-60.25,151.59045977019647,0,0,0,1,1,0,13.087849617004395,-41.75,-54.0,651.7911341443232,0,0,0,1,1,0,13.950614929199219,-45.25,-63.75,499.6310609246701,0,0,0,1,1,0,10.4263916015625,-41.75,-63.75,186.55218232190484,0,0,0,0,0,0,12.532463073730469,-40.25,-60.5,134.47416422866448,0,0,0,1,1,0,13.087849617004395,-41.75,-54.0,651.7911341443232,0,0,0,1,1,0,13.950614929199219,-45.25,-63.75,499.6310609246701,0,0,0,1,1,0
2010-01-10 12:00,-40.0,-62.75,66.21038746804186,11.308317184448242,-46.0,-53.75,989.2018176885383,0,0,0,1,0,0,8.744346618652344,-34.75,-73.25,1095.0362588894934,0,0,0,0,0,0,10.76248550415039,-39.0,-57.25,484.7384477261755,0,0,0,0,0,0,11.308317184448242,-46.0,-53.75,989.2018176885383,0,0,0,1,0,0,10.69614315032959,-45.0,-73.5,1040.683864932275,0,0,0,0,0,0,9.29473876953125,-38.25,-57.75,473.0782513802393,0,0,0,0,0,0,11.308317184448242,-46.0,-53.75,989.2018176885383,0,0,0,1,0,0,10.826125144958496,-43.5,-61.25,408.5714018429239,0,0,0,0,0,0,9.514894485473633,-43.5,-73.5,972.0540136996146,0,0,0,0,0,0
2010-01-10 18:00,-40.75,-61.0,151.37671042198184,12.666845321655273,-41.5,-48.25,1070.2202300626677,0,0,0,1,1,0,8.299936294555664,-36.5,-68.25,786.9299035897157,0,0,0,0,0,0,11.497178077697754,-40.75,-49.25,989.0485869022352,0,0,0,1,0,0,12.666845321655273,-41.5,-48.25,1070.2202300626677,0,0,0,1,1,0,10.248275756835938,-46.25,-69.75,932.8654247608566,0,0,0,0,0,0,12.666845321655273,-41.5,-48.25,1070.2202300626677,0,0,0,1,1,0,11.171133041381836,-50.5,-58.75,1098.038618455561,0,0,0,1,0,0,9.716702461242676,-43.25,-73.25,1048.64194141408,0,0,0,0,0,0,11.3836669921875,-36.75,-56.25,606.0228515257637,0,0,0,1,0,0
2010-01-11 00:00,-42.75,-60.75,198.95114486277953,13.462105751037598,-41.5,-63.75,283.75758232211143,0,0,0,1,1,0,13.462105751037598,-41.5,-63.75,283.75758232211143,0,0,0,1,1,0,11.49763298034668,-35.0,-57.0,920.6110628644695,0,0,0,1,0,0,10.583985328674316,-50.0,-55.5,900.6263849278059,0,0,0,0,0,0,13.09760570526123,-45.0,-73.5,1050.9311021962012,0,0,0,1,1,0,10.583985328674316,-50.0,-55.5,900.6263849278059,0,0,0,0,0,0,13.09760570526123,-45.0,-73.5,1050.9311021962012,0,0,0,1,1,0,13.462105751037598,-41.5,-63.75,283.75758232211143,0,0,0,1,1,0,11.49763298034668,-35.0,-57.0,920.6110628644695,0,0,0,1,0,0
2010-01-11 06:00,-44.5,-62.75,180.0,15.532975196838379,-47.75,-76.25,1099.6470720801078,0,0,0,1,1,0,14.894268035888672,-43.5,-73.25,846.5885411117129,0,0,0,1,1,0,12.573375701904297,-41.0,-62.0,393.9656561995502,0,0,0,1,1,0,12.370759010314941,-48.75,-50.75,1029.4602861927647,0,0,0,1,0,0,15.532975196838379,-47.75,-76.25,1099.6470720801078,0,0,0,1,1,0,12.370759010314941,-48.75,-50.75,1029.4602861927647,0,0,0,1,0,0,15.532975196838379,-47.75,-76.25,1099.6470720801078,0,0,0,1,1,0,14.894268035888672,-43.5,-73.25,846.5885411117129,0,0,0,1,1,0,12.573375701904297,-41.0,-62.0,393.9656561995502,0,0,0,1,1,0
2010-01-11 12:00,-46.5,-60.75,90.0,13.882720947265625,-53.25,-64.25,791.1153348866901,0,0,0,1,1,0,13.804417610168457,-44.75,-61.5,203.14081026565054,0,0,0,1,1,0,13.394011497497559,-44.25,-60.75,250.18858495025714,0,0,0,1,1,0,11.635504722595215,-47.0,-47.0,1047.721806156457,0,0,0,1,0,0,13.882720947265625,-53.25,-64.25,791.1153348866901,0,0,0,1,1,0,13.394011497497559,-44.25,-60.75,250.18858495025714,0,0,0,1,1,0,11.635504722595215,-47.0,-47.0,1047.721806156457,0,0,0,1,0,0,13.882720947265625,-53.25,-64.25,791.1153348866901,0,0,0,1,1,0,13.804417610168457,-44.75,-61.5,203.14081026565054,0,0,0,1,1,0
2010-01-11 18:00,-44.5,-59.75,19.627516580904228,15.356688499450684,-45.5,-60.0,112.91880672411766,0,0,0,1,1,0,15.034605979919434,-39.75,-69.0,926.9332233480054,0,0,0,1,1,0,14.411652565002441,-44.5,-59.75,0.0,0,0,0,1,1,0,15.32812213897705,-45.25,-59.75,83.39619498341905,0,0,0,1,1,0,15.356688499450684,-45.5,-60.0,112.91880672411766,0,0,0,1,1,0,15.034605979919434,-39.75,-69.0,926.9332233480054,0,0,0,1,1,0,14.411652565002441,-44.5,-59.75,0.0,0,0,0,1,1,0,15.356688499450684,-45.5,-60.0,112.91880672411766,0,0,0,1,1,0,15.267363548278809,-45.25,-60.25,92.2340228933231,0,0,0,1,1,0
2010-01-12 00:00,-42.5,-58.75,11.849156476465055,17.358388900756836,-37.0,-66.5,900.9394871356,1,0,0,1,1,1,17.358388900756836,-37.0,-66.5,900.9394871356,1,0,0,1,1,1,13.366735458374023,-42.5,-58.0,61.48592417635187,0,0,0,1,1,0,15.653072357177734,-43.75,-57.0,198.71265359289328,1,0,0,1,1,1,14.478951454162598,-44.0,-59.0,168.01663139900305,0,0,0,1,1,0,17.358388900756836,-37.0,-66.5,900.9394871356,1,0,0,1,1,1,13.366735458374023,-42.5,-58.0,61.48592417635187,0,0,0,1,1,0,15.653072357177734,-43.75,-57.0,198.71265359289328,1,0,0,1,1,1,14.452667236328125,-43.75,-59.25,144.79508630685584,0,0,0,1,1,0
2010-01-12 06:00,-41.0,-58.75,336.59248970225383,18.45521354675293,-39.0,-58.0,231.3811803695624,1,0,0,1,1,1,13.961342811584473,-39.5,-61.25,269.85974484885793,0,0,0,1,1,0,18.45521354675293,-39.0,-58.0,231.3811803695624,1,0,0,1,1,1,16.39492416381836,-43.25,-54.75,413.9452622666535,1,0,0,1,1,1,14.641019821166992,-45.0,-65.25,690.431809031278,0,0,0,1,1,0,14.364364624023438,-42.0,-62.0,292.58576512663814,0,0,0,1,1,0,18.45521354675293,-39.0,-58.0,231.3811803695624,1,0,0,1,1,1,16.39492416381836,-43.25,-54.75,413.9452622666535,1,0,0,1,1,1,14.641019821166992,-45.0,-65.25,690.431809031278,0,0,0,1,1,0
