Latitude,Longitude,Limiar_Mediana_ms,Limiar_Q90_ms,Limiar_Q95_ms,Limiar_Q99_ms,Limiar_Maximo_ms
-10.0,-85.0,6.9269447,9.142833,9.835161,11.108283,13.540972
-10.0,-84.75,6.868195,9.102462,9.761403,11.04982,13.52297
-10.0,-84.5,6.8140497,9.077073,9.738992,11.040686,13.534001
-10.0,-84.25,6.793832,9.046716,9.721013,11.03431,13.518604
-10.0,-84.0,6.7883167,9.020914,9.687396,10.988407,13.414297
-10.0,-83.75,6.7565002,9.010575,9.663707,10.9160795,13.278122
-10.0,-83.5,6.715041,8.978368,9.605193,10.875065,13.298054
-10.0,-83.25,6.6848803,8.930522,9.553141,10.851141,13.316863
-10.0,-83.0,6.6844387,8.930819,9.55508,10.854624,13.298836
-10.0,-82.75,6.6064377,8.838771,9.475988,10.771314,13.210538
-10.0,-82.5,6.5630403,8.772056,9.437989,10.716413,13.189231
-10.0,-82.25,6.5600805,8.737091,9.42368,10.68979,13.25432
-10.0,-82.0,6.5481367,8.701773,9.396446,10.643196,13.288364
-10.0,-81.75,6.5298543,8.678546,9.3550415,10.607917,13.310563
-10.0,-81.5,6.4969597,8.651224,9.327726,10.647828,13.378836
-10.0,-81.25,6.3904953,8.493545,9.163052,10.471172,13.29525
-10.0,-81.0,6.436139,8.541349,9.161879,10.531504,13.329858
-10.0,-80.75,6.381214,8.4208355,9.067702,10.403625,13.174196
-10.0,-80.5,6.3740187,8.374915,9.022376,10.3734665,13.214972
-10.0,-80.25,6.363287,8.329075,9.001155,10.298617,13.1551485
-10.0,-80.0,6.3264303,8.282204,8.950407,10.202453,13.011171
-10.0,-79.75,6.287434,8.289662,8.938181,10.200017,12.770303
-10.0,-79.5,6.2926702,8.29254,8.922038,10.184652,12.375666
-10.0,-79.25,6.30567,8.291816,8.896302,10.061638,11.894433
-10.0,-79.0,6.415558,8.397819,8.9855175,10.138763,11.829
-10.0,-78.75,6.539316,8.518124,9.099438,10.277494,12.174229
-10.0,-78.5,6.3415384,8.293623,8.878168,10.012037,12.14633
-10.0,-78.25,4.1399755,5.885747,6.30843,7.1736393,9.0791445
-10.0,-78.0,1.5503063,3.6785893,3.9377618,4.2793736,4.759291
-10.0,-77.75,0.66085404,2.7648952,3.0813284,3.5299528,4.354087
-10.0,-77.5,1.04481,2.4404972,2.7465677,3.100862,3.6212318
-10.0,-77.25,1.0931668,2.1226692,2.4994662,3.6707656,6.0989637
-10.0,-77.0,1.1826904,2.915536,3.789885,4.7551,6.033479
-10.0,-76.75,1.0417297,2.8873086,3.2435365,3.773467,4.8605013
-10.0,-76.5,1.2768166,2.5827281,2.8719242,3.3573537,4.228473
-10.0,-76.25,0.94046605,1.9209796,2.1129682,2.4044225,2.875306
-10.0,-76.0,1.0243139,2.0371406,2.1997592,2.4534066,2.9216704
-10.0,-75.75,0.75044215,1.9563493,2.097144,2.334532,2.808128
-10.0,-75.5,0.6981615,1.6335512,1.7989773,2.0705543,2.5693655
-10.0,-75.25,0.7000418,1.2266409,1.3932103,1.7155609,2.6118026
-10.0,-75.0,0.77726287,1.3583212,1.562008,1.9305985,3.0006914
-10.0,-74.75,0.93055356,1.4779137,1.6388946,2.008764,3.8394623
-10.0,-74.5,0.82431716,1.417551,1.6583856,2.1802657,4.3059163
-10.0,-74.25,1.1327349,2.0113766,2.3551178,3.0661726,4.701681
-10.0,-74.0,1.2124945,2.4461968,2.8950167,3.6695652,5.259112
-10.0,-73.75,1.3401475,2.4391937,2.8489738,3.6372151,5.0262094
-10.0,-73.5,1.4125371,2.432674,2.7611651,3.5728142,5.018792
-10.0,-73.25,1.4582913,2.4169114,2.72395,3.5022433,5.01844
-10.0,-73.0,1.4700117,2.4215808,2.7250311,3.494176,5.2114563
-10.0,-72.75,1.4587888,2.4098234,2.7268453,3.4958196,5.1740317
-10.0,-72.5,1.466727,2.450472,2.793544,3.566983,5.4103503
-10.0,-72.25,1.5164201,2.5048625,2.86919,3.6728842,5.924771
-10.0,-72.0,1.5621606,2.5144467,2.872297,3.6799781,6.135778
-10.0,-71.75,1.5867367,2.5273306,2.868154,3.7133403,6.043362
-10.0,-71.5,1.6298901,2.576603,2.916621,3.732347,6.4170256
-10.0,-71.25,1.6137817,2.5747676,2.9055877,3.7492256,6.212494
-10.0,-71.0,1.6094363,2.5721087,2.9047825,3.7657342,5.3987813
-10.0,-70.75,1.6259626,2.5885735,2.9096513,3.785343,5.3828397
-10.0,-70.5,1.6202148,2.5843744,2.9224782,3.7045825,5.3232903
-10.0,-70.25,1.6235583,2.5831008,2.920406,3.7092092,5.331853
-10.0,-70.0,1.6221592,2.5856402,2.9111662,3.7092426,5.322181
-10.0,-69.75,1.6336277,2.5999966,2.896868,3.7067804,5.3830066
-10.0,-69.5,1.6073612,2.5703676,2.8844023,3.678113,5.081565
-10.0,-69.25,1.596572,2.5607061,2.8831975,3.6953616,5.1085253
-10.0,-69.0,1.616317,2.6004863,2.9299154,3.6937416,5.8169312
-10.0,-68.75,1.6297349,2.6086435,2.9541698,3.7210407,6.174648
-10.0,-68.5,1.6289723,2.5857222,2.9262307,3.669168,5.9305625
