phase,nivel,taxa_contagem_media,taxa_acumulada_media,limiar_ke,n_ciclones
incipient,q90,0.03449146985894093,22878.347016604435,483434.28432104806,4587
intensification,q90,0.02660951190490738,27658.784632726776,782342.4501868301,6642
mature,q90,0.027324346196930544,35879.277484731756,1017484.2371644033,4747
decay,q90,0.03151762204272214,32540.049447433405,710357.6119325237,6488
incipient,q95,0.017698799706776215,13972.748564597601,592822.0980496804,4587
intensification,q95,0.012988872958138782,15858.816120848618,972230.4087564826,6642
mature,q95,0.013529895479159835,20528.69916617251,1231860.8503710772,4747
decay,q95,0.015615486358871318,19654.631254999218,939113.7788304171,6488
incipient,q99,0.0035270013033256984,3905.5690909590317,930037.0884254772,4587
intensification,q99,0.0024276000749865263,3909.219514125615,1399195.6947195458,6642
mature,q99,0.002628749517088967,5160.2211697458515,1685916.7171920245,4747
decay,q99,0.0032197503325714326,5612.5615209872985,1461236.4227907802,6488
