phase,nivel,taxa_contagem_media,taxa_acumulada_media,limiar_vorticidade,n_ciclones
incipient,q90,0.0707662010716824,0.41016226853470034,4.91292,4587
intensification,q90,0.07265537489011212,0.6815415353509321,8.059320000000001,6642
mature,q90,0.07100286144267091,0.8445019636159784,10.817155,4747
decay,q90,0.08047921486301982,0.7192326528294037,7.723655,6488
incipient,q95,0.029404058591056683,0.1929095696123171,5.699769999999999,4587
intensification,q95,0.036674639830600576,0.3752153123171426,9.061619999999996,6642
mature,q95,0.03486637578799273,0.4394110996285074,11.6238675,4747
decay,q95,0.040659898565713504,0.3946543399656204,8.657,6488
incipient,q99,0.003912037899020193,0.032035856740807396,7.356181199999981,4587
intensification,q99,0.007656174951938362,0.09095392020159249,10.951952000000002,6642
mature,q99,0.006859168639360778,0.09619095962768233,13.332128499999994,4747
decay,q99,0.008453158694067504,0.09435851653893242,10.35128,6488
