phase,quad_type,cell_x,cell_y,nivel,n_ciclones_contrib,n_ciclones,taxa_contagem_media,taxa_acumulada_media,cell_center_x_km,cell_center_y_km
decay,fixed,-12,-1,15_6,61,1699,0.0021401261745995675,0.03569880310207575,-1150.0,-50.0
decay,fixed,-12,-1,20_0,2,1699,2.364882661974022e-05,0.0004924269910000322,-1150.0,-50.0
decay,fixed,-12,-1,b90,388,1699,0.013335371405197272,0.1607584050173463,-1150.0,-50.0
decay,fixed,-12,-1,b95,230,1699,0.0065824697066435124,0.08543229580173076,-1150.0,-50.0
decay,fixed,-12,-1,b99,89,1699,0.0019508560066825126,0.027283843211828907,-1150.0,-50.0
decay,fixed,-12,-1,q90,215,1699,0.008923835226001637,0.11165305635962756,-1150.0,-50.0
decay,fixed,-12,-1,q95,89,1699,0.0035098615129227338,0.04835945109611285,-1150.0,-50.0
decay,fixed,-12,-1,q99,12,1699,0.0004269986473492494,0.006519338481332599,-1150.0,-50.0
decay,fixed,-12,0,15_6,65,1699,0.0018856358712872018,0.031423172163200834,-1150.0,50.0
decay,fixed,-12,0,20_0,3,1699,3.179394260505803e-05,0.0006720869389544551,-1150.0,50.0
decay,fixed,-12,0,b90,407,1699,0.014378587705936818,0.17395622620541953,-1150.0,50.0
decay,fixed,-12,0,b95,220,1699,0.006828783713372274,0.08795517754318528,-1150.0,50.0
decay,fixed,-12,0,b99,103,1699,0.001869551455504994,0.025752556276565135,-1150.0,50.0
decay,fixed,-12,0,q90,196,1699,0.00890321716707202,0.11248700161261851,-1150.0,50.0
decay,fixed,-12,0,q95,103,1699,0.003681272638414322,0.04945896929707714,-1150.0,50.0
decay,fixed,-12,0,q99,12,1699,0.0002891483796669994,0.004514373806462842,-1150.0,50.0
decay,fixed,-11,-5,15_6,152,1699,0.014934539062473561,0.25191256365498255,-1050.0,-450.0
decay,fixed,-11,-5,20_0,7,1699,0.00038829135033885864,0.008358792411762166,-1050.0,-450.0
decay,fixed,-11,-5,b90,601,1699,0.07383434293485457,0.9366801877393734,-1050.0,-450.0
decay,fixed,-11,-5,b95,385,1699,0.03925451263440905,0.5301827800841338,-1050.0,-450.0
decay,fixed,-11,-5,b99,211,1699,0.013894478016182543,0.20104412083596995,-1050.0,-450.0
decay,fixed,-11,-5,q90,349,1699,0.04820943488152427,0.6392544051444953,-1050.0,-450.0
decay,fixed,-11,-5,q95,211,1699,0.025175371085561952,0.35477081639707714,-1050.0,-450.0
decay,fixed,-11,-5,q99,35,1699,0.0028837469812425473,0.045739663990460255,-1050.0,-450.0
decay,fixed,-11,-4,15_6,169,1699,0.017286479690593104,0.2951922450290403,-1050.0,-350.0
decay,fixed,-11,-4,20_0,13,1699,0.0009213625857505476,0.019668535350072767,-1050.0,-350.0
decay,fixed,-11,-4,b90,686,1699,0.09575049531711288,1.175280163164642,-1050.0,-350.0
decay,fixed,-11,-4,b95,437,1699,0.05201154689738123,0.6724039696312689,-1050.0,-350.0
decay,fixed,-11,-4,b99,245,1699,0.019716568561616056,0.27300087550927815,-1050.0,-350.0
decay,fixed,-11,-4,q90,412,1699,0.06458487353852578,0.8191999567421746,-1050.0,-350.0
decay,fixed,-11,-4,q95,245,1699,0.03373200355525885,0.4563065606230962,-1050.0,-350.0
decay,fixed,-11,-4,q99,61,1699,0.0052555976813781725,0.07714540209194132,-1050.0,-350.0
decay,fixed,-11,-3,15_6,173,1699,0.01709906771455022,0.2911437498161844,-1050.0,-250.0
decay,fixed,-11,-3,20_0,10,1699,0.0007197512734847568,0.015507710524808725,-1050.0,-250.0
decay,fixed,-11,-3,b90,735,1699,0.10304651230617329,1.2332994704867053,-1050.0,-250.0
decay,fixed,-11,-3,b95,487,1699,0.054598390379962454,0.6881870387505099,-1050.0,-250.0
decay,fixed,-11,-3,b99,268,1699,0.021201608272605428,0.28137868933435295,-1050.0,-250.0
decay,fixed,-11,-3,q90,462,1699,0.06721081743351637,0.8387290851509609,-1050.0,-250.0
decay,fixed,-11,-3,q95,268,1699,0.03513943101426064,0.45521223800095073,-1050.0,-250.0
decay,fixed,-11,-3,q99,62,1699,0.0063953613365485985,0.09053198275121485,-1050.0,-250.0
decay,fixed,-11,-2,15_6,181,1699,0.017258526679248227,0.29210099696132125,-1050.0,-150.0
decay,fixed,-11,-2,20_0,10,1699,0.0006361395291253235,0.013640202832025142,-1050.0,-150.0
decay,fixed,-11,-2,b90,788,1699,0.11144129036298085,1.2996462173109153,-1050.0,-150.0
decay,fixed,-11,-2,b95,537,1699,0.05854733635126685,0.7171137234005601,-1050.0,-150.0
decay,fixed,-11,-2,b99,278,1699,0.021779854926586868,0.2813820162906021,-1050.0,-150.0
decay,fixed,-11,-2,q90,505,1699,0.0735705658681386,0.8876615570382034,-1050.0,-150.0
decay,fixed,-11,-2,q95,278,1699,0.036699022445109655,0.46376384609607124,-1050.0,-150.0
decay,fixed,-11,-2,q99,64,1699,0.006896410446900356,0.09418002952672051,-1050.0,-150.0
decay,fixed,-11,-1,15_6,193,1699,0.01778370712591608,0.3004809136203686,-1050.0,-50.0
decay,fixed,-11,-1,20_0,13,1699,0.0005887273351653718,0.012338037393567352,-1050.0,-50.0
decay,fixed,-11,-1,b90,836,1699,0.11684384768238563,1.3516376044840213,-1050.0,-50.0
decay,fixed,-11,-1,b95,547,1699,0.06241076690808596,0.7544379981323092,-1050.0,-50.0
decay,fixed,-11,-1,b99,306,1699,0.02410052801093223,0.30174517819820135,-1050.0,-50.0
decay,fixed,-11,-1,q90,513,1699,0.07632037186314677,0.9127252887098674,-1050.0,-50.0
decay,fixed,-11,-1,q95,306,1699,0.040637442910450586,0.501155384384814,-1050.0,-50.0
decay,fixed,-11,-1,q99,82,1699,0.007287953291000886,0.09352463977299211,-1050.0,-50.0
decay,fixed,-11,0,15_6,192,1699,0.019739206670288355,0.33216022029410014,-1050.0,50.0
decay,fixed,-11,0,20_0,6,1699,0.0003278970667570152,0.0069164720778289454,-1050.0,50.0
decay,fixed,-11,0,b90,860,1699,0.12436797623520747,1.422691446474446,-1050.0,50.0
decay,fixed,-11,0,b95,585,1699,0.0671607794635347,0.8047555010654296,-1050.0,50.0
decay,fixed,-11,0,b99,323,1699,0.026165460469688828,0.3269669688268863,-1050.0,50.0
decay,fixed,-11,0,q90,558,1699,0.08358587377008835,0.9867268626157197,-1050.0,50.0
decay,fixed,-11,0,q95,323,1699,0.04267811278415573,0.5272545446627807,-1050.0,50.0
decay,fixed,-11,0,q99,92,1699,0.008322168190477852,0.10323522205350683,-1050.0,50.0
decay,fixed,-11,1,15_6,212,1699,0.020601575593672827,0.34822051958859385,-1050.0,150.0
decay,fixed,-11,1,20_0,10,1699,0.00047635362344047123,0.009898418680773114,-1050.0,150.0
decay,fixed,-11,1,b90,902,1699,0.13130556850594652,1.5146237573647496,-1050.0,150.0
decay,fixed,-11,1,b95,615,1699,0.07076264564866483,0.8562620900951254,-1050.0,150.0
decay,fixed,-11,1,b99,346,1699,0.027499682570961876,0.34937828011753064,-1050.0,150.0
decay,fixed,-11,1,q90,579,1699,0.08761759043335106,1.050774432445871,-1050.0,150.0
decay,fixed,-11,1,q95,346,1699,0.045093016469850394,0.5609269699927761,-1050.0,150.0
decay,fixed,-11,1,q99,98,1699,0.009476767554063384,0.12244511687230454,-1050.0,150.0
decay,fixed,-11,2,15_6,238,1699,0.022823234020465495,0.38635514879249794,-1050.0,250.0
decay,fixed,-11,2,20_0,12,1699,0.00039653170500715036,0.008125025274240435,-1050.0,250.0
decay,fixed,-11,2,b90,938,1699,0.13655415043610397,1.5728372264274926,-1050.0,250.0
decay,fixed,-11,2,b95,649,1699,0.07383497981530077,0.8911504053671747,-1050.0,250.0
decay,fixed,-11,2,b99,374,1699,0.028628208303664793,0.36600719791927006,-1050.0,250.0
decay,fixed,-11,2,q90,601,1699,0.0915599382965304,1.0931701076158722,-1050.0,250.0
decay,fixed,-11,2,q95,374,1699,0.04640928841711432,0.5802071158710951,-1050.0,250.0
decay,fixed,-11,2,q99,92,1699,0.010310233819734024,0.1377978049371671,-1050.0,250.0
decay,fixed,-11,3,15_6,222,1699,0.022972072243382,0.3887577007827823,-1050.0,350.0
decay,fixed,-11,3,20_0,10,1699,0.0002859841007529535,0.005944195403814414,-1050.0,350.0
decay,fixed,-11,3,b90,955,1699,0.13303094003486982,1.5423271737776494,-1050.0,350.0
decay,fixed,-11,3,b95,648,1699,0.0716905601576183,0.872187223496349,-1050.0,350.0
decay,fixed,-11,3,b99,375,1699,0.02760065969510293,0.3520021086473734,-1050.0,350.0
decay,fixed,-11,3,q90,616,1699,0.089641339900437,1.076871242945635,-1050.0,350.0
decay,fixed,-11,3,q95,375,1699,0.046055670795133986,0.5771751117230748,-1050.0,350.0
decay,fixed,-11,3,q99,95,1699,0.00838451178895122,0.11379271890818549,-1050.0,350.0
decay,fixed,-11,4,15_6,192,1699,0.01982618810298291,0.3346670297725356,-1050.0,450.0
decay,fixed,-11,4,20_0,11,1699,0.00084903821041896,0.01717158238285725,-1050.0,450.0
decay,fixed,-11,4,b90,871,1699,0.10808682694554822,1.2870731513647977,-1050.0,450.0
decay,fixed,-11,4,b95,586,1699,0.05615580547834227,0.7048429337719684,-1050.0,450.0
decay,fixed,-11,4,b99,315,1699,0.020154548614825598,0.268689278500588,-1050.0,450.0
decay,fixed,-11,4,q90,544,1699,0.07073524632524086,0.8759050651743795,-1050.0,450.0
decay,fixed,-11,4,q95,315,1699,0.034977053885451796,0.4542050181324631,-1050.0,450.0
decay,fixed,-11,4,q99,71,1699,0.005131587706085277,0.07548789296526891,-1050.0,450.0
decay,fixed,-10,-7,15_6,140,1699,0.013844486880521622,0.2344872051825929,-950.0,-650.0
decay,fixed,-10,-7,20_0,6,1699,0.00024416544135637757,0.005191363062494363,-950.0,-650.0
decay,fixed,-10,-7,b90,624,1699,0.06360650856108306,0.8577418022041677,-950.0,-650.0
decay,fixed,-10,-7,b95,368,1699,0.030573055308946155,0.4466721467420173,-950.0,-650.0
decay,fixed,-10,-7,b99,171,1699,0.010818572240119218,0.17153650428056805,-950.0,-650.0
decay,fixed,-10,-7,q90,339,1699,0.039178022348758425,0.5597707914660558,-950.0,-650.0
decay,fixed,-10,-7,q95,171,1699,0.018384417631568395,0.28339457117599887,-950.0,-650.0
decay,fixed,-10,-7,q99,35,1699,0.0031603363593750117,0.05454637214496004,-950.0,-650.0
decay,fixed,-10,-6,15_6,193,1699,0.022428950606157443,0.37934376691580074,-950.0,-550.0
decay,fixed,-10,-6,20_0,7,1699,0.00042613172633070424,0.008967794229372253,-950.0,-550.0
decay,fixed,-10,-6,b90,740,1699,0.10396656345691944,1.3627850538473645,-950.0,-550.0
decay,fixed,-10,-6,b95,463,1699,0.053518816327652534,0.7523367276548062,-950.0,-550.0
decay,fixed,-10,-6,b99,244,1699,0.019411663021164146,0.2943653981783801,-950.0,-550.0
decay,fixed,-10,-6,q90,436,1699,0.06657379959686406,0.9209517153621674,-950.0,-550.0
decay,fixed,-10,-6,q95,244,1699,0.03339592808684271,0.48888300175838134,-950.0,-550.0
decay,fixed,-10,-6,q99,52,1699,0.00588183293195023,0.09560417924083302,-950.0,-550.0
decay,fixed,-10,-5,15_6,200,1699,0.023980054346882048,0.40593260258980624,-950.0,-450.0
decay,fixed,-10,-5,20_0,12,1699,0.0005392239809812496,0.011517964078448918,-950.0,-450.0
decay,fixed,-10,-5,b90,772,1699,0.11399650208162294,1.4729166433141239,-950.0,-450.0
decay,fixed,-10,-5,b95,505,1699,0.06064728076140563,0.8315343938517581,-950.0,-450.0
decay,fixed,-10,-5,b99,269,1699,0.02262397845233539,0.328949093447098,-950.0,-450.0
decay,fixed,-10,-5,q90,475,1699,0.07524156231648145,1.0165848496339762,-950.0,-450.0
decay,fixed,-10,-5,q95,269,1699,0.03806974508022219,0.5408200033187821,-950.0,-450.0
decay,fixed,-10,-5,q99,65,1699,0.006339690586041403,0.09886246232170566,-950.0,-450.0
decay,fixed,-10,-4,15_6,200,1699,0.021714457372861765,0.36975864342378706,-950.0,-350.0
decay,fixed,-10,-4,20_0,13,1699,0.0008381968010899733,0.018280783044912863,-950.0,-350.0
decay,fixed,-10,-4,25_0,1,1699,2.6753705388196265e-05,0.000683292313597738,-950.0,-350.0
decay,fixed,-10,-4,b90,800,1699,0.11408545886530144,1.4527509660530928,-950.0,-350.0
decay,fixed,-10,-4,b95,509,1699,0.06057856056628598,0.8094644581686763,-950.0,-350.0
decay,fixed,-10,-4,b99,282,1699,0.02252927884837735,0.3198158553758147,-950.0,-350.0
decay,fixed,-10,-4,q90,476,1699,0.0754431022550739,0.9951911596053225,-950.0,-350.0
decay,fixed,-10,-4,q95,282,1699,0.03830672495025794,0.5312356430647416,-950.0,-350.0
decay,fixed,-10,-4,q99,65,1699,0.006277708398509951,0.0958388398341344,-950.0,-350.0
decay,fixed,-10,-3,15_6,191,1699,0.0202260423450638,0.34391778443926224,-950.0,-250.0
decay,fixed,-10,-3,20_0,11,1699,0.0008062264728804258,0.01751021227745828,-950.0,-250.0
decay,fixed,-10,-3,b90,832,1699,0.11491859732344482,1.427675743969766,-950.0,-250.0
decay,fixed,-10,-3,b95,534,1699,0.05934876644341033,0.7756675971217523,-950.0,-250.0
decay,fixed,-10,-3,b99,279,1699,0.022011642871595054,0.3024483207091939,-950.0,-250.0
decay,fixed,-10,-3,q90,496,1699,0.07474239253405865,0.9655516391932689,-950.0,-250.0
decay,fixed,-10,-3,q95,279,1699,0.03719664347190832,0.49924413961870795,-950.0,-250.0
decay,fixed,-10,-3,q99,68,1699,0.006413985411172037,0.09464921325339197,-950.0,-250.0
