phase,quad_type,quadrante,nivel,taxa_contagem_media,taxa_acumulada_media,n_ciclones
decay,fixed,NE,15_6,0.39749172152939954,7.049200415038579,29
decay,fixed,NE,20_0,0.023972967220093653,0.510817904378973,29
decay,fixed,NE,25_0,0.0,0.0,29
decay,fixed,NE,q90,0.6838246036289084,10.954900737911748,29
decay,fixed,NE,q95,0.5117383043570896,8.49373197236282,29
decay,fixed,NE,q99,0.28314142375615303,4.411841589959114,29
decay,fixed,NW,15_6,0.3399675331251981,6.067471958684641,29
decay,fixed,NW,20_0,0.052160724774576075,1.1271243942949505,29
decay,fixed,NW,25_0,0.0,0.0,29
decay,fixed,NW,q90,0.6537786054617756,10.1213525579049,29
decay,fixed,NW,q95,0.5013500918802335,8.034578128477621,29
decay,fixed,NW,q99,0.22858864095593248,3.8197020939312916,29
decay,fixed,SE,15_6,0.30713917320253065,5.4292832275953815,29
decay,fixed,SE,20_0,0.038688988838913876,0.8005873562791994,29
decay,fixed,SE,25_0,0.0,0.0,29
decay,fixed,SE,q90,0.4749590751229703,7.658537968812334,29
decay,fixed,SE,q95,0.3273518441008394,5.544987806529537,29
decay,fixed,SE,q99,0.22524765816719372,3.924318425479093,29
decay,fixed,SW,15_6,0.29592736710851714,5.266935724954666,29
decay,fixed,SW,20_0,0.0515634588910451,1.1060254429029328,29
decay,fixed,SW,25_0,0.0,0.0,29
decay,fixed,SW,q90,0.5566942510870232,8.62885653601965,29
decay,fixed,SW,q95,0.39690128974542677,6.2451360080708485,29
decay,fixed,SW,q99,0.1631192766316152,2.894490807368687,29
decay,rotated,NE,15_6,0.24529241699650073,4.3284320389804245,29
decay,rotated,NE,20_0,0.036105789697743716,0.7542347859301025,29
decay,rotated,NE,25_0,0.0,0.0,29
decay,rotated,NE,q90,0.4903855527163249,7.426808652315585,29
decay,rotated,NE,q95,0.3310168914730874,5.292470198043256,29
decay,rotated,NE,q99,0.17458688034262937,2.9718787264433333,29
decay,rotated,NW,15_6,0.4626022233546553,8.147036865536148,29
decay,rotated,NW,20_0,0.033846502674588635,0.7110939425890976,29
decay,rotated,NW,25_0,0.0,0.0,29
decay,rotated,NW,q90,0.6974269960931376,11.290267201014062,29
decay,rotated,NW,q95,0.5221914515153859,8.753304082086675,29
decay,rotated,NW,q99,0.29031494439879524,4.675018079231421,29
decay,rotated,SE,15_6,0.34637079537146076,6.1767729710314745,29
decay,rotated,SE,20_0,0.06926860948030743,1.4887681260406533,29
decay,rotated,SE,25_0,0.0,0.0,29
decay,rotated,SE,q90,0.5987421379998941,9.320581653494168,29
decay,rotated,SE,q95,0.38406028805963693,6.250397801793708,29
decay,rotated,SE,q99,0.21483081453025696,3.82141794165409,29
decay,rotated,SW,15_6,0.3566032860809773,6.359025221797406,29
decay,rotated,SW,20_0,0.04969767058738396,1.065372510075485,29
decay,rotated,SW,25_0,0.0,0.0,29
decay,rotated,SW,q90,0.6527135468343254,10.29506973577852,29
decay,rotated,SW,q95,0.5222272709645943,8.439857072549731,29
decay,rotated,SW,q99,0.22194292100686422,3.7801187435133596,29
incipient,fixed,NE,15_6,0.3768115942028986,6.460965909819673,3
incipient,fixed,NE,20_0,0.0,0.0,3
incipient,fixed,NE,25_0,0.0,0.0,3
incipient,fixed,NE,q90,0.9927536231884058,13.50192283547443,3
incipient,fixed,NE,q95,0.6376811594202899,9.798751188361125,3
incipient,fixed,NE,q99,0.0,0.0,3
incipient,fixed,NW,15_6,0.3913043478260869,6.722035332002501,3
incipient,fixed,NW,20_0,0.0,0.0,3
incipient,fixed,NW,25_0,0.0,0.0,3
incipient,fixed,NW,q90,0.7318840579710145,10.153423440629156,3
incipient,fixed,NW,q95,0.6086956521739131,8.124528884887695,3
incipient,fixed,NW,q99,0.3333333333333333,3.631460348765055,3
incipient,fixed,SE,15_6,0.18115942028985507,3.198630153269008,3
incipient,fixed,SE,20_0,0.0,0.0,3
incipient,fixed,SE,25_0,0.0,0.0,3
incipient,fixed,SE,q90,0.6666666666666666,10.138843211574832,3
incipient,fixed,SE,q95,0.5942028985507246,9.090197245279947,3
incipient,fixed,SE,q99,0.3333333333333333,4.711002826690674,3
incipient,fixed,SW,15_6,0.5507246376811594,10.103059367857119,3
incipient,fixed,SW,20_0,0.125,2.5792668660481772,3
incipient,fixed,SW,25_0,0.0,0.0,3
incipient,fixed,SW,q90,1.0,16.30762543885604,3
incipient,fixed,SW,q95,0.9782608695652174,16.000641104103863,3
incipient,fixed,SW,q99,0.5,8.699386278788248,3
incipient,rotated,NE,15_6,0.2644927536231884,4.693128212638523,3
incipient,rotated,NE,20_0,0.0,0.0,3
incipient,rotated,NE,25_0,0.0,0.0,3
incipient,rotated,NE,q90,0.7916666666666666,12.041443169980809,3
incipient,rotated,NE,q95,0.7192028985507246,10.99307057650193,3
incipient,rotated,NE,q99,0.4166666666666667,6.088891983032227,3
incipient,rotated,NW,15_6,0.3278985507246377,5.6646730485169785,3
incipient,rotated,NW,20_0,0.0,0.0,3
incipient,rotated,NW,25_0,0.0,0.0,3
incipient,rotated,NW,q90,0.9365942028985508,11.899377330489779,3
incipient,rotated,NW,q95,0.5416666666666666,7.11394871145055,3
incipient,rotated,NW,q99,0.0,0.0,3
incipient,rotated,SE,15_6,0.5018115942028986,9.1629085748092,3
incipient,rotated,SE,20_0,0.125,2.5792668660481772,3
incipient,rotated,SE,25_0,0.0,0.0,3
incipient,rotated,SE,q90,0.9855072463768115,16.089107734569605,3
incipient,rotated,SE,q95,0.9565217391304347,15.689687051634857,3
incipient,rotated,SE,q99,0.6666666666666666,10.851043423016867,3
incipient,rotated,SW,15_6,0.39855072463768115,6.818379827167678,3
incipient,rotated,SW,20_0,0.0,0.0,3
incipient,rotated,SW,25_0,0.0,0.0,3
incipient,rotated,SW,q90,0.7463768115942028,10.36224379401276,3
incipient,rotated,SW,q95,0.6086956521739131,8.10355416242627,3
incipient,rotated,SW,q99,0.25,2.2686040798823037,3
intensification,fixed,NE,15_6,0.27313405346366804,4.79523016814843,20
intensification,fixed,NE,20_0,0.018269230769230767,0.38657887165363014,20
