"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.288013995002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.347044893533,193.257874580859,194.811786812269,195.946846359046,196.47679387898,197.086041859961,196.731071449782,195.945635673026,195.786852052692,194.985870400627,194.214153141881,192.314658325293,190.107674700454,187.242461431896,186.614060874161,184.483880417824,184.233058556635,183.893228891335,182.15706105408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.034775806797,185.321203226492,187.034138468635,189.005681218773,190.730428121734,193.951893828609,195.587459225572,196.728997784746,197.928570199773,199.192547922045,198.124458724174,197.12399168034,195.821313562174,194.191262111645,192.36764019491,191.468367005741,189.451804340073,187.631954434618,185.421380492418,184.607901941805,183.584938387147,182.489402938694,180.122905415805,179.553021666704,178.017706026605,176.720968726388,176.952334233965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.153322994199,185.49223403219,185.612884566596,186.125135906442,187.17593800684,190.10412145312,192.443616045673,194.74590209382,197.141142711425,196.499937058763,197.682851756477,198.091163740754,197.885038767504,197.182785299336,195.163095682672,194.390691776321,193.317733772152,190.315148186029,189.154793311005,188.180156127736,187.517285477303,184.297882413455,183.664449447598,181.518037903589,180.463689247734,179.169100138603,178.50118361656,179.239246164084,180.162608641883,179.531607713844,178.640749122671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.124247888889,188.443123677227,188.174080092962,187.446324303235,188.337942493073,188.741519106547,188.854329616945,191.194037466456,193.593337431375,196.157136874379,196.657080045611,197.176389380156,197.226359275323,198.039159203263,197.156048024667,196.99317898658,195.984455245626,194.752866693054,193.604111270938,193.295900431146,189.653628781244,188.772706657614,187.664609532949,187.672905231419,185.487516728516,184.589570775666,183.123938955837,182.144449578243,182.155975861924,181.513521459008,181.664072242775,182.51087418427,182.541710224086,182.493040036499,182.941666346025,182.765345302841,183.502805754702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.710077531077,190.729897306299,189.807031562942,190.775427952357,189.319217924538,189.99311998468,191.264466798977,191.856770566652,192.69964621517,193.986609316144,195.802299128909,196.370419551953,195.976069512292,196.363851135628,197.323829616971,197.358551416859,196.739311617917,196.229746146026,196.551885022074,195.227958478469,193.847105902519,192.390606728507,189.333801211868,187.60423498107,187.176644813368,186.921412319983,186.362374783021,187.192093697426,186.774181106666,187.736866881338,188.681476562983,187.407378079606,186.990725125548,187.012116092411,187.772709821789,187.248127277188,187.104857873833,186.833621411905,186.553832850077,186.537744982659,185.845304661015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.06045428523,193.861577102407,193.388497127363,192.787311626795,191.435876433455,192.119932927874,191.608964936485,192.574853599049,192.382536909624,193.253907412504,193.028929275882,194.371499714103,195.641132917236,194.954408834368,194.942712185495,194.589396583559,195.8560523657,195.154058447713,196.427560570142,196.98670898987,197.379680382724,195.581507786107,193.487462208038,191.200767876212,189.430464698425,189.478316152028,188.849762909473,189.528198543055,191.446109491053,191.402242595141,191.778682548749,192.223147303556,193.972708410553,192.886331092142,192.934261384625,193.219695164168,192.695210411428,192.841296183103,191.886375851064,190.235973789848,190.444077868107,189.397129573848,187.443523321935,187.993070830367,188.17325064718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.05862267819,195.724228927916,196.166207637619,195.779241691779,195.207444589723,194.365648875639,194.293349392607,193.98161209823,193.565581473197,193.335261490921,193.412441659148,192.299819638321,194.160940791573,194.305706659148,194.742954102778,194.838021942524,195.17562954155,195.365916604784,195.459292038563,195.34323926518,196.567677072659,196.436873122605,194.445298771642,192.673831661412,191.405258069746,190.02177755989,190.340626843434,191.277628619258,192.772490883918,194.143007306969,194.022639848742,194.902466933104,194.793644083816,197.614584942113,196.958850201156,197.02984952992,197.042405586068,196.274020326424,195.652124517363,195.117976320034,194.876750103879,194.917867603538,193.546523994655,192.794363974495,192.462553219768,191.430673336171,191.280512146938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.413150979031,196.550450822534,197.842647510846,198.15307289454,197.360388456283,197.310235094265,197.027996837152,196.038433989257,196.084296173425,196.418145909622,195.246033613377,194.508643780435,193.753529749375,193.355081716705,193.865951621899,194.490331179896,195.951997541001,195.956446098476,194.989366852315,195.029418555725,194.695748161631,195.670043109276,196.556189299046,196.628883031627,195.594351530832,195.453398763011,193.928165495772,192.433861797617,192.82474562839,193.70268207854,195.026372033699,195.620804580998,196.083852203261,197.085231146473,198.059731649836,199.550116656317,199.592510558387,199.630181928296,198.56980775932,197.7185969155,198.016591779241,198.071414214748,198.436654314135,197.989587936978,197.061421042884,196.928160950345,196.513854406669,195.312757853609,194.310171666867,193.208488945646,191.82010420847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.406721148682,197.443218028627,197.841470956924,197.67142119204,198.376296270702,197.328936032634,197.113816414765,196.725111784399,197.048638145199,197.793795151659,197.929106267329,197.635202241741,196.178955634138,196.590594087346,195.914933270864,195.803769396386,195.711567823757,196.043481968053,196.541244148619,196.353425177066,195.425776621226,195.356704048353,197.500583687713,197.809659767708,197.843807468353,197.524565461487,197.20545803646,196.510201476102,196.023598440815,194.648007510138,194.524923922227,195.820539574765,196.288563673819,197.043994314008,198.477537230919,198.781820345935,199.73627993484,199.317223839115,199.160541955923,199.275084056289,199.517651924955,200.149776604917,200.999593686022,200.101357088522,200.427647714466,198.985160359022,198.932829367892,197.26642414167,197.518061152071,196.365554055593,194.726978523052,194.759036498711,194.618578967462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
