"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.047977122804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.606229914325,486.663745815794,497.779092513629,512.645077280743,529.740502510427,553.398590529466,577.16981903076,601.040764008565,582.799966913875,564.025708633924,512.645077280743,486.028334575748,456.075443837928,479.74071619827,474.341649025257,492.442890089805,482.830197895699,493.23915597285,477.975984847614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.060288252918,363.533051543872,389.708131734482,403.887360535088,427.200187265877,476.268776798549,478.585923460478,510.799810742561,533.256633175012,549.703416112753,570.087712549569,594.243216200236,592.855302718026,560.411060365527,497.657073666484,411.170524616592,409.92842695152,465.342289283021,467.038542306735,469.707355701398,475.982989194413,477.62432936357,492.442890089805,469.707355701398,431.170444531242,412.890244273517,401.946687980981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.963543411191,378.318648760539,359.250327064154,355.749458587591,381.607559406327,399.198797467987,419.076365356005,443.001128666734,470.690095665996,502.166444706098,518.701764323868,539.675828623073,564.025708633924,588.430114796991,573.828292565181,553.810946878665,528.852831816568,391.694537463774,385.558558490185,451.710392636162,460.977222864644,448.953752466478,467.038542306735,471.69905660283,485.41219597369,459.619407771256,424.632034355964,410.397074416832,420.604376324243,400,403.485257451246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.693463958886,401.946687980981,403.112887414927,383.21150808352,378.318648760539,357.945526581909,364.798622632436,381.607559406327,411.481862945546,415.693463958886,436.606229914325,460.977222864644,494.646769369497,509.901951359278,534.438958160799,559.016994374947,583.630876496438,594.952163329186,558.146879746643,526.48523939197,497.785427069472,477.62432936357,464.663381736327,457.573091769756,450.346954716499,451.731583169935,466.032711625096,470.690095665996,480.234317807464,465.932314766689,441.1304109869,471.347991033873,488.292131791701,499.335391743409,486.663745815794,485.41219597369,463.002051904051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.300776114107,468.317331312828,451.731583169935,405.42893771879,401.946687980981,405.04170115871,385.26541546298,376.220186988079,379.878043044732,388.104367406501,423.138276310941,440.161260390066,446.847519049866,473.020352814044,491.172067609712,507.747830881598,537.057393391936,555.090082779363,579.87067523716,603.374530031003,577.16981903076,519.276007128898,485.946635396496,480.234317807464,457.860395188228,444.007650773198,437.321392113398,453.450549602683,460.29831531795,460.977222864644,485.41219597369,474.341649025257,451.731583169935,478.929323585517,527.327629663959,509.901951359278,489.244634528295,494.646769369497,488.235074419722,491.807478849759,486.930080197775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.172067609712,486.028334575748,480.884601541784,458.592206318505,451.731583169935,417.579644891668,393.298301791755,403.500123975008,388.104367406501,371.651718682963,379.878043044732,391.694537463774,422.038182678003,434.086571227563,459.958108315895,460.977222864644,485.41219597369,507.747830881598,534.438958160799,552.268050859363,577.16981903076,601.300168206415,552.545041389682,522.015325445528,494.646769369497,500.62460986252,447.556172684561,416.082924427331,430.116263352131,451.384628453435,444.056737017928,464.00788258569,491.172067609712,515.388203202208,515.903159661815,521.381890472716,525.594901040716,504.354502670685,487.001132752706,498.121471129282,505.812017117094,497.178651080631,480.234317807464,473.961571924259,419.076365356005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.148398757737,477.62432936357,477.62432936357,480.559459674624,463.002051904051,446.847519049866,423.138276310941,399.586034028068,395.284707521047,389.708131734482,376.220186988079,385.26541546298,402.333924541061,413.067098246469,426.465534607796,454.488223339619,465.342289283021,497.468335572925,510.490956803062,526.48523939197,550.567888638631,575.543221661067,600.260303736608,558.678545538181,515.388203202208,484.121196934695,462.517779229128,425.36732957408,440.783456270401,428.650785844481,450.693909432999,442.648139495294,466.980528398256,498.121471129282,560.411060365527,561.805126356106,561.177881704466,560.411060365527,570.635610525666,553.939727188726,527.375577743225,506.211418282915,485.41219597369,465.026880943457,447.90312740106,427.200187265877,405.42893771879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.0770730829,488.292131791701,486.028334575748,476.268776798549,480.559459674624,463.002051904051,443.001128666734,443.001128666734,431.903208590101,413.823633931171,408.098961548427,403.112887414927,391.311896062463,410.397074416832,413.823633931171,431.566912540802,456.207189772366,454.488223339619,456.194332339063,490.475834512491,504.35259966948,539.01665374848,550,575,536.291607042079,541.365881573666,509.901951359278,483.148398757737,499.060735564641,450.693909432999,451.731583169935,450.693909432999,455.156658602127,480.227263629635,522.015325445528,565.946419452837,573.628765790164,588.949237546233,604.152298679729,602.855047565478,604.669331122391,576.865400005098,550.565255430933,535.286596915013,471.69905660283,472.515801872473,460.29831531795,446.406709843345,390.512483795333,354.435075341036,353.553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.606229914325,471.69905660283,485.41219597369,472.024502363328,480.234317807464,467.367118322428,450.693909432999,447.213595499958,443.001128666734,427.200187265877,405.42893771879,427.200187265877,419.076365356005,431.566912540802,439.39025402038,446.406709843345,454.488223339619,451.731583169935,450.693909432999,450.693909432999,475.657439761011,520.491552121462,559.016994374947,561.521351504436,512.645077280743,550.280427922948,526.172705667719,521.643599553495,516.484644073571,477.945878784237,462.323144357356,475.657439761011,475.657439761011,491.727403879109,527.375577743225,530.035294200169,573.902714778213,577.16981903076,601.040764008565,625,616.692268827546,620.622657563986,616.735026265912,537.644622276524,521.078542396287,465.342289283021,473.020352814044,457.860395188228,437.284020603768,343.547496098216,331.150360718488,336.340601176843,353.553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
