"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.548584904245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749.154766090976,789.382670192347,770.146090037468,740.422982870052,722.150439733734,722.374354896968,700.880428449398,704.281669273619,680.582844458505,687.931003053965,712.602118197874,697.493736417678,648.959259318703,617.952526447365,594.243216200236,626.996810199223,656.425999482001,656.220237420334,650.402332212215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.014058821395,458.989949494583,611.770382723397,700.446286306095,735.619696883316,785.015923405379,760.345316287277,735.696948478108,713.542316921324,692.076464768638,679.579301640275,691.465834296967,670.363380133758,704.195143254807,673.740743349425,643.965952301318,615.325251493406,582.167782870992,572.125994955464,675.968157416046,648.465178252773,638.213513050369,666.093619170045,635.83629966764,638.846616959032,603.671652803886,585.768725692999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.87160646951,471.928695226304,494.125730355224,503.838804835944,665.676347784717,612.237876778338,609.999974364424,710.661322002257,715.364242351934,731.864058415222,707.106781186548,682.367203197809,657.75389171943,662.248931982727,662.039441955252,673.232199948625,673.749867970745,637.523193075201,605.177597844332,571.182982939793,633.286052427452,660.018939122204,650.820625354685,660.018939122204,670.820393249937,631.191280898041,618.615122840889,600.624325564445,583.09518948453,577.383236495378,602.079728939615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.593710403917,515.415614223992,502.571279289741,480.997791402581,527.478870565562,498.571617381758,548.862460002504,673.469418214764,662.142702754289,675.462804305315,691.465834296967,688.015107332018,676.849318534044,650.984123266636,667.97373198957,654.31261641512,656.255914532283,667.52785781775,697.699967860055,657.883218930996,721.544122102987,696.558528497269,743.814396041629,719.809002444398,671.638235337116,649.905160514704,682.825014187383,660.748077871077,637.377439199098,621.642699575114,660.708754388325,653.133391664911,676.929923706612,702.286663150934,677.428085570693,738.665719695806,675.55508133169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.381446793297,534.569879922356,538.545464411191,522.359705953798,510.099458879913,520.167594372326,537.487045953483,581.624896381598,581.538810206045,559.016994374947,750.416550990182,705.599300450517,673.999944955527,684.984395643853,687.84082460988,650.480591562884,671.75144212722,651.920240520265,673.335974476494,697.316284049068,721.778623986403,663.25963820419,691.617250171094,697.316284049068,739.388140165197,715.891053163818,688.347659198428,696.653421279592,706.422550179876,716.161829151908,674.005675492124,682.145074856357,707.548584904245,687.536322786508,702.213733735755,705.169247808897,729.138331407344,750.416550990182,728.868986855663,721.761836626011,731.864058415222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.116323361815,550.567888638631,531.580582324834,535.081519783908,515.471042230249,517.862603409225,515.388203202208,491.172067609712,495.382582332487,559.016994374947,559.016994374947,541.188098178392,555.880614785438,596.437750472653,632.728745588444,656.608517538007,665.844865742413,650.155505935508,676.929923706612,652.109777553841,670.664439369633,691.856857969206,686.731401494822,711.073132666395,710.097280854469,702.412154948956,735.272058492637,712.106463161754,711.512473537885,697.230653184118,697.795152896712,716.532792467859,716.053277334966,687.33571657649,694.62219947249,673.145600891813,725.751162591954,712.143224039327,732.212999317562,738.343227766992,752.080447824566,757.136645791812,735.752617983874,791.083111126632,704.798655927978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.025708633924,561.871898258352,539.983513897097,534.511724114265,535.023363975817,522.015325445528,506.380060656269,506.211418282915,486.481666851137,475.836758714378,541.579261574246,516.007353011516,506.211418282915,589.403678331885,601.040764008565,636.396103067893,667.083203206317,681.451201210216,695.839594219771,675,650.246303175978,686.476510887299,716.330001144912,711.073132666395,761.199494107684,731.864058415222,746.035123962915,756.24161256013,794.512429103535,712.526672895053,720.03550205468,728.868986855663,706.864372987504,683.111947893474,682.639803897691,682.64323991009,682.968661415427,726.722092687432,730.616676229303,730.218067890101,736.510638620891,745.821694508815,760.345316287277,765.222638872827,776.611228350453,766.873937071133,716.290378295103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.451326424916,576.376852813035,570.264765211599,553.398590529466,550.567888638631,535.023363975817,515.388203202208,516.677447041475,506.211418282915,506.211418282915,492.709700210997,478.585923460478,551.776409855358,570.087712549569,627.284350071732,642.929306443894,643.841219216077,618.478470750508,594.243216200236,637.511703384349,665.590189882473,685.512485694323,700.628426256066,711.608720574899,740.74104920163,769.627227452295,744.560343456973,764.985256113882,775.79611521073,766.128566796226,784.766533166719,766.893082508898,743.303437365925,719.809002444398,738.780312690488,716.32743909472,696.609088313137,720.179072778335,743.303437365925,755.95498508392,761.577310586391,745.297889314671,730.281845911748,752.080447824566,761.618255792047,770.467971808133,778.620575119872,795.42558104919,702.277443433465,674.485013186704,607.109670927539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.856100351817,557.448675416192,570.173521259481,554.104145084323,557.706940140619,542.448387577445,526.507497850752,514.400410093633,506.287426552588,492.442890089805,498.221661783359,515.515786925189,578.429647401222,637.377439199098,660.680378416332,661.910114743686,641.90585166952,613.494906246377,626.498204307083,618.465843842649,608.276253029822,663.639374465312,901.430036488581,801.648505401849,691.890795021573,751.664818918645,760.469113044216,848.896342317482,824.621125123532,789.77767683148,783.622428953545,783.022988168291,752.16833375844,735.66732129284,743.522862627391,728.868986855663,710.405409268674,727.38265201075,760.488092983957,763.430640521137,779.118226472193,756.871870314109,764.852927038918,721.543484483091,745.821694508815,770.146090037468,789.882882575684,781.424980404389,704.974124371286,634.571155002559,583.630876496438,585.707928114575,585.314873517506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
