"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840.386815698581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789.382670192347,797.992712434746,818.91696770796,824.781559668687,818.945567848832,822.946588688063,838.157390222641,855.277248800898,873.257148332933,896.172416446746,916.856041044612,919.496582287574,939.618373054783,957.005116516065,950.877436884662,957.102396333761,936.438427069827,930.053761886914,919.306706297181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.468464787114,797.602890756523,806.225774829855,806.418656204233,809.74529453369,838.157390222641,831.052598703795,831.038506929733,828.574139131861,855.131568824354,862.299262344516,872.169484714385,894.427190999916,917.021179972715,910.312253899295,928.035559663529,942.416269648002,962.158945215544,964.689069078737,957.086210271,936.479495764716,941.307820715973,916.983501161729,922.131714806134,941.672597164258,952.053563745342,961.842199733446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.513762740827,831.113544739249,834.99139069542,831.494153945819,840.254740401343,831.038506929733,860.255161523576,863.133825081603,867.827747885489,897.566153550812,873.359306290188,879.275269753449,894.427190999916,906.325998403007,929.045208803102,920.630576013235,929.045208803102,929.473630134951,930.427428694336,948.70386795535,965.789495695298,972.809977344256,965.861813514301,965.849772491922,970.872627721625,973.717104707522,961.87457186443,972.432516938836,973.780382244891,977.936221490778,955.517041116914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825.378700960959,831.099509927506,850,850.367567584747,850.367567584747,851.46931829632,851.46931829632,853.302408293801,880.775440910246,884.783753503482,888.217032762521,916.856041044612,917.979898989166,906.42892707878,928.035559663529,917.46778497399,929.045208803102,933.407735129724,919.276997064291,919.238815542512,925,925.101130220078,948.765506555076,961.850296838502,977.991955141373,976.281209488332,976.496323755614,968.428291019854,979.025505343206,976.281209488332,964.697166183792,980.497242181641,980.186423529914,980.376435410941,973.717104707522,976.281209488332,960.54169667911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.46931829632,851.46931829632,854.418654389068,875.35707000058,874.128574166466,875,867.827747885489,875.35707000058,876.427407147905,895.125689498408,905.538513813742,912.414379544733,937.083240699566,941.408519188137,946.374661537385,929.488524326086,927.987372902262,972.432516938836,948.683298050514,942.64303617315,936.486310469674,942.64303617315,933.474598285042,941.076511235936,950.525378047396,958.322522759989,976.385018690033,978.087205415032,985.203024761902,980.114789195633,985.218874237971,970.82439194738,982.980162566875,980.114789195633,990.698658409492,990.823931922867,973.877046819725,975.880753326584,966.281364479641,960.501149801643,965.262629448916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855.862138431184,855.903136874194,860.494306995741,876.534115661468,887.94808633499,901.838167512474,900.347155268455,884.590300647707,887.0397077347,875.633678881711,890.36422983984,901.56910070108,903.119593409422,922.465698835556,937.337982884157,937.083240699566,964.910662369715,973.781207327043,952.127057148085,943.743397524365,964.689069078737,980.433577556379,957.102396333761,964.705259215173,961.540577245585,965.198442372387,961.519990385812,965.344767567549,981.41273835869,985.203024761902,990.580637807947,987.768140537473,1000.66767326687,1007.78221853732,992.86992078821,990.706506552424,989.949493661167,978.130647543011,979.025505343206,992.542407059104,995.615387586994,976.405813951884,976.321188270633,976.65051973313,957.273273662201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906.288714125836,884.164531808565,905.538513813742,903.534622430632,928.035559663529,928.248356237235,926.350365682445,914.391554196887,925.337776166087,900.651901875978,900,925.337776166087,905.898012834616,901.740415173848,922.495746435126,930.38970329642,946.514585954775,977.100774525515,976.377048981014,982.439385493084,961.666970000402,975.531073556464,975.135839438909,989.100497932529,985.216716647217,987.33103397117,995.31323037458,983.933432707721,978.027691260654,989.002022242624,992.507034561532,986.522353534449,1010.13168238515,1025.06850598887,1027.74023955472,1009.02180353053,990.706506552424,982.980162566875,990.706506552424,980.376435410941,992.659870512361,1000.33587040058,1002.80855600658,1001.24921972504,996.029349100294,983.634893641564,973.821186109344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912.538195413351,912.584990444677,912.414379544733,928.06498645894,930.053761886914,941.454074055432,941.076511235936,952.955927627296,950.328890437411,951.314879522022,931.85096412872,925.337776166087,925.731244542834,925,925.396725987598,950.328890437411,957.231496237661,991.526600752597,1012.42283656583,1020.53116705798,1000.62480480947,1017.65662185238,1015.31985678592,1007.81320816215,1004.05428140116,1004.17055434961,998.123238883857,980.734529669068,984.893711294168,982.344135219425,981.41273835869,984.917489329265,990.698658409492,990.580637807947,1007.86734859408,1020.11028815516,1018.02497677569,1008.12103584366,999.101128751281,1000.31245118713,1001.28820313208,986.573724221455,978.091165873553,995.701554400679,990.847352355875,985.580760422532,980.114789195633,977.630317009366,976.756715797867,975.071187189989,961.769203083567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917.26983339674,926.40085740262,930.665173693713,926.618687557873,936.595263262973,950.328890437411,958.18839483684,980.114789195633,978.130647543011,973.821186109344,978.245919088324,978.182089102417,975.812844189092,957.654248804987,975.344478889852,996.368099195226,1002.80855600658,1030.86341383998,1039.83171715427,1044.39716998173,1053.15990027912,1039.88425670563,1037.19853659229,1018.37569932926,1020.44120437827,1021.42653802101,1004.05428140116,990.698658409492,989.002022242624,990.698658409492,991.714987237142,984.060147446094,986.553991526889,1000.77271236323,1012.6299633117,1017.86764147478,1015.19702521235,1027.74023955472,1020.25151948074,1006.60312437414,1001.34267828472,1005.0224953174,1006.73839999006,1000.00781127968,1000.32416079385,985.111339029319,1001.24921972504,991.550227285381,1000.74941158908,986.162067082842,983.527747768049,981.581262199084,990.580637807947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
