"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.163245797197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.82443242067,169.858261142605,171.262486379779,172.499117652952,173.69350197149,173.968911288488,174.490899033696,174.410304800489,175.963226341619,175.767506349618,175.865386218763,174.298492334267,173.097300907256,169.399338149696,168.004087825133,166.592142427917,166.957985071327,166.077437349175,164.986397770101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.457793566171,163.214871196626,164.479847326539,166.135503404265,168.512898343498,172.392201115016,173.731379717949,174.560360367485,176.544193850115,177.660100043784,178.407644953989,177.824444799352,176.653013356696,175.578616986353,174.302410398199,172.32621661097,170.681433346419,168.951501363751,167.358593117174,167.335060006723,166.471117187371,165.042265768428,164.463742848377,164.692671124422,162.474177253784,161.782545154423,162.10688322617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.599717557179,162.710633858621,161.555385616807,164.424913364663,166.170909658995,168.70543744774,171.052435564856,174.940254581172,177.303503299873,177.754556159159,178.608277654154,177.672409467387,176.932336442939,176.624394860358,176.003907900295,175.197660120593,174.313683016095,171.528095020662,171.242935810544,171.286267358771,170.701459940982,167.998624671863,167.28806951248,166.511858490188,165.818741102666,164.305247728013,164.373443238271,164.532854286595,165.317647673359,164.028157676986,162.674952596838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.220749827254,163.761353103601,164.875106723314,165.067947646021,165.601175307793,166.671997297425,168.328921899513,171.553019112775,173.807469716508,175.487288794993,176.480377768445,177.422541699632,179.464116885902,180.276341650728,179.408041897445,177.451189254554,176.057974015356,174.881431996315,173.676830175735,173.738316017207,171.167774181898,170.865256195962,170.624955662467,171.845919762465,170.618176062734,169.084727409744,168.150107774505,166.6184267785,166.845105540832,166.570486733542,166.587704766535,166.947502323384,166.259389729806,165.581929101945,165.35041298302,165.22720978901,165.179624803435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.739222053065,165.61534466583,165.088130624138,165.804256853479,165.46311842443,166.245115945171,168.982277900004,170.999040177122,171.728372430718,174.771877611672,176.269697380068,176.105176198822,175.184596734324,177.342472149025,178.914576051675,179.734169356342,179.75042404533,178.203227327412,177.717195624522,176.933749523554,175.966483723787,174.744172316061,172.145607211357,169.96793798747,169.857965981196,171.178755742227,171.790708688081,173.016004332572,171.400520515981,172.543851246008,173.185429817837,173.025625349639,171.718782779529,171.322663313534,171.268343807037,170.285339854276,169.358391619944,168.6489317305,167.699229111177,165.983423645356,163.293792361995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.547561864287,167.900482556384,168.150706542723,168.221291294391,167.771598243159,168.303940662116,168.842546026127,170.601730395549,170.006196794877,171.695891692279,173.053628586062,175.425876331675,175.133354807738,175.225773901002,175.80659127724,176.105007405331,178.145541673321,177.713143934211,180.186931727337,181.162142559862,180.083656539449,178.614292446837,177.139248995851,174.074296544611,172.187900246097,172.092124637116,172.247590394785,172.315672023545,175.398742969818,174.488331620038,175.920562080371,177.06137597645,178.863138385971,177.341026441681,176.679712755134,176.988827125874,175.44679723232,175.148334504086,173.929082358557,171.867579062403,170.504440644601,168.927533704106,165.337935964157,164.176897065362,164.675138887029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.595821125786,170.695519781433,171.255452039513,170.588683318314,171.627887548887,171.021123273585,171.584825705515,171.33413893469,170.817757343523,171.739231057537,173.204307381327,171.915970116799,174.643422895415,174.765291592826,176.318827837399,177.345165475128,177.912360568916,179.050519641483,179.350042489048,179.604835464363,181.033068917588,179.575829393133,178.306987709038,176.969545929919,175.152340832675,173.654697634052,174.173648730527,175.509327252625,177.097720014787,177.545441722121,177.956687194857,179.820183958489,179.379486948159,181.496277642402,181.416217866655,180.03877500241,179.828466727238,178.20505959119,177.639812332418,175.784931083818,174.698124323921,174.077401432742,171.832528113605,170.946700055577,170.224688433851,169.508528924589,168.029579989823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.056289813084,171.905391024697,172.977491061002,174.197739692339,173.52533410008,173.141903743659,174.165288070199,173.720701262716,173.505334779169,174.828688283396,173.706620455224,173.925934787061,173.263855550506,173.642980189213,174.392150111265,176.181446234756,177.692306891429,179.118705195273,178.362895894494,179.013578960904,179.463241384265,180.294706781355,180.733210632846,180.821405561509,180.478003617618,179.781075021621,179.503411072906,178.634735087022,178.515099582942,179.347657756713,181.942068054968,182.724451616212,181.811840375388,182.935071340534,183.696721800139,183.449223737279,182.188712460026,181.877773432982,180.095275289229,179.075559895287,178.977264099934,178.68729318114,178.099051074158,177.052285248626,175.549207738308,174.358159832047,173.482763258522,170.300367654698,168.864135523122,167.092041317294,165.007655006473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.831806739578,173.18166917806,173.573539925137,174.017383642146,174.900853109578,173.849213059286,172.70394849885,173.13406996307,174.05291016791,177.016446434796,177.656096115815,177.834538025475,176.200076633967,177.543780419164,176.207285922736,176.85400259781,177.269663098863,178.964810985234,180.368422714834,180.925627625898,180.533034631743,180.623505400865,181.650831279173,181.928970296908,183.589145869219,183.175776169247,183.088019670548,182.526658664986,182.007037570987,181.04289823724,180.775384494398,182.602137633242,182.795102188477,182.653341496688,184.000027676237,183.938948672073,183.815547212615,182.409428135995,181.136903023846,180.638691008895,180.59206074003,181.01053270223,180.950797409678,179.61769262094,178.594376380812,177.051689021821,174.601245510233,172.299572279453,171.676909090244,169.995138403951,167.645228923657,167.37458828034,167.879502169788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
