"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602.079728939615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.225650428644,581.48516748065,604.152298679729,608.276253029822,617.454451761423,617.454451761423,625.979295312454,619.72648063068,625,632.455532033676,644.919015093087,632.455532033676,628.727766016838,608.276253029822,608.276253029822,615.168492683993,632.949445058608,630.971473206198,625.749102153542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.894601218866,590.005970946617,603.116013809672,625.24990007992,614.918693812442,618.970920156997,618.21268595921,617.454451761423,637.377439199098,638.846616959032,632.455532033676,625,618.465843842649,618.718381999823,614.918693812442,625,619.72648063068,613.900613709503,629.483915600709,637.377439199098,626.996810199223,621.985460078499,614.918693812442,620.987117418711,629.483915600709,625,614.649350471841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.356520345913,577.16981903076,596.343022093828,617.454451761423,604.669331122391,625,626.248305179531,626.996810199223,649.037749287358,650.960120260132,654.31261641512,654.31261641512,632.455532033676,618.465843842649,616.186572786933,637.377439199098,622.993558709356,618.465843842649,622.993558709356,638.844931471192,632.455532033676,634.909045082615,625.24990007992,626.996810199223,628.240362899966,629.483915600709,637.377439199098,637.377439199098,641.275917113648,637.377439199098,629.483915600709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.09518948453,587.628090798139,595.010593030149,604.669331122391,602.079728939615,617.454451761423,623.991963808967,625.999002233462,625.49980015984,633.683788137045,647.587197514099,650.480591562884,663.088313761504,658.83313051025,651.920240520265,626.996810199223,629.483915600709,637.377439199098,632.949445058608,609.302016908254,606.472792076107,616.186572786933,625.998405099611,631.713502619937,632.455532033676,626.996810199223,650,645.400140449407,639.088860048957,626.498204307083,637.377439199098,648.556088553642,650.240295781442,636.396103067893,632.949445058608,625.49980015984,618.465843842649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.630876496438,583.630876496438,585.50186061449,602.079728939615,610.327780786685,630.227694403453,633.683788137045,642.010505993614,651.920240520265,651.920240520265,645.174395028197,660.018939122204,659.06517608201,675,656.933779659315,655.266426917727,651.920240520265,651.920240520265,637.377439199098,644.919015093087,650.197664253709,647.556448656967,632.18712469916,634.916485616387,649.518874643679,648.556088553642,625,634.916485616387,650.480591562884,658.119588271269,637.377439199098,648.556088553642,649.759170425121,650.960120260132,651.200416041575,656.220237420334,660.018939122204,657.647321898295,656.220237420334,637.377439199098,621.985460078499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631.960459132403,631.960459132403,628.240362899966,619.72648063068,619.979018787854,625.998405099611,637.377439199098,635.163442128853,653.116428467692,657.647321898295,651.920240520265,654.31261641512,646.116332131775,666.582270007009,664.971430282019,671.273003755816,652.396603989002,650.480591562884,651.920240520265,650.480591562884,639.088860048957,653.116428467692,654.31261641512,650.478994903812,625.49980015984,632.702488546142,650,626.996810199223,634.916485616387,626.996810199223,651.920240520265,651.200416041575,651.920240520265,654.31261641512,657.647321898295,657.647321898295,649.278044276821,659.778718320991,672.913401622749,675.462804305315,656.220237420334,637.377439199098,621.985460078499,589.225650428644,572.815467105318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667.083203206317,663.793231264202,657.647321898295,652.15630820756,650.960120260132,648.530311512121,642.748006609122,661.910114743686,658.119588271269,672.913401622749,660.492240681145,638.112028079065,648.530311512121,632.949445058608,636.874862978711,654.31261641512,654.0702389703,651.920240520265,650.480591562884,650.480591562884,650,632.702488546142,644.919015093087,659.289564597221,651.200416041575,630.969723817192,639.088860048957,637.377439199098,626.996810199223,625.998405099611,637.377439199098,656.220237420334,654.31261641512,675.231402152657,660.255589901675,665.674857992819,660.492240681145,656.220237420334,650.960120260132,656.933779659315,658.119588271269,648.7969189205,620.987117418711,604.927626483951,583.630876496438,565.685424949238,550.567888638631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.476510887299,696.19411138598,681.220364317291,679.153885360306,681.220364317291,682.815198123803,677.768164871043,678.915003751562,676.14974312606,691.465834296967,674.997459712929,691.465834296967,674.997459712929,646.86524179092,649.518874643679,637.377439199098,625.24990007992,655.979969156708,655.979969156708,654.31261641512,635.163442128853,651.920240520265,650.480591562884,650,654.31261641512,668.951798228127,675.462804305315,676.849318534044,659.778718320991,650.240295781442,629.483915600709,608.276253029822,632.949445058608,649.037749287358,659.778718320991,657.373552171103,660.018939122204,658.119588271269,642.748006609122,647.106072157778,626.498204307083,641.774143753968,645.174395028197,628.240362899966,625,608.775932364477,579.87067523716,580.400347763599,578.52024713396,590.021186060297,581.202407283371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718.500654128308,711.062131745151,704.006392016436,696.19411138598,690.560772751826,685.769679866869,686.011457202248,675.462804305315,679.613705398539,697.316284049068,703.112998490375,709.31085878532,697.316284049068,695.956060301531,688.971172592133,667.083203206317,651.920240520265,651.920240520265,664.496658975002,667.083203206317,686.916518747388,679.153885360306,676.849318534044,674.304202598564,676.849318534044,707.106781186548,713.262286670706,697.316284049068,700,679.153885360306,676.849318534044,667.52785781775,632.702488546142,634.916485616387,637.377439199098,653.116428467692,642.748006609122,640.800280898815,649.037749287358,632.18712469916,616.186572786933,612.882533606563,626.996810199223,630.971473206198,632.455532033676,625,603.374530031003,587.099420244995,601.040764008565,612.865352395623,612.882533606563,611.605157196624,603.632825392562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
