"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.905641224963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.07375694844,216.065605452829,216.86465431664,218.138660780421,218.497242803911,219.282486323817,218.407393856515,218.108521661228,217.26532034721,216.184993754423,215.709765006707,213.985078622234,211.6532910147,208.677744844999,207.918235535209,206.197097010996,205.04615219891,206.179625281638,203.635177378686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.898991927794,205.499519801092,206.760374368155,210.171694417153,210.734979962684,215.311655994221,216.371551342454,217.558807132123,218.54991163206,220.265355917966,219.421254505567,217.559723636071,216.456272803956,215.421853006062,213.52802183988,213.247017227665,210.168754452557,207.683825521406,204.772979581638,204.506724089822,203.67422643553,203.482517166554,200.810188003025,199.258511174489,197.065114341738,196.109620351356,196.059689603423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.85894591911,206.844865881286,206.533652853627,205.655470905904,206.57552366741,208.968761176511,212.556664811841,215.038333311222,218.630341889167,217.45965624828,218.626135881266,219.512849277663,219.433652576838,218.770591201136,215.982753287209,215.558145043432,214.311837616442,211.230295225886,208.853007090961,207.203167759856,206.833020470574,203.559498974955,204.850129558101,203.424270981582,201.093480670147,199.67036359188,198.201231066662,198.945857445964,198.52409097263,197.140448711427,196.705793338524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.01900552696,209.554560356253,209.462091252161,207.536634091714,208.406076889012,209.469701821306,208.316827961167,210.380952546628,213.18398418313,216.714773607502,217.064626171898,217.72048083837,218.033097083419,219.786030119856,219.310016621961,219.687758416814,218.429936654234,216.996564226884,215.025981784279,214.739730481465,209.424921732953,207.452443149753,205.990239374297,206.513727325938,205.164802505392,204.9087865042,203.424109242537,202.231833646596,200.862471804866,201.694892204638,200.349376207626,201.081338586389,201.998253183951,201.28042872796,202.938712040477,202.817273804596,204.592158133637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.29493735962,211.893539081761,210.941207481028,212.440887895819,211.217795435125,210.452007075914,211.976504235554,211.409552278189,211.386348447042,213.940712706216,215.500927799863,216.543927489838,216.986889940691,217.270028487518,218.145604542484,219.181969053299,219.324418558299,219.192366346163,218.77107451235,216.438016196808,214.940307329257,212.678294341619,208.646785340699,206.466426105026,205.906821761027,206.205946234635,205.963566802239,206.447772418552,205.701705533846,206.658518594648,207.926403406727,206.155770090199,205.468454181376,208.295921027749,208.295511999267,207.05172009239,206.03976470315,207.122417106947,207.629044426603,208.730127018937,209.7017806987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.056514205371,216.247402434968,215.357348036302,213.412636284389,211.81810011597,213.206361133652,211.869801231316,212.138834194891,211.173106843131,212.063444507388,212.81055995316,215.038675000761,215.704898054433,215.359462822215,216.399083763425,215.95244581404,217.790162686248,217.624893235157,219.022327781578,219.953255209412,219.213289863362,217.097787928284,213.667773204562,211.42998750403,208.903144909424,208.33370582996,208.3986755357,209.003900433168,209.810833575259,209.564061953001,211.207093048602,212.481263443753,215.778646386613,214.671680267373,213.937762033914,215.169935276805,212.993687082174,213.176737039995,211.968828549467,210.094014976327,210.405715808358,209.933346836757,209.426803007992,211.723880283493,212.653369019897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.105954755753,217.138415576852,216.868245917726,215.924777744219,215.699191602171,213.26594282313,213.155583701067,212.437634982621,212.76047228364,213.011715532435,213.031128338515,212.870908296113,214.043656827342,214.588394054097,215.109407097496,216.110656552586,217.288871755902,218.666574420732,219.348192328296,219.484573351983,220.282399708747,220.491106900046,216.621048981883,214.156204701335,211.495063403571,209.454526998249,209.278108811978,210.542192575123,211.650685241038,212.709236308459,212.9828034756,213.986749901636,214.757613501291,217.357253389523,217.496137848503,218.012634158372,218.532881858054,217.682639458542,215.882178980764,216.100979109475,216.75369184082,214.944526602703,214.916893600278,214.203715680217,214.556305013152,216.116476406187,215.908668256042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.839997390731,219.360755020092,220.234558185172,218.557749086206,217.025638981429,217.906518799153,216.626843265105,215.471474844518,215.966127529095,216.892651111895,214.266841455673,213.808986936882,213.010529174778,212.981195025931,214.495236571915,214.246462301437,216.617786459536,217.406565204536,217.64558878947,218.304612833526,218.383334705006,220.264919781508,220.200659725426,220.207569934157,217.457164338531,216.442995577685,214.54151223966,212.572058242185,211.781304042639,212.554981318431,213.429284108766,214.061561057167,214.837324497057,215.286532624716,216.479525314989,218.895741420065,219.953847625569,219.800759090321,219.330655312967,219.24691778325,218.234042122938,217.683923989462,218.523913607704,218.465458049287,218.393202006943,218.778006850764,219.484521877385,219.372315539955,218.660684994952,217.53340764534,215.696242995859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.862943412218,219.150165010146,218.701366366957,218.816240419411,218.265085204393,217.344336045683,217.03626659993,217.112440212762,218.984606381037,220.699525235214,219.349933779861,217.268935090142,214.69349582644,215.373238048726,214.474815739256,215.689595234167,216.261617182278,216.959625619649,218.855897659708,217.777669811986,218.335648298219,218.525951020311,220.46897590947,220.270935592551,218.562901176212,219.574781525888,217.814584167202,217.232347660261,216.469585287567,214.123585420046,212.725066531892,213.695839246748,213.443364078865,215.062006102702,216.295957973938,216.993180109089,218.669364117886,218.836992604498,219.026177710208,217.843569237185,217.662264485053,218.768401427998,219.323907919654,218.929633727413,220.346387478149,220.002780998717,220.22424163742,220.184364567287,221.147068263917,219.914236804088,219.096839217274,218.883685639181,219.09466561553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.263305823411,221.032940280262,219.935272053841,219.489052022331,218.916597317692,218.752372158144,217.575658426517,218.907040438278,220.837957188168,220.55914839556,222.629574490164,224.076949904706,222.513107760035,219.46365614216,218.724574466433,216.595468987695,218.575356832053,217.098537919361,217.502928969469,218.49815805203,218.594403984657,219.650116025982,220.331700435513,222.491770323691,221.576009360335,220.872139948883,219.504601243174,218.070512757528,216.956079737964,218.342301552227,216.609273570287,216.192440622882,215.887745315466,217.350238782955,219.077478503691,217.773754054461,217.990877124635,219.224437376012,219.014612081311,218.992325844086,219.270207549434,219.782518672718,220.503067904927,220.279803043573,220.393034421903,222.235928175531,221.719811205314,220.842344708163,221.963241873297,221.762079826652,221.072100621989,220.48059582596,218.717242127192,217.769004897974,218.876378492673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.691353268918,220.191314306691,219.76023745374,220.49804682829,219.603477577243,218.279622219076,218.478536072638,220.051219289616,219.917470244726,221.386249708836,223.538079310248,224.249023590935,224.700316260527,226.463623413548,224.438144297199,222.397191668027,222.911861972264,221.522906870337,223.80994546389,222.635126391473,220.449171857261,221.239218804118,220.645422609707,221.139543568222,222.263996190189,224.397488469256,221.857813162332,223.317462930562,222.828396198312,221.533777129788,219.041376121334,217.086518665725,218.131463965065,218.372556981093,218.153681534079,218.97450544574,219.783832879769,220.149994113093,220.228773940234,220.381465980831,219.236794611016,219.692549443791,219.783756188161,218.821264904921,220.258833868613,220.722476270055,221.440445111502,223.408179439519,220.593019989441,222.04940798789,222.229682005035,221.698420668478,220.907473905978,220.337824936808,220.376696727455,221.402517436902,220.036960221782,221.433107701362,222.722272431105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.589398219257,223.151235598758,222.277300576961,220.952255858088,220.727443487407,219.847987006721,217.765434106393,219.357320776364,222.658305647281,221.99611383602,223.901680566038,223.563504062843,225.317167874671,226.664740791851,226.634462664497,226.910415748955,224.976024902655,225.19233190962,226.121245712981,225.290945562982,225.395193875378,225.996742275047,224.075800130114,224.879670167237,223.070080700646,223.574998228128,223.853003754414,223.269782214525,223.170076575327,224.106691849628,222.678529492021,221.322945283258,220.265029444958,221.441287473504,221.482224578413,221.320409780431,222.208436427966,222.810542596025,222.560559654013,224.694238333698,222.813786995174,223.445803387676,224.646282808446,225.422521117495,224.082506821686,225.543600806233,225.028420581191,228.465663014155,224.433733968588,221.924896891568,221.386259673751,221.398634047188,222.949653669746,223.012745273848,222.028475573353,225.98799402015,224.385588674527,222.222232848305,221.786326192354,224.351917114037,224.868018929493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.433613732059,225.38819533677,225.31412343064,223.891886719479,222.478982125287,220.914496313412,222.516527887414,221.276823639483,221.106508777449,224.528843179403,225.32514601776,225.833559278992,227.384268425678,228.068168129971,228.74414627645,229.210145543541,228.399796913077,229.316691912716,228.693973815284,229.678124970038,226.727078100075,225.628602697509,225.349525274114,226.760387162311,226.527885438475,224.848217864576,226.22423140607,225.858051303667,223.749474397666,222.854958675289,221.517032120233,223.322701374973,222.44801797784,223.849064582512,222.133207797521,222.001147496441,224.545982291446,226.352390278566,226.807223872148,228.494255314385,228.930703661139,229.109502856305,229.4892437991,231.62519198072,231.365201219192,233.282765917542,233.82976684478,235.454109544661,232.004790903215,229.436962605158,227.267563627113,226.875610452243,227.214911010075,226.123826940645,225.838079180328,224.520060225714,223.336705994446,225.183529808671,222.405759416522,224.706026921417,222.489908439705,223.340583676581,223.131192768143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.822271922801,229.528988435274,228.980300492817,228.621317936256,228.26325737777,226.635521610022,226.374786545475,225.176504074328,225.703966562711,225.691615876651,229.815304132182,231.667941959757,232.51188715897,233.520691830774,233.718584575682,232.998904054272,232.822065688693,233.153228905636,233.318886899357,232.884393726614,231.0172085322,227.404670286154,224.729072649137,226.217983122743,225.854455825385,225.440979903677,225.123756160225,226.6529519941,225.098776936504,224.414595620878,223.069176113948,223.202109452972,223.170569983737,221.932059127906,224.227345649617,227.112085451164,228.696186769538,227.438847551107,229.086504367293,229.886458561716,233.026162854372,233.005173268839,232.115499038735,232.852945538996,233.643044152657,234.208772105621,236.758636146404,235.2647780664,236.091104046147,235.521636932642,235.8917946151,236.134442606726,233.850082538102,234.747884811639,232.240893474366,231.916523167352,228.456763805519,227.928583372359,226.541484872254,227.566095197229,225.345560113181,223.989493241352,222.779954371669,222.903653555091,223.153864450087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.420292975389,234.36308591755,233.130832662175,231.560740326413,231.084886981308,231.030775049786,230.037931326852,228.293345168434,229.305344952637,230.249882699159,230.847515642301,235.133014347887,235.026931934222,235.971566543168,236.425992816402,235.83254860823,236.447800482479,237.700161397813,237.903353234336,237.064653861361,235.147386398442,235.349580285445,232.598785537811,230.984175829476,228.618478186546,230.181191533991,231.900175427105,229.801044359439,227.377905477109,224.563526138019,225.973574167484,225.560903117691,227.311822752257,226.157254001372,225.811160529185,225.604048195386,228.44925169691,228.283815411834,228.655690061965,230.841264194465,232.205654227112,232.271570440502,231.014496352156,231.150307399683,232.521322692723,233.971706679341,234.947442803848,233.840268999855,235.351105248219,235.82171484108,234.874412277253,235.614438079023,237.725812390165,237.62557555321,236.653014650002,237.273059363664,235.397302695315,232.959997499283,231.829950784115,230.828247178612,230.407893371077,228.592908244019,226.144282292812,223.41956883792,223.535943331382,224.437587232945,225.103275447965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.8479244372,233.943914805442,235.634070047172,234.207693496059,233.57700807522,232.120636563396,232.200058622516,232.584443545807,236.814235000214,238.336087938409,238.022153251927,239.009555544243,238.589960846665,236.361569088898,237.070435400636,236.890492244008,237.250445295569,239.670816997666,239.125491401912,239.976179785426,238.679206976405,237.674776032913,235.597111624731,233.250711148206,232.193665776059,229.94052562978,227.917543545679,227.511151593285,226.293793518289,226.593256911569,226.87198831943,229.120039654431,228.447823434593,227.469792551068,227.617988404794,228.529582715138,229.20134128228,230.546117480898,234.375137883342,235.100662308397,234.290210626422,234.812773752307,233.015867131124,232.950094373016,234.884995469783,234.058459437838,233.305758239943,233.487804090471,232.64377268051,232.111646330709,235.006782032354,236.141589500702,237.166139861447,236.221853077166,236.434013448407,237.554469403028,236.179254816352,237.010499467619,237.536040477929,236.621513320758,234.483331398374,234.729722590939,234.343710408316,232.88654320252,230.515536952282,229.59860353777,227.152799121018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.304342891739,235.833463295415,237.72398283815,237.594084532494,238.97901034857,237.432112761286,238.563995372718,237.980329753035,237.101713331833,236.899722658827,238.929761819572,239.844353069658,244.931266306786,242.18421488005,240.094301179189,237.916034386627,236.619989628151,238.678579345337,242.784783831898,240.115993765191,244.227912535602,242.601849975902,242.736529701191,237.819457180839,234.559217067739,232.455397105073,230.323680324435,229.627515388574,229.207988067834,227.822177721543,228.215024992721,228.174199043454,230.233027023788,228.661801253526,228.962639355628,229.60937199017,229.98187023947,230.031177249038,233.43275044333,236.304349620177,237.855767676734,237.462353828678,238.324467022251,237.488446347491,235.520240669642,236.590514342051,235.63512979037,236.775383751014,234.699271753784,234.350708324998,233.61349389566,234.204763179043,233.545124834026,233.991002084265,234.532490291111,234.335601095178,236.398286382632,236.701747071704,238.316250766366,238.906587477808,238.095994865811,238.323180047612,238.304677377674,237.565516523419,236.99543618303,235.320713450654,233.055895674662,230.32499353498,228.267758988162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
