"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.388203202208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.115294937453,525.594901040716,530.256223186243,538.414150778156,551.769101365109,553.398590529466,566.376831440653,558.763131015636,569.936162451678,564.025708633924,553.306505124244,546.008241696039,536.729028843003,530.903973203986,525.594901040716,539.081662819391,548.848218627104,553.327822982195,543.745682838702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.88545115517,504.306129204144,504.323522477354,547.725357387887,547.784547198502,534.832169320003,534.957392927056,529.740502510427,553.38445878359,570.414848421427,569.880647894732,570.354812812917,567.317123151244,557.053538577155,539.675828623073,539.661336774202,534.438958160799,548.292804986533,548.292804986533,550.511011547329,552.225546803845,549.215405425257,548.292804986533,548.035092632976,529.236596591417,514.78150704935,500.435921443029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.73268469455,502.493781056044,503.099757090417,527.196595828822,525.594901040716,548.292804986533,550.567888638631,552.218448195862,550.276845711332,553.38445878359,577.16981903076,573.821037171899,577.006463818132,576.910303615934,558.967907980003,555.090082779363,539.646844925332,534.438958160799,527.375577743225,545.578600012627,546.008241696039,534.438958160799,550.417760126492,570.780660435782,561.805126356106,550.53945009298,539.442185054744,538.494684252527,540.818230535892,547.765252981732,527.241571435782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.141007508426,505.593710403917,514.67438093977,520.095598717998,525.324566190932,519.85073639804,530.330085889911,538.341250961533,552.268050859363,552.268050859363,553.398590529466,570.621656864803,577.115573554991,577.149486563639,570.621656864803,575.543221661067,577.16981903076,563.80231798756,552.268050859363,534.438958160799,527.375577743225,525,534.957392927056,534.832169320003,540.832691319598,555.090082779363,575.488718677051,565.58841748441,553.370327037714,553.327822982195,566.223516474879,570.635610525666,561.637250266687,540.570126183856,520.21630116712,525.594901040716,524.56869577204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.236707240882,506.211418282915,520.21630116712,534.262373650359,532.333161121969,540.672847990628,536.714418697627,532.214781500739,537.555903075714,538.51648071345,561.805126356106,555.090082779363,569.880647894732,570.087712549569,585.755382439074,579.8635845832,588.430114796991,588.310133839477,579.803153832,575.543221661067,555.090082779363,549.942736320864,529.681379391247,525.594901040716,531.359480896832,548.292804986533,539.646844925332,570.087712549569,577.006463818132,566.789202437732,571.182982939793,596.091123476403,592.663479556485,575.13770457252,561.735423056577,575.543221661067,577.16981903076,576.336187878792,558.848270787058,534.438958160799,515.327425952579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.172067609712,520.363968398481,531.477860518062,533.962689286834,539.675828623073,540.832691319598,539.544906861516,539.675828623073,539.675828623073,554.934392209941,539.675828623073,536.991932511157,558.946764326879,559.016994374947,566.841482941146,564.025708633924,588.363580069391,577.16981903076,600.363672691391,594.137285068895,600,575,560.376208715762,550.179275522061,525.594901040716,527.375577743225,512.788470843726,506.211418282915,544.088850539767,566.980935542801,570.087712549569,572.275388026817,570.005249796773,585.742002578042,581.48516748065,572.482452681654,552.819188948538,576.356520345913,600.520607473216,588.310133839477,559.446200383461,539.427445470256,532.936478554715,495.965240155523,463.253208545969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.524195413169,561.735423056577,553.398590529466,539.645633383948,540.494803480607,547.121966300155,534.365666472697,548.570511806819,558.918821585058,546.847344357149,536.100993527589,514.567254830189,534.32149676954,546.008241696039,563.646627418138,554.743355111844,559.016994374947,558.918821585058,558.918821585058,583.630876496438,589.894304675008,600.520607473216,575.543221661067,564.025708633924,550,525.580028514698,525.505411650836,525.324566190932,518.307993517486,535.576688429213,559.016994374947,564.025708633924,564.025708633924,577.16981903076,575.406833933279,571.182982939793,581.169113982215,566.629748885926,577.16981903076,583.630876496438,565.842887125419,552.268050859363,520.21630116712,509.794245335394,485.282749019534,460.720140028853,460.26433227918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.87653427881,555.090082779363,561.559579186804,558.763131015636,564.025708633924,565.77318382589,570.621913076264,566.789202437732,557.00445218221,566.789202437732,539.675828623073,539.610367742294,529.643937797116,506.134015199278,529.547373083805,533.445812750818,539.544906861516,552.268050859363,562.768870522068,559.016994374947,561.805126356106,577.16981903076,600.949292704269,600.520607473216,600.520607473216,575.543221661067,561.801637777614,534.438958160799,534.438958160799,550.567888638631,525.339733594753,525.339733594753,555.068939126239,552.182911087942,564.025708633924,552.11155563028,555.090082779363,569.936162451678,571.155601180037,559.016994374947,559.016994374947,553.398590529466,567.604345786858,528.528478567236,519.866179095015,512.576499132706,480.876472995105,485.34764602174,485.34764602174,506.211418282915,485.41219597369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.213921987251,582.618452463265,592.397679634039,582.786355979746,583.468581739331,585.033366123351,561.805126356106,560.235748619625,561.805126356106,580.01777219273,570.621913076264,562.887660216542,558.967907980003,573.567621218905,552.268050859363,553.055521481807,550.567888638631,553.285187266292,555.047795473115,555.054807380363,577.16981903076,581.464986327607,600.870825313357,604.669331122391,604.669331122391,602.079728939615,600.416167838731,577.129154096517,559.016994374947,552.161452609079,550,552.268050859363,534.262373650359,539.646844925332,530.315346305424,530.330085889911,529.740502510427,540.832691319598,553.370327037714,534.387597257413,536.711648240038,546.008241696039,538.472887791604,534.438958160799,529.956538822718,509.809688032369,509.465474827542,492.442890089805,480.884601541784,496.23583103198,506.056132825842,512.95711321708,496.23583103198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
