"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.349599189297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.597124426385,160.831044920063,163.005243020408,167.292345723248,169.657941354682,170.562637717,172.342654086807,176.723261828276,175.551440038077,178.802952165435,176.723268124067,172.94683705731,170.292072081288,167.159077282258,164.214732228655,161.074854509037,158.004223268571,153.846064451791,152.237055385476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.354474466133,149.963154443359,154.186613327468,155.515609102108,158.762957504406,161.3949785203,162.009978883685,164.78180817799,166.130462304276,167.609378981739,170.058539384038,172.991672517895,173.190814049348,175.68348116104,173.566700580505,171.401419664433,167.725243736593,164.28865500346,162.424515396849,158.524709585402,156.52018804324,153.682193864641,153.01053213039,152.617960998646,153.74905343429,153.941759761723,151.172743922122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.040929765782,146.474818822654,149.203357129822,151.519812650203,153.921100365673,154.437715669033,155.438312763905,157.541137137823,159.41379122995,161.631126059103,164.327776535759,164.395753203443,166.7157037622,168.520272490895,172.533070338454,176.050501991495,172.011807757337,169.464287591601,165.522912065192,162.708302616562,159.837092308616,158.346959392031,156.903876664451,154.070618882235,152.335266258624,149.755508775449,152.695972855552,153.25680131852,155.07982254482,151.719635869107,152.551614601171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.413366314841,147.357578626534,148.184810233356,147.851923131831,149.100059293424,148.635469314026,149.879072954053,152.020599111057,153.777837602513,153.894343165509,158.502944370968,160.57972895971,160.926960848068,163.727000152692,165.775067069165,166.909285248619,167.699938575803,170.788315481605,173.572522956308,169.906025329485,170.097763693608,165.635757790067,162.452742492081,160.067407666706,158.015315098665,157.830750703924,155.13241666079,152.800629532438,151.16773145234,153.593129179738,155.668659521245,156.620100289691,155.073067830463,153.002908511445,150.430546617019,151.213829584495,149.854953879545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.079703470848,150.688986583172,150.154290303741,149.615904945304,150.613801287702,150.499134619171,149.131705944099,148.974467863667,149.253026642283,150.887552585846,151.500045491218,154.546571503952,156.184059552128,155.546657589118,159.33747013186,162.686839333736,165.410934509973,165.557740103371,168.467657021883,170.003576875805,170.687446076402,171.492851235122,170.417735886552,167.45800305945,164.551349644455,162.806747928096,157.978223828075,157.54174371434,153.377971759463,152.26993726944,151.43331513681,153.748640459633,156.082407304756,156.738734741688,155.133695982916,155.473344849041,153.148684230979,152.752792072839,150.237098318183,151.564628693161,150.251358741898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.673646141453,150.726967790628,151.083776303791,151.39285266707,151.829683989622,150.384799299461,152.41978875625,150.588018172815,150.208437559911,149.322937649741,149.981422461877,151.089996646395,152.318732440421,154.192262916291,155.545427867519,155.150586783629,157.056111122344,163.353873128572,165.597932849992,166.037790235507,166.893599550633,170.617882387934,172.62131169622,172.160982026703,171.696531560736,169.120958311326,165.609937831676,162.415947491751,157.632522969766,158.508074383709,157.533546869266,156.366267496511,154.530038894499,157.001810661594,158.077754825291,158.511909657491,158.294110848621,158.449409629191,157.211443718081,155.729985084204,154.357025836691,153.699086708722,149.518024571974,148.282233812001,146.077329728672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.029349345685,152.012311393498,152.470970301765,153.16692627209,152.887829139057,153.36909754602,152.174569525035,151.296590628774,150.207725068078,148.938337654241,150.160218975822,151.968833315204,151.462633816351,151.484716174599,148.968171716348,150.23929937802,154.012649416292,156.060177692056,160.592161500063,162.764121052914,164.782031051928,167.855944475749,171.021364059477,172.264518343173,173.271239849486,173.276658023682,170.02868474855,167.199788206015,164.498657671464,160.632570490809,160.57918822533,160.180314459799,159.86954746994,156.371770734903,159.438100087459,160.940584039292,162.078555484183,162.567445194596,163.748087910383,160.722780903417,159.601801077077,155.947709907323,154.966331093372,152.916662503335,151.251050277288,149.481141941547,147.391247275888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.717221107804,152.008771263772,151.766535003831,152.899018002473,154.360760566427,152.929062364577,151.333911641881,152.048083516546,150.401147393398,149.607569070524,149.952606924561,149.178914873075,149.44907631596,150.646046846297,149.809379364462,148.863814323176,148.888222722522,149.79375872998,150.864388712331,155.749622267954,160.106169222543,161.711662926597,165.53040786471,169.988995389265,171.996223261607,174.324640084937,174.880949877287,171.292256894678,168.388352779744,165.504573466675,162.720835596535,162.535154332285,162.085659506375,162.044096755023,161.665878762906,162.432327226247,163.713330124806,165.633544137053,167.55941828539,167.602481853733,164.828572165184,163.670970302389,162.265089604054,158.592817166457,156.703216926552,153.077181905959,150.948466447253,152.400720669914,146.829905219598,141.844273615006,136.459212133096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.293924225268,152.543792965034,153.61710497769,153.888186781579,153.347286322466,153.550866754612,152.578465698567,153.421033683005,151.981992075702,150.305475362166,149.905062873919,149.981007570863,148.652600299369,147.897690089606,147.670833717497,148.281916002827,148.947476466755,148.293608798989,150.698264877348,150.057294628798,155.118693460436,160.006567149713,161.931711796085,164.267036116619,169.124196843839,171.5628431179,171.751755400887,172.441643356104,171.128618479241,168.264264154486,164.547277299001,162.869855179808,161.107499495566,161.300744187064,161.500141877993,162.40376525216,163.906076124526,167.316771059297,166.757582566316,169.394148919579,166.974682415141,166.973075952445,164.574771778717,164.703784365781,162.786749459019,159.456243228023,155.668970887364,153.545892605923,151.594977311844,145.918767243082,140.957373803975,137.177420456665,134.893538402383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
