"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.450821900387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.436377971716,200.027850085783,200.202353523954,200.01069078234,199.778901106087,199.396528681975,199.487179863503,199.018661023381,199.167221903888,198.939706845133,199.981482581328,200.02010502652,199.862564893432,199.149477013766,198.459411892161,198.17098644004,198.901354777788,200.390549431464,201.042831955853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.80882783604,198.595636463445,199.876914427296,200.40986720555,201.838973005358,201.245065817507,201.173497215825,200.788868373209,201.047095608958,200.428898198997,199.724053426006,200.76488828383,200.597698738325,200.849037147859,200.900127478864,202.047640545665,201.11257970501,200.897900702099,200.902840175423,201.321464005386,200.726020893298,201.537506277262,202.150644287865,202.764056668756,202.350375075499,203.681755123405,204.208795237181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.102664399866,198.135765601972,199.433531692809,199.779996172404,201.42749966063,201.208032730479,201.178550734362,201.979773261657,201.624738168629,201.443903857068,201.176375921134,200.52137434649,201.913425996431,202.587513452509,201.736127439123,202.068738110181,202.234686978014,203.038628548226,203.179125257784,203.697281468547,203.495635276489,203.144678864001,202.499573283097,203.309763148145,203.651366302524,204.105132259383,203.701646604159,205.36674258092,206.71367696852,206.651023290304,206.331444265809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.308916732819,198.515380323155,199.645534927174,200.135654975171,200.306029638464,201.879509073569,203.466512221038,203.599593017289,203.610330558949,202.918801556588,204.274747415441,204.225791335056,204.209958982035,203.653455970148,203.589740811847,205.047801258831,205.954941409097,206.310260602134,206.451224038537,205.370065492391,206.619684468264,206.289257746087,205.885242233375,206.69812516341,206.129133875074,204.076040458452,205.623085226621,205.921110794031,205.350295521838,205.340418317937,206.061269356297,208.224900014186,208.33797834689,208.259605395186,207.984896811016,206.660146886701,206.137463892161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.125703979407,199.033566707871,199.384485205796,199.467391043907,201.18830619482,202.577130882313,203.391471032812,205.38462762264,206.098986130142,207.247148577795,207.553765312231,207.307863414833,207.037959698102,205.381840581821,205.843885534342,205.812939692003,206.129820492354,206.495153661555,207.136971129541,207.816170463417,207.868742625984,207.78987892083,208.373481408737,209.157052675107,210.225493564288,210.133511120707,210.44095295375,208.817222567207,207.608122565735,208.003358581451,206.990248338622,208.144595320211,206.787687378495,207.626445730935,208.197815610225,208.842649213308,209.100010577411,208.860384753737,207.870663210392,207.302557355907,206.63826188452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.547521563766,198.255119309778,199.362778882352,199.854622361909,200.687035377362,202.472173464065,203.601689604146,205.22497896285,205.363990829464,207.129353671552,207.25517548707,208.315882145493,208.266710028342,208.613631177494,208.453372401642,209.418059796975,208.493912723178,208.132249797473,208.266390979268,209.737976719272,209.251737709171,209.654735933199,209.718143825477,209.148217148285,209.516631762599,211.409358455597,212.779700492837,212.754385145377,212.474787654552,211.416912081383,210.480213751481,210.744031820173,210.109737596252,210.082055045292,208.817478187431,209.704222971917,209.493372229456,209.423728077768,209.602143709724,208.953745301881,207.683402912356,208.267733802299,207.517001584864,206.079254932836,206.368210624459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.973226138852,199.326004013837,201.134627677097,201.169241426353,200.775911362841,202.528540653072,204.008959556563,205.236681369533,207.546941252119,208.215890041218,209.194856508822,210.177067053921,210.643304807716,210.854021847136,210.247823406019,210.440570208887,211.662849904944,211.436104936873,212.011708751995,212.121711884541,212.04788176301,211.335141605597,211.715149063533,212.252249324937,212.274468712064,212.035480094269,212.255727955543,212.798511111273,214.006068942735,213.411601634868,213.331098204172,212.734265947984,212.036138542439,211.141244775665,212.24656656262,211.701035192368,212.096135087557,211.261184879127,210.776426812858,209.949323874779,209.449705193768,207.856027709262,207.706771867899,206.177959256377,205.952466144661,206.279767942627,205.469510188609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.862103210691,198.897952194137,199.571261258711,200.905575428581,202.286448920873,202.976902379529,203.30325271986,205.282912500436,205.719151521861,207.239244586014,209.537222354441,210.375804421005,210.920820579385,211.538113760461,211.198761225137,212.106400184765,211.7361158538,212.273856332677,212.719732506698,213.141367478914,214.220265233526,214.120034962885,214.230381223915,213.657319973562,213.220851289958,213.959318392875,214.011388634477,214.842245993506,214.137315517395,212.622348497809,214.08425863808,214.213235575396,213.242408622671,213.888708249464,212.817449232169,213.176251908141,214.79147725254,213.777536461746,212.565298988711,211.197480066782,211.254930190076,210.91251175676,209.679823029861,207.761012904905,206.383417515388,206.129753662246,206.500351645035,207.674932129648,207.546437308163,206.914119139129,205.735856309425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.050191793816,197.368678556262,197.726626686787,200.622755360969,202.358693263765,203.622295027772,204.176127899403,204.415154193105,206.029135507949,207.454222025037,208.315813846204,210.185468154432,211.636856855346,212.497059268752,213.131418780825,213.486919950784,212.581524020972,211.751076409164,212.423165108993,213.278819411739,212.94007780621,213.572434761928,213.792179240915,213.922377096006,213.502606864427,212.76440872578,213.679184769292,213.767531380258,213.51886206236,212.611916247575,213.683921189723,213.277916466454,213.497158574383,213.594198052671,213.819409331433,213.212578620659,214.110762132196,214.470742184271,214.345954765111,213.131418723683,212.24185254702,212.623392849952,211.582139956164,210.254847072101,209.19637493532,209.66694462538,207.084259289188,208.434867310474,208.382611122619,208.966513352922,208.784184857043,209.056099461902,208.276531146024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
