"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.374483499538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.382975803721,711.462952269335,721.413083348381,738.653755581632,715.891053163818,715.759614839162,721.500122432123,711.512473537885,734.918013407641,726.549265431356,743.303437365925,751.8610225631,752.080447824566,771.767452021657,766.729388353358,760.13869457571,750.416550990182,760.345316287277,747.744643188413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.017482303755,726.722092687432,730.121965663765,745.821694508815,743.287658198636,719.721963360656,731.821309287979,739.414176404793,715.891053163818,710.556396795761,719.809002444398,715.880133528067,730.100515715575,758.779081833808,758.825838035969,760.314466443457,757.419816467463,761.577310586391,750.586897448626,749.166203188585,740.312387007709,760.319493757939,752.889806907323,743.271879031347,728.010988928052,726.722092687432,728.522699241865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.215453213673,740.925897472426,749.989577539857,735.272058492637,742.656491507069,753.699165990079,755.675966094015,747.910847254407,733.504083889341,740.312387007709,721.236424955692,728.84215067856,726.592627482323,728.642487245381,729.474026311524,752.080447824566,760.314466443457,766.893082508898,761.977277153408,760.13869457571,761.577310586391,749.166203188585,760.345316287277,753.740671584067,750.416550990182,738.590150468293,724.87022506111,727.978766522036,728.868986855663,725.430906427345,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726.049587068454,726.592627482323,719.711053712384,728.868986855663,749.76930737972,752.028436628952,751.633612220434,750.416550990182,751.664818918645,752.038850403707,753.688775267431,750,738.664335134708,726.68981303093,739.451268738001,735.696948478108,740.354644748042,761.115046947783,760.939275080036,771.726917972052,766.852290277443,766.893082508898,760.345316287277,761.577310586391,771.747184996854,757.874310027763,760.345316287277,756.512985556017,757.31616636814,750.207164814997,725.420133766662,735.696948478108,765.261393250698,774.797327062723,775.14957777072,775.987568114658,776.58102566578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753.65756856922,742.462120245875,741.711801054613,728.868986855663,728.815314501457,726.57063335893,740.301807454633,750.416550990182,752.038850403707,756.471365083051,750.416550990182,760.112700503956,749.775747741863,745.758738080243,730.329084240948,735.696948478108,749.019634043018,731.864058415222,740.328226101338,764.852927038918,765.235836786611,776.188594466765,782.58382151157,761.94647729593,761.977277153408,756.564881872653,764.980419458848,752.080447824566,755.738316311868,763.399702167424,765.123193490496,775.125827984077,778.550201096256,784.966100024452,785.015923405379,771.604800552383,776.611228350453,794.849824804822,795.56347043948,801.384763394306,778.163693649057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.398417912518,763.180981625732,756.637297521078,756.637297521078,756.637297521078,743.287658198636,745.515353607443,752.837795711709,764.781292180605,755.707172792226,755.15277672836,758.021388421966,750.416550990182,760.345316287277,760.345316287277,753.740671584067,749.124396830088,752.070057101918,753.740671584067,738.24115301167,745.790216294529,760.345316287277,764.852927038918,770.146090037468,776.208734813001,756.637297521078,761.915627452109,770.146090037468,761.577310586391,750.406137215427,752.080447824566,771.989277235647,787.503070863469,775.403120963541,806.384507591891,800.312289836006,797.19222328381,794.313780928739,782.58382151157,790.430577751177,803.361555816354,818.599687886007,831.038506929733,828.369037264358,831.038506929733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751.644008682162,764.852927038918,784.805806029006,776.449599892629,765.138491326613,760.345316287277,758.4449566696,760.345316287277,768.433025619974,778.570341450637,778.620575119872,776.611228350453,776.611228350453,771.726917972052,775.403120963541,774.919186300541,775.403120963541,775.403120963541,764.852927038918,759.111322534449,764.817109609761,763.358756961768,765.138491326613,765.210236389747,776.057168693613,770.146090037468,776.58102566578,774.009733914044,771.041726255537,775.296745482858,778.194493506535,775.449906585506,803.803294244897,806.079893701086,816.964171050229,801.56097709407,801.56097709407,805.59054191459,802.510118585423,813.680202409846,806.225774829855,813.964319738783,830.972596163716,838.422753358709,849.898655394611,841.834483010452,849.054000145858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776.198664639883,770.146090037468,785.18401037467,790.430577751177,784.956120123368,770.146090037468,764.852927038918,764.852927038918,764.781292180605,794.983269801529,785.015923405379,806.225774829855,794.502593593783,778.620575119872,790.420623199137,794.000242871059,777.787303531334,775.403120963541,775.403120963541,784.732036065565,784.775603344333,779.987722696074,787.369253106351,793.801658005704,795.56347043948,785.015923405379,789.263546970633,778.408712992812,776.208734813001,783.022988168291,782.443275345892,800.13463224295,784.417578499428,813.767519549322,815.859745053747,803.459260076776,809.639084098666,819.849974077317,805.062109405231,803.429998891402,806.980886122011,830.69727266183,827.198754591661,827.730089920444,816.183876964207,828.098059028462,835.237346335753,857.086660785071,855.862138431184,851.441774528531,853.155169436055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776.606197181235,776.611228350453,783.759985831134,778.620575119872,770.146090037468,782.204009189291,777.757100846661,770.146090037468,772.708892613929,776.178516442676,801.792789121826,806.001653857986,809.706737035082,806.157828809094,804.82784474865,818.869068554609,813.680202409846,801.56097709407,784.617741323761,800.390529679106,797.475721886313,792.299841956871,801.492634302556,804.974581097452,797.260935955099,806.138288447663,789.273501522673,785.015923405379,784.617741323761,776.611228350453,778.5602791122,775.398081951497,794.413853751999,799.575461242653,808.879349317967,825.889943099658,813.124704329901,803.50793399941,806.225774829855,803.459260076776,795.087237447276,809.663225007517,813.460659658516,813.941029804985,833.904090073708,834.028488521282,834.331527001827,849.467613979929,855.122428895696,854.372925375804,853.302408293801,873.212459828649,870.649768790835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
