"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.0702389703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.647321898295,660.018939122204,657.647321898295,660.018939122204,660.255589901675,653.116428467692,648.7969189205,649.759170425121,660.018939122204,673.145600891813,664.971430282019,673.145600891813,693.942624078086,696.419413859206,704.006392016436,704.006392016436,704.450140180269,695.969241760779,689.653329453423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.220237420334,679.153885360306,666.379775495517,661.910114743686,668.008977453271,651.920240520265,657.165777768662,664.971430282019,677.756402044811,660.018939122204,656.220237420334,654.0702389703,662.142725950763,673.145600891813,680.073525436772,705.778460683408,700.212902937821,696.419413859206,702.226339161266,713.482092915106,720.676243463745,707.981306859077,696.867848954137,702.894917198673,691.465834296967,698.881285177581,678.001601947175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.165777768662,659.778718320991,665.676347784717,678.001601947175,673.145600891813,657.647321898295,670.820393249937,674.0720033295,660.018939122204,673.145600891813,672.913401622749,668.248370517327,658.83313051025,655.009469561102,674.304202598564,683.275018162036,702.448213243182,704.228266098352,711.512473537885,719.809002444398,715.891053163818,725.215453213673,715.891053163818,705.778460683408,709.531622795855,705.556586601492,698.43285008265,692.368532745034,684.421857042554,676.156061419679,702.894917198673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.255589901675,671.750797801811,676.849318534044,666.379775495517,676.849318534044,700.446286306095,693.268886509929,698.658142024534,692.368532745034,672.216322240453,682.825014187383,682.825014187383,679.153885360306,672.681202353686,679.153885360306,681.220364317291,704.450140180269,704.228266098352,697.316284049068,715.454267733786,725.861046343716,709.7512932316,728.868986855663,717.850027804108,711.073132666395,711.07299685774,709.089956926471,704.450140180269,716.109246129269,707.548584904245,725,730.366522635442,753.52692425563,762.599121663098,758.491306904178,751.664818918645,742.462120245875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.266426917727,657.647321898295,672.216322240453,679.153885360306,678.001601947175,681.220364317291,682.825014187383,704.006392016436,701.78344238091,710.853326421995,700.446286306095,680.760544279058,682.825014187383,696.419413859206,678.461421985408,675.462804305315,673.145600891813,694.62219947249,695.520806665848,693.271231193102,711.940583044566,715.891053163818,721.543484483091,717.816760088797,727.795539771547,711.073132666395,715.454267733786,725.430906427345,715.891053163818,704.006392016436,704.450140180269,723.271742241545,740.351636628772,758.078069589413,767.703741644083,781.024967590665,771.752155429676,761.577310586391,728.439987891857,728.868986855663,743.303437365925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661.910114743686,690.774224805096,686.476510887299,679.613705398539,679.608260865927,705.556586601492,704.228266098352,728.868986855663,726.076499557389,720.879172761033,718.063868698276,694.62219947249,693.271231193102,682.596108692596,679.143909246349,687.84082460988,679.153885360306,678.001601947175,675.462804305315,673.145600891813,682.815198123803,686.476510887299,691.463471199894,711.29280310214,711.940583044566,721.543484483091,733.56805845393,718.500654128308,719.809002444398,728.868986855663,715.891053163818,715.891053163818,701.78344238091,711.07299685774,733.56805845393,759.728319410863,770.146090037468,773.988093417329,780.022777762131,773.585286492599,760.345316287277,742.462120245875,749.583101594292,760.345316287277,748.119122749498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.462804305315,691.465834296967,704.893051345546,701.78344238091,696.858758749599,711.073132666395,711.073132666395,735.696948478108,776.007174656997,762.978456464508,727.795539771547,707.327683045396,702.894917198673,693.461398596697,700.446286306095,700.446286306095,691.465834296967,700.446286306095,681.449269812078,679.613705398539,687.15866774859,701.114864343502,686.476510887299,695.745676291049,707.106781186548,740.354644748042,726.722092687432,736.969050744889,746.234820277255,743.303437365925,723.487195455218,706.66414778945,725.861046343716,704.006392016436,728.868986855663,743.056749734145,758.078069589413,765.86170031193,773.585286492599,776.007174656997,773.787690768783,762.599121663098,771.159175305747,753.113686940865,757.874310027763,768.716826912362,766.681483080578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661.201177712416,672.913401622749,673.145600891813,673.145600891813,700.661338032752,707.106781186548,725,741.197874365417,743.088169628429,745.821694508815,760.345316287277,736.969050744889,756.637297521078,737.583747890574,728.868986855663,704.006392016436,707.319956097015,704.006392016436,710.853326421995,701.78344238091,702.894917198673,702.894917198673,702.226339161266,709.531622795855,709.311816551455,727.795539771547,727.366540807742,735.696948478108,736.756605752154,744.56256593737,736.968196813672,741.197874365417,746.859994178054,750.415511053615,736.968196813672,728.868986855663,753.740671584067,756.637297521078,756.637297521078,756.224060206313,761.781096205482,768.514422636177,771.159175305747,777.011848041707,763.420229872663,756.637297521078,761.166424496843,775.201560481771,781.824379857796,770.146090037468,777.615901735163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.964526932945,673.145600891813,680.073525436772,679.613705398539,700.661338032752,709.531622795855,707.327683045396,716.109246129269,725,725,739.509489941375,733.555069933666,740.354644748042,735.272058492637,731.20952058277,720.660979795582,711.073132666395,707.106781186548,725.215453213673,725.215453213673,705.998252470876,721.543484483091,727.795539771547,725,707.106781186548,707.106781186548,726.722092687432,730.366522635442,741.197874365417,742.462120245875,730.997075590034,735.272058492637,752.080447824566,752.080447824566,767.703741644083,777.615901735163,761.164099329068,757.874310027763,766.672381304024,752.078611287124,751.248499407374,759.107304053734,765.261393250698,767.499508538193,789.382670192347,776.409981581727,765.261393250698,778.620575119872,776.208734813001,783.820364746026,792.344211877762,790.569415042095,775.805927888271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
