"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.79957618982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.329914939473,210.904817576281,210.122112124147,213.326094533298,210.586753660459,209.97218734602,209.821828500803,207.69489224559,210.235868628429,209.203895349977,210.261680041397,210.379710047953,212.976959408168,210.876565750162,211.497012516491,216.355755474496,215.800248943727,213.751756646859,212.361052013793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.593003335687,212.176114208144,213.93359399083,211.904871255468,213.130352341824,210.287216779921,211.233426048577,211.674626303954,210.573661187949,212.253399672348,211.838829493716,210.786665286854,212.260236859206,213.805993857166,215.353568863604,215.931074497836,215.129386026899,214.285960362659,216.96697829077,218.479306566125,216.321420594761,215.640663047972,213.894151603384,212.471648643674,212.324976138139,211.914696926083,209.816920073978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.554645467634,211.983612543787,214.693734596762,213.016059492305,212.683907369964,215.134563531626,212.708475574072,210.445694824797,211.785432485516,213.834172894446,212.525313514149,212.347214300327,211.805345065746,213.715165295691,215.782243791007,217.858202024168,219.556663818296,219.828363048536,219.943158514878,222.098928644397,220.36713783135,221.675977004895,219.396482926953,218.194916074352,214.790294916887,212.389753341509,209.183444677103,210.027927998276,209.267495475681,211.245290111072,213.153167894892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.080543900679,210.574681467157,208.726766835269,208.952490701978,211.778542674827,216.088489447184,217.7369047894,216.443563714864,217.549106760444,216.044629797985,215.306048134825,215.682967370099,215.509745018876,214.624105799783,213.628712196668,214.350352590794,214.975944364367,218.215168684725,221.81513356622,222.808216227724,225.417679235815,224.995741548067,226.267181281104,224.282778619424,221.030153111439,219.008433089291,215.910658270426,212.824983533851,212.123770108362,214.424171300443,214.53825066683,211.968099299733,212.124566948017,214.304450734076,212.901334593978,212.890499495926,213.546186722601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.10818590383,210.760362767297,211.983871860747,212.015009711166,212.336919964513,212.408213471901,214.155980038706,214.967217242693,219.355920568546,220.598227366682,217.949751388259,217.479175546512,215.970430525231,218.143718604931,217.066596673366,216.413556182728,216.542210527326,217.330839428762,218.361099334606,221.088324168686,223.420160847218,226.133970269912,228.983423676404,229.231581125614,227.076480267965,224.452636055201,221.725100466629,219.023526606131,216.633489248265,215.459669585429,215.624527505521,215.610173336194,217.349418133861,218.882373386513,216.30241690636,216.278403484767,213.707354542257,214.479091083533,214.476768124741,211.62440251074,209.761067375372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.686898825689,210.287989474725,211.308363751684,212.126579484842,212.462923929267,213.218617709125,213.046872287873,214.750251153346,215.860565887292,217.386708454035,217.413845994151,219.420704398378,217.273145423977,218.081609010995,220.028840945548,218.187594690822,217.774992929485,218.66429002223,219.173593920152,219.262459216661,220.713242312216,223.070680114769,225.421263684698,227.80576438952,229.182293035532,228.204238002611,227.394262299758,224.832284128131,223.69373587299,219.162768410472,218.568289042144,218.489432373351,218.249871302529,220.765623003651,221.581407613607,221.651733027345,219.208648019247,217.993897336506,215.04821991722,216.640275671592,214.152125894884,212.850789780625,214.084981703085,211.480912477454,213.890254666605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.080690241354,210.294816291909,210.861116084394,212.111444119141,212.290190754541,214.514224076437,217.336062839777,216.428181873784,216.697622520833,216.727373275901,217.026543218387,221.164721066858,220.605250656799,218.57651838567,219.166053976963,217.766016514644,218.453801570271,218.8721653158,218.884155766607,219.545048354163,220.216788734994,222.462541086482,221.563497524524,224.434352728901,225.269921821178,227.915081349246,226.756090386535,226.448896652194,224.392031959836,223.608803035288,223.437582920752,221.327580648545,222.190249896782,219.806561574372,221.527050712003,219.963651735608,220.905477051219,218.302717207581,220.181454693411,215.960289724101,215.444534539021,215.16840402709,216.577521844445,215.651982894353,212.753288184725,214.498427832158,215.022651641885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.887239898271,210.28220382497,209.807490721512,209.983347383481,211.812573146196,213.476516534448,214.475790207927,215.530092282823,217.448614340976,218.333802310567,218.12311193756,218.840052718801,220.795441162728,220.961291308905,222.29528146627,222.514146992321,221.070305859505,218.485889052317,221.43454023568,219.997934660452,222.184195627038,219.161621774491,220.791381928739,219.992789724807,221.391139566654,225.087430613346,225.54313208075,226.47671678215,226.182735091146,226.631119710685,225.506066208637,227.24990580926,226.416597884861,225.240777016615,224.285537282408,222.701396483051,223.708944818199,220.444074299067,220.914603159226,218.852995360115,218.673823236515,218.850460996022,220.764322228834,218.920395856485,217.835560787488,216.937039588358,217.12715951939,215.915066545669,216.481598688294,217.128531790071,214.806261855209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.278942996771,211.752618382782,210.89543342502,210.498734169532,210.467890250946,211.526254901976,213.143696397022,215.932870818921,215.195295632668,216.994986457452,217.616720626099,218.792961380114,220.327307536633,220.889920748433,220.894761057857,222.635015675036,223.050488784546,223.061028479027,222.687776161146,223.279267706304,222.143595092494,222.07324865825,222.116655248207,221.949533080152,223.972489108156,221.860389720746,225.218024786862,224.397069223223,225.975785218891,226.045677394798,226.510671179188,225.652436514122,227.191984206243,226.719843687754,225.828337824234,225.708429368188,225.163340909485,223.256501979202,220.393899832277,219.420540847242,218.535653274706,218.143964925047,218.75264130282,219.915188363295,220.473358617823,220.468379779498,219.872778724187,220.093553374675,219.642040671631,217.644760692767,218.769741721034,216.387077098543,217.677639820989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
