"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.802149984855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.479188490896,154.795786532821,155.862127094438,156.373365414856,161.105838030241,163.6012991712,165.033231398493,167.188925346927,169.034883268205,173.452952770976,175.071683596622,175.675516959327,179.089086936936,181.177595105237,178.986649331086,179.58099175784,175.131526903915,172.915592133164,170.883115136537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.397931362484,154.134400501207,153.576980401063,152.899498350576,154.129969831073,156.939294716504,158.325057416262,158.870216094751,163.440517364012,167.127844103065,168.321869035129,168.609951568926,168.938671353756,171.628903077644,171.114858353488,175.655168003855,178.043656502132,182.073944906872,182.258070816334,180.495703175881,178.450812663754,177.900562609873,175.584983222891,172.782790737238,170.916352243271,166.224715610791,165.382720556263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.70438148153,152.500706650257,154.082767688344,154.227589702121,154.089454273225,155.627044373917,156.537002337046,158.379533676992,158.445105105123,160.913987452905,162.998137624217,166.780621825306,168.414365316144,168.917308528729,171.917538048845,173.590850636805,173.687316087456,174.927600228499,180.039163859684,180.684751651267,181.798562734322,182.628719069515,181.203664647701,180.088694857052,178.25974137978,174.989594456657,175.069080888332,170.541117416177,169.049799982148,164.819505221913,161.335129368881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.077469733024,150.767430583428,151.893588218034,152.303534800482,153.59222623524,154.195630712789,155.794253396827,156.702168907809,156.290430730859,157.149436659629,158.468391175879,158.581391274179,161.575199718508,164.777954732689,167.148494860856,167.890525567996,170.002536511138,171.96280346955,172.448873072259,174.091507562464,175.626994656203,179.83337635776,180.905371940626,181.344854123666,182.373773304323,181.319525607145,182.748496077059,179.69047263088,177.587849210621,173.364609878956,171.701477316299,170.514245403175,169.216575015828,166.973619412693,165.826480662737,163.52327654792,161.985683254274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.997666011515,150.025257512039,150.861196807608,150.603642149953,153.522119099184,154.103036170316,155.359882220928,157.232835965378,156.341769444155,156.465452524623,156.091454094345,157.591904925003,160.542062583904,161.821194322484,163.820457177974,166.887786376798,168.494699842438,171.272656208018,171.848158499424,171.276582544302,173.903565178915,175.336095950509,175.557934844705,178.073165278495,180.796945464897,180.403551387577,181.243252407273,181.972977454051,180.567570562195,178.640501799227,175.493152884349,174.118188911195,171.653937822981,168.99116192426,167.676777554451,169.001889443249,168.773507612002,169.003702874005,167.474484744092,166.636714326374,163.69353972445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.86958820316,154.414839154281,153.323666845862,152.72699167091,152.177517934819,152.767876298019,153.861942127054,154.52236703649,157.411653313155,160.640141409413,160.597135980342,159.894122633349,159.598792181618,160.770542681283,163.420681994959,165.401278739885,165.390959949134,166.632778932493,169.873299771181,171.315436187423,173.585215991576,173.046563751623,174.699896250226,174.835895895084,175.571143839694,178.620722528109,179.096612911942,180.088062625213,180.520866193275,181.563175004483,179.270352240489,177.23757387521,173.588750831718,172.699649507691,173.083476561228,170.922232540158,170.82725446462,171.886113316442,168.701298136672,170.465065271615,169.618971268866,169.107198378541,163.949772415955,165.045223616836,164.298924884631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.720693720595,154.253000652299,156.140246476748,156.66691452407,155.887078837824,156.293485768236,155.174991574872,153.488983055016,153.462098891157,158.180157952864,161.887229932057,161.687241203675,161.405899974799,161.637101929709,162.374292615611,164.518829426909,165.847054853886,167.753491087036,167.387579804519,169.942765376375,172.875509044678,173.423586625711,175.431282940407,176.472244284313,176.186505063866,177.622652521687,180.886123610017,179.060373258786,181.086837463994,178.436974084761,178.266947945568,177.08793940342,174.957934671608,175.001405591197,173.400855414561,173.13373699243,173.491741877399,173.667683412236,172.494153711767,170.459654497084,171.50914446409,169.867250896359,168.073629427767,167.760808000602,165.462886951445,166.624999984165,166.217178384224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.856434826721,153.514858122442,153.098480073705,155.132480071649,157.576973271353,157.616537439854,157.957467668199,157.743929830284,153.599825397563,152.736390130634,155.306009478865,160.172863830245,162.387398081356,162.005944850447,160.932024397334,162.941538968881,160.472563262443,163.358066544354,164.685420883712,164.657176830523,164.152018173282,168.252907573287,173.059455732397,172.936008265686,177.240270780138,176.991932307296,178.746409217963,178.635146628958,178.65208590979,180.508235765367,181.698667973727,177.531114682557,178.112910731949,177.014917071367,175.259371970308,175.803908911547,174.727827742265,173.231794761133,175.321931256705,173.704474755174,173.845088113387,172.887893706681,171.807832087646,170.118179549603,168.071474352834,168.038076479434,167.229607021086,167.231866496538,165.762905147564,165.883434142253,166.40302656277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.366351792783,153.209258426524,154.574472204221,155.461055777035,157.118508526045,156.545367696697,157.538486928516,159.412951619947,159.397722025869,156.366830941589,156.796313255425,158.983904378339,160.575598416604,161.138992447652,160.753920794806,161.977884669413,161.850262541482,161.805004011422,162.667733197733,163.632552123675,165.133002238305,165.785955142049,170.519466296032,173.173538683318,175.977967487932,178.04035909279,180.253539008829,180.746838050905,180.943153590981,180.846241533163,181.012474725627,180.262070140786,179.125413327865,176.584132493101,176.534467191117,174.727772259748,174.601139520204,174.185076592875,176.265371788049,176.845820031961,175.952691963294,174.935876823424,174.607696131379,173.178911985911,172.195579373284,170.911676189421,168.092214367901,167.227148248383,166.899017804959,166.432409539534,168.729689297024,167.384378511376,166.384184231481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
