"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.055289341113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.731801811754,682.367203197809,695.795249329801,691.465834296967,679.9776922645,642.748006609122,637.463010241591,646.464653221947,673.145600891813,700.72294098689,729.022581309938,696.519797938219,704.736163004857,726.118347477132,715.787587608881,785.015923405379,785.015923405379,780.057832828187,803.700546920767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.077123503905,677.439242728346,706.647957959398,676.849318534044,651.920240520265,704.006392016436,693.271231193102,697.016347652867,700.559671848171,726.775765041637,728.579378662983,687.84082460988,695.128047356047,707.853258796179,676.348347592483,704.264071435178,693.271231193102,736.143909281258,764.985256113882,789.382670192347,806.225774829855,792.4664572019,801.880074510346,831.080725135786,835.53874835342,828.402076289045,818.147418036707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.012495003996,645.174395028197,695.071938722892,686.476510887299,707.548584904245,696.419413859206,682.806369287604,702.255380816277,711.612779010635,704.006392016436,679.506819006126,702.690247194911,721.591364834179,686.664024982275,743.815458512341,735.272058492637,705.923029746236,693.680470324773,711.512473537885,752.080447824566,770.279437546266,824.640064519468,821.23113221672,809.81259435433,811.249036979398,809.9298721312,828.467987055062,803.50793399941,798.846806236593,790.658154883878,784.775781256653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.40285056287,625.112097890018,637.377439199098,616.371679874264,630.971473206198,675.646859552367,676.275987020815,700,716.32743909472,738.24115301167,728.868986855663,704.006392016436,680.800710752026,677.12410618594,704.100218035454,707.548584904245,676.862198756557,704.306449477832,697.809243778603,700.307740164787,680.482172647333,725.54119218106,770.146090037468,794.658845925114,803.551592569148,801.56097709407,794.54678543918,797.750510937613,796.679807208587,783.145895671789,778.620575119872,776.022275999334,783.061270375567,776.611228350453,759.37929305356,750,733.079322316703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.145600891813,637.741009232127,631.020922502508,656.951618215289,666.951489723153,636.116691431228,669.266335751314,675.571510594921,686.476510887299,682.367203197809,690.318813941229,701.526542785347,698.801961894467,675.669586059523,677.12410618594,676.929923706612,687.151650437994,707.368083783316,707.106781186548,692.031894632705,704.842606435717,697.493736417678,710.77546881539,743.886358025251,785.015923405379,766.720101944768,781.154212320815,789.592205888269,782.623792124926,776.611228350453,781.424980404389,778.620575119872,753.740671584067,753.740671584067,756.637297521078,760.468218211363,759.435702504678,765.261393250698,768.062441183863,775.403120963541,786.474376916472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.012062166398,682.825014187383,650.262306017029,661.910114743686,621.396875463221,651.920240520265,658.886009562557,633.255068807848,673.145600891813,670.23539471526,662.442572276156,675.99075850842,676.849318534044,651.920240520265,700.446286306095,700.446286306095,676.173392847538,673.145600891813,666.588191638877,716.74847187154,704.028558499664,701.367473796212,715.891053163818,740.354644748042,764.9190915764,783.022988168291,760.811659917151,757.336808616145,759.142172378269,760.345316287277,745.821694508815,750.416550990182,738.811237832901,753.838629571596,754.801624129151,745.956889546468,738.811237832901,765.197118240942,775.543667129219,752.130799793508,790.293054505597,790.569415042095,816.241385865725,807.000619578449,718.63043725603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,660.018939122204,664.430359791087,670.820393249937,667.083203206317,637.450813812703,627.727395879751,645.343041165499,640.939280394083,644.423308479516,645.174395028197,660.018939122204,660.018939122204,679.153885360306,629.794274360889,629.918698065441,652.231853995437,673.191960869518,650.89565685397,650.480591562884,727.795539771547,701.811229251354,720.029282795303,726.079907608239,744.093491893168,785.015923405379,781.469867191902,776.611228350453,798.827265433523,802.619001499143,764.622270159411,726.722092687432,735.696948478108,740.304341281648,750.208275495091,750,755.505043204943,736.054524766156,761.186952202082,756.637297521078,771.767452021657,778.620575119872,803.50793399941,828.402076289045,736.12472524114,710.633520177595,731.864058415222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.402739368204,648.834392362346,626.747507253153,625.037455107677,636.396103067893,604.673491212735,609.544372172471,621.087439483243,610.429506574885,609.100719163956,617.454451761423,627.308353078236,630.971473206198,626.996810199223,608.276253029822,639.06728001509,635.971745657575,657.414891285237,651.977133694567,667.083203206317,652.045113948058,651.920240520265,725.553920828162,745.888551424458,723.87755578952,711.608720574899,759.111322534449,756.729997990233,783.061270375567,783.429804505223,769.811466864109,750.499654005029,725.399597156258,726.861114561918,712.860524334424,729.262440973558,731.864058415222,731.922397534056,743.240744765546,735.272058492637,735.950067128876,762.864805731031,785.015923405379,781.7204445169,806.225774829855,831.038506929733,803.42460484643,745.821694508815,735.813390884856,760.345316287277,756.992030344632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602.646828343418,633.679277080912,640.800280898815,617.641965264827,608.789783094296,586.426987450814,585.234995535981,608.289091281434,605.263180125118,596.575217990311,604.72083677204,605.445867992241,604.72083677204,601.040764008565,626.498204307083,629.941287988119,632.47638680616,618.629197746583,645.199404434334,673.145600891813,661.910114743686,667.083203206317,691.465834296967,730.48218609503,740.854411536523,735.696948478108,732.038528866392,740.647789824956,789.382670192347,782.673640854897,751.774724655301,731.786090918481,751.040684954414,705.950336259595,720.190730196774,720.110378843669,726.834278384815,735.696948478108,726.722092687432,728.981562060332,721.110255092798,716.439187972451,738.24115301167,735.898889937503,790.569415042095,809.726015784386,832.165848854662,853.302408293801,755.928955021038,745.926152146094,781.424980404389,798.01476131907,818.91696770796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
