"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.100832583574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.936750696832,198.13156635592,199.530017016986,200.289409795198,199.647000618882,200.436386241112,199.833058616964,199.650257331505,198.504602077144,198.358449750368,198.807648225475,196.573163409537,196.666868581585,196.263472839892,195.77800582358,196.656802676037,196.698688932543,195.923671988865,196.137694207221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.627438114029,200.1689422462,200.920566930466,200.026588923175,199.414303836193,200.226824256571,200.893307301843,201.547386521415,201.470690002095,201.657773583479,201.975448392136,202.337308936225,201.21817830886,201.399485956838,200.800865869486,200.216512471311,201.071043420977,200.617735261632,200.460984877491,200.18676314289,199.898124182845,199.572118577518,200.229140312209,200.110437971271,199.810751665506,198.474981218073,197.360293214606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.152565229068,202.474211756121,202.298556619655,202.705992780561,203.430321235466,202.685273645998,203.116462635993,203.995608684341,204.817213275715,204.84942814524,205.222869510248,204.106459213532,204.970189743526,205.331057154752,204.710221803188,205.018831860549,204.63902595555,204.23636725708,205.024116684114,204.874767386705,205.639137419327,205.156571979783,204.88727969732,204.775889176979,205.629691631664,204.833464104479,203.967595730704,202.749440377163,202.298549333921,202.033270712585,202.494910781522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.589367344474,204.76388227858,204.457296782761,205.446027181556,205.007346199807,205.043756133987,205.361439262652,205.873420304421,206.855169173373,206.981309990903,207.125429879436,207.308267307317,208.836276458239,208.67438122633,208.323391704856,209.620410171995,209.972564026107,210.266139784852,209.273620731718,208.935685119729,208.757347785532,209.346658311511,208.920791954417,209.213852510451,209.712418169431,209.888848812388,210.519351653704,210.418310390054,209.727644678215,208.664800072349,208.299368739248,207.246323009027,206.636023063507,206.572923626642,206.727513247466,207.781005613345,207.783638886202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.640376546892,205.805370956031,205.850786092887,206.335438232444,206.195919549842,207.753899808523,207.292117421158,208.609584599311,208.726975026149,209.447141212975,211.160148590839,211.110507886614,211.311694615835,211.835858182853,213.145399004917,212.936664438929,213.77311758096,214.385790215787,214.355121140513,213.763976588292,212.171490827353,213.01452492685,213.247057088637,213.648126241762,213.142939488665,213.561597961495,214.733346149681,214.820783574263,214.272249037626,214.124156590563,212.559882061399,212.404539764758,211.818960089946,211.357920746482,211.990439901791,212.512894631905,212.135036663907,211.916130697639,210.8974633949,210.763984590818,209.684462859794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.809007639771,208.949822418754,208.823885767534,208.043971888116,208.46532135926,209.040667267646,208.820843276859,210.560593012604,211.116296542274,212.103185998708,212.492053620846,213.25092373285,214.451294264131,214.750398915989,215.634728412598,215.578157102393,216.892068764126,217.261102038288,218.239339677752,218.182659031215,217.95990247393,217.677130634213,217.004048596512,216.991367691332,217.289941590417,217.527468703913,217.948172079693,217.487239641366,218.253480938283,218.093874636301,217.459262078853,217.055673475097,216.586080309233,217.014025908523,216.376108606608,215.813354228713,216.570285022306,215.908333227622,215.330303122158,214.469194245709,214.784392093779,214.188814641663,213.372914356826,211.396306586903,209.521017968972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.911719717438,210.3387147464,209.92922902107,210.957951761854,211.828999388113,211.410816416369,211.233901330951,211.800973785205,214.389240921981,214.446823687994,215.99962579215,217.621987081366,218.296967116684,219.206152098215,219.071775411783,218.064102168264,218.568214148115,219.021242862723,219.446830794541,219.839526974665,219.969988387323,220.051660276392,220.205423596068,220.526581174538,220.394378939319,220.368776404975,220.083987899171,219.701686773508,220.007177176857,220.851562353547,220.368947063416,221.040925303939,220.580740318844,219.811658690788,220.22056691228,219.06594556082,218.461587700442,218.35782777534,218.536973558681,218.957500801793,217.284403045866,217.223329485099,217.456875299597,215.588143763229,214.659791491695,214.613596264973,213.651669856308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.88655342592,211.13454409983,212.482626251098,213.727413583072,212.447412694336,212.981115422238,214.470635138658,214.645235760288,215.345019244171,216.227478702958,218.095445869488,218.686901233747,219.028930894792,220.432131784756,220.334611487212,221.148160446441,221.125431148406,221.460983549833,221.366574131477,221.758011947556,222.016602696843,222.18224598223,222.696114899875,223.401747246594,223.470387920934,221.755807573009,222.599908158634,222.222860694456,221.666909566061,221.578744089514,221.888023880766,222.431176098306,222.333209815373,222.653127654607,221.973580405764,221.761129287211,221.338878614716,221.638466390349,221.47138978754,220.779089005617,220.949818785694,222.027448403254,220.602565720402,220.515551560889,220.26784402168,218.720999684527,217.035012667427,217.760182806893,215.642755088767,215.136756959521,214.303214266589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.198648080114,211.357690975735,213.164670472373,214.59973273918,214.966426537811,216.035256472317,216.489810422808,217.6734071723,218.803237867655,219.328118433108,219.517272878997,221.037315779655,221.645144641963,222.196023598176,222.179044644797,222.218866900827,223.106047855394,223.24192410368,224.231181483358,224.091859037583,224.771217249347,225.247619029351,225.716402327894,224.91314869262,225.670870954006,226.081924042562,225.928962306724,225.088180364453,224.456755258649,224.197195078769,224.701665031881,224.871968658856,225.325762367205,224.972703773998,225.066535290462,224.505067381938,224.089182609544,222.830715851437,223.112173232919,223.334560098381,223.750789117612,224.083389035836,222.453116657425,223.084505034017,223.042730631131,222.620271435055,221.574838385509,220.485076736575,219.407649198478,219.366164277088,217.79268903838,216.941407324652,216.12504624972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
