"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.84082460988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.041103982791,763.216876123687,764.852927038918,770.146090037468,749.166203188585,752.080447824566,752.080447824566,735.272058492637,735.272058492637,742.041103982791,735.272058492637,719.809002444398,711.29280310214,705.779710674655,715.017482303755,715.891053163818,711.073132666395,711.073132666395,707.990112925315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776.611228350453,790.569415042095,790.569415042095,797.260935955099,784.617741323761,785.015923405379,789.382670192347,789.382670192347,776.208734813001,770.146090037468,776.208734813001,753.740671584067,751.664818918645,759.111322534449,752.080447824566,743.303437365925,743.303437365925,740.354644748042,740.354644748042,749.166203188585,752.080447824566,750.416550990182,731.864058415222,738.664335134708,726.722092687432,728.868986855663,715.017482303755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.56097709407,801.56097709407,817.389136213591,805.062109405231,813.941029804985,806.225774829855,807.000619578449,820.060973342836,805.062109405231,785.015923405379,797.652806677191,784.617741323761,784.617741323761,798.827265433523,776.208734813001,782.623792124926,759.111322534449,755.810822891549,775.403120963541,784.617741323761,771.767452021657,764.852927038918,766.893082508898,778.620575119872,778.620575119872,756.637297521078,751.664818918645,750.416550990182,743.303437365925,730.154093325512,726.722092687432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.513762740827,831.038506929733,831.038506929733,832.541290267336,838.525491562421,825.378700960959,831.038506929733,822.344210169926,831.038506929733,831.038506929733,831.038506929733,816.241385865725,818.91696770796,813.941029804985,817.389136213591,805.062109405231,822.344210169926,807.000619578449,814.324873745117,790.569415042095,798.827265433523,805.062109405231,797.652806677191,794.512429103535,781.424980404389,785.015923405379,794.11900871343,782.623792124926,783.022988168291,775.403120963541,775.403120963541,770.146090037468,765.261393250698,755.810822891549,750.416550990182,750,740.354644748042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845.946215784432,845.946215784432,849.264387573151,845.946215784432,831.038506929733,849.264387573151,834.415963413932,835.53874835342,850.367567584747,853.302408293801,854.400374531753,853.302408293801,838.525491562421,850,850,840.386815698581,840.014880820572,835.53874835342,840.386815698581,838.15273071201,831.038506929733,845.946215784432,838.525491562421,831.038506929733,832.541290267336,817.389136213591,824.621125123532,816.241385865725,811.249036979398,801.56097709407,797.652806677191,794.512429103535,790.569415042095,794.512429103535,785.015923405379,784.617741323761,776.611228350453,778.620575119872,776.208734813001,753.740671584067,743.303437365925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843.35638967165,845.946215784432,850.367567584747,849.264387573151,855.131568824354,853.302408293801,851.46931829632,850.367567584747,851.46931829632,854.400374531753,866.386172558173,873.212459828649,880.695747690427,855.862138431184,862.046982478333,859.142013871979,860.232526704263,859.142013871979,867.827747885489,867.827747885489,873.212459828649,879.275269753449,862.046982478333,862.046982478333,873.212459828649,872.13817712562,863.495801958527,853.300443560337,850,838.525491562421,828.402076289045,828.02475808396,816.241385865725,825,803.50793399941,805.062109405231,813.941029804985,807.774721070176,797.260935955099,794.11900871343,781.424980404389,775.403120963541,759.111322534449,753.740671584067,738.24115301167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.02475808396,848.896342317482,835.53874835342,834.415963413932,850.367567584747,848.528137423857,850.367567584747,853.302408293801,860.232526704263,851.46931829632,863.133825081603,875,895.125689498408,890.224690738243,883.883476483184,883.883476483184,880.695747690427,883.883476483184,883.883476483184,887.764045228235,890.224690738243,901.387818865997,901.387818865997,886.002257333467,886.70739254841,887.764045228235,886.70739254841,892.328414878737,873.212459828649,866.746791167986,860.958767886128,850,850.367567584747,843.35638967165,838.525491562421,845.946215784432,840.014880820572,835.53874835342,832.165848854662,828.402076289045,828.402076289045,824.621125123532,809.706737035082,778.620575119872,764.852927038918,764.852927038918,764.852927038918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.302408293801,850,859.142013871979,878.208403512515,855.862138431184,838.525491562421,845.946215784432,848.528137423857,855.131568824354,855.862138431184,855.862138431184,867.827747885489,880.695747690427,908.639092269312,900,903.119593409422,905.538513813742,905.538513813742,903.119593409422,905.883546599672,912.414379544733,929.045208803102,917.196816392207,910.013736160065,917.196816392207,898.956654409634,901.387818865997,901.387818865997,910.013736160065,894.427190999916,883.529852353615,878.208403512515,878.208403512515,872.13817712562,850.367567584747,855.131568824354,850.367567584747,851.46931829632,876.427407147905,855.131568824354,878.208403512515,876.427407147905,850.367567584747,845.946215784432,848.896342317482,828.02475808396,789.382670192347,794.512429103535,790.569415042095,784.617741323761,766.893082508898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862.046982478333,873.212459828649,867.827747885489,883.883476483184,880.695747690427,867.827747885489,875,863.133825081603,866.386172558173,873.212459828649,869.626356546304,879.275269753449,884.590300647707,884.590300647707,903.119593409422,908.639092269312,903.465549979633,908.982948134892,916.856041044612,917.877987534291,933.407735129724,933.407735129724,937.083240699566,933.407735129724,941.076511235936,948.683298050514,939.747306460625,933.407735129724,925,919.238815542512,910.013736160065,896.172416446746,897.566153550812,887.764045228235,883.883476483184,860.232526704263,869.626356546304,873.212459828649,876.427407147905,878.208403512515,892.328414878737,886.354824940939,880.695747690427,867.827747885489,859.142013871979,838.525491562421,831.038506929733,816.241385865725,800.390529679106,790.569415042095,776.611228350453,775.403120963541,760.345316287277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
