"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.535988693185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.93301707531,210.852147987057,212.410475831214,212.453559344558,212.442202703743,213.159337940222,212.86372057418,213.314738937521,211.702823784493,211.24252258481,211.91129706993,209.229936723126,208.649913699263,208.845706471855,208.243764299293,208.931943394904,209.093768697922,209.327247278221,210.187561415311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.747243540643,212.685309286551,213.114633015978,211.308336576427,211.499680739215,212.882914437974,212.636184449659,213.778572976803,214.111437517398,214.744080194133,215.369032969712,215.562264364058,214.134996055156,213.57909657418,212.733339930888,212.704808035397,212.928498856776,212.749942984387,212.631358516936,212.288711196417,213.170897145547,212.489835761477,213.043605430854,213.043312426169,213.052543619335,211.676151057598,209.860931910357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.599465350993,214.764629209322,215.179431574485,214.568041275372,214.97407050933,214.083688485802,214.389119278785,216.43931386094,217.230796345579,217.09478956659,218.659817378848,216.211910776454,217.587584356694,217.485655006349,217.206557601593,216.684467940538,216.483698721897,217.302817010426,218.706708634825,217.139033660642,218.610921364676,218.138175202574,217.916503553971,218.095741209503,218.327310548518,218.010487504642,217.475610481003,217.072468492919,215.675625431368,215.173139618925,215.431941634818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.831458868259,217.062936073304,216.272469904189,217.12093233218,217.02094652795,217.643111756828,218.362570018062,217.909168486384,217.764284928004,219.514190630416,219.753707127161,219.697353319597,222.507409688201,221.648171459894,222.059226395737,222.629195230583,222.512746551752,222.254445634509,221.504635368816,221.466628427288,221.301780450599,221.795251444814,220.593736994564,221.26605056202,222.076437231511,222.960639985301,223.484229888105,223.603744028247,223.105010368575,222.213062036467,220.846109912629,219.102622016735,218.587875442696,219.435190413199,218.711162058573,219.618571311209,219.405646379062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.076446615512,217.114443573675,217.608314644393,218.297869640636,217.938990989909,219.99251976741,219.256808121494,221.043687572323,220.804172053843,221.531192221548,223.696992866238,223.08373776795,223.511615532458,224.149705151179,225.778581369976,225.859118600526,227.042663867551,227.159880405371,227.244090272114,226.457481597045,224.765269205368,225.726130882818,225.875492206594,226.087908411563,225.119492177189,225.387125774553,226.280471447431,227.262166069295,226.412789744344,225.652457967402,225.221504972007,225.009091083677,223.752303066089,222.667345700089,223.799682562917,224.553708666199,225.170414553803,223.344605023963,222.662339566942,223.14273932078,222.531873379021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.649883538245,220.151168519504,219.727865357914,219.141789365492,219.93369772307,220.260538327966,220.12253539365,222.032388598664,222.637266986153,224.060960182619,224.750426091731,225.516168296997,226.0567290757,226.596157651958,226.798946705166,227.362296722247,229.500051924013,229.795915547574,231.491202268028,231.50960567571,231.119898261317,230.448420616744,229.931280722019,229.49970014264,229.295316468609,229.164283235757,229.104458686149,228.873764612631,229.771691900668,230.164735773812,228.638231358468,228.810589462331,228.815378298223,228.883053641357,227.82153876582,228.583700005077,229.676478646341,228.746611544438,227.49281044196,226.177556227475,227.146388845117,226.320745962536,226.136393663699,224.826408763422,223.015396210942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.33111962618,221.193210195403,221.45841186226,221.953614578509,223.002059090932,222.36402605553,222.747259091671,222.982760970516,226.078999183562,225.578712033665,227.051113331676,229.811957740499,229.918367165774,231.211099991808,231.080581942119,230.294564213246,231.033076871801,231.205000165782,231.641860937413,232.375570477345,232.286836600342,232.350677029775,232.796008064515,233.566581236814,232.773253129175,232.322851808042,231.550425019653,230.667323079229,231.060455635272,231.5768118525,231.957163071566,232.958357899041,232.147624072707,231.992087392831,232.155648177353,230.516455073291,230.305325708451,230.906249215731,231.057851992994,230.929844002045,230.034790763123,230.379385087739,229.914559359573,228.81692474545,228.733650805302,228.67839593482,227.257944066474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.925524720338,222.575389394645,223.997935041017,225.446743247699,223.951451226405,224.704318309226,226.088247005559,225.943366252555,227.162613883018,228.15217957013,229.429130097491,229.780042709053,230.082378352634,231.89074388437,231.80546686739,232.875158371865,233.336068885395,233.758446891616,233.781676711916,233.895938213773,233.59118400333,233.896105007782,234.599855096886,235.796148186639,235.510500615719,233.955878907057,234.573594191032,234.183379085688,232.886474753936,232.502206651629,233.083696728601,233.510521648083,233.51585711796,234.274351115448,233.099476628467,233.136496519196,232.794157532466,233.159948129146,232.77003410906,232.552373433049,233.512247700693,234.363026788433,233.333366518452,233.594211423577,233.723335427925,231.996857701494,230.494182101664,232.723067356667,229.447160176768,228.551578368864,227.263540936881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.320047978565,223.926846337316,225.45332188889,226.641206950803,226.741726624854,228.36763468409,228.208832327333,229.76850608169,230.857560132195,231.083829480217,231.602952411849,232.223367220205,232.597911320601,233.269041015204,233.894987388351,234.46126111861,235.049868992467,236.304381422389,236.273187274669,236.397376111728,236.380604881363,236.608032542307,236.767187754207,236.337123748837,237.06769378251,237.719639037363,237.78281623484,236.583630372248,236.157467919457,235.807965148403,236.172914808467,236.094479480705,236.14032997212,235.828664037895,235.799137189638,235.657804403285,235.260990070641,234.049509202593,234.689439415159,235.096661881798,236.275227868926,236.596912013082,235.248311973757,235.95869023156,236.173973055774,236.115437204236,235.539642676704,234.571271882595,233.528223234092,232.701426430691,230.863329964165,230.515108709871,228.809431547274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
