"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775.403120963541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.107082642648,848.91473860421,850.110009363294,855.131568824354,831.038506929733,840.386815698581,836.878414312198,817.422534177706,822.344210169926,811.743773728156,827.840731600921,814.324873745117,787.913501970332,785.154760696297,797.260935955099,798.102761418931,790.569415042095,797.652806677191,789.382670192347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877.923574663633,886.70739254841,873.576249463639,887.764045228235,873.29283351163,884.590300647707,886.002257333467,880.695747690427,870.913664593204,855.131568824354,853.493817283609,840.386815698581,840.386815698581,854.400374531753,851.551734630863,838.572024665825,860.958767886128,846.047560389821,834.006363159454,819.14466246736,824.72012718783,818.91696770796,816.241385865725,809.706737035082,785.39537835184,785.322048719122,778.620575119872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884.295068452816,901.734439843572,910.013736160065,907.261319434492,908.639092269312,896.376427325265,901.439762143838,901.387818865997,883.901147087297,886.002257333467,883.883476483184,863.884112894737,860.232526704263,873.212459828649,854.400374531753,868.511347226918,868.749534824157,873.212459828649,884.607950106279,883.802285819772,872.165034193196,850,838.562726293875,838.793963962689,828.279351519956,816.39395647333,820.075213732739,805.100886600204,803.546788384555,805.129924696855,800.390529679106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925.337776166087,925.337776166087,927.707185611462,922.794590612478,928.26175168943,914.161533160442,930.38970329642,919.255807020167,930.204474373302,915.491671180028,916.91561040706,908.982948134892,910.013736160065,903.525999895134,903.465549979633,898.339363561517,915.534299810332,896.172416446746,910.013736160065,886.874168216207,893.391528907027,906.228448019593,896.415194700569,897.566153550812,883.883476483184,862.046982478333,866.395188023418,853.302408293801,832.165848854662,826.513762740827,850.395111352537,831.122943341838,848.574123177879,831.262916277004,825.150962673243,825.037844068521,810.179843004609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950.328890437411,933.789624202743,950,930.38970329642,930.053761886914,937.19137266178,933.698864465775,938.808370811699,957.590061728457,962.043818579408,961.769203083567,946.473517259886,936.107285826381,930.665173693713,951.971638232989,927.858223735211,928.236727205502,936.165572593961,929.174827585599,926.614577918381,929.645941589626,937.21625571329,919.391289558101,937.30337693065,926.383117454036,904.937891897666,896.603978250636,906.323080223105,890.601990313134,880.872455128872,863.224149233763,848.960666716953,850.932214824428,875.35707000058,874.128574166466,877.40065932235,870.800759122109,875.419455583165,875.419455583165,852.115489585838,830.47168327819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976.281209488332,956.882960450232,951.314879522022,945.184808118431,950.500905325321,942.216233826121,950.328890437411,954.675766916069,972.432516938836,969.473830887063,976.377048981014,985.698196546875,982.360035903111,958.608663893367,966.104965258815,964.693117631264,941.672597164258,946.75952507604,973.247504834733,962.094070244693,951.729177818941,957.209485953832,956.882960450232,945.098288440274,951.983941850417,956.289488180992,943.76787024644,941.590388659696,946.473517259886,937.183072462975,921.421818564391,933.474598285042,893.794302182777,886.996126589255,875.383828429263,875.008926750014,900,915.804522574238,900.887337529976,919.96937392572,902.275353319503,888.810733255686,878.208403512515,855.140700944439,840.014880820572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.24865872714,956.882960450232,952.955927627296,951.651468361393,960.582243556578,958.359008797942,951.971638232989,953.855195639577,960.697240764516,957.29096469536,973.717104707522,977.936221490778,987.768140537473,985.40633789269,985.455485689597,972.940115250997,977.880360780397,983.059512156848,976.432782631609,982.344135219425,983.435614427065,995.937009356173,998.123238883857,983.957241394519,973.415416655955,972.696208079537,964.697166183792,962.227842736369,958.753133158854,965.983954318083,964.689069078737,956.899278380065,958.18839483684,955.411672336051,952.955927627296,926.455437801555,950.328890437411,941.076511235936,937.406159682077,950.328890437411,939.747306460625,939.712215605777,917.459365126501,901.431113229583,867.218719735068,873.479235245012,839.04090462016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961.769203083567,982.360035903111,964.689069078737,980.114789195633,955.24865872714,958.359008797942,961.979140674447,966.369076869828,973.717104707522,970.864595072166,964.119573137164,975.032030237208,976.281209488332,980.215670317229,980.178473188071,990.604286881564,985.028151620319,989.065136705373,990.698658409492,990.627913414348,995.615387586994,1000.1246890528,999.093319910722,1007.78221853732,1007.89823398803,1001.6722802324,986.934595179244,995.631076453783,989.159508233301,981.452470795897,980.210255283435,969.979245202431,964.842452150453,977.944108302728,972.538483683437,989.092533742823,992.54633113057,976.281209488332,975.320460156558,971.648556005501,975,975.008011503914,962.352531412046,958.18839483684,952.955927627296,937.282482396371,905.616028275131,887.764045228235,887.930623872527,869.36441104205,856.089019099953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.86011111602,976.53595382231,986.470982847443,982.980162566875,977.936157960885,982.360035903111,985.203024761902,980.289482553299,991.718295482475,992.47166206396,976.638695196322,985.569558498232,989.811062719852,978.015698307415,976.281209488332,980.114789195633,985.203024761902,979.17648926746,986.620999827856,999.062060134404,996.407082602264,995.732539768558,1000.62480480947,1006.54110695987,1018.91444089704,1018.04793500551,1012.42283656583,1021.33491079077,1006.55662085459,1013.03997946774,1001.28428299599,995.615387586994,1000.80374015267,996.258601532985,1007.78221853732,985.218874237971,983.296043192378,995.615387586994,980.828811673934,984.060147446094,990.816121862749,1000.31245118713,976.281209488332,977.880360780397,986.699592965932,980.114789195633,958.18839483684,933.55790953655,916.91561040706,916.856041044612,892.328414878737,874.674020585481,873.212459828649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
