"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.411119527803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.567254830189,498.121471129282,502.447051776206,493.883465492238,500.111007692592,503.052872139851,506.211418282915,505.264939896064,506.211418282915,509.901951359278,502.796769073231,515.388203202208,524.628448440655,506.19597558594,506.211418282915,515.158783579225,499.255125784939,496.23583103198,496.23583103198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.636862473684,529.740502510427,527.331060825662,525.594901040716,528.528478567236,524.759705080055,502.470416416125,505.53159664715,503.053027810579,509.49994456332,515.380619500297,515.373035798386,506.211418282915,505.593710403917,515.388203202208,512.880734170635,527.353319284443,521.093325502844,515.388203202208,520.080431314176,529.381695027722,515.388203202208,494.974746830583,499.286581668712,496.220067479463,478.847526489904,471.615654407088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557.00445218221,561.805126356106,552.268050859363,538.51648071345,550.525252922728,548.292804986533,545.700289979115,525.594901040716,529.584681515736,506.203696934427,515.388203202208,525.594901040716,536.714418697627,530.315346305424,527.353319284443,506.118477352243,523.585746048848,505.593710403917,525.594901040716,525.505411650836,536.493317269625,529.636862473684,527.375577743225,525.594901040716,527.353319284443,514.67438093977,500.562031394189,502.447051776206,484.08892195872,480.884601541784,480.884601541784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.264247945402,563.73176718956,562.719784127124,579.782821364879,563.970194076978,570.55298675202,552.268050859363,552.218360285953,561.805126356106,552.268050859363,552.225546803845,538.51648071345,546.008241696039,538.311820842862,535.023363975817,534.438958160799,523.760368548182,526.462980933189,506.157226469091,525.278956345125,523.715392941222,525,550,553.349075009955,549.978660062332,534.380227465169,550.295587138242,530.330085889911,527.375577743225,506.203696934427,512.280734758188,520.027020569961,522.838368605498,506.211418282915,506.211418282915,505.523981093738,503.09798779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.041607844826,540.672847990628,548.661715785431,555.090082779363,570.621656864803,566.953178264328,579.62610116997,563.900490777449,555.090082779363,553.650716183621,561.805126356106,555.090082779363,555.019531981363,551.396717721238,550.567888638631,550.424880814191,545.929086532627,536.477719437125,527.331060825662,525.594901040716,550.525252922728,552.268050859363,555.090082779363,575,590.533656898827,570.087712549569,570.087712549569,585.768725692999,559.016994374947,561.805126356106,561.721188311397,538.51648071345,539.559517006891,530.256223186243,536.714418697627,535.01605890313,534.314020061528,520.095598717998,512.880734170635,509.801966683882,505.593710403917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.211706268681,527.345883021434,550.639944400254,554.920032339062,539.675828623073,553.370327037714,561.637250266687,572.959344909768,577.129154096517,564.025708633924,566.657506164399,559.016994374947,558.918821585058,559.016994374947,555.090082779363,550.567888638631,545.943547316333,555.047795473115,554.194929509538,552.77668489302,531.359480896832,550.567888638631,559.016994374947,583.630876496438,600.253796143193,596.289822976445,600.520607473216,601.027760095182,602.079728939615,602.079728939615,613.80203288687,601.040764008565,585.194892559993,593.977907707641,575.434215693035,559.016994374947,565.37291186328,570.902454577553,555.090082779363,538.51648071345,527.375577743225,515.388203202208,515.388203202208,506.134015199278,491.172067609712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.376208715762,555.090082779363,550.525252922728,550.367011032992,540.378491864425,540.239799187629,546.008241696039,563.997951355451,555.019531981363,570.087712549569,570.087712549569,568.41760470098,561.770274706341,555.047795473115,570.087712549569,575.413682657981,575.513138208599,575.406833933279,559.016994374947,570.087712549569,559.016994374947,555.054807380363,596.240033272699,575.192674907151,604.578616944546,628.863550988751,624.811361294036,625.493552657842,626.996810199223,626.996810199223,649.037749287358,654.282711716434,626.360427134874,617.960147802036,626.959384948238,604.669331122391,588.296741664179,579.762488897758,570.087712549569,552.268050859363,547.982936459562,540.03558573797,515.158783579225,500.304497307978,514.14226958483,506.19597558594,494.002189034896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.803153832,583.630876496438,575.475027797173,561.805126356106,553.270945890893,566.806631291382,553.398590529466,553.270827395413,552.268050859363,550.567888638631,555.047795473115,570.635610525666,570.087712549569,561.805126356106,556.962164875963,555.090082779363,570.354812812917,588.430114796991,599.856080405006,606.414779741197,600.098364198796,583.577233771043,601.56024647409,625.15243408576,650.23221042353,626.946889944242,648.647572490172,626.996810199223,633.332008354923,632.862806822161,665.332445103106,664.017665370216,673.145600891813,672.758143916975,663.957855972845,637.377439199098,624.836646096066,618.465843842649,594.243216200236,581.48516748065,577.16981903076,553.398590529466,551.130525265985,540.832691319598,512.941728616761,515.380619500297,515.388203202208,509.794245335394,515.373035798386,529.740502510427,509.809688032369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.021186060297,601.738488586049,588.310133839477,577.129154096517,566.789202437732,563.850980633269,564.315796695186,561.805126356106,561.524195413169,548.292804986533,536.772763839597,550.525252922728,559.016994374947,570.042666460247,570.976293803674,577.16981903076,583.09518948453,592.610562496991,612.882533606563,624.811361294036,612.882533606563,632.622024222506,650,657.504144863845,668.595068234161,674.953640022295,661.892391317905,676.849318534044,672.958869564136,651.920240520265,654.31261641512,682.367203197809,670.726963498846,682.367203197809,672.923623689001,679.316252970372,642.748006609122,642.748006609122,645.555099985697,624.899677935468,604.152298679729,581.377283769403,561.805126356106,548.106302144859,527.375577743225,525.400084819315,526.328515936349,535.023363975817,538.51648071345,534.438958160799,534.90603202367,515.388203202208,515.388203202208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.255283835388,583.630876496438,583.014576628346,578.48648643138,568.328138772157,576.199800151005,579.232886465839,575,572.809332342052,561.805126356106,558.80576673154,548.004803957859,551.656812883115,577.020148128486,585.234995535981,594.203722784142,588.41006419702,608.699686563076,625,615.553237965252,631.061263321417,632.862806822161,654.31261641512,657.563954261216,682.813568912644,686.476510887299,684.593673553853,687.755350420697,691.238368519488,703.950818275548,727.978766522036,711.023553272896,704.006392016436,721.543484483091,697.316284049068,689.655711206686,687.646642130552,687.823439600688,673.145600891813,656.220237420334,653.96246225667,617.454451761423,581.336618835161,561.735423056577,551.066702946698,535.576688429213,536.706945424561,540.767481442392,548.292804986533,550.511011547329,548.292804986533,534.90603202367,546.008241696039,548.632794218018,538.99433490095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.004051082146,576.785701713893,579.87067523716,577.006463818132,577.16981903076,575.543221661067,583.116798615362,576.117337398209,575.255283835388,570.888757128151,561.735423056577,559.016994374947,559.016994374947,552.175790400242,581.377283769403,585.141249834598,588.148607402835,594.243216200236,600.949292704269,632.1057898289,617.915808426659,637.266739345586,648.989457359119,654.216815793814,664.20760282843,676.080799906483,701.40076909357,725.333720878739,711.512473537885,715.966229849266,725,735.601126226536,731.735509272027,731.826620020728,741.176793624983,731.864058415222,724.696392900009,725.137677850433,704.006392016436,721.543484483091,721.543484483091,664.266512779321,664.237057803876,626.996810199223,581.48516748065,559.016994374947,563.900490777449,552.182911087942,544.081734800958,543.355772128113,555.019531981363,550.525252922728,558.967907980003,558.80576673154,550.511011547329,536.772763839597,536.772763839597,534.72385599562,515.388203202208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.935342427214,579.803153832,571.182982939793,577.006463818132,577.149486563639,589.706381091331,579.87067523716,583.630876496438,594.243216200236,592.577533828289,594.243216200236,593.816381270999,592.59742221908,571.182982939793,592.384021754589,594.243216200236,617.276284987055,610.276492592763,624.697063340164,618.440559040618,626.996810199223,639.04607452771,648.410886505029,685.755781162574,678.675511704354,676.803022063516,682.194593225497,706.940268814536,722.549680636085,724.552669529664,719.491446912952,725.420133766662,728.395192998496,734.096534922514,731.864058415222,735.579451655906,735.696948478108,738.165658476927,740.029942149535,745.214739258172,738.531168307125,727.859489730999,705.7353777082,651.182420429607,635.108092202097,614.623626812373,592.126467141068,558.763131015636,563.900490777449,548.862460002504,555.529722683376,553.370327037714,553.285187266292,556.088046884627,548.292804986533,534.336236354027,538.51648071345,531.507290636732,537.579090819006,527.196595828822,506.211418282915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.182911087942,569.880647894732,572.664810488628,586.786255384808,575.324371180484,583.577233771043,604.152298679729,604.669331122391,618.951964302053,608.622031740429,617.454451761423,617.340153807552,608.276253029822,604.669331122391,607.427825333735,608.686771794998,608.276253029822,637.377439199098,626.360427134874,637.377439199098,651.769556455964,659.768465644149,679.171115632168,676.659517142392,682.309861253783,682.309861253783,696.787278483333,694.315824565623,724.795133766662,724.662811838447,730.890201017469,728.84215067856,728.783034844955,728.868986855663,743.271879031347,745.568575858047,731.864058415222,740.354644748042,760.626611163072,764.852927038918,762.511926684881,754.301912051616,751.907456639405,719.809002444398,705.679803967311,670.756092681622,617.454451761423,616.154875812571,601.280679188085,570.621913076264,577.543849311381,570.087712549569,559.009373255116,561.805126356106,550.567888638631,545.878852936628,539.675828623073,550.511011547329,540.731193132598,534.9573282075,531.192451294616,506.211418282915,493.0770730829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
