"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.4489042821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.296172587981,117.334243177454,120.660432949314,119.259395546516,117.839011577709,112.728026658904,113.572910960756,111.73744936347,108.499128545961,106.01456873719,104.9676642104,105.669153789791,103.785182601479,105.027892526201,105.316671581544,106.162503071657,106.528609108606,104.068512999217,103.672134102771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.071036858382,121.551327116524,119.954609747713,123.407739695649,124.308707931738,121.553798194735,123.829068762332,124.168783280056,121.306935382491,119.117280331849,117.150162670908,115.574969119416,113.50019813967,110.659965899321,107.53836312277,105.227915435152,103.199903753274,103.121153323634,105.127726075531,108.631346976872,108.800848611285,107.021780291659,105.533851281452,106.364261821365,104.834413373951,104.903936357656,103.256401668176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.993738420992,120.52657379104,123.822285966246,125.971700640156,128.266213903741,125.382581676823,129.667700409758,128.183348853584,129.972152195856,128.96320719446,125.101447269134,124.092889148021,120.790003550241,118.034799569202,113.032136150635,111.827430693535,107.241420169254,107.811559188401,108.352778068017,106.778774899622,109.413815308635,107.233951800669,107.682925936807,109.371881133407,109.087029695912,109.489682013326,106.843123144444,106.231327822358,107.138101963643,107.405706963007,107.090598336374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.433932832285,119.479852375428,121.40698547168,123.647299530554,121.315037628252,125.031927903502,126.74940956673,128.735220082291,127.096356782327,129.89220641315,132.852741626109,128.757400635614,127.562598100083,126.435760509316,122.538002897214,121.883903423783,117.475435203085,114.253349254449,112.221818647036,112.9709895363,110.454092389731,111.757334457118,112.183260254892,113.061377171986,111.639231908105,111.184908324488,109.605388377378,111.53229895729,111.865060854496,110.044102071531,109.304161665834,108.833994970792,109.929514326321,110.392759083307,108.85235854444,106.729886723033,101.817796550578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.076739382793,118.961315446991,121.082424149467,123.735339206422,123.546033221907,123.582375030539,125.586435974419,127.211382432695,127.916776638842,125.669030338629,127.485945561053,127.825596097429,127.715047709949,123.684063040334,123.795667715665,123.49779793463,121.605065037692,123.420713596869,122.348864624562,118.959290891436,118.298147437062,116.297100604599,115.678227328998,113.376645196798,114.139065761699,113.007485809034,112.302884984121,110.512067140152,113.229804080169,113.0648242782,111.312461288684,109.921530830108,111.316574274736,111.449205062251,112.319910249577,112.433037650042,109.170171336393,106.961198293099,104.420577699772,106.923186778885,108.106509550439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.207209467638,116.706269925203,118.982262830576,119.736993913769,122.897391172323,124.985000301314,123.347667527851,125.12493185603,123.308385850639,128.955749403591,126.456410453233,127.983321067689,125.834456929935,126.809319015098,127.334007933362,124.240633524707,125.955655707766,125.956652930282,123.060672096282,122.950327666074,122.167784809499,121.844199422477,119.491217853165,119.347636942946,117.3476171491,116.704465213489,113.471204504266,114.229699433764,112.799458232507,111.897295850313,112.237536932067,113.645353650036,111.812360716153,110.601252377034,111.177774757761,113.322509861095,113.64437904658,113.058248808202,109.750167048327,107.691617323291,107.466362119884,107.726932324197,108.942792707539,110.900111281418,110.488458335841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.051943594941,118.578474262335,120.68839992415,122.332813974952,121.149261373745,121.534542080213,122.328462216072,125.152436349636,130.759649820135,130.2547728581,129.795312254715,125.674476057179,124.506948012602,125.809702429081,129.058903791191,128.054869589867,127.010259056056,127.312579426985,128.387056887447,127.066944028788,127.706170171064,126.168136055316,127.563551666761,124.800343115743,123.729571327957,122.433979589476,119.478046033891,118.066516238937,114.689493256028,114.598212325319,111.455056514931,111.581230121429,112.207813667446,110.335835463655,112.942987788342,112.775893669474,114.234881838275,112.188978458741,111.763095628837,109.398633719176,108.213042829417,108.45617562606,108.328873345936,110.007022283769,111.672513473232,111.437754713244,110.64620084179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.938956105661,117.946289197212,118.713558046605,121.796785634278,123.172923634448,124.805928181862,125.904883468879,123.46182809283,126.371397867843,129.922792873157,130.669955773519,128.074282413277,128.52657536974,127.424958171018,128.17099505064,129.609503048668,130.409851722923,129.278414012439,129.790943132188,133.773624768582,133.222945409833,129.980840980039,131.141546614665,131.92043019941,133.485237787361,135.060584758742,133.957182108664,129.312064386525,125.195908549594,123.002626500427,121.074345094925,115.797287374155,114.477888100462,118.251230969977,113.758171135149,112.48649459128,115.528778287715,114.210684367109,114.402834496273,111.858504478626,112.765911933232,111.935143918639,111.493827069511,110.622073213019,111.855728125693,112.730122368628,115.245060101345,112.668584803016,110.869202977374,109.431422796696,109.226532565853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.960838263532,117.357651319845,119.744646733376,123.455035409821,123.914874031169,124.661067411377,126.43013775518,128.783982151901,129.559317996702,132.140616757698,132.248264332144,130.995579414996,127.800208684305,129.364951209907,130.206476235567,129.783100419353,134.980094553743,133.57847150731,132.57791021674,134.71873128129,137.508819718573,138.831820395799,142.322522693285,143.674391495139,144.016697406841,142.422557629807,143.787658283245,140.98987840958,137.589839989332,131.979705093626,126.40877981562,124.449793694551,118.758779699499,118.804851757979,120.176529659933,118.901475119267,115.641019053648,115.85691540908,118.232013749736,114.437283151873,114.889570716384,113.62013892585,114.626477570636,115.697547785867,114.982271684419,115.470874260149,115.390762466003,114.789156987672,113.098504087254,113.558577470263,113.473135719674,115.15184803605,116.027891584494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
