"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.200768411778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.947279093382,195.728197024131,196.534365264951,197.679455748445,198.041266200613,198.297438150079,198.348732893908,200.02644226047,200.431009696795,202.804369561724,204.289965876135,205.439063918577,207.056663124359,207.781573101564,208.853290836262,210.192396109697,211.679889112012,213.143627926659,212.26628107498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.915647177085,195.388898788346,196.150987307215,197.742739472364,199.034154077309,200.544203238229,200.889821084997,201.081764177173,201.402846556584,202.138718967794,201.588414601932,203.440534834312,205.193945892097,206.900006787912,209.136865644853,209.851610491581,210.862501020498,212.065904321367,213.068016636751,214.587578542108,214.741423334928,214.809796560511,215.237713140191,213.071667651105,212.283042374384,211.545792490866,212.543326283984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.50661745761,197.507442973457,199.146741216852,200.230922782085,201.354672430988,202.393319571246,203.152689505865,204.159116398118,204.160166600633,204.515498491203,205.003787572004,205.624903213757,206.049847868556,207.258430726764,208.838606550212,211.233081968847,213.115232719557,213.587998837051,214.510248635163,215.872321019243,217.734412628825,218.809616589901,217.826522813739,217.062686583264,216.708520707304,215.498417513028,214.097094666919,213.464786266044,212.845608779382,211.619879442581,211.973843888139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.282243429436,199.224288737951,200.672245405586,202.234294732715,202.650920027708,203.532345670752,204.089611488787,205.412156111001,206.510539232439,206.706837656599,207.574592624725,208.422046650489,208.845057580216,209.296070913594,210.328238409713,211.357290279667,213.374807909906,214.805075970009,216.282582512355,216.744978635525,217.916441835977,218.225499031668,219.569449620811,220.354443452364,220.658191688076,219.439478180203,218.949491054072,218.485238347214,218.454860647231,217.490228440524,216.633455481805,215.299808734371,214.453486895566,214.044809394662,214.245728546795,214.557676913381,215.570059480171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.544986329982,202.311311997267,202.885871739734,202.613807218196,204.557722595695,205.251185780561,206.555613878,207.410227764916,208.742875488961,208.928818137224,210.324740766205,211.397904585841,212.427150413589,212.520999367449,212.959529860578,213.984449006615,214.941213487418,216.549463780041,218.369545189173,218.975943238471,219.445048589579,219.721622639215,220.306317468709,220.688923263241,220.786256792308,220.931651681533,221.525463956503,221.535210786456,222.545546377872,222.516782107214,222.457168502097,221.424537523047,219.517978867467,218.428032520276,217.343767657492,217.189227110093,217.312068809259,218.02563140137,217.464917536057,217.261616644068,216.746557986989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.527145062246,203.879358127193,206.740567077099,206.685798513603,206.770664521114,206.842374272637,207.943878331842,209.028163972822,210.729110352234,213.001918185808,214.031583927273,215.406386109617,216.568354273159,216.978004803525,216.63737407921,216.984793720826,218.625758645931,219.268268878974,220.180569702163,222.238621447233,222.211556137475,222.561241226167,221.650935769292,221.880448310354,222.030034724323,222.140509961911,222.662764358264,222.822897397031,223.004724614056,223.548540467347,224.257304034137,223.777926824483,223.258577514686,222.758975811723,222.280757457286,220.667998710585,221.122588117197,221.660216181215,220.950677418935,220.684930209012,220.332253807788,220.65569655758,220.182482471592,219.717780746541,219.155663977843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.422706620835,207.3073952632,209.703592122228,211.060662607135,210.94105170976,211.260160837991,212.13892160189,212.906556074976,214.742077970699,216.253872933394,218.093523120367,218.653441880562,218.937145133602,220.09324100596,220.774122777804,221.140520893838,221.538059928513,222.537023750822,223.853421266752,224.646415233605,224.623263331332,224.675137702748,223.951629496695,224.081598611706,224.082232621303,224.221118805969,225.352791735607,225.989716250189,226.255127070543,226.68602271934,226.725281215797,226.575345398975,225.68356276639,225.660133017572,224.80395120151,224.819974030298,224.30487665954,224.779902896419,224.337632159354,224.317335735227,223.548315097418,222.135452505177,221.656768390105,220.305348645057,220.89183110091,219.794788726128,218.080279161462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.867268410285,207.375111737506,210.544850392004,212.666267759751,214.328701152938,215.508395328018,215.241098429098,215.918543856487,217.386277484386,217.653600280174,219.601441961592,221.67734350917,224.100925298427,223.541864120364,223.282160598892,223.086835204233,223.454600021781,224.640496366441,225.240383334945,225.744889324203,225.81790538173,225.280537543938,225.617233851173,225.562492546221,225.66486548063,225.999682955931,226.368664697803,227.106234812109,227.40293012454,227.837426977577,227.666976466091,227.602134150362,227.600000935928,226.714839203844,225.789388801936,225.646249248162,225.710906516293,225.880912892775,226.781255135393,226.587301736256,225.370942471415,224.370976119985,223.803702462687,222.333994043465,221.437695564581,220.839738719002,219.895042394428,218.990499981657,218.541927944757,217.65875624768,216.937440588612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.724910261528,209.091758591447,211.526003259298,214.578771640553,216.190636961964,216.841187137629,218.518728974865,218.644631492584,219.24321374983,220.848911941562,223.114622510522,224.94834557676,225.354132751713,226.73124625285,226.751875276121,227.794139242206,227.351447352001,227.923909943656,228.065394318615,228.440098709075,227.857562119393,227.242166699425,227.036062285232,227.590573583097,227.486271570923,227.080584618765,227.289055392933,227.135565240837,228.01400999277,228.817131701809,228.996025204779,228.94940956821,228.978419730678,227.565549882414,227.070477692761,226.157862181776,227.052714862358,226.648838121228,226.573088046562,226.903163233037,226.490178512097,225.644184622001,223.881229201855,223.379573547153,222.894582214222,222.120710480972,221.518388047558,220.556026769787,220.332286613731,219.578836513138,218.269427588474,217.031135765407,216.29926855666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
