"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.601438658547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.07175541623,185.904944067472,186.439370528951,187.735775959842,187.310132940228,187.194487690061,187.344903534442,188.593407336067,188.590977717969,189.743074721447,190.660050384766,192.915985076009,194.964720307142,195.346105629374,197.409618058463,198.478542106844,199.877110137326,200.135724212364,199.758885881608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.512875779314,184.802357274249,185.899855090351,187.627086604751,188.761720644835,190.40078973774,190.563298064291,190.635131334914,190.784926469563,191.396508627899,190.846048205016,192.422504506229,193.743954312688,194.13492399088,196.584563547834,197.982133284589,198.777935079899,199.690819455372,200.571244973654,201.562887668208,201.789883491722,201.591683254486,202.10906215112,199.664394316072,198.76055308576,199.056079405494,200.740245335831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.147660301452,186.96253564288,188.926404370946,189.570767099662,190.652576961548,192.265459694069,192.813305025504,193.443179114775,193.588271996561,193.437753298658,193.672068055225,194.206317905639,194.113208388387,196.107881218319,197.884347655941,199.777053652058,200.976967361223,201.509425972084,202.510282556184,202.961249216232,204.7576367854,206.084640270133,205.350704994724,205.421212344084,205.542847951312,204.83384600501,202.819096115846,202.046915212283,201.447425964013,200.295122746926,199.677656408046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.123469234782,188.682715757685,189.873077829964,190.995022452537,191.537699091784,192.97949455105,193.614754437544,194.94516578264,195.910239663984,196.057644049174,196.293561748858,197.401502793615,197.662611869473,197.737802894116,198.210655107648,199.363811959999,201.933028416115,203.102367300604,204.82628382102,205.833714165971,207.214794864211,207.144054285176,208.117438755978,208.808933586425,208.36919227944,207.003046769961,207.543310050236,207.076605190635,207.066304993734,206.245522786122,204.527481083878,203.990575620457,203.230979757527,201.994506514467,201.693195923988,201.894936705645,202.102077523265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.111333148723,192.010489363777,192.358415543324,191.8273668498,193.922046871013,194.913960135044,195.738297576717,196.815867876851,198.156079386202,198.582113067973,199.549501441016,200.18518408025,201.413881614638,201.705472487,201.999960931451,202.760584380102,203.303251284208,204.234857359089,206.073688438588,206.88421225651,206.697660112876,206.783872565352,207.827082968996,207.808127333571,208.268340741073,208.501310480281,209.232992521887,209.716196629982,211.029895178144,211.219958526202,210.654746722027,209.788958937749,208.609413445949,206.522006864642,205.606315169452,205.501092608639,205.243319488591,206.041296493551,204.66902045322,204.689938188976,203.438441398246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.759857085598,193.556101391397,196.219889403029,196.217728876909,196.490670522449,196.716735764157,197.748225450199,198.733771867399,200.313924708739,202.544733361041,203.142592432861,204.070215300608,205.157863022892,205.076939894958,205.357049515339,206.121536319063,207.122989907734,207.657042164061,208.457891248169,210.136114883424,210.037374420259,210.751449719538,209.394899894316,209.13135581111,209.014917844179,209.186214273762,209.824159214155,209.943279982115,210.540169826955,210.97553992742,212.036886974793,212.230666208431,212.030839247826,211.67051771004,211.10295798514,208.613633412557,208.649750981584,209.718838268717,209.285022031801,208.910857530485,208.365651840478,208.095943715252,207.829648950174,207.372656845777,206.484425654514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.250554626292,196.564615501465,198.525062834308,200.191968758215,200.540202169285,201.20510566015,202.072848631477,202.519159003973,204.706575053111,205.653697353732,207.144105842296,207.158858825035,208.041045742312,209.17250348121,210.195325233988,210.427598790786,209.878787219351,211.347438382693,212.988935312266,213.666445432829,213.951919271467,213.655820487471,212.146887247898,211.579779179067,211.567626117959,211.805760348835,212.089068356984,213.208174336802,214.04062112367,214.824223676721,214.763200328602,214.761669389912,214.169830979125,213.961346952301,212.931018281085,212.673367152501,211.625469650534,211.964840574107,211.606166658636,212.116706812708,211.245810743338,209.748176864062,208.708733483791,207.05438328301,208.050014095995,206.593093010422,205.14976118862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.75734410436,197.259653820778,200.067929338387,201.754152410744,203.345320412506,204.705466757832,204.322725579165,205.659603317631,207.492559838655,207.097360640999,209.023952024186,210.106159765003,211.976746060171,212.849020391874,212.550985178235,212.899688555574,213.232548057324,214.227693633864,215.195597396797,215.836807969519,215.463764675946,215.143698600027,213.824768559107,213.286980647943,212.869190996501,213.768765888947,213.65213766504,214.410026266248,214.847567773388,215.821558620141,215.900299067791,215.931758871187,216.462466890246,215.86287068515,214.609072310429,214.412240280373,214.249667573052,213.88238187717,214.668027732731,214.800226903158,212.80117711443,211.691730562379,210.183121378706,209.357754116963,208.550478907913,207.875047660185,207.323657409264,206.661802016422,205.864597805419,205.216916106188,203.593654769174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.65198192072,198.76791726467,201.162230131009,204.601259179469,205.650966662788,205.532119075138,207.375971758429,207.718718405885,209.15772039397,210.464030020289,212.358492530225,214.267234786283,214.270941661715,215.266984884549,215.938616396986,216.292716694609,216.230848296118,215.850437175118,217.273192299641,217.385145563316,217.782858985869,216.990501110361,216.323782454482,216.957944980699,216.803558189287,215.420995256107,215.992485909891,215.253140487258,215.007980894741,216.336628178106,217.011604222627,217.219476619804,217.869787337064,217.484692230975,216.65756170135,215.953107972361,217.085878117909,215.675039307079,215.302364783256,214.77697988228,213.561811374976,212.865553369035,210.861541090808,210.979444150951,210.648808506451,209.602081217919,209.197663782916,208.959454477808,208.424367531031,207.641147088299,206.129297228133,204.868324029808,203.407352859441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
