"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.960867963679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.258366554679,168.043073167719,169.419182797472,170.724455503542,172.43356049608,173.089618098384,173.040449795894,176.84407540342,178.803249420594,181.041823120915,181.419315491058,183.55601781676,183.863914368551,186.157553136842,187.587493791193,189.635919552476,190.060198547655,192.194104797122,191.094481909103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.104531108405,167.821461667747,167.118754431648,168.350269838207,170.245421547777,171.207950862503,173.014508021306,173.312876101823,174.664142459744,175.591251214591,176.861031369574,178.866332377958,180.637468736517,183.546488859843,186.059617774165,186.300064417087,188.769123896465,189.671800988699,190.750755801087,192.008847201978,192.527055505387,192.000538669775,190.20712224594,190.572812446723,189.967085545745,190.175048036787,191.346113594445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.573428810175,169.564951981713,168.840246648796,169.245355465348,169.830554174107,170.477077318347,172.101067868336,174.181611291915,175.676429251138,177.110688972039,178.027446271731,178.90074345516,180.218889530652,181.632396394239,184.826975764682,187.177339850709,186.453180410696,186.952185200694,188.114700718883,190.215830278358,191.619741128085,191.512407566363,193.067500349474,194.770152350674,193.802882293124,195.169969632674,194.420608766297,195.05376485967,193.934662285083,193.858006162683,192.582980939136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.17582851563,166.709865238522,167.615858490311,169.929586227624,169.241056441278,169.750124426301,172.271207433661,173.965988491003,176.079021014893,175.74700980441,178.876082610912,179.905102096605,182.342424973659,182.99119735424,182.85143359074,184.580589087232,186.828641119746,189.984692426712,189.660592361017,190.878406704919,190.411468936274,192.601167696539,191.9977951513,193.032653405194,193.309715307412,194.602478597482,195.097629982645,195.931005112827,196.683347167937,196.581029310774,196.262781686591,195.241808697648,195.500689802777,195.527706780634,196.361863522506,196.612786635377,196.502147366089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.053492994639,166.062079015294,166.58665783951,168.664460180827,170.332452843292,172.868290025844,174.370198980708,175.192778096799,176.692429289007,177.775950280752,180.482978011034,183.833012905035,184.00472818235,185.949151763239,185.631428143409,185.902071390263,187.883184323643,189.512913464203,193.126162014461,193.538760672103,193.639226448657,194.289905727872,195.399017761826,196.789235199307,196.450414626263,196.203473005893,196.834572098796,197.553137682071,197.31199701174,197.81062167463,197.712806472088,196.762522086533,196.453307629585,196.70148100559,196.293141293655,196.978873810097,197.078417320157,197.027326205568,197.590378590134,197.925914679303,198.969579608583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.797748077259,167.603584652259,169.227358856643,169.821636638662,169.631093860502,170.974149304898,173.454728306044,175.949478422619,177.598922049566,178.23754586479,180.064460817607,183.972578531874,185.749434000147,188.214300405899,190.310136751884,191.593235835581,192.650554312681,195.230769419506,194.289305720768,194.912895998293,197.401669058713,197.785922651959,199.098523014056,199.946107996755,200.324913749269,199.402220115218,200.307769584104,197.821301670155,198.273815977413,199.022248148078,198.700411466755,199.75841881896,199.025996314458,198.924487456708,197.768633621102,197.597179382177,198.226930195826,198.994929615618,199.239554959554,198.627425879603,199.923846425317,200.347090963383,200.368095265248,200.186504650619,200.076749119252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.4530246786,171.048944781075,171.648097932888,172.518187938875,172.288519105115,173.260666637045,174.24416305993,176.561825597914,180.152892331229,183.051856165472,184.688036458155,187.778414349227,189.869645278883,192.502381872074,192.304404175121,192.709093470359,193.714741081826,198.631798822701,201.023039584117,201.725690250481,203.135120454568,203.586837619903,203.794380405854,203.581653074216,202.764056820113,202.874231621394,202.787862157361,202.238453304186,200.222492871641,199.897497293085,198.867224703886,199.092065012418,199.326141863384,198.441705981133,199.845857315451,201.181530445277,200.588893793532,199.709513563249,199.373196069257,199.649688473975,200.342088247225,200.763047769802,200.949731040541,200.517317449126,200.120517536506,200.275488662042,199.987862745004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.834369943546,175.222890870779,176.136811529449,174.40145002062,175.005235113742,177.944119583182,178.466885715344,179.609795266323,181.057926055018,184.011993242765,186.939166827174,189.736346376839,191.227052697026,193.169606482666,193.784317685094,194.189248890052,197.865757525091,199.536498247458,203.056898013453,204.155693834609,205.782975074399,205.223262535999,206.270779971372,206.720085299965,207.063223613616,206.117542600007,206.294317313493,205.178840851633,203.749215249843,202.282764745307,200.565100264008,200.235652176157,199.370446964716,199.840733656382,198.936950516227,197.753741352669,198.262101809563,198.761798067996,197.508957735459,197.211527809833,199.594667243712,197.952907887589,197.862522587495,197.178987199412,198.08131992641,198.672763833609,198.469512616712,198.903802791076,199.983917067887,199.27445221913,198.732818302193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.254698283424,176.161164308588,178.273458408477,179.766605391196,179.720402582857,181.798198927671,184.427827367014,186.089924305318,188.674855781496,189.929768664749,191.383078406498,193.718604758986,194.721220907715,195.864220044169,199.029828637671,200.799264234681,201.103350338502,202.748508560505,203.556202495424,205.283662136334,205.688516441731,206.963893678881,208.150482323791,208.79827609486,208.918895658703,207.737984472965,208.014016688341,208.132995815041,207.504919545966,206.630468972145,203.947771327104,201.891472424837,198.858951303655,197.033269477198,197.621431552059,196.721899772316,195.90218929476,195.966054488541,194.218658010088,195.803163428586,197.426429475963,198.049501409337,198.281334252382,198.721362027968,198.657240026086,199.497128285555,199.896534723661,199.818032869168,200.102213858836,198.125512357596,196.620761854565,196.786370391249,196.967943846684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
