"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.562005326738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.631143335353,362.602554638118,361.604853464802,373.325859341481,391.694537463774,412.310562561766,415.52197831526,380.372556139999,355.749458587591,353.553390593274,350.891721190455,352.328035204235,333.541601603158,354.418623886182,332.116928787058,312.660051132493,325,314.73843408519,312.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517.748426199997,483.148398757737,458.938993767145,420.246795224706,450.693909432999,450.693909432999,437.5,422.038182678003,436.606229914325,443.650069673662,439.803679290529,458.592206318505,466.826929224327,414.423773281544,403.112887414927,425.73465914816,439.312489324295,425,391.103004647813,321.093943138485,342.216661396807,347.311099736245,348.209706929603,431.170444531242,386.050275677829,437.846954716499,405.04170115871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.388203202208,532.676724932864,521.078542396287,504.354502670685,471.325605153513,477.62432936357,479.243818828355,474.999544393134,466.032711625096,475.657439761011,467.988611432322,468.317331312828,483.148398757737,486.663745815794,477.62432936357,502.493781056044,467.638423766134,465.274419398812,455.156658602127,426.467423207018,450.693909432999,398.032598034041,350.881548761438,386.801678140793,401.556443707464,531.84050409437,473.665842532484,461.238306304135,454.095409182301,447.90312740106,437.321392113398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.43022044725,522.859144546059,532.384522025355,540.832691319598,550.565255430933,544.562748153066,525.594901040716,516.484644073571,493.952988514867,504.043745729981,527.375577743225,512.254553250786,488.292131791701,465.932314766689,478.271020651397,505.593710403917,526.172705667719,527.375577743225,521.381890472716,534.438958160799,551.417969748997,554.991089910933,529.719479080399,517.450975679639,412.310562561766,400.207464984133,436.606229914325,434.367893907447,568.674174008586,476.640884562291,486.663745815794,503.115294937453,480.884601541784,458.938993767145,436.963811013861,414.196743494549,388.104367406501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.292804986533,535.591559629903,508.940992129126,513.213859725018,532.384522025355,545.700289979115,548.862460002504,586.357669732641,579.87067523716,593.144666583107,566.789202437732,555.090082779363,577.16981903076,552.268050859363,527.375577743225,541.942911989161,534.438958160799,523.805113243122,527.375577743225,530.907267952012,550.567888638631,572.815467105318,581.750775866799,594.243216200236,618.465843842649,625.49980015984,570.635347744681,547.150523341286,540.448987264271,490.475834512491,561.805126356106,516.79349801307,515.388203202208,496.221445044903,521.381890472716,520.188204045033,428.283456270401,405.04170115871,381.608438061844,360.555127546399,340.036762718386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539.675828623073,532.074170791411,531.507290636732,530.918688263322,525.205783589013,522.943623452994,554.881770586321,550.283944319315,536.772763839597,604.398430251519,582.558021988544,602.596531344147,606.729557108344,602.594969297803,605.684272397625,594.243216200236,588.430114796991,574.176400985276,555.090082779363,552.268050859363,551.417969748997,575.271610830534,575.543221661067,594.475361135103,600.260303736608,597.121608100118,612.882533606563,631.438619679469,618.465843842649,594.243216200236,588.430114796991,581.750775866799,553.398590529466,578.368656354825,580.162511400916,667.24832021617,535.002957256492,527.962493465313,500.914770717949,452.769256906871,390.715768087733,348.209706929603,325.960120260132,335.410196624968,346.79507665583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.928027647708,522.015325445528,518.398416247439,529.740502510427,532.384522025355,555.090082779363,543.420466507819,514.78150704935,524.902435512584,599.456273661313,619.690368956823,623.991963808967,635.163442128853,629.973127628915,632.455532033676,608.533018062059,606.731087437666,599.456273661313,600.469866293153,555.090082779363,577.16981903076,580.132504257645,575.543221661067,575.271610830534,600,602.079728939615,602.079728939615,608.276253029822,635.163442128853,627.815270107843,618.465843842649,594.243216200236,600.78068574089,616.888026594831,654.06395673059,678.915003751562,680.760544279058,549.138146277701,527.667701775572,528.558040126826,448.953752466478,425,378.310532376259,369.367090937552,360.555127546399,348.209706929603,367.828606573494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.056737017928,473.194709419167,503.28013540596,510.496462666132,509.584265749997,533.265327306275,528.852831816568,527.375577743225,533.525703183149,509.25174906983,527.619832571469,592.663479556485,609.794012467417,617.334918723109,632.18712469916,633.430677399903,625,628.240362899966,612.882533606563,602.079728939615,621.985460078499,604.669331122391,586.267077396823,601.300168206415,600.260303736608,602.334665561196,612.760303736608,601.300168206415,626.996810199223,625.49980015984,632.949445058608,654.31261641512,612.882533606563,588.430114796991,591.336665498613,619.939671902893,631.216680329658,653.116428467692,619.133093073055,482.830197895699,496.23583103198,504.663356610184,447.556172684561,413.823633931171,397.642353760524,386.460167062153,375.933511804431,355.749458587591,375.416204729661,388.104367406501,406.970514902493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.024502363328,450.693909432999,450.346954716499,460.29831531795,480.234317807464,499.060735564641,515.388203202208,523.805113243122,501.869952399986,500.618383033367,493.0770730829,616.186572786933,616.894891547148,602.596531344147,604.915273551431,617.454451761423,622.731327020936,618.465843842649,626.996810199223,602.079728939615,588.937046348337,610.272786391132,619.979018787854,583.630876496438,601.300168206415,613.539864469807,637.74990007992,625,638.738700881054,675.462804305315,654.31261641512,650,632.949445058608,608.276253029822,583.630876496438,602.079728939615,622.731327020936,626.248305179531,515.388203202208,460.977222864644,467.038542306735,480.559459674624,499.060735564641,438.664929426045,403.887360535088,425.36732957408,403.112887414927,401.946687980981,403.112887414927,417.515243335709,430.803114957162,434.086571227563,446.494529878426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
