"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.384628453435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.170824512628,261.007662722764,285.043856274785,275,257.360256301612,279.508497187474,301.039864469807,275,251.246890528022,230.488611432322,250,269.258240356725,257.390753524675,275.51184705714,254.950975679639,230.488611432322,213.600093632938,206.155281280883,182.002747232013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.881569299512,329.553424017545,313.083488376622,292.052751895606,338.851281094626,325.71681140405,333.541601603158,357.945526581909,339.581840316785,363.964195296637,353.553390593274,328.823660949148,302.043333287764,302.076149339864,285.043856274785,276.134025429682,277.821261308578,270.013907568963,253.052632039436,230.488611432322,230.38601185785,229.765307239201,226.384628453435,315.837967145062,276.134025429682,302.076149339864,296.723401535126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.277033184314,406.874074215303,408.334376341596,403.112887414927,371.651718682963,347.311099736245,364.005494464026,357.890624882051,357.945526581909,353.553390593274,378.318648760539,363.050306721528,350.268431167197,375.832409459323,305.033979977422,325.960120260132,300.934584886035,290.510227611764,287.249387195995,254.950975679639,269.258240356725,251.215718264822,237.170824512628,245.696837290307,269.621254969773,348.209706929603,352.591920543289,348.209706929603,324.780694150421,313.249102153542,333.460064086702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.970514902493,425.668782516699,427.876158963906,437.303513058421,426.865773432509,409.87690851801,403.572973923272,394.502727194622,357.945526581909,357.945526581909,357.945526581909,353.053095868521,350.615870437439,333.287945360038,299.487712429687,339.756435174155,325.1758920385,352.863558834945,285.043856274785,309.169236978744,300.734634783597,285.814773176531,276.134025429682,277.779080411605,251.231304396422,262.077184385797,292.617497767991,315.951169126251,340.036762718386,357.751214612872,348.209706929603,348.209706929603,352.628313159077,357.497807485321,312.827344591466,291.547594742265,270.416345659799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.152927313615,436.606229914325,436.361895771013,424.777073110683,425,447.108283829127,436.606229914325,465.199217245227,450.693909432999,418.735179665075,391.311896062463,352.863558834945,378.318648760539,350.891721190455,364.347870555402,375.822004341081,400,357.497807485321,363.184922884329,357.945526581909,333.541601603158,355.694556887733,340.036762718386,394.107832506261,355.670638626478,345.438515030299,284.905472297602,279.508497187474,312.642908417887,285.043856274785,346.255132331882,357.945526581909,353.169272877132,371.651718682963,424.736092006689,381.587086803499,353.553390593274,335.410196624968,304.127503539304,265.753645318366,261.007662722764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.104367406501,382.323768150486,442.37316477281,443.001128666734,450.693909432999,450.693909432999,450.693909432999,469.368799454783,459.619407771256,456.069357763882,436.606229914325,409.573788136388,427.931069215592,414.537918608961,443.001128666734,424.633979966812,425.091292669456,450.693909432999,446.329119971191,431.494009373394,388.104367406501,433.797395293916,460.302139015117,480.884601541784,478.771903023159,409.435780458474,363.929744865499,367.93857937188,353.553390593274,292.617497767991,306.621839275538,390.405840104553,378.318648760539,382.426463519459,388.104367406501,430.624729354728,378.318648760539,402.802959431748,369.120576505835,347.220170523522,325.960120260132,261.007662722764,269.258240356725,285.043856274785,300.506933929031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.788655293195,364.627295231173,390.207637919463,402.473274856853,450.693909432999,450.693909432999,459.279200769201,446.751359290288,443.001128666734,446.69537493864,460.874623290172,436.606229914325,455.045089872899,498.121471129282,512.391294875126,466.846843563726,452.717373220024,477.599743243538,484.952854632016,474.824715285808,460.848681446749,500.62460986252,479.254465452677,502.493781056044,525.594901040716,525.800787348481,475.657439761011,456.069357763882,425.73465914816,375.832409459323,378.287570769274,388.104367406501,400.780488547035,452.445117466462,436.167983300367,485.341391242298,442.35501325918,418.696640235482,395.284707521047,371.651718682963,335.410196624968,324.89034707521,269.258240356725,270.416345659799,301.558006904836,313.249102153542,320.156211871642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.674443585567,380.788655293195,371.651718682963,378.277165651032,394.922306215351,433.914411628521,443.001128666734,445.054706247931,436.606229914325,443.001128666734,430.116263352131,436.480246979986,447.108283829127,460.367948040886,484.801321645964,520.21630116712,522.015325445528,530.143312356314,505.593710403917,497.649795987367,500.304497307978,505.835434516085,500.62460986252,525.352607506243,482.805877941275,550,530.330085889911,499.024430571616,499.711937877518,500,477.558721129481,451.596206431501,402.595726817541,417.188785130129,418.599456222105,456.069357763882,431.566912540802,406.970514902493,435.865337039029,382.240801931472,374.916292967074,348.209706929603,329.259622305268,302.076149339864,292.590750192347,282.276176731129,284.974664286193,316.227766016838,322.517558584217,302.050242218113,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.104367406501,371.460563077489,369.120576505835,369.120576505835,375.780150824618,375.832409459323,381.608438061844,413.823633931171,424.92595456695,427.200187265877,424.8519091339,437.321392113398,436.606229914325,442.152927313615,445.112345369121,482.383386045986,515.273493390716,529.740502510427,534.350665905579,478.833657468179,500,522.015325445528,525.594901040716,502.493781056044,527.375577743225,534.438958160799,530.55542486557,534.350665905579,559.016994374947,583.630876496438,502.447051776206,488.958850188023,403.05457744323,425.265555542018,403.809688735386,431.767313955523,425.73465914816,427.820385417347,385.483872890393,354.330451318789,350.891721190455,353.553390593274,350.340019684422,333.446833086371,303.994118655574,285.043856274785,285.043856274785,309.105552036164,320.972288710444,346.71388714189,382.426463519459,388.908729652601,357.945526581909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
