"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.606229914325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.62460986252,481.013194867633,482.950356548125,475.657439761011,465.507481540929,467.038542306735,494.733636913492,515.388203202208,539.675828623073,564.025708633924,534.438958160799,559.016994374947,583.630876496438,608.276253029822,555.399840185085,527.375577743225,527.997889571128,543.437866304026,550.779116282039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.359475633992,577.16981903076,555.789493339337,527.375577743225,550,525,500,500.015615246563,502.715312557433,546.008241696039,527.375577743225,539.675828623073,551.889464176022,559.016994374947,577.16981903076,601.040764008565,617.454451761423,606.51787859995,552.890595063648,527.997889571128,571.955401589789,576.376852813035,600.520607473216,676.849318534044,651.920240520265,711.512473537885,735.272058492637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.31261641512,645.163742001329,650.480591562884,604.929711985359,555.188255569253,575.543221661067,550.680943492149,550,526.187788871612,522.427854327226,550.567888638631,561.908658683524,575.798859261865,588.430114796991,561.832883634578,583.690866975194,596.423606937603,613.371048436235,618.465843842649,632.455532033676,656.220237420334,680.073525436772,704.006392016436,728.010988928052,651.460446504044,754.021522374429,681.53490623406,704.006392016436,728.571127979605,752.080447824566,776.208734813001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651.980049917636,654.336461677685,664.020467315821,660.018939122204,676.849318534044,651.920240520265,639.564019412208,626.124319944916,625.49980015984,629.033824990297,625,633.097643960643,601.040764008565,590.269150261258,590.32264963228,618.465843842649,629.483915600709,612.937794289468,608.276253029822,606.51787859995,612.882533606563,626.996810199223,651.920240520265,661.910114743686,675.043756183456,697.316284049068,721.543484483091,726.722092687432,751.056288303519,722.216729939096,697.316284049068,721.543484483091,752.138468708836,770.146090037468,794.512429103535,818.91696770796,816.428998756473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.145600891813,682.727814268787,656.220237420334,658.184985984846,654.594325191607,700.446286306095,679.153885360306,740.354644748042,725.430906427345,713.805469962183,691.465834296967,707.989057085142,683.215210084765,675.549109291471,653.422160064828,675.578072333601,653.709750719351,652.760854447543,633.361293715689,643.898070378821,657.647321898295,632.949445058608,626.996810199223,651.920240520265,673.145600891813,675.480135733174,682.367203197809,691.612095540769,715.897656143739,739.324317526561,764.852927038918,775.403120963541,800.009763241978,825.004733762012,820.060973342836,771.019449922257,789.382670192347,813.941029804985,813.941029804985,834.415963413932,679.677234424224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676.906932704701,654.31261641512,675.625,721.728482112669,707.564884317568,681.659902669421,725.430906427345,732.51870175723,726.775765041637,735.776250421917,728.868986855663,731.86129880667,750.416550990182,718.645670393734,711.621938028534,707.548584904245,682.587613157836,675.947775748698,675.462804305315,689.655711206686,676.849318534044,679.153885360306,654.31261641512,651.980049917636,676.906932704701,676.849318534044,667.083203206317,675,679.245418179394,704.006392016436,720.193507938394,735.696948478108,760.345316287277,785.015923405379,800.390529679106,834.415963413932,859.142013871979,825.378700960959,785.015923405379,809.706737035082,834.415963413932,828.467987055062,679.245418179394,673.617959837683,618.624753286871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.668374414181,638.049721109474,655.502246980331,740.854411536523,751.881831352861,765.967160623553,731.876371870673,687.482650432303,731.146792334216,781.424980404389,826.513762740827,801.56097709407,776.811391174786,751.912631210339,726.722092687432,720.780227961376,704.974659336446,710.200554505136,700,692.21777555162,708.361729320678,701.78344238091,676.849318534044,653.116428467692,682.908182918275,711.350817309291,686.825755272769,675.005785053816,700,700.446286306095,725.220839544015,729.357350122924,751.664818918645,760.345316287277,783.678965034614,817.738618547094,831.038506929733,855.862138431184,876.427407147905,781.424980404389,806.225774829855,806.846093132352,680.704048243937,586.935895851516,605.655154032219,548.292804986533,535.004169857179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.847293133509,638.771266622465,637.377439199098,612.907985609137,657.647321898295,750.941122804966,760.345316287277,778.620575119872,797.260935955099,764.033317808291,775.443339140495,778.620575119872,828.402076289045,800.468464787114,778.620575119872,754.312435503227,729.750712775135,751.664818918645,750.416550990182,739.118530945524,742.240076383222,750.416550990182,726.722092687432,702.302442318223,701.78344238091,715.537729993971,730.196842452754,707.106781186548,711.073132666395,686.476510887299,700.446286306095,725.553920828162,738.865502567591,751.726974901176,732.327870729596,756.871870314109,778.620575119872,803.50793399941,828.402076289045,853.302408293801,797.652806677191,789.859582733026,803.50793399941,810.02211188614,838.583660330646,686.476510887299,594.243216200236,553.62612576623,550.515890263142,531.184489947667,539.844291903701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.455532033676,636.722971634505,637.377439199098,614.982087761167,604.152298679729,677.99836019747,752.080447824566,743.366393794498,762.069379220016,773.959025049782,789.382670192347,801.677597037464,840.014880820572,831.038506929733,806.225774829855,781.424980404389,769.891596596433,778.620575119872,776.611228350453,684.09964359083,704.574284533211,728.368179335216,750,730.563927452727,733.949336626011,778.620575119872,760.345316287277,728.868986855663,731.864058415222,735.768757812126,731.864058415222,735.752617983874,726.722092687432,740.422982870052,752.728693409674,751.754256364868,775.040280708761,778.620575119872,801.56097709407,826.513762740827,765.14612461306,751.664818918645,776.611228350453,801.56097709407,797.368436983573,806.848675578539,622.124034853269,550.904334138513,540.229061066399,533.754237488257,516.064679407725,548.556529104512,563.763280651576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
