"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.787523639607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.42578972648,191.123571855295,190.129721841659,192.545009816818,191.351002299348,190.580059173588,190.583566737903,190.587468687672,191.12929418228,191.510594060243,190.583450305829,192.003715581487,194.001604672642,193.624247068056,194.247212030293,196.83554927559,195.890037619554,194.631838559954,193.453545980522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.203637796488,191.308634693958,191.475246203813,191.736179802813,192.973067085912,192.078262907593,192.564614656712,193.33703420341,191.84126857237,192.109021001195,192.660797328809,192.273544731287,193.616595622203,193.882992296505,195.421776917833,195.231749201505,196.354994351137,196.346543189943,198.04817049786,198.004069096682,196.788735317009,195.983871722472,194.055812048618,193.279792791287,193.87341901903,194.567238713155,193.32908286896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.036378551309,192.359367568198,192.18611532634,192.181673823166,192.715503472545,193.71879804805,193.357030676742,192.641216362698,194.412812018715,195.820151383495,194.541218901432,193.861242987734,193.861188963449,195.781340365441,197.009356038351,197.93800566277,198.800961775755,199.740144870331,199.87287399054,200.151062723947,200.556753663777,199.862982439156,198.43256137846,197.542291989335,196.204967303507,194.62726654626,192.998421209736,193.397983169074,192.625802060411,193.181575263232,194.706990756375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.560536691673,191.855489517238,190.624801625913,190.809218143809,192.053740433052,194.209068280145,194.933198801128,195.758478601595,195.885104542417,195.943046341373,197.379535305726,198.176549563012,197.977659659163,197.508972178035,197.174346103467,196.744507395571,197.346732789011,199.539665634018,202.945797031122,202.758624270987,204.351385063736,204.046467529623,204.419021816114,203.079088702059,200.864056883152,199.100126564794,197.297387081289,195.801837443588,195.814303366713,196.46254622258,197.142761301337,195.554012682322,196.34594273865,197.725447416022,196.659494638707,196.074327762275,195.651238971139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.826215692603,188.543179201868,190.432196232856,192.055270913916,192.239483980907,193.062777475468,194.806071692413,196.408189698457,197.487147606278,198.949547248714,198.786520242827,199.036744328017,199.525311744385,199.969207244397,199.367081213573,199.144191299507,199.050744859168,199.823293833987,200.138030733057,202.743447841118,204.86763648273,207.520925583696,208.782809639129,208.443959772677,206.728922207185,205.178033797627,203.327025396651,200.651330038498,199.19451661024,197.632353718284,197.77194712196,197.896835717808,200.381571691476,201.705885295603,200.38167585815,199.928684961436,198.066106585636,198.80825651382,198.054753262245,195.709007600862,194.564359523471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.941890541784,188.999489950777,189.229976433134,190.093327244217,191.45293663085,192.841995134601,193.28576293278,195.091353189715,197.203703070319,198.297369811851,198.576518837709,200.155629086208,199.430902600107,199.973925582839,201.41244354462,200.982743188991,200.102535423693,201.288149892187,201.388304349216,201.175307229602,202.592105525146,204.065236998286,207.095512953908,209.25830923358,209.575637396901,209.328007187567,208.313600867202,206.27249274813,205.515628216875,202.280143043438,200.564784635788,200.541507282673,201.077840735615,202.195120956779,202.443212994572,204.117295177574,202.83439595343,201.545623323326,199.987536141536,200.739206680505,198.642072929137,197.851382589664,198.525556695653,196.499362309835,197.558212624449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.137921340271,189.17606355066,188.962804446897,190.409609260843,190.08470971583,192.26791356545,195.124023393302,196.225704950754,198.325868855367,198.55797926587,197.602638887289,200.982578659094,201.202712375701,200.81066115409,201.318887710507,200.89742375712,201.575063997996,201.838452564057,202.119273918451,202.188230103072,203.066419710205,204.51861998142,204.270330031572,206.904214735207,207.192645378118,208.810305575959,208.37574625211,209.105599200115,207.160489136329,206.683943951948,205.836100533926,204.170547165971,204.434594264763,202.991171409978,204.775189757132,203.41215646035,204.558906466294,203.590871294445,204.265592247454,202.850205338989,201.136641591266,200.37394047586,200.893497631192,200.127634088055,198.332533436296,198.84097993003,199.362183176725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.690462728223,189.002383847978,188.935674358244,189.335146412604,189.980974289635,191.578414370334,192.647064718866,193.376362462546,195.397444306012,196.960660414644,197.55414012543,198.249363302609,199.03896484355,200.37384726805,200.756350520143,201.558252383939,201.553581799804,200.786593087459,203.004604408693,203.828053500293,204.465214075135,202.840368221749,203.133148035455,203.395706974361,204.195496487401,206.707312591273,207.462139269074,209.017571443724,208.89718342014,209.103508225807,208.183803805465,209.109021478393,208.739163214343,207.297369651379,207.307449961834,206.749263433353,206.26029815401,205.462984181097,205.66301418392,205.22032517373,205.092056515879,205.034636100407,205.563894814881,204.73724167279,203.976787669678,202.676624729532,202.177560990079,201.476103907423,200.701021708772,200.630786268026,199.081014297549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.436251182505,191.5746398867,190.681599693855,190.402800094698,189.802832388277,190.065803676329,191.102212067423,193.262463615295,194.190670622137,195.597307150307,196.379908513344,197.951466854212,199.853763104849,199.873866762413,200.517087051383,201.472552549366,201.468579838595,202.72196435213,203.365513796111,204.407452271376,204.143183730315,204.28994168723,205.142543646604,205.106335103908,205.761216843059,204.970674913685,206.736088630914,207.051585514706,209.053537601292,209.06856882828,209.025652236514,207.918647658998,209.760734909016,209.7083953782,208.193831347388,208.685942104349,207.398052986351,206.857970596516,205.648504839577,205.784438419846,204.608055656807,205.330656176957,205.965626641222,207.030147167264,207.278300850826,207.436346956138,205.934281882708,205.693580134093,204.662339783653,203.503918659578,203.735823432913,202.301515720705,201.765108782083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
