"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.178816744846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.571915133395,175.446476838865,173.43542045168,176.318504296173,176.774297808879,176.668806005417,177.02910191339,176.278667468661,176.901661003763,176.322272727457,175.35633965575,176.406893943328,178.240504668296,176.64854541931,177.18121506849,179.865990535827,179.558421422216,178.422350428667,177.79265049701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.068487246346,175.494970922095,176.333261138977,177.45496418543,178.716756592464,176.954980943011,178.14069494423,178.967939482829,177.874825618764,178.536387010818,178.72288717641,178.024386512562,179.281304910633,178.747501130564,179.540448015559,179.307937771545,180.139296968493,179.800750584475,181.133597327545,181.032108781967,180.581756545104,180.168956438111,178.231129710851,177.884778850996,179.519017357649,179.8641613864,179.819376032849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.694332274646,177.777923977744,178.240074872688,178.652289830525,178.33732188955,179.104229765543,178.571541125788,177.792869773586,179.641199905181,181.222721122213,180.420280153549,178.577813638839,178.970141000581,181.317468119241,181.594571860266,182.310700116481,183.289945294922,183.273323238226,182.912242549279,183.544809529788,183.412468475866,182.713855390426,181.889470816343,181.277504694338,180.934752797508,179.858569738123,177.949765047857,179.895300331575,179.397161364068,178.68610104656,180.801921838917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.523329572902,177.440550223019,176.048312032475,176.791759338239,177.520229606568,180.751632287716,180.757435203344,181.559254631553,180.893283581183,180.665041180435,182.390089205599,183.689112150436,182.882267309164,183.578873125121,183.396304252358,182.40091585581,181.919254077188,183.717896073179,186.734094169289,186.865947067173,187.582039865128,187.088954754071,187.477234608845,186.73061789566,185.21240198684,182.67984023741,181.850020638608,181.361714047877,180.845620406728,182.670063388178,183.266976175908,181.428293441124,182.686581688585,183.124990590347,180.962291185502,180.824725847771,180.71506812896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.930077406261,172.662758373011,175.26164480332,176.897837845146,177.421531474526,179.232494887409,180.708232570489,182.718347128346,183.493651536908,183.908466081885,183.079302170743,183.7730172615,184.870366425375,184.691999569768,184.64934309096,184.946511835747,184.349724954628,185.359818162779,184.974065314105,186.730861380887,187.73497341125,190.479656798156,192.256219709661,191.708912240509,191.090923708628,190.190674471154,188.062802508301,185.038447662025,183.808621081422,182.30103897833,182.339031851093,183.209367425114,186.722249978299,187.71639339315,186.664653887695,185.225872952917,183.517776985547,184.261913521298,183.254895109053,181.72191250242,181.051395483382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.561680226839,172.997599138345,173.776942175982,175.131141116797,177.217045056721,177.947026761707,178.492568861717,180.647795764584,181.942152781939,183.652191407634,184.383780729596,184.371399448781,183.550176583757,184.322341221732,185.899394372089,185.506545605181,185.177324678728,186.225544184025,185.778165989616,186.353549737752,186.711259307806,187.868798764129,191.048880223556,192.661131415333,193.122999115437,193.523111094546,192.611647636644,191.671932528585,192.20798183626,188.790656801921,186.372070372606,185.621764806935,186.479246316879,187.829057318627,188.769463155969,190.115788915843,188.788827209816,187.100685336176,186.411922339588,185.266046560173,184.002935807468,182.933079580086,183.463768192221,181.029056374972,180.241149904309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.210831224719,172.350371819929,172.490366657191,174.95463895703,174.458959904267,178.128608536689,179.433620436249,181.835634155954,184.441629857906,184.388354474954,183.576572809948,186.847554648934,186.165319078339,185.170816083355,186.26768592939,186.429141064048,185.716626741286,186.904569262578,187.778233276266,187.213962431705,188.194401956597,189.261054930582,188.258426464488,191.463477920372,192.081807231669,192.860782935807,193.315219812778,194.152588939393,192.732791290784,193.044700680911,191.757122056943,190.531228060964,189.99084940349,188.298931696805,191.345232721803,189.899084769697,190.144303168642,190.177820317053,190.266031486101,189.261720390586,186.652318021755,185.023819161233,185.948847966157,185.689442633905,183.407263785645,183.421125299461,183.533238445327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.319330374521,172.009963270782,172.586048917909,173.096418756523,174.336745069216,177.012482893576,177.738359603287,179.340506295148,180.679944334769,182.978314927806,183.321369192719,183.782868436937,183.698215904389,185.842100889001,185.708936451712,186.616541712757,186.79655490957,186.566792004669,188.706025195916,190.017652868591,190.068228625306,188.519318283299,187.876553025214,187.890955569826,188.733317997168,191.787170297707,191.523946961317,193.724184219521,193.332311955748,193.57685013839,193.37463483921,194.879300810513,195.206866507898,193.680183160267,193.733394255499,193.06473406283,192.037154648039,191.158530092324,191.940099140946,190.991456228336,191.095169899922,191.272513788893,190.944208604859,191.09263935973,189.684075690463,187.759231856435,188.1122477812,186.964663684616,186.082299792366,184.358596544177,185.414664793219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.941561060792,174.557607562304,173.856491781348,174.164749809218,174.602571174003,175.418390807352,176.726533538058,179.154097661188,180.064524285384,181.014401259532,181.557339077748,183.565499423341,183.954775300114,184.198016308043,185.22195139792,186.366876448964,187.573004059979,188.705623815022,189.293593063449,190.52874772508,190.690857657732,190.484841160218,190.480165210886,190.329220490035,189.702476650585,189.369967116699,191.833630983793,192.325837069289,194.411151508716,194.943168384498,194.109145047066,193.910809427789,196.049818973279,196.182496860797,194.788578851978,195.221529747735,193.536845792576,192.136371867509,191.246127526308,191.743979224628,190.238181849884,190.98505862533,192.883019780704,193.578102385486,194.278900043929,193.831368280401,192.443303596848,190.953969131483,190.359038000774,189.764035488438,189.559573960547,188.226188774197,187.124666509571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.326853062599,176.634963680034,177.312717744354,177.773121415875,178.773868183638,178.022178878252,178.007049168983,179.725664799933,181.131953677127,179.232303039245,181.217580061291,181.99715112272,183.497902004964,185.375354821355,185.138171920336,185.645372814043,186.464729550562,187.84323598118,187.895329547194,190.442159011508,191.957109408338,191.969951274681,191.597637943696,192.788107880823,192.710761494695,191.307899827105,192.326614962314,193.261145171018,193.646822993103,194.005314765317,195.485893237336,196.443044986603,196.487217847074,197.158744967468,196.048609338385,196.13950968998,194.590960530145,194.088737372468,193.428491710334,192.937891305095,193.002317006557,191.595406521095,192.156305520963,192.946273081322,194.796445084199,195.123056127429,195.915857348205,195.249812122296,194.539986494878,193.52315836007,192.632272040028,192.256797283931,190.970215907225,189.81186842076,189.166615785134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
