"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.193885368846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.828837062466,175.682104015957,178.151745196349,178.694900564589,184.622924117804,187.899568621925,189.560019419428,189.160121452937,189.890721147409,194.175329202596,196.93002402996,195.976115878169,199.106089256633,200.475256506569,199.573425831023,199.105368498438,196.234410117896,192.844652932906,189.622455289597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.723906587851,179.844289271011,178.144768348534,176.015206790983,176.172536216937,177.297335262368,180.019547626546,180.504796695204,186.194878129493,189.362416763482,190.118479479125,191.216467098665,190.724632469263,191.158754736638,190.328581672363,195.78428323847,198.098179444118,201.425379583818,201.492615241503,198.838977531871,197.429044935324,197.479622895568,194.331317742318,190.617634456918,187.177552463917,182.20901685474,181.812154479274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.254506254111,177.382420948196,177.402979874247,179.044972568958,176.458585387972,175.821339214503,176.787032751425,178.769817944341,178.64862773598,181.394061173245,184.39960082703,187.928304031464,190.241921191086,192.30229006901,192.890051905792,193.10544047176,193.274716532413,194.225149861124,200.295222034964,198.947277557147,199.656196786277,200.852199185747,199.371174424545,200.276993610138,195.610919079486,194.047724185875,193.747624736949,190.23029404481,186.604987830361,180.927739411502,179.131195384358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.034322630996,173.836310280094,175.917175946117,176.462010187385,178.936454221953,179.36204808055,176.813709531474,176.900741729686,176.553588235015,177.390748455633,178.821630199808,179.006681126439,181.646700826222,185.482927156005,189.248964774343,188.039467950519,192.198509569763,191.195750662337,190.395104286629,191.8323410732,193.299696803152,198.009819641328,198.467302370156,200.008155331855,201.062409033972,199.691065447118,201.962887059913,197.501133348789,196.406446759047,192.34494376186,190.987999926191,188.93002817639,186.358604337297,182.141540019353,180.793579918244,178.642832133023,178.241900280493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.491665160969,174.664613040273,176.193304882845,174.599482410472,176.793427649268,178.548579434632,178.273515533632,179.834456619511,176.874609672568,176.321747439827,175.288538771597,177.053651544409,180.487792092415,182.522584762975,183.863605205418,188.500121390634,188.255608082789,192.179304430956,190.749144132974,189.701923540868,191.923099270024,192.373359632313,192.15997993008,196.084650829452,197.374951510832,197.43810297077,199.372322014892,200.551203334431,198.072885078131,195.249804468237,192.997414179855,192.257586847679,190.856232459042,187.72984839148,184.977143474779,182.721068816658,182.983409655341,184.07275810587,182.931737510897,182.797408702507,180.198589023941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.917623009963,179.0683167529,178.050945597899,177.18772116559,176.239536661168,175.901405560322,176.762591912551,176.793614486236,180.037806274288,182.102853386672,180.900071201361,179.390366144053,179.161195290582,179.470216568911,182.632515765615,185.420991181074,185.103880683054,186.128832965952,189.70510045527,190.96425358454,193.548282343946,192.111904222573,193.122679827545,193.318289390656,193.067517459337,196.019988246439,195.273132232816,195.878554215219,196.746698152242,198.894778309956,196.371876532187,193.764081746343,191.622394364798,189.803231246895,190.397000367789,186.851660950146,185.710750330882,185.915360062494,183.885350551506,184.894530817395,184.136101791328,184.073772393325,180.434956057927,181.681760746652,180.644980514678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.282380294807,178.556157446341,179.063859285298,180.180237171435,178.529665820727,179.117091242131,179.213958643195,175.578106876335,175.729735886386,178.85332998116,183.021314564931,182.284792787078,183.02983259201,181.264509098324,181.901175629684,185.919702923802,187.448328001412,188.167228149646,188.001590660099,189.252459099924,192.747305549092,194.290622275314,195.538017473167,195.517650800742,195.194540234828,194.50919377517,196.835100665219,195.394468316389,196.342913272211,196.201954728457,194.674543195054,194.123044480063,191.569061795362,191.374637505972,190.907830816115,189.661979049558,189.180790240927,188.29567491513,186.322705283919,184.855666123022,185.53171037972,184.659737466936,183.091598720197,184.421030740222,182.480015990452,183.608927338778,182.479145614019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.838282579782,176.276897450992,178.363346534564,178.453031541056,179.939374166707,179.312687958842,179.666299407993,180.54973059002,175.98280437761,173.478067830687,176.851598645844,181.380299064328,182.286455098303,182.402242462434,181.60620216661,184.213913841235,179.862324101439,182.963123774179,184.470700691969,184.544625160422,183.425606166319,186.754628235211,192.880473088415,193.238528214951,196.958740146086,198.674751797305,198.100575816923,198.512586193646,196.913676480592,197.949060019844,198.736077197145,196.331682833001,195.769533509635,193.527145551404,191.841475199106,191.909644703901,191.776864636947,188.92013971744,191.099302998665,188.661651976458,188.251495547164,187.627631555847,186.138560848612,184.771670763096,183.220337211758,183.66407018761,182.607368067653,182.78211848382,182.433653216111,181.886911349299,181.911056569862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.040826913896,175.928309661175,176.513053065647,179.027233234576,180.776699226802,179.386706022887,180.900485991228,182.408478085099,181.454331128023,179.046340227101,175.852447731285,179.045228034042,181.214219363552,182.705085672346,180.01392711737,183.33038058804,182.462566091504,180.64496129359,181.114007346399,180.258339864462,184.24979687109,184.003160561632,189.226803736472,189.29496416928,194.208005510034,197.167274176983,199.338599360691,198.101660359179,197.768713073217,197.015844665579,198.2363432211,198.38390630048,198.361268094293,194.420617596518,194.867744268017,191.796995416529,190.407779376421,190.063129800203,192.366699841349,194.261541812499,191.253750257998,189.16517447179,188.16006445223,187.335721706088,185.768446228756,184.760942037378,182.263658108493,180.955035163041,180.362082225204,182.644384543662,184.386710922083,183.512591366693,182.450069523652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
