"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.033393607913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.039864469807,371.651718682963,395.031148677034,363.853995266973,345.438515030299,334.117906933003,354.194764337888,371.374303904549,381.567315695577,436.606229914325,436.316074166466,447.081003430138,456.207189772366,456.108705453259,436.790430421246,475.549703542833,479.875258712879,458.732866658792,513.324204771546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.707321197837,385.26541546298,380.726905129879,403.77014645841,340.036762718386,383.027030617915,388.104367406501,357.945526581909,374.879649876267,378.304219030922,406.970514902493,403.112887414927,452.769256906871,490.203358290164,452.769256906871,477.080074262906,479.213712050449,466.962775813709,488.368325918254,503.047046376451,525.594901040716,527.353319284443,587.684535078405,598.264278879066,600,549.417010751283,527.375577743225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.116263352131,412.981050077426,424.549262872562,382.426463519459,381.608438061844,403.887360535088,384.490845100397,395.284707521047,395.421020910609,406.970514902493,353.384432744838,378.318648760539,436.954871486373,455.777003626255,450.693909432999,502.744429536529,508.779811852299,475.657439761011,490.914880958014,485.41219597369,506.071748072405,529.636862473684,544.143680063384,564.025708633924,588.430114796991,581.48516748065,570.925294261029,556.0460420259,514.78150704935,493.0770730829,452.769256906871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.116263352131,450.554370331402,431.548779425943,425,403.112887414927,447.161064246687,436.660257987343,425.695426506978,450.693909432999,429.125870289656,406.970514902493,357.945526581909,369.879983338964,382.426463519459,406.60526859839,425,425.73465914816,450.676561697174,475.558480182057,506.081899438952,499.635304899342,502.431436529643,509.901951359278,500.562031394189,530.226151384356,574.694598607983,585.100887528511,594.243216200236,571.182982939793,552.225546803845,531.894171131174,572.763250394404,554.263213846017,515.203658285462,454.080503551996,415.931613483433,382.12045180774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.606229914325,424.793901854619,413.804720539054,459.619407771256,436.606229914325,445.079869300592,450.588924944134,442.921192432329,437.276390527535,436.606229914325,410.594752957276,403.203216406884,378.151975508599,364.005494464026,353.553390593274,391.311896062463,399.100945219314,433.162311013935,452.610193230283,455.045089872899,479.180907933405,485.41219597369,500.62460986252,529.634178269064,530.256223186243,539.614649920536,550.374742301654,575.433256581036,590.021186060297,582.485781382835,561.805126356106,555.090082779363,576.871055603438,566.459079271577,498.121471129282,500,484.801321645964,403.112887414927,374.916292967074,302.076149339864,295.991046953922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.998092940047,418.991792821077,445.059564951562,461.196483017914,440.184132046271,450.606901584673,466.79073047165,436.606229914325,427.200187265877,429.97826462718,424.99539943344,413.652305955454,403.490443061006,403.015035166254,390.452280885612,391.311896062463,374.916292967074,380.788655293195,418.634839925546,465.368684758338,488.579119004613,469.640635366532,491.100069214262,514.955282531616,529.735470673637,534.262373650359,533.935920611707,559.647753698664,573.094747916894,576.99276636873,570.087712549569,577.16981903076,564.025708633924,584.825025066758,583.630876496438,601.456981191893,552.268050859363,588.233070968498,562.975449054214,500.50645308436,435.277723198024,347.749170743007,348.209706929603,400.915535477264,269.051975915876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.894962360311,354.164003493413,332.439616541009,465.026880943457,469.567830383334,461.622866039551,474.22579169216,460.926267137207,447.213595499958,436.488654381219,427.200187265877,427.200187265877,419.076365356005,405.42893771879,388.674852711958,375,382.415011642295,400.780488547035,397.583412604537,421.213812391818,480.020936277348,492.763697792545,475,502.493781056044,525.580028514698,507.821861615618,529.571833742663,554.471082857127,573.418499508931,577.060960232624,561.762345609293,564.025708633924,583.630876496438,604.669331122391,618.970920156997,625.49980015984,612.882533606563,598.516332194864,594.110561953938,535.023363975817,530.624820744581,521.464942309389,382.426463519459,416.525679537354,390.269388082779,365.466476565541,375.832409459323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.627295231173,359.771279750958,320.156211871642,291.547594742265,359.957139607694,429.460540781705,445.006018925936,470.209278367015,464.668556655695,450.693909432999,431.484826134042,424.720590848279,403.887360535088,403.112887414927,395.284707521047,389.278324146056,378.318648760539,375.832409459323,378.318648760539,403.112887414927,427.556492216363,447.833357850262,481.420914336003,502.493781056044,500.616100331388,507.946089129152,525.344886157756,502.493781056044,527.375577743225,574.101565534139,570.087712549569,555.090082779363,545.719009607658,559.016994374947,583.630876496438,602.079728939615,602.079728939615,600.520607473216,617.409945185503,604.669331122391,571.114263464911,570.612270392666,554.573804663899,548.264247945402,455.962177774141,401.508651872674,409.182322665388,412.097739373757,280.717829587501,313.249102153542,305.441631967281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.278324146056,391.301903409124,394.922306215351,339.814602668389,305.163890393343,335.032117797073,416.082924427331,450.606901584673,456.069357763882,444.899692482751,451.19120017449,436.389350896856,403.112887414927,400.780488547035,403.112887414927,381.598190777236,381.388379110669,364.005494464026,370.983157183576,382.426463519459,406.970514902493,425.169114854829,473.922435093869,502.493781056044,505.51621217022,503.115294937453,502.415556680744,525.339733594753,534.90603202367,552.751140424286,556.0460420259,550.295587138242,539.559517006891,534.973586500849,561.805126356106,594.170552432695,602.079728939615,605.069288986203,600,594.056046309287,579.87067523716,548.292804986533,549.024694197463,545.616287800886,535.116416563263,466.542918636566,460.977222864644,425,419.076365356005,336.340601176843,424.472184013377,447.213595499958,488.035055504415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
