"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.370577848661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.51772629405,169.118996766027,167.612747538115,167.693929016038,169.045837213547,169.500018796071,168.816818231101,169.926002611873,168.361114960176,168.136942337107,167.423283802365,166.767402327022,166.462207759772,166.053956586098,166.255985548913,166.46636233414,164.826448706172,164.771678674533,165.606449218895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.30038975341,169.504887099472,169.665470928745,169.675607296989,170.686007476274,169.810757969913,170.401345373349,169.424541276098,169.964817483299,170.462334239686,169.382238952748,171.619910116144,168.752479298749,167.779735081075,167.753959208937,166.409936964085,167.872621777495,167.712710326248,166.4786915612,167.406008955983,166.992300463713,167.455916108646,167.529276759457,168.505205617974,169.085575502197,168.652366710749,168.429598434891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.604467785623,169.006878211249,169.308974978515,170.734559934384,172.54592847608,172.185403327829,172.015839746832,171.122291733767,172.240712326212,172.616038582428,172.828690522307,172.205166758045,171.015464926637,170.901901142189,170.341843406851,168.190116561691,167.481379063925,168.671798248494,169.009899064657,169.197930743066,168.565432360379,171.166564922002,170.291466895463,170.508323944243,171.356989473341,170.380809123798,170.728110227691,170.397895162597,170.004010924905,169.925379337217,170.737201068415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.514230141931,171.132696135736,171.500476481259,172.799241291759,172.764797502296,172.691777402389,172.768863864957,174.800547624402,176.112337965342,175.274452969187,175.013353816637,175.244818184176,176.606316236174,176.380334222042,175.706046489931,173.917627758464,172.718062537223,173.505411501102,172.794768527488,171.793257760231,171.889576046796,172.925200980168,172.638072876169,171.449897339167,173.22972564609,173.885043623488,173.917380177299,174.088426646834,174.471981481582,173.993158049175,174.488320726946,173.068445605037,172.205414906128,173.066826001282,172.428091624916,171.092161400703,171.295025538981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.792801817832,173.315819382617,174.24592825588,173.707428521979,175.318819530288,175.32010675187,176.196170791388,176.393060732973,176.930812096131,177.629186183562,178.462659167483,178.210250131111,178.853632927011,179.93793401925,179.232945747705,179.305624757773,179.251995544442,178.842273474391,179.498169407478,180.017799536018,180.404865338411,179.912634637691,178.16860664588,179.247861418045,179.449137373288,179.67128125847,180.054293945458,182.163644468863,182.08373244765,181.592194151915,180.223504199376,179.220779598514,177.957945074119,177.63611261039,176.46250920619,176.479382718615,175.499614256203,176.324333961663,175.684732119818,173.964270027639,174.016641492949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.406018187376,175.223464756552,176.427815247315,175.696188252955,176.532387592304,176.593586803257,177.545965911439,177.328324105521,179.230683180166,180.432035952969,180.724240273824,181.589387874812,181.409994232461,181.498647203329,183.420795296291,182.915967614409,182.401268480171,183.700785417809,184.385856206339,186.791964843838,185.628777519322,186.428112915317,186.337882953738,186.840159288732,186.960177237141,186.078649605628,186.751063475571,186.764359716606,186.665288466655,187.826404928017,188.307710959058,187.481524386275,186.334224240445,183.729836324803,182.461100916903,180.667739354747,179.461309121011,181.917173865224,180.379042220128,180.385127558067,178.956334072569,178.356758285097,177.385357589656,177.61953806617,175.572381785364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.810041446374,176.933423585851,177.442753687622,178.468020009862,177.952540337943,179.684889827183,179.562204442143,180.403739285349,179.800158829721,181.296936841097,183.443123030211,184.498685393774,185.275803976507,186.358205446347,185.645801372179,187.573971144185,188.776679607292,189.4311594665,190.032014892319,191.658583944671,192.729391931975,192.290703389198,191.712998063556,191.735048917084,191.006808126848,191.346302396866,191.795176002447,193.259236076882,192.994005165805,192.456214932509,193.604205964924,192.855871662754,192.034618773358,191.570754209179,190.692938135534,188.734596947124,187.695182948364,187.692216241067,187.261295342484,185.93505232441,185.262963762148,182.327780445364,180.909770051607,181.241884785415,180.01372313986,178.031390477856,178.081253491053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.678768192628,178.112944348426,177.466699536954,177.232155823486,178.421179236069,180.642053201209,180.231666470202,183.101125747602,183.977037256742,184.583597454138,185.334163429427,186.882472199501,189.327849718856,190.865547632069,192.8725366158,192.262458271677,193.942711330945,195.550821798436,196.098830611449,196.239996908688,196.314477814847,197.651375833663,199.303672380929,198.802533867749,196.639775739636,195.635754738215,195.603660952783,196.313770678844,196.751117292636,195.986499555901,197.078742476626,196.765481304833,196.16260045724,195.649704517988,194.629172364079,194.572442716518,194.1602030218,193.117758408646,191.623138914822,191.211346584466,190.110743241093,188.328323699189,185.993792193822,185.99102906168,184.5537359041,182.534775815453,182.23880635081,181.739697259069,183.304517045669,184.048475632503,183.327354446461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.798206898128,176.921532231395,176.699791867951,178.125356241107,179.036480538886,179.129311478717,182.039468514341,183.675040985103,185.476990006137,186.37220144299,187.281596413398,189.033197858905,192.520081919312,193.76879597848,194.715165838871,197.002250602723,197.583488856754,199.332024608073,200.562913906298,200.555129468076,199.657301823459,199.585397958503,200.219575779656,200.674418458007,200.520586456058,199.921109772281,198.196655475674,198.320164380895,199.502455559133,199.31772188747,200.305237437312,199.308499852965,197.878253053034,197.607573045988,198.411618893077,198.615551125523,197.830574595422,197.251220425224,196.820456814902,195.109142425123,193.814755734127,191.522916319979,190.779511615068,190.552750360879,188.086237670121,187.508989341825,185.796378640906,187.246860891042,187.932343956493,187.211462543571,187.819493275306,186.590139378337,186.571666492949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.681690264971,176.661177536589,177.948706128987,177.840342836994,178.252370404338,180.609325462308,183.712480146221,185.446257567923,186.990398105392,189.58521468082,191.233514025578,193.829682926,195.793041023229,197.928490712895,198.68294684726,198.889339342224,200.387355539395,201.929975801753,202.244079854229,202.289950453385,202.431752626261,202.630601378113,203.417568597863,201.98178223167,202.59967130511,202.2960070287,201.19664151824,199.543837207448,199.549845689156,199.832300207882,200.155727976485,199.984109563029,200.750362743442,199.538835989243,198.944521228082,199.352559658748,199.039344832433,200.085901536093,199.016368376491,198.338923505613,197.670108985465,196.687289455031,195.072415528859,193.27657692964,191.657301812028,190.175535367896,189.320688277287,188.757220222478,189.172772444609,190.831988758905,191.331114273852,190.390895193468,189.587148023989,188.838645824908,188.169341799355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.088504503133,178.923754821483,178.846565816795,178.676104207641,179.077124851666,179.696438888057,180.97969112683,182.866806066237,186.514257916388,189.239944514757,190.28232620827,193.624649823829,195.95863728979,198.164515460168,201.070338931167,203.159783456814,201.782408472804,203.148246040537,203.232973665555,203.946542046923,204.51594181324,203.884705165684,204.538039946731,204.553625872802,204.415917983363,202.855642794789,203.015658271554,202.457788668421,201.861068962393,200.326772190977,199.697443672362,199.917645836464,199.300444295388,200.007438044749,200.587894906487,200.211228611828,200.994940633116,201.318690580513,199.661110171586,199.623563455465,200.600926259566,199.334946489378,199.232499699921,198.11162125079,196.925037057573,194.534435567293,194.475446413299,192.918882547511,192.287303547124,193.818789268808,192.083474821805,193.862600523203,194.102912640442,192.537336176507,192.473309418985,191.532747036684,191.231328477291,190.004761782996,188.957316150304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.148443642671,179.533317443076,179.616585097286,181.058335340129,181.754457891014,183.309022611741,184.051707476392,186.117266009151,187.895775373908,191.214419306636,194.097502460793,196.582146103855,198.560024216961,200.361857399347,201.973154860252,203.450294080007,203.466438720489,203.04186480628,204.523769374415,205.485893405644,206.197271821249,206.435356179889,206.967815324284,207.046018382759,205.646413491782,204.99278095338,203.605946162424,203.095589262643,202.492623283651,200.612454273486,198.73485270309,198.778140370939,199.535375566012,199.977075416808,200.627139831929,201.087621670014,200.320138035456,199.481555039269,200.351582199143,199.306411472256,199.604647912128,200.033873809795,201.074210094691,199.256852517268,197.210674901789,196.50981564233,195.994859133937,196.655819163373,196.643524437165,197.387872979899,196.915546077445,196.847176327518,195.551505373104,195.414563089802,194.328061642225,194.361871187486,193.854444501553,192.607133460742,191.815382162128,192.102890976816,190.699479291375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.21153812847,180.15218984984,180.349138521062,180.742836804064,182.737570861746,184.728497037786,186.548159430676,189.079992042801,191.987755058624,192.585183267921,195.474712265799,197.642667573887,200.004447537617,201.996685542662,202.684474516996,203.845970201176,204.903930027497,205.402325459751,205.747164129713,206.283863329366,207.654267505863,208.233405777731,207.643200153556,207.457639630928,206.988476292715,206.64973832038,205.423887842774,204.153237834794,202.802821321865,201.994425949162,199.979811511742,199.267519521215,199.476024251205,201.115138417933,200.683656907721,201.692709937286,201.384283566764,200.285018724827,200.281239715456,201.622868145737,201.687440494362,201.436423479647,202.299799666305,201.672665210197,200.216295201974,198.759872462655,197.185780917388,198.06025496773,199.536587418224,199.316972343635,200.615783709428,200.3278922218,201.197542728753,200.747892520643,198.927852331671,197.89106564197,196.94568855432,195.362038893337,194.060752492511,193.012597999779,192.939281820103,191.767583840182,191.907774013389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.354264660259,179.785523767872,178.916259279671,181.069208644658,183.343852704077,183.811751452207,186.804291683776,189.523838322305,192.911015255801,195.293787292052,197.568379547961,198.985581745162,201.113367879957,200.590255102037,202.786030363719,204.032945637752,204.982930086008,206.776541011351,206.336890740081,205.505579636137,206.972877756216,207.308874907289,206.880249222574,207.03220827552,206.909822926367,205.62636116345,205.480824145147,205.553796635714,203.410200771649,203.091403804631,202.13090173059,201.74851199189,201.15251189353,201.203635655832,202.747347507647,203.846038427924,204.203700113909,203.789197427366,203.426792978407,204.588699512391,206.50123528405,205.940863087644,204.707088310236,204.486063913477,201.841360685931,201.628903271134,201.286885313888,200.02157404854,201.334439804512,203.619645006443,203.536535196557,205.380856545024,205.349563624967,205.090477722675,202.84933404406,201.551265629837,201.134478684816,199.977037722195,199.342898614136,197.610834063769,197.110517175499,195.512810796914,194.287554682499,193.816656765545,192.360568833214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
