"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.745275652672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.087712549569,559.016994374947,564.025708633924,564.297164396919,548.577632494518,561.805126356106,573.36310230043,560.411060365527,568.43845749365,571.182982939793,579.327493255705,577.16981903076,577.16981903076,560.411060365527,579.87067523716,576.356520345913,560.411060365527,570.90929673273,562.351209662093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,583.09518948453,576.08490951538,575.543221661067,598.431814783522,582.558021988544,590.005970946617,591.342332808391,585.234995535981,583.09518948453,571.182982939793,570.361661537618,576.356520345913,584.432936016209,583.630876496438,570.087712549569,577.706948449113,567.056710591746,578.52024713396,594.243216200236,603.374530031003,602.079728939615,594.243216200236,589.225650428644,552.268050859363,551.417969748997,550.567888638631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.731087437666,600.520607473216,596.343022093828,595.293119147032,595.293119147032,592.663479556485,603.116013809672,602.079728939615,604.927626483951,597.381911836726,598.691893051197,602.079728939615,601.040764008565,601.56024647409,596.852121782525,583.363032990484,579.87067523716,564.025708633924,577.16981903076,581.202407283371,585.768725692999,604.927626483951,622.993558709356,625.49980015984,628.98414170271,607.756851316098,592.663479556485,575.543221661067,570.087712549569,555.090082779363,555.090082779363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630.227694403453,635.163442128853,625,609.558781940491,602.079728939615,603.374530031003,602.079728939615,605.18592184551,604.669331122391,604.927626483951,617.454451761423,621.227225880712,617.960147802036,622.993558709356,606.729557108344,611.605157196624,602.079728939615,604.669331122391,584.432936016209,581.482932360845,590.021186060297,607.756851316098,604.927626483951,625,625.49980015984,625,642.987337963506,630.227694403453,625.49980015984,604.927626483951,595.293119147032,578.52024713396,579.87067523716,579.87067523716,579.87067523716,560.411060365527,550.567888638631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.579393318193,628.98414170271,632.702488546142,628.240362899966,632.949445058608,615.168492683993,607.756851316098,604.669331122391,604.669331122391,608.533018062059,612.882533606563,606.729557108344,626.996810199223,626.498204307083,635.163442128853,626.248305179531,615.168492683993,625.24990007992,617.454451761423,608.276253029822,629.483915600709,647.334123564694,637.377439199098,642.748006609122,651.200416041575,629.973127628915,639.088860048957,662.142725950763,650.480591562884,650.240295781442,638.846616959032,629.483915600709,618.718381999823,604.669331122391,603.374530031003,595.293119147032,583.630876496438,583.630876496438,570.361661537618,555.090082779363,548.292804986533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.558781940491,612.882533606563,634.67277406325,625,618.465843842649,625,626.996810199223,616.186572786933,609.302016908254,608.276253029822,614.918693812442,608.276253029822,619.220784590067,608.789783094296,626.996810199223,626.996810199223,638.844931471192,645.89287794824,650,650.480591562884,632.949445058608,651.920240520265,682.367203197809,679.153885360306,676.849318534044,667.083203206317,675.462804305315,675.231402152657,676.156061419679,675.462804305315,675.462804305315,676.156061419679,660.492240681145,654.31261641512,648.556088553642,626.498204307083,625.960182607803,625.49980015984,606.731087437666,602.079728939615,588.430114796991,583.360081508316,564.025708633924,555.090082779363,548.292804986533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.949445058608,638.844931471192,625.24990007992,625.24990007992,618.465843842649,618.465843842649,618.465843842649,625.24990007992,615.168492683993,612.882533606563,612.882533606563,626.498204307083,612.882533606563,625,640.55635232105,654.31261641512,650,662.379376730233,667.083203206317,675,686.476510887299,676.156061419679,704.006392016436,686.476510887299,704.450140180269,701.78344238091,700.446286306095,717.850027804108,707.327683045396,711.512473537885,719.809002444398,710.835381919236,701.114864343502,697.527336787006,693.271231193102,682.367203197809,668.248370517327,661.910114743686,635.163442128853,630.971473206198,618.465843842649,617.960147802036,580.400347763599,570.087712549569,570.087712549569,570.087712549569,570.087712549569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.614299086003,651.200416041575,649.037749287358,637.377439199098,625.24990007992,638.112028079065,628.240362899966,625,625.24990007992,625,625,625.49980015984,637.377439199098,642.748006609122,643.688719599549,649.518874643679,676.156061419679,679.613705398539,680.073525436772,701.78344238091,695.969241760779,707.759432777161,713.701763350851,735.696948478108,750.623325506575,728.868986855663,728.868986855663,724.132788585261,739.297898879856,725.430906427345,750.416550990182,747.691942595246,750.416550990182,739.287747929281,728.868986855663,722.619954435872,711.503797614535,706.443245930601,708.426421670525,691.465834296967,673.145600891813,650.478994903812,625,610.327780786685,584.432936016209,577.16981903076,574.176400985276,578.52024713396,577.16981903076,601.040764008565,587.628090798139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.96120081866,651.920240520265,653.116428467692,642.748006609122,638.844931471192,632.455532033676,649.037749287358,646.374003304561,632.702488546142,632.455532033676,643.942183123195,639.579520351158,648.7969189205,670.820393249937,679.153885360306,682.596108692596,695.745676291049,704.006392016436,711.512473537885,728.868986855663,715.891053163818,725.861046343716,745.821694508815,751.872633371606,751.040684954414,752.910559704316,745.821694508815,740.141128497231,745.821694508815,750,750,763.624462978553,775.403120963541,776.007174656997,776.611228350453,784.001622656109,756.637297521078,756.637297521078,758.491306904178,715.891053163818,698.881285177581,679.608260865927,656.933779659315,630.971473206198,608.789783094296,590.021186060297,580.677921358905,585.768725692999,602.596531344147,604.41081490106,602.079728939615,585.768725692999,587.894955876648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
