"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.42380521096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.367004419584,170.301035022709,176.692743207343,174.013425889503,173.554671464364,164.698259582905,163.202460712058,159.113613817929,158.025744944407,156.006585013118,155.277640319432,154.972248345515,154.499276944476,152.953614144697,148.417271786868,149.547309767233,143.467120841863,142.773400977629,137.083530721903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.16944594573,173.47369288699,174.100654964027,177.186860753774,177.536090275737,178.490509368313,176.468193637409,172.088809322926,170.635033415153,169.213661488111,167.616665516741,162.673048892524,163.003524005721,162.388798401401,158.4131318664,153.341649379616,153.198971002526,152.415055937627,152.593711239707,152.868917163666,146.419113185959,142.855948980916,141.812996252878,138.676726944965,137.34478799888,136.813574053897,132.758792863898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.457410416964,168.96547643786,173.881108711172,175.646168727249,176.524688674509,178.640518607249,178.389389058144,174.60732694185,173.647016524522,172.567486548723,169.356623141485,167.857374384131,166.966419007913,163.886899310367,161.700789522991,162.214314262426,157.800784828748,156.125347681121,157.191734817672,154.119112747458,153.945696712183,152.540844916263,150.002281473221,143.868842449867,142.518693187282,143.909672566881,139.301650195449,138.529174423958,137.816505448481,136.64572591418,137.080002634437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.601288558637,172.822058512814,171.478243051187,171.265275995968,172.158030815225,174.171010240932,174.954871674677,173.467125615295,172.538682040454,173.52172527308,173.509026659116,173.367083957558,171.588133647599,170.639144917428,166.640922340293,166.607002453486,164.019318568538,161.752001062929,160.572883324893,159.821812512925,157.649149055081,157.885136142931,158.579219636567,157.729500417521,153.078672986347,150.249962259524,144.703127936266,144.620926933088,145.694507645865,143.938212294446,139.098334362809,139.69214984297,139.318037595868,141.270096478105,138.496765266643,136.573735678635,135.500757253613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.02838166199,168.958485161277,170.883212329231,172.250391090105,171.092415559404,172.29027693118,171.654255499598,172.671025315871,175.023226721127,174.927950247974,174.990704508183,175.11288093848,174.620149791691,171.944134561319,171.339179104055,169.104142370352,166.093104585244,169.540772647264,164.963907092887,162.293140323556,161.951768516633,158.689598207243,158.126930025029,158.346128901107,155.811540460319,154.552924603441,147.916520248071,146.311048140273,149.846202323469,146.004702082182,144.509027149207,142.722454144539,144.59826449434,140.868979904837,140.102353610805,136.792060792532,135.144402189805,136.380334449151,136.918873368945,137.744048213622,140.468303970058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.978239130671,169.948518397402,170.513946162879,171.46571442148,171.880853291719,172.596237250938,170.887254576138,171.088166544681,170.867738490782,173.496871248769,173.682642661396,174.458587466601,172.61392211295,172.985601643878,172.769323237478,173.104351108069,170.369667432098,173.921421083189,170.063539684722,168.700949952825,169.36253600583,165.762263562938,163.776723733773,162.101737070993,160.201363116844,158.910693907369,152.642428105342,153.053312402868,149.97336187556,148.661326560305,147.648213485897,149.882470412818,144.925867016826,144.435304017404,136.730554640816,141.746266521524,143.469026689388,142.350766518,140.611480307802,139.947822412781,139.309611577121,138.42790070871,141.655298490289,142.073721407956,143.002054765546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.160883105806,170.671030828619,169.480474265425,171.057568370409,171.73267641342,171.206086228081,171.452192080352,169.998723407587,171.178301104709,170.239164838194,172.552383510427,171.450322046583,172.694271900352,169.138395975432,171.2586251106,173.68293456757,171.553079838552,170.712949419854,172.765068349148,169.586285679332,171.507579189605,170.498595815567,172.110935412784,168.151492687598,166.838447498506,165.151734626283,162.351121478681,157.400908981989,155.080662121897,152.301043187536,148.86127802754,150.233932128239,147.938025060585,140.390828694874,142.237155684284,138.878760474463,138.640493186995,138.166425809018,139.280913158096,140.718182436659,139.274376170533,138.313629822093,140.60501228095,143.385351956559,144.501961297886,144.590866109076,144.601245549894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.467934004612,172.957225379138,169.289616763964,173.080507522713,170.628831179636,169.64574073757,171.309718482755,169.580003630814,168.187039596832,169.090081232975,172.603993923906,171.084335494046,172.115078545351,172.687616247396,171.070643712859,169.905430561434,170.932061606388,171.34716456878,173.111178388367,173.249685333146,173.446063699168,173.056954814422,173.685210552228,172.788190938045,174.040774501264,175.152630182704,175.769421206432,170.339795770687,164.505227623862,163.816589676198,158.361457801189,157.442248515728,155.762552835052,155.428011163256,152.725260210322,142.022813760446,142.249574469549,138.96543157995,138.419939667894,138.963075130965,140.535987974051,141.1418596343,141.043319328842,139.589877218056,142.224103415797,143.997966481777,144.941373083595,143.45518855968,142.961489659059,142.098242032775,142.338318355309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.734714894793,166.121299457319,164.260798293888,167.243389868636,168.18359659561,169.333559969324,169.291168524518,168.415029554023,168.969599721317,168.628728096836,168.792397127462,168.137338768611,166.369159459099,168.437550074996,169.72408526791,166.73257168101,167.917580770997,165.188976248215,166.659290304762,174.051561377031,176.21993640132,173.096258667263,178.030190961542,178.492421037356,178.612889548348,178.133137345175,179.302179003612,178.55077634512,177.837029234575,170.175921735955,167.469648326831,163.172447655848,156.809593966777,157.074052031199,153.560596329883,150.280277291083,146.290778501844,145.149010345405,145.188658921689,141.201333285831,143.086294879121,148.447353213063,144.165155809101,145.680256615601,146.215049864961,148.439231868728,149.406858359151,147.678112559788,148.285433303217,145.881112226831,145.303614976599,149.337420489697,150.423840955857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
