"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.977222864644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.478870565562,525.734624325702,548.292804986533,535.023363975817,530.330085889911,505.593710403917,491.172067609712,498.553139431105,534.489927192707,493.20318303406,480.884601541784,469.707355701398,452.769256906871,472.381691164905,453.07994531258,474.341649025257,447.368668153349,432.377089073693,391.311896062463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.625351665561,525.594901040716,523.849857938062,536.874262026597,533.309278223014,536.794560300521,534.438958160799,529.740502510427,524.695451594376,502.678985313625,509.102172405953,515.388203202208,522.74375659767,505.601431752405,477.754476076873,493.250146255828,450.693909432999,467.254014743092,479.243818828355,475,427.200187265877,450.017347735825,436.606229914325,425.73465914816,407.14184287821,408.595752331326,381.618663380064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.303326258363,555.188255569253,525.014872526018,515.09243882769,525.594901040716,525.594901040716,536.813586303854,533.344536441627,545.05672337759,550.567888638631,536.056738126569,505.838572723874,520.28353366554,505.609153100892,526.172705667719,525.816002468718,476.328348293387,500.62460986252,454.581234305662,475,491.203838171715,493.14012805848,471.798016181785,443.19344818589,414.39319883075,425.789569399846,399.90414724141,381.346761096239,369.350528312203,341.926769337692,371.651718682963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.390980513967,559.106291957185,555.090082779363,539.833231401026,520.46914578519,505.601431752405,494.65645205744,503.068891195629,515.677306671098,527.434700862405,553.41973418259,540.033589068425,546.008241696039,544.092029009346,517.639701287648,532.544590596608,530.330085889911,515.687887565733,500.993699696012,520.21630116712,500,525,504.950975679639,485.792506320911,465.200430538915,461.159833832162,436.606229914325,427.218459314619,425.771297351103,390.572136591904,393.425173239969,380.971548096028,395.422102046697,395.284707521047,403.227858354263,428.009939253991,388.813230657033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.041956352017,610.327780786685,586.090486125471,570.087712549569,535.023363975817,530.92226851913,509.901951359278,509.901951359278,500.62460986252,506.211418282915,505.601431752405,515.765949549059,515.388203202208,527.375577743225,525.639417958279,525.816002468718,505.843725286877,530.461368457782,527.746675276654,548.947599773925,550.567888638631,525.007436263009,500.62460986252,501.25038866686,461.774737166276,460.027863449368,456.241337322301,469.847071274403,482.934471267124,431.629904007971,425,371.76179898927,382.658165368067,402.173815313838,414.39319883075,425.865485194282,442.711246409936,437.321392113398,416.082924427331,395.284707521047,378.792624118115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,612.882533606563,583.630876496438,564.094795979019,559.223572216024,530.330085889911,523.966558750736,506.290468336452,496.23583103198,507.969293169173,500.62460986252,498.121471129282,492.584854615792,491.172067609712,503.153996479271,517.944588071015,525.066626073624,529.740502510427,527.552162253664,527.375577743225,525.594901040716,525.793814136317,527.566772399039,525.250584099395,479.772259404973,441.977150712228,492.568526226883,456.326440599673,465.342289283021,453.308566709831,474.341649025257,467.038542306735,482.830197895699,450.693909432999,434.583724776429,515.388203202208,492.442890089805,443.292771607948,447.213595499958,389.365157955183,387.460557567605,375,371.651718682963,371.651718682963,364.005494464026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.27601837673,610.327780786685,601.176279967714,559.984976000065,551.218477698092,531.507290636732,512.978298334771,515.188055635797,527.375577743225,534.438958160799,522.14933175297,498.230778877451,495.960452492884,491.203838171715,509.901951359278,505.593710403917,531.543936480783,530.330085889911,543.019584295755,552.268050859363,570.264765211599,551.705859057358,551.439221776756,551.178691422665,550.567888638631,505.601431752405,493.745558751882,505.650646167114,482.623531776254,459.712146952949,467.129831140717,428.196146141898,458.651831732159,485.41219597369,498.214874120215,529.740502510427,506.211418282915,482.830197895699,459.619407771256,436.606229914325,353.814693190043,391.311896062463,375.041483109507,360.598257132869,360.555127546399,353.553390593274,350.891721190455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.717292121179,559.470814991343,580.206571388317,594.243216200236,602.079728939615,575.971228108452,553.695730885733,527.375577743225,530.425046032961,510.195330075121,515.051841899134,481.610035287221,520.670955862815,527.375577743225,525.034253727226,485.41219597369,508.102816484551,534.438958160799,513.017890466708,559.113140681887,548.342495559943,567.048717852557,577.16981903076,550.673502460335,564.112851633582,575.543221661067,577.16981903076,571.035079787579,552.303326258363,527.375577743225,503.292410483664,489.827804953546,500.62460986252,485.556192764591,498.563159541742,509.901951359278,534.438958160799,522.015325445528,498.121471129282,474.341649025257,450.693909432999,393.756135448382,383.871158625157,350.432245164759,357.945526581909,347.311099736245,351.002347162914,353.597474830662,357.945526581909,375.072358191165,372.578275531459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602.079728939615,617.454451761423,600.520607473216,594.243216200236,571.332653842067,577.277702742007,577.761041618815,552.268050859363,555.090082779363,571.182982939793,527.665481629417,525.594901040716,525.594901040716,548.292804986533,530.425046032961,529.799233206057,525.034253727226,530.847404815026,525.639417958279,550.330118496358,561.950106841875,559.016994374947,575.543221661067,592.663479556485,608.789783094296,617.643090467388,629.317743170459,602.079728939615,605.177597844332,600.520607473216,564.025708633924,552.506477746782,530.330085889911,555.277553151491,506.40124577396,512.71365542878,523.045918079655,532.435882928741,515.388203202208,491.172067609712,467.038542306735,443.001128666734,419.076365356005,395.284707521047,371.651718682963,358.010766606021,350.891721190455,335.410196624968,350.891721190455,371.651718682963,380.880101694612,396.046192304749,410.655755926872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.49980015984,629.79440513938,577.761041618815,581.48516748065,568.128258352618,570.087712549569,561.805126356106,575.563554128188,576.376852813035,575.563554128188,559.016994374947,552.268050859363,567.139334365393,555.139169174308,561.805126356106,571.182982939793,562.02588189082,548.292804986533,527.375577743225,525.639417958279,538.610127725733,556.278022500275,594.321683591148,603.406900058288,601.040764008565,625.012495003996,650,673.191960869518,680.571687300853,680.635106368813,650.480591562884,657.647321898295,627.25632592422,657.647321898295,604.669331122391,575.368581190307,583.09518948453,545.032126488492,528.889763168401,509.901951359278,485.41219597369,461.078464316615,467.155055164138,431.85276794395,395.284707521047,364.101072266763,371.651718682963,348.209706929603,348.387383258583,364.969950033699,381.790945351613,403.161107758522,418.665808382761,427.985699069006,410.058987620048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.87067523716,605.227518099312,592.372975806659,591.507410701207,577.16981903076,577.37144844339,585.426065685197,579.87067523716,562.189243672972,580.477715823224,602.157185490742,600.623972168479,561.805126356106,567.413283353442,604.152298679729,577.277702742007,571.182982939793,570.244432744478,562.189243672972,577.16981903076,554.265480307538,530.836030958629,570.224100277356,583.657599611395,600.533611386599,618.528875682051,650,680.073525436772,688.055289341113,711.719886760548,766.893082508898,759.208594534129,728.868986855663,735.277369617456,741.865900964707,713.542316921324,699.842737160291,689.655711206686,580.229988761237,592.663479556485,564.159077909023,570.094477143725,509.970529507315,491.762303595704,477.994793381726,493.312490782229,450.693909432999,427.200187265877,414.235086413684,377.966685837763,391.411216348928,413.114252769788,405.774932118862,462.4483229664,438.78365248877,452.769256906871,480.884601541784,495.415585670139,419.076365356005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.049331126568,585.987088821303,592.03988022837,548.862460002504,553.679066819363,542.07295223494,556.228936105331,577.542467104612,577.16981903076,589.188957153133,608.276253029822,594.618414554343,602.079728939615,594.243216200236,632.455532033676,604.772342421689,593.473094586407,587.074323518568,583.856691572939,588.539830254071,594.243216200236,573.417605284446,550.014197215966,599.58660009784,632.455532033676,633.076140925725,675.646859552367,696.0393067797,752.622789674181,801.587612380258,828.402076289045,816.498195287603,807.000619578449,796.088966429288,800.390529679106,785.365613127486,770.221873097162,765.261393250698,721.543484483091,697.316284049068,680.073525436772,625.221850082614,599.374665460933,575.583886595309,600.520607473216,625.49980015984,572.013737207168,592.663479556485,668.22288258962,553.398590529466,475.544690597452,443.053909084293,469.95818971382,491.172067609712,538.51648071345,550.572203359905,515.687887565733,520.21630116712,503.153996479271,536.772763839597,559.016994374947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
