"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.303207195871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.147775891471,147.827717948504,149.072560346789,149.495991498304,150.684074287508,151.103360774155,151.010667860308,154.138549170481,154.017248140862,155.082425883093,156.208300044653,158.108449826626,158.847051528689,160.607209565164,162.205765481562,162.917378125472,161.980941435574,163.387614323828,163.842990972333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.068340548558,147.605362485498,146.670413413345,148.240476008305,150.350971216917,150.751740171239,151.694629088267,151.875363310796,152.149319924415,152.778468239296,153.834899073792,155.126955938366,156.349646175471,158.069474329331,160.91100554155,161.590860685518,162.958862659621,163.951441999475,165.042609732814,166.157386615636,166.237479750008,165.620354101841,164.550100439376,164.586268540243,164.833156263818,164.411516268786,165.467067353554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.576399924068,150.529577995806,150.12688346855,150.586977502319,150.216409116062,151.694403628038,152.058255716957,153.714251762589,155.243002378274,155.258512827019,155.235561304437,155.814169980762,156.610517243949,156.844223545002,159.206711978494,160.426628224128,161.533830650938,161.779821572297,162.900957791134,163.961224705002,165.573661434329,165.882264485922,167.044952349261,167.325144956304,168.202392999999,168.896323268236,168.234754562641,169.329285758277,166.112314660825,164.845045879689,163.066398677883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.120965306952,149.058346917457,149.397984089539,150.915411878827,150.365683996062,151.201343130264,153.034164822114,153.56480656035,154.122880060113,154.704747255986,156.660891400514,157.06159393348,158.49964047019,159.350768394227,159.599494626163,160.561097196229,163.365771647228,164.694727855588,164.716557135297,166.095881779319,166.166105712833,167.160415142664,167.332607462459,168.030557177859,168.188634920342,168.597604310059,168.52233639136,168.526917663675,168.962290210438,168.835490012734,167.216200712286,166.842613453692,167.562264582754,167.116305614785,165.091667388546,165.493061559778,165.046429806397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.960076643503,148.209470677208,148.609963865307,150.048318671028,150.666281828633,152.651723445424,153.787306796,155.396813881212,156.338701714988,157.49118576119,158.545461816623,162.263119410069,162.020176711394,163.168933477648,162.634233084061,163.500735257959,165.85577626692,167.104741007271,168.859020463809,168.924599241902,169.221139052658,170.046193739404,170.713358164152,171.172133758091,171.522765241903,171.203851096991,171.173652634464,171.820375924463,171.773729486474,172.207664134208,171.267981351314,168.839770556135,168.577495308747,168.116086234124,169.325317390236,168.410554356103,168.081632900159,168.187586051881,168.641387230887,168.501022132206,167.908995225857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.408985632964,149.719452738482,151.605339330266,150.814435135894,151.074593893865,152.534244220817,154.505117360818,156.58399071276,157.032406646927,157.75107398466,159.326495847857,162.300087681639,163.931090375427,166.957022055863,167.321313391918,168.41974169859,169.794262542573,172.758000604178,171.850590921472,173.77780673433,174.809188784894,173.488696623155,173.637388320369,174.063381189137,174.866564387972,175.324185210993,176.22210891652,173.343784772936,173.662593783487,174.56433239518,174.580603168309,174.600594064542,174.062713383658,172.096755814902,171.304130729136,171.663915048833,171.519103458134,171.431209598687,171.121680159917,170.29870205769,171.17676912277,171.707080210144,170.977878825795,169.689855540812,168.140513255382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.225609083072,152.107363158549,154.061391584179,154.434351749106,153.976680753365,155.331742387724,156.350899718123,157.941347982474,160.347863780254,161.538458268243,162.918174522541,164.374640797972,166.977120047534,168.885583757408,169.593339016772,170.115756479044,173.184768432929,175.492386246072,177.819585843815,177.789170154532,179.605412965581,179.966044800581,178.800622452787,178.319579032627,178.422330773282,178.318336774756,178.899821421852,179.01216171354,176.409335574815,176.460018502349,175.853182090531,175.302299952511,175.262133587109,174.365748670666,173.120660157269,172.065837303485,171.968262900678,171.735044034908,171.746487892974,171.692890857877,171.580291656754,171.953129919822,170.901960649893,171.217219773539,169.999574015429,171.334042303895,169.846544224878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.923865730657,153.565395431947,155.666913709096,155.701685357119,156.810133560481,158.923484548056,159.66948633156,158.978905106847,160.948239705489,162.602000307324,165.386542622812,167.383168595579,167.802000155766,170.204472715109,171.194009119194,170.405576345627,173.859805976734,175.550035217509,178.242821411959,178.995396879348,181.006562880886,181.862408690321,181.83627605081,181.540005322463,182.340637733393,182.031320913358,182.103019545945,181.659917587343,180.324276134235,180.04201969246,178.363571479807,178.145504744297,176.99347737205,176.686437129365,175.361115033612,174.603541315905,173.571359473944,173.300577429463,170.757530925697,171.714443889362,173.46560734407,171.966773515982,170.752568708313,169.526140846835,168.726945240795,171.171922738413,169.977759962677,170.553217804005,170.481715124658,169.983079804945,169.830306913573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.951483336249,156.649423447921,157.838459874355,158.539244787491,160.215362514703,162.692536745408,163.787276938353,165.159197162144,165.550556025099,166.973535278057,169.220236432108,170.732441707524,170.773147721663,172.181261247427,174.370899802952,175.242506881209,175.908656951067,178.258282630895,178.542540818644,180.637724373711,181.384671940787,182.30314136586,183.0804716098,183.929811010488,184.021249195117,183.601099454895,184.459395083696,184.365134030931,181.842167425802,181.053554742259,179.445551813578,177.40577286138,176.841727172192,175.383467375442,175.587301039566,173.662779814184,171.587702214188,173.280201165371,170.846680236113,172.256336693073,174.177136420783,173.867459463163,174.4729199588,173.541252931947,172.239719293601,172.685402745034,172.954780471069,170.63003357502,169.33791332542,169.240901387068,169.046710456237,170.004036865913,170.372194651024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
