"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.268050859363,539.639540313279,552.268050859363,549.679615087216,561.805126356106,555.090082779363,577.16981903076,564.025708633924,570.087712549569,564.025708633924,558.763131015636,560.376208715762,576.645768366296,563.970194076978,554.675742727715,535.008753830442,515.14334088225,492.442890089805,496.23583103198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.567888638631,550.567888638631,582.783700010559,575.543221661067,592.663479556485,604.152298679729,604.656405311325,602.079728939615,577.16981903076,577.16981903076,601.040764008565,608.276253029822,585.715279463085,588.430114796991,590.493880117244,601.040764008565,601.040764008565,598.633171277263,585.234995535981,561.805126356106,593.653019488847,581.377283769403,575.296776743271,582.947055223186,570.635610525666,552.19713033791,550.511011547329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.090082779363,575.543221661067,583.014576628346,605.18592184551,625,617.391057812699,625.336578159769,628.209274082447,649.684435979977,651.920240520265,632.381241622852,654.143712221166,657.647321898295,632.949445058608,640.078899979858,642.613742423871,637.377439199098,625,632.381241622852,626.272110493442,656.954924979919,638.543139760467,632.381241622852,625.487305155844,637.377439199098,626.959384948238,638.846616959032,625.243652577922,621.376559105652,599.928040202503,602.079728939615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.528478567236,544.84962438914,579.87067523716,626.996810199223,632.28163873683,651.920240520265,650.480591562884,650.480591562884,672.829266886546,676.803085570693,687.917544977671,682.825014187383,695.930161476077,687.566036957984,687.715429349318,682.367203197809,682.367203197809,672.994040949676,661.910114743686,686.385223469801,673.139795910086,661.525794905977,661.868751622636,679.09627118965,693.135471028522,675.404874219977,679.975588836345,682.813568912644,675.352274237761,665.627679591592,649.037749287358,651.920240520265,658.590311671274,645.174395028197,629.483915600709,620.987117418711,611.771207943586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.932632581003,559.016994374947,571.16929862944,592.019598371963,626.946889944242,647.106072157778,672.415116572512,676.756725592988,691.100421402894,716.223222517603,724.634719740937,732.337634595498,712.726384962059,715.891053163818,726.581796747566,701.78344238091,703.816717562505,703.839139317252,707.106781186548,697.248931934653,686.476510887299,698.73535347026,707.106781186548,706.64203686158,728.544538513366,710.97384146596,721.543484483091,718.435414104196,697.215157727669,707.106781186548,719.579615387728,716.32743909472,694.62219947249,700.345614494923,705.921751408667,703.978605145992,659.959648691607,675.462804305315,682.367203197809,643.863738870796,632.949445058608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.430114796991,594.475361135103,606.362965497694,601.738488586049,605.18592184551,618.465843842649,638.808244164389,656.915318996664,682.367203197809,679.153885360306,699.426671621426,716.32743909472,738.24115301167,760.086683380096,756.637297521078,760.945913508095,725.430906427345,751.623198445679,728.868986855663,728.868986855663,731.864058415222,738.664335134708,735.627662788701,733.162425853001,730.100515715575,728.772262184271,728.010988928052,751.455784379827,733.558267130989,740.238202341294,750.406137215427,755.022496769762,727.707990533946,716.185091121792,707.040365161391,707.106781186548,731.789181626233,710.996057172868,708.739506471382,707.043640211345,686.476510887299,710.807461507387,707.023525000542,667.083203206317,637.322089272342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.864669305685,626.297395295472,618.465843842649,602.079728939615,608.449340656645,613.243678551075,647.057780229538,665.65872484715,679.602209897583,686.476510887299,694.605312368998,716.32743909472,750.112166040719,760.2989660527,775.403120963541,771.594588897088,752.054442226759,775.403120963541,776.611228350453,777.384506962601,775.026675846635,752.080447824566,760.345316287277,769.901070693713,784.991011714916,770.146090037468,760.345316287277,766.790839315401,766.729388353358,771.767452021657,784.617741323761,782.208073188496,775.362735208672,764.492017637699,728.679926507412,728.675018561591,726.886131092136,728.815314501457,710.940797116601,735.611598957827,745.642760524462,735.186858490702,724.773066427242,724.783185977368,691.42058121971,681.018495231654,667.018539600534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601.040764008565,620.778020415732,624.899677935468,625.49980015984,626.217097550043,620.987117418711,603.368000353404,624.816597259834,650.480591562884,665.475622137557,686.476510887299,709.482046848564,718.024701227688,738.24115301167,760.345316287277,753.740671584067,771.767452021657,772.494673127652,784.617741323761,798.827265433523,801.56097709407,809.706737035082,795.087237447276,781.389925338333,774.140041765526,789.273501522673,783.759985831134,784.856039698241,779.907286342166,778.570341450637,801.56097709407,784.765525320245,773.6966507505,797.093647932274,784.856039698241,793.801658005704,762.664961838163,749.952738675808,725.071962083322,693.004562320034,711.363576364476,740.354644748042,756.317312414954,743.176880257069,721.543484483091,715.671446364386,689.633025124226,672.634682126092,673.145600891813,637.377439199098,624.594744577357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.923320460697,610.694902437806,630.721864311511,651.495146647668,642.668607814857,637.266739345586,632.69631463333,632.455532033676,645.021583153577,665.629269871705,711.389113775467,721.532653748333,715.658868549883,726.722092687432,738.209350455001,756.450520162766,761.515660885092,789.382670192347,784.617741323761,806.835367330965,799.970681635838,814.324873745117,828.354868450339,805.210618219191,808.319851838557,778.5602791122,784.926149830354,785.015923405379,803.395490188211,799.956341141336,776.58102566578,800.390529679106,790.569415042095,772.627567425714,776.611228350453,777.951819136676,778.070993179902,760.345316287277,731.078614112494,716.32743909472,726.500291065349,731.606044066919,745.753356386805,745.821694508815,711.501490016098,707.790360102182,696.419413859206,703.917389373678,680.050534434861,679.888717359695,651.371562697981,642.613742423871,637.254391519963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
