"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.638697093846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694.62219947249,707.106781186548,683.216209095232,694.107502730461,715.891053163818,706.021574601134,738.664335134708,730.366655523317,735.619412110036,711.512473537885,704.006392016436,728.450712865952,721.543484483091,715.891053163818,715.891053163818,715.90196281209,704.450140180269,682.367203197809,697.275948820984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.154093325512,735.272058492637,728.906425250157,711.922048619291,728.868986855663,726.850641830627,744.640800353817,749.166203188585,757.382059784589,755.52689572996,779.014240649376,775.403120963541,771.254477216903,794.801563367702,798.827265433523,781.444737456491,770.135241998327,761.577310586391,764.852927038918,746.081474197493,760.345316287277,758.742013888403,759.927086822383,776.611228350453,778.620575119872,775.553667449562,767.136036154937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,762.263233776527,753.966006339537,743.303437365925,756.047087150527,763.329047761697,762.003392199728,772.403578569784,794.508701921471,813.998538706504,790.424066110782,785.196665817421,817.479536074965,811.362391224884,831.262916277004,825.744605457449,838.347567838821,820.335411682509,799.628438359384,794.512429103535,813.316402598115,813.941029804985,819.094722822632,806.685658587197,838.537418520602,831.038506929733,848.896342317482,855.149833064524,879.310781701873,851.515145546257,849.319510841231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789.540391516088,790.487168270386,775.403120963541,825.009467524024,800.786801083772,825.378700960959,800.41979086448,811.630655123433,828.402076289045,832.165848854662,840.386815698581,850.580255656826,840.627145306116,828.480055362937,885.330733466613,906.228448019593,886.002257333467,893.408357079953,846.46623016902,854.400374531753,851.538010052889,860.232526704263,856.35326771771,867.827747885489,844.277798330407,863.251173151701,868.007054188352,886.70739254841,908.639092269312,922.039028990209,884.79891555341,905.538513813742,919.11824445831,926.367220683464,926.357335689594,908.971976105812,947.07823290402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.387504774973,803.50793399941,801.56097709407,801.827225608517,831.146219518732,840.205497445551,861.094453002929,853.501169895335,874.860120329768,865.235283074068,878.208403512515,880.695747690427,862.191501613512,862.319938653394,885.419489284278,894.427190999916,883.657379741568,899.018620675399,917.247866370965,910.013736160065,933.407735129724,910.21034244442,919.238815542512,907.605698077243,903.465549979633,906.42892707878,921.954445729289,912.796489200214,922.663084870204,937.083240699566,933.607754731184,941.076511235936,941.430814923216,980.114789195633,972.568713034875,951.437734342484,961.240545223468,975.392398636194,1011.18742080783,1026.24920312598,1041.94825227271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832.909426313051,855.862138431184,853.302408293801,831.21636252429,828.402076289045,813.17279836453,851.92324425257,875.35707000058,875,875,905.538513813742,903.119593409422,903.119593409422,919.382845153949,909.450843575619,909.124003954168,894.427190999916,898.048400738157,906.621597962335,934.07708461347,920.045512782487,933.632637782694,956.882960450232,951.996007077218,941.860411378508,948.724402302795,956.903359948859,976.281209488332,951.971638232989,968.464678603097,970.82439194738,985.23472371404,961.842199733446,945.307802325674,953.232060457168,951.454081545228,943.439483089814,943.246314417202,958.216897846566,983.05158359782,1007.78221853732,1036.11229359259,1040.94437442261,1054.03190107695,1000.46426216557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825.378700960959,859.24180915222,859.142013871979,834.415963413932,843.011464075768,855.862138431184,884.329750567194,905.887857867421,923.688402578148,912.414379544733,900.446949688357,927.765085144115,926.350365682445,928.086014719114,917.950894029505,930.465154092252,916.873075067578,960.598429619339,970.960812385904,976.780252807588,1018.01731943962,985.883520057,978.623509240362,1000,991.999131408279,995.979254047567,1006.23058987491,1012.42283656583,995.701554400679,992.47166206396,976.301198879483,985.23472371404,973.16389513852,950.427134242404,952.955927627296,961.135176442605,969.31593733849,973.733140898678,950.500905325321,975.008011503914,1000,1029.6424447694,1044.80056882511,1040.61528720882,1044.6888822583,1032.63536698257,983.925375623887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832.620891822914,843.35638967165,834.518701617644,829.753246992397,863.133825081603,852.137795426725,852.015121872941,888.62754042804,948.864386279874,930.286966530407,950.328890437411,955.24865872714,941.307820715973,927.858223735211,925.337776166087,925.856728293221,953.013245904792,974.138693035033,990.698658409492,990.651472645528,1006.70357877257,1006.87267685384,1015.31985678592,1020.28201879057,1029.29627506519,1023.50628512185,1025.21253326074,1025.33527530592,1017.71507247054,1017.65662185238,1007.78221853732,990.580637807947,964.697166183792,960.501149801643,961.769203083567,933.474598285042,930.91283270206,945.11885834511,941.57689649337,925.337776166087,952.207297654419,975.511952716816,1005.91045190085,1021.43415883902,1027.74023955472,1050.35701654728,1033.56173386285,1022.85194656492,1026.25682388784,973.098137462937,951.314879522022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.73375990087,873.212459828649,846.019968947758,862.060568010874,875.35707000058,887.764045228235,897.027556018879,975.07994998355,977.880360780397,978.019381548675,985.588569263091,951.878919747664,951.170798682644,950.341215300968,950,951.41322400215,946.921354845685,968.504881727884,995.775291423355,1011.18742080783,1000.78822625795,1028.16246158558,1034.02925375987,1020.32383171558,1034.01034580442,1020.30103694015,1028.70513996786,1029.29627506519,1020.25538661213,1009.12225792896,1006.68815020002,993.614255862293,967.99131559749,951.971638232989,953.013245904792,943.39811320566,925.606388295497,925.337776166087,913.662171982293,930.38970329642,939.747306460625,957.078113165945,976.528032905269,985.29799969892,1001.26871142856,1005.84896198485,1026.25682388784,1029.71854867679,1018.05273956681,993.999400186517,956.99289021891,946.473517259886,916.856041044612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
