"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.922036436336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.512840249502,121.781629576924,123.400179477875,123.517280920461,125.482543144844,126.24150025526,127.71588089507,128.127258277129,127.276764149873,127.373334525075,128.056905896861,127.605715317887,129.420161359781,130.223040221213,132.117597081738,132.333109717812,132.692382947011,134.06151074413,136.872093947658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.273691066275,129.003663096588,126.354936982563,122.732856525666,122.342463682241,123.493159109781,122.955689556775,123.752626291201,126.219191853903,129.672770449914,130.719454516256,131.302137008127,130.736133639933,129.837325802168,129.579643190614,129.932990571924,130.173550608318,133.426524120215,135.656819657123,138.118938497641,138.001440692704,138.479407808697,138.307811277695,133.97402878341,130.500564270241,128.186530441825,125.873603942183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.700585480177,126.916130591561,128.356878428079,129.79594303491,127.098386231902,126.21807873269,123.489964488805,125.091292148447,125.22652106619,128.588417471423,129.23783571862,131.545224161671,133.064576494126,132.972718624376,131.813216655711,130.773053645046,130.95857446968,132.504803028931,133.693667577714,135.155662126941,137.610341455578,138.316234373273,140.74571788893,140.732225001245,137.446627351572,133.386556257234,132.119882791047,130.029127906136,130.138211187759,130.493005120128,128.479604326347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.316800616478,125.277015050706,127.418241231066,125.299624693034,126.693082167468,128.20956184981,131.338983736233,132.915327922618,126.78875949104,126.459283558004,127.110477421201,129.461122268018,130.736882246312,132.023388526284,135.070246507635,136.696323385627,136.492741763357,138.361256296028,136.616376623749,136.236643708364,138.326816214955,138.403881252512,138.041375290047,139.066583925266,139.454612007837,138.969317611233,140.891875093201,139.606778566201,137.703125514513,134.352604279881,133.08648921043,132.345479506054,131.503611052881,129.209338530202,128.610388418128,127.860871517058,127.605670238785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.453033424571,124.740217311417,123.747926293596,124.275021373368,125.117891782698,126.179003805559,126.309958746665,130.108865204534,132.047418551828,134.103274347769,132.788617568926,129.166648477422,131.285795079614,133.925906945221,136.000434884054,135.603164920692,136.484016437169,138.373974620143,138.867781007949,140.627708773417,141.019901014175,142.012586846147,141.796280584097,141.749063776704,142.595693407794,142.558587213671,143.921353625593,143.157524931032,143.429175119877,141.32664994787,140.643583578113,140.60912917043,137.677694586928,135.57213260287,133.794389873758,133.325339156922,130.561748672634,129.970311012782,127.615821401309,125.687643477327,122.817306439751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.967471228856,124.258453501205,124.768837784499,123.959208710771,123.779391601001,124.232228126241,126.184297441068,127.372798120789,130.43805353217,132.482999839211,132.298794992165,135.023005324606,136.439247786597,133.952445045607,135.043814671484,136.176455628266,138.45098744664,137.594203860239,139.536957459775,140.822317789935,138.188570420845,140.581744674771,141.149153970217,142.082836542124,141.704140542828,143.572143912471,144.567092963827,145.466892077097,146.390975185437,145.181927270332,143.781855501339,143.360948961353,143.140522451441,141.009782580096,138.999637674484,137.272955817487,136.252797344474,135.080667626995,133.592143291781,132.255825730293,129.384523785024,126.36821238483,123.74377769963,122.456390605159,122.524317654428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.362271657095,125.144752379019,127.506920309538,129.393973537154,129.672380694828,127.83179194988,125.636848269915,127.070962662471,128.672792070536,133.153439409852,134.734791837569,135.192324156783,136.461565917418,138.02122379189,137.711254661336,137.177845033921,137.715509673945,138.858594749035,140.205713298285,139.259311309319,137.276390002283,138.776354201415,139.714570429069,141.703268648099,143.249539283228,144.155382287358,144.379218000725,144.737047783925,145.312155512134,144.048473892937,143.781775877657,142.716636219841,141.716711620705,140.421830215623,140.270635331766,137.943300677627,136.758644786554,137.637501954278,139.294734372114,137.028290360651,133.931313426419,131.908225635142,128.183962082416,123.818574370523,123.346189489682,123.603741475759,126.075947170199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.00657637333,121.137525716254,125.83720731667,127.254110831131,129.704265917462,130.133460482846,131.249814346294,130.642451654248,129.801163375036,130.438260448538,131.617063799551,134.298196777746,135.652388966659,138.310911567316,139.735691997309,140.211194898446,140.226856110959,139.984187478732,139.364027101117,139.798591200217,140.505972830111,142.145107264372,140.919469897666,142.22457267279,142.757887720689,145.052735616942,144.936499932425,145.80758999417,144.324621126437,143.156454430788,143.322750713144,143.605002765589,142.948960871976,142.622119241819,140.594639999448,141.535745499641,137.760312131564,135.432591680751,136.397061222041,137.757918487364,136.590586926721,136.306108537945,134.965425889269,131.838888095537,128.673035973456,127.763304643523,127.250807415598,126.407147375373,127.487614531445,127.529275296283,127.45547508216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.666339411612,122.666252571986,122.804650285374,125.592076253299,129.940748692285,131.221812490074,132.851790076119,131.860621284159,131.440098293964,131.276591596346,132.387830568094,135.394306863713,138.625842205741,137.878749641715,140.474541370485,141.401848803575,142.156034385695,140.968315991117,140.678087081599,138.458161045112,140.5541197781,140.66936972866,141.451515217928,142.193097177612,142.487062015346,143.92573925416,143.85022119464,144.223016532892,144.58738160384,143.871074042445,143.922481934472,142.288420545766,141.725419156378,141.279950902525,141.050676610606,143.003039693095,141.687816044302,138.278195096456,137.597381032865,138.479542590752,136.830520638409,137.810357808629,136.841828017956,133.37523400445,129.999544933768,127.952955627,130.075519434036,124.619365961193,122.857724825413,120.370293648221,121.090317679099,120.514661882919,120.88842324415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
