"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.585696651165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.662222168018,133.410851863659,136.2630567329,136.099474804313,136.553547549153,138.685014207855,140.208684002492,142.060708525909,140.78042484309,140.318609774881,140.218267597423,140.404855513141,142.530842357012,143.415391009425,144.959490870776,146.653832235444,146.457939211737,147.56286028155,151.216107216941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.146792462123,147.229895445993,141.330226085319,133.953894408233,134.918258111562,136.524773283717,135.777494449454,136.584124097754,140.673880067755,143.67641753513,143.846503206064,145.02038430374,143.842967882565,142.103566117381,141.957472734553,142.479688148694,142.916530157499,146.614727960127,149.1434426854,152.493134311738,152.232497592253,152.548783097199,152.009553841398,145.779551211687,144.067903213214,141.94216022237,141.383144676265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.775911067271,144.444224574118,147.889781992777,148.235762180873,140.442642211764,137.055137459437,136.178546798339,137.625381878381,139.132768626648,142.531636492656,143.290737882586,146.913803115818,147.082012797969,146.280207267467,144.776346150359,144.663758935625,144.635959210788,145.475126614887,146.270506886539,147.641374185795,149.635332461091,151.152439298914,155.531419886931,155.608873363934,151.260286098791,146.284004546198,145.19962139216,143.743982844045,143.844851846203,145.03647860741,142.839115954802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.326095653173,142.214367444018,146.735127396201,145.373820122765,146.716903225329,147.546661931614,150.853335598725,151.171655724738,139.285808168013,139.306264927309,140.798674995027,142.978087647287,143.876485954374,145.617476399999,148.674143254664,150.007518587347,149.374231241703,152.307595980403,150.346420425655,149.650202188361,151.355639692234,150.140181906799,150.223427598001,151.766534914415,152.62634179248,152.366120205728,155.641496391209,154.623128969104,152.54589415854,146.335484905546,146.060072350338,144.241228304438,143.926682487533,142.05977229206,142.796778655491,140.856745185421,140.544639049266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.942576686046,142.092643026576,141.26853366757,141.096761233373,145.945985042779,148.330099756855,148.511544991732,151.284803645574,151.897090002117,153.773704586343,150.977613978356,142.661803900359,145.702337307309,148.204185499118,149.784456552116,149.989552726601,151.121124842055,152.154355782963,151.397119377485,153.183895239235,153.429207819162,154.365386428496,154.381402398501,154.403929679941,156.955592869296,156.179433941281,157.655349142621,156.364486580317,156.075658550239,153.443543455872,151.873627276457,151.631651629354,148.322027034025,146.180567804727,144.833877172428,144.438599392474,141.471524893444,142.836277976252,140.02051834581,137.713221524137,134.75148588448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.765884344523,143.307747323385,144.242851535379,141.822082837282,140.571482074151,141.329659601266,144.321514827971,148.598092536706,151.015766725653,152.351748051548,150.489041693983,152.613233741119,156.256546889206,151.213887285104,149.313463568373,151.305792718735,153.5553838476,152.309449092206,154.073872889268,154.335591245736,149.914761455588,153.72792306292,153.656548738761,155.340614712622,155.482376068616,156.873985801813,157.120027554087,159.02990131058,159.682743159958,158.322264394569,156.46947888044,155.976757170092,154.803220246306,154.048443138732,150.78433265818,148.561027147973,146.466681874796,144.764681012797,144.3307111523,144.163046173497,141.146467050906,137.30851002179,134.63914437552,132.773369261358,133.799594868584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.66443840771,143.859284747783,147.441581499743,149.463198347046,148.94303226047,145.209252040465,141.214706916079,144.131979541995,148.213968995674,153.218681471031,152.763392403794,152.448776185614,154.63871582493,156.80644736895,155.286976474891,153.928538906802,153.420384312746,152.783520639935,153.719001805845,152.775468214463,150.359291723208,152.25475988031,153.122534366169,156.395592214567,158.620087853053,158.801890274164,158.897912729188,159.336231061867,160.060490210837,158.395584944118,157.572629029301,155.43099792363,154.271042009408,153.389780029848,152.37069023776,149.987764239568,148.099450195361,147.419012187639,149.767639301231,147.698351301182,145.089278090541,143.075504375419,139.324434229599,133.964281856058,133.103535915195,133.206932946584,138.805671030286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.066900061511,136.953725850255,144.274059423675,147.451844721484,148.561488093506,149.533260668858,150.744098875755,146.465934131265,145.50003123606,146.300159613109,151.685129259622,153.810320242687,155.113763905382,157.158885164865,159.277645651394,159.132061120032,157.83296457718,156.511657514438,154.015325727076,153.632684217529,154.246708827754,155.580804260181,155.36734895542,156.690939503034,156.3978080232,158.847486807017,159.151347792169,160.573088829794,158.633537369953,157.740293033044,157.250570763526,157.801021884582,156.592224911954,156.292106334018,154.290837941469,154.049366931449,150.455226945455,148.196524160028,148.379881746458,148.835712741439,147.794786543082,147.172483309204,146.986430975847,144.040238485034,140.315278626752,140.039603390015,139.82579205957,141.179560010455,145.052973861381,149.3217328731,149.64456191201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.597444497118,137.602854259377,139.076545724546,142.464416047436,150.830594273554,151.326717196631,151.942052377847,152.300739832067,149.785613572145,149.729762251787,149.326568636301,154.932489068823,157.456622612883,156.661977052794,159.368287549829,159.637793677016,160.573936716159,158.542612203068,157.332768931092,154.59512037494,155.364330882657,155.920262416076,155.949777892491,158.305033855224,157.239618528268,158.979288664912,158.290474456366,159.745616182919,158.801920672791,157.601687545603,158.449305998789,156.696111023314,155.815798164847,155.76819727851,155.099535017218,156.960522097187,155.510284817676,152.234191753068,151.331392347824,151.870561533605,147.419228063894,148.008604504364,148.29444222599,146.142599355284,142.262203631476,139.983711947216,143.304269827242,137.332717697914,133.956096277483,131.407472633576,134.111650042375,133.450470317613,134.121305639598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
