"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950.328890437411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.58560997307,1100.28405423327,1107.07949127423,1098.29413182444,1110.18016555873,1078.48273050615,1081.6653826392,1095.73035004056,1073.54552767919,1051.48704224065,1007.78221853732,961.769203083567,939.747306460625,930.38970329642,916.344243786117,896.172416446746,854.400374531753,832.541290267336,805.062109405231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095.73035004056,1110.18016555873,1123.61025271221,1147.00697469545,1137.15654155442,1130.5419054595,1132.75107592092,1132.75107592092,1119.43065886191,1151.08644332213,1145.09824905988,1131.92314226718,1110.46161572564,1107.3617295175,1082.24304109567,1051.18980208143,1030.77640640442,977.880360780397,972.432516938836,934.07708461347,915.491671180028,893.378419260282,873.212459828649,849.264387573151,845.946215784432,820.060973342836,800.390529679106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137.15654155442,1156.77353012593,1152.44305716161,1178.18716679482,1175.26592735432,1185.85412256314,1179.24764150708,1170.46999107196,1155.96280216969,1165.38620208067,1177.39118393166,1167.26175299288,1152.44305716161,1151.6292806281,1155.69243313262,1166.19037896906,1131.92314226718,1123.61025271221,1079.64114408446,1073.54552767919,1012.42283656583,965.012953280939,956.882960450232,925.337776166087,887.764045228235,886.002257333467,887.764045228235,862.046982478333,851.46931829632,800.390529679106,781.424980404389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1149.18449345612,1152.44305716161,1167.26175299288,1179.24764150708,1206.75183861472,1219.11853402366,1250.249975005,1233.3896383544,1202.60134708057,1202.3414656411,1202.60134708057,1191.89974410602,1188.48643240047,1181.63022980965,1188.48643240047,1195.04184027171,1195.04184027171,1177.39118393166,1171.8041645258,1168.8669727561,1160.01077581202,1145.09824905988,1095.73035004056,1081.6653826392,1028.65203057205,991.526600752597,984.88578017961,939.747306460625,930.053761886914,919.918474648705,921.954445729289,886.70739254841,851.46931829632,850.367567584747,832.541290267336,831.038506929733,816.241385865725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185.59057013794,1218.86217432489,1221.93494098499,1209.33866224478,1220.91154470748,1241.21915873064,1250,1245.49187070812,1257.22909606802,1255.48795294897,1241.21915873064,1231.10722522451,1226.01998352392,1220.91154470748,1239.45552562405,1237.43686707646,1239.45552562405,1219.11853402366,1204.15945787923,1221.93494098499,1206.49285120137,1179.24764150708,1175.26592735432,1171.537451386,1165.38620208067,1114.95515604889,1075.29065838033,1060.95475869615,1030.77640640442,1006.54110695987,973.717104707522,941.076511235936,955.24865872714,930.38970329642,897.566153550812,866.386172558173,838.525491562421,862.046982478333,849.264387573151,832.541290267336,816.241385865725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1252.99640861417,1258.96783120142,1257.22909606802,1250.249975005,1258.22295321616,1283.79320764678,1282.81916106675,1291.55913530895,1279.89257361702,1283.79320764678,1265.89889011722,1255.48795294897,1280.62484748657,1265.158092888,1276.95927891221,1264.16968797705,1261.19982556294,1253.99362039845,1264.16968797705,1237.94184031399,1237.43686707646,1221.93494098499,1237.94184031399,1187.69735202197,1167.26175299288,1166.19037896906,1136.33181773635,1109.61705105861,1114.95515604889,1085.41466730462,1040.73291482493,1025.91422643416,983.933432707721,956.882960450232,955.24865872714,938.416218956173,900,880.695747690427,876.427407147905,875.35707000058,853.302408293801,832.165848854662,831.038506929733,822.344210169926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267.37918556366,1267.37918556366,1274.7548783982,1281.60056179763,1278.91555624287,1290.59094991403,1288.65239688599,1313.86833434709,1325,1325.23582806986,1309.81868974297,1311.72596223449,1285.00972758964,1281.1127975319,1297.11217710728,1288.65239688599,1274.7548783982,1267.37918556366,1274.7548783982,1262.19055613643,1258.22295321616,1261.19982556294,1256.23445264011,1239.45552562405,1241.21915873064,1219.11853402366,1180.04237212059,1168.8669727561,1187.69735202197,1137.15654155442,1152.44305716161,1142.36596587959,1101.13577727726,1098.29413182444,1035.91746775503,1015.19702521235,996.242942258564,977.880360780397,950,901.734439843572,901.387818865997,887.764045228235,878.208403512515,863.133825081603,859.142013871979,840.386815698581,838.15273071201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1277.69323391806,1285.00972758964,1285.73908706238,1296.63024798899,1308.62523283024,1291.55913530895,1330.64833821713,1325.94306061761,1327.1209439987,1325,1328.76822659183,1332.76029352618,1311.72596223449,1308.62523283024,1308.14754519511,1305.03831361382,1309.81868974297,1309.81868974297,1299.27864601863,1296.63024798899,1286.95376762338,1280.62484748657,1277.69323391806,1276.95927891221,1265.158092888,1241.21915873064,1241.97423483742,1226.01998352392,1202.60134708057,1221.16747418198,1206.75183861472,1190.85053638146,1179.24764150708,1150.27170703273,1131.92314226718,1096.58560997307,1061.24926383956,1043.13230225125,1007.78221853732,976.281209488332,937.083240699566,905.538513813742,917.196816392207,901.387818865997,883.883476483184,890.224690738243,875,879.275269753449,845.946215784432,818.91696770796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258.96783120142,1275.24507448568,1300,1305.03831361382,1325.23582806986,1327.1209439987,1346.29120178363,1315.29464379659,1330.88316542062,1330.88316542062,1330.88316542062,1341.64078649987,1325,1342.80490019958,1333.46353530946,1336.50664046237,1328.53302555864,1346.29120178363,1343.50288425444,1315.76973669408,1320.03787824441,1310.77267289183,1317.43121262554,1291.55913530895,1285.00972758964,1277.20397744448,1277.20397744448,1258.22295321616,1244.23671381293,1226.01998352392,1230.09146001425,1221.16747418198,1220.91154470748,1219.88728987559,1218.86217432489,1204.15945787923,1151.08644332213,1129.7123527695,1100.28405423327,1079.64114408446,1043.13230225125,1007.16166274859,990.580637807947,955.24865872714,930.38970329642,927.698765763974,905.883546599672,910.013736160065,895.125689498408,887.764045228235,866.746791167986,855.862138431184,824.621125123532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
