"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158.12348219005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274.81610587435,1264.43431773758,1252.32897799462,1253.00281370796,1255.78523376434,1265.4531225386,1267.42846161153,1253.24377663433,1237.80714486547,1212.69328356349,1218.86217432489,1168.15119008727,1119.43065886191,1110.23985293985,1105.14418965987,1085.41466730462,1039.37513004633,1001.4004023785,961.135176442605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272.07850011961,1313.86833434709,1330.67767299853,1364.88572862437,1334.53830994941,1296.53365160534,1309.181681145,1326.13107248491,1312.34309553166,1321.45142461038,1320.17344433411,1284.08527042282,1272.43712840948,1281.69794808315,1253.49585608929,1218.96455698836,1215.40001438721,1131.89765508005,1151.38452397378,1102.73043349746,1066.78020818096,1044.77579911242,1028.21476033518,998.395703000023,992.651817303247,973.781207327043,976.281209488332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328.76822659183,1340.322690631,1337.43499427543,1367.34946574738,1364.29353575686,1378.4845130825,1367.70793665899,1353.1242733667,1330.59939379138,1343.09171823356,1359.70953693345,1346.66630521419,1348.21354670779,1333.49445493115,1320.18550780374,1315.43688973573,1276.09613631671,1277.25160686156,1236.58663535391,1242.79375092644,1222.9574808635,1166.21716331966,1136.55097851944,1066.18378971924,1054.90624556669,1030.89710885354,1026.4043727718,1012.42283656583,1007.78221853732,974.312813379426,952.053563745342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329.37416874637,1364.73440639562,1360.54960748322,1367.83906378688,1375.9087905817,1389.44369720147,1397.87630143774,1398.66007306994,1380.67012714841,1375.14175317871,1375.49886328789,1364.84298303605,1380.80566465877,1380.67012714841,1352.62459218022,1369.71665220076,1366.22714827299,1352.29684279124,1353.01168646095,1334.75172126,1299.20226885265,1296.38921624642,1276.01004165942,1258.9836071654,1239.45552562405,1179.56702501218,1163.26538072201,1116.26841726936,1078.22129303426,1079.48163076935,1044.73818478701,1050.449341284,991.010677326182,974.138693035033,973.717104707522,951.323089005909,950.353540164526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375.72135639594,1380.75490030886,1408.08484208086,1402.91782694669,1385.56637834641,1399.38319276643,1398.78828085529,1396.67014018612,1410.26309011728,1401.53686352842,1379.66445825173,1384.8148662868,1383.33227581439,1379.49501544331,1389.24439894498,1377.87197254518,1397.54248593737,1386.5424623862,1380.55977766214,1379.92567837188,1362.31063099875,1342.80490019958,1328.838705891,1312.47615195262,1305.30659919083,1288.67652384676,1256.23445264011,1255.31361936714,1239.51849335439,1185.82685189128,1149.67650651748,1131.40188986281,1113.83347049727,1096.58560997307,1047.39739731219,1007.78221853732,953.856755133675,978.042762655291,976.281209488332,965.6763058345,976.281209488332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383.29693902752,1407.86841255247,1420.55088669092,1422.23497318942,1432.09297547132,1439.6281430009,1453.55153008327,1423.67476312858,1436.03851018671,1435.02010705931,1424.78546057443,1428.57002685351,1409.1663930754,1420.19937667857,1407.51846370049,1410.89510595225,1398.71029232065,1402.007489281,1399.39462727535,1415.31798547182,1370.70258536112,1375,1354.00399158222,1360.32464497599,1325.47420013929,1298.10557726081,1305.13395605524,1296.54216645371,1275.32007705637,1286.36161084989,1267.47138172409,1212.30366418129,1191.84607893448,1180.56389559155,1132.30704847446,1133.80493195864,1086.0934921421,1044.50142554455,1007.05206712517,1000.32416079385,1000.36260479642,980.114789195633,975.800834822445,971.008732132245,968.240548600611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425.7720637154,1446.76362962303,1456.23658792107,1470.61841913137,1464.06994463491,1480.30296400008,1439.20007150759,1450.87740958795,1463.19412809603,1453.51399543852,1456.23658792107,1444.62822734497,1442.22592677284,1420.19963666482,1415.82767087342,1416.00777455234,1398.74933039914,1404.20036133162,1405.8074769401,1401.31300686287,1399.02304123707,1388.58065664312,1380.72666568455,1368.66601675116,1375.00568134869,1342.83397783388,1315.55295869448,1312.35893463014,1319.36003161615,1305.69013672994,1306.05549971378,1300.05404160776,1286.97500048916,1283.01345578793,1237.23904734972,1195.48312635401,1175.91030954412,1138.83334249119,1107.55201242905,1063.60236930913,1050.52716258352,1025.22007373284,1000.58432542765,977.880360780397,1001.24921972504,986.785759779617,986.154146165801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369.31651543065,1445.05733959135,1473.51620282914,1476.5721486618,1470.55706253312,1478.40707003931,1470.54411698527,1495.20065543057,1463.74145546418,1456.85905415728,1476.05308915582,1465.00853239836,1457.91440455677,1448.51755138073,1439.53714566142,1433.10667614308,1423.20019751406,1442.92350072086,1421.30819616995,1399.33019691565,1415.98022585063,1407.90578240153,1398.81606114649,1383.23539294984,1378.16586392874,1370.44700736657,1356.1414943224,1355.99867929812,1320.35593862645,1319.76840879564,1332.68548465982,1329.73178379979,1320.03787824441,1310.17921548428,1300.12595784035,1287.06890181551,1264.19439809983,1245.49187070812,1231.10722522451,1191.95213534402,1120.57108440666,1085.41466730462,1051.98071939119,1055.04739230046,1026.57413295733,1007.96758870419,1007.78221853732,998.14670941512,1002.80855600658,995.732814176997,975.008011503914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378.74772879772,1431.78210632764,1475.96876619408,1478.38594419725,1491.18192148643,1490.38585607889,1498.08983344495,1475.84721431454,1488.74945217051,1485.34507775129,1480.24979216744,1477.32867026942,1457.82885569491,1470.9209095648,1454.51882077889,1457.00604813858,1445.14795915611,1450.45225972543,1463.13018180718,1436.57515120831,1433.2756443851,1432.01125714858,1434.80676945649,1414.43589720796,1397.98135303415,1383.44864611084,1370.88316794905,1370.56083218241,1364.99104623573,1355.13770565108,1360.3994473014,1343.50288425444,1333.74357705521,1336.63750553973,1328.86802826519,1336.29617925284,1311.84855065819,1280.78307048999,1255.72353072693,1252.29161968086,1225.50274691477,1163.23901241318,1148.75814103278,1105.15124741525,1068.05162465936,1051.75597152304,1022.11841711029,1030.23556181696,1037.94606347126,1032.77476879695,1030.01777049112,1011.56320497736,976.807544711256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
