"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.041221369399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.630476531911,199.894753516401,201.560043681647,200.437780084382,200.761867184892,202.544363456211,202.199159715726,202.654758210002,203.348794556207,203.686448324699,203.329577260887,203.03634838871,202.058137100289,201.533608584144,200.684910667418,200.653815745288,199.042855526102,198.940747060405,197.776217067655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.457563015399,193.290560632291,195.428755204801,197.327854156907,200.376112325646,201.559302667385,202.652015635972,202.643246009292,203.027039758554,203.731456361428,203.267132537647,204.802711602697,205.373317865541,206.858394781093,207.194276131718,203.637043695575,203.977605008949,203.237000722034,202.925507323921,202.340960856345,201.413673359768,199.62547121693,200.306187423913,200.47198520817,200.102882195917,199.977825632868,199.331576844888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.929139800453,192.327340446907,193.352203166289,196.061670225515,197.938434117369,200.186778476587,200.620115086294,202.868776888379,204.283547508861,204.054275578073,204.186575577144,203.881583998498,206.068020771126,206.960532275636,208.318175384613,207.90061358352,207.726209316169,206.224247109822,205.556582722146,204.202931619901,205.111518900024,203.556861151114,203.398148404367,201.617562075938,201.586742533905,202.227810728961,202.194821756479,202.052313618725,200.529629299331,200.746156355245,199.582464560344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.701467048363,190.958774590738,193.100935796054,192.985969861379,194.955011580208,196.733371163287,197.62171642129,200.287504498961,201.44867523684,200.889491328494,203.612286304153,205.049769097304,205.950813225969,205.924885476678,206.839133564266,208.726282662707,209.272589668494,209.80950644986,209.271188352474,210.126978417252,208.422862816063,207.132852637742,206.383537001157,206.21884939711,206.663495621319,205.26857430394,204.154133003877,202.870418479277,203.345559302144,203.545670665758,203.424000823103,201.993321308732,202.162258172753,201.670850333328,199.965137108138,200.081316229177,199.916316120273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.191967341367,191.506208160312,191.760006481944,191.938101038648,193.839653609662,195.968803958061,195.945730044293,198.841739634773,199.734600751168,201.32010071814,202.534749584909,204.838289076123,204.935038787705,206.725045035897,207.468959019491,208.30429579272,208.527542909904,210.653329693335,211.314409481911,212.216574418925,209.902563606745,210.01303089771,209.760307113079,209.253342958491,207.836675942411,207.396074665518,207.617268961579,206.39465439951,206.289834633113,205.528210066728,206.061906741172,206.090273606749,204.639123432693,204.216437029685,203.895478195194,203.413971633802,202.750902401057,202.28346471442,201.598968704318,204.480527618046,203.637696525209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.728740242895,190.34810950488,191.686049927483,193.17333483779,192.868387021944,193.598741543789,196.169537679166,197.986678954858,198.69092489547,200.300217724284,201.702685056466,204.722372788185,205.625315816475,206.77763151051,207.169138919606,207.525408769586,208.548989480688,210.187654041694,210.427276790717,212.633609017161,213.552570026555,213.650971884909,211.923253165863,210.863526026331,210.565096953389,210.114677876063,208.766074465528,209.081785817602,208.362500036386,207.396793019132,208.025910089289,207.240562743177,208.481623598179,207.984590961981,208.024477812633,205.896116332743,205.58093767381,204.882311512642,204.817343196684,205.6840311674,205.526338299799,205.11575177254,204.822421878551,205.567959655607,203.154728415699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.331956703077,191.261390237258,192.301012922397,193.569551634413,195.518741080355,196.109270061971,197.476080838306,197.999293963232,200.64147805547,199.588737879324,202.106372894304,203.940083279435,205.585824966691,207.340219646659,208.440217547146,209.251195554657,209.613246876204,209.82174074696,211.82505986418,212.497595478077,214.218200475313,214.733014096096,214.335835253071,213.082222984984,213.390349524813,211.771003021974,211.286517637818,209.982130014878,210.11049552341,210.30313386058,209.785055604087,209.02424145275,209.233357049078,209.818433033413,209.229474420136,209.10331208245,208.722947321744,208.501740799053,207.442465904159,208.805953253481,208.705539601004,207.086179429342,207.335911335271,206.875462661645,206.177064954563,205.217030479491,202.751767671959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.657835419957,192.406278282598,193.121942726079,194.457852649607,194.632243349837,195.636232790755,196.451634751154,197.96247534412,199.051799769638,201.705498119298,202.33588960476,202.753856242946,204.659973814437,205.245748824304,205.1576581317,208.794064026749,210.104005929972,209.972813871082,211.592069920826,211.65549202847,212.852254462323,213.586156138735,214.913249088513,215.024010015225,214.673547782504,214.451610383102,214.317774029871,212.716665154505,211.823297651815,212.037373847867,211.221182021028,211.509783049815,211.795591177216,210.797885140432,211.502865201023,210.758149727798,211.298874176111,210.953190970037,211.139008043503,209.857568445816,209.5745772498,209.992869173487,209.681267605101,209.297274867718,207.94734608754,207.509524093758,207.547723565398,206.933122025437,204.55074877691,203.776215934057,202.468571760478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.577296791013,193.099926689211,193.184151357873,195.339437205042,195.69023530703,196.951173698863,198.74198697012,199.367180193,199.879902328335,200.718390578622,202.906177587972,203.367648611362,205.541995495084,206.262020713104,206.246998599234,206.466483367133,209.299651287634,210.401989402833,212.142272016479,213.681155893671,213.522775801915,213.680091876136,215.958686643275,216.326038801157,215.289964604092,215.458119486507,213.84316707271,212.304261755418,212.340213503372,213.024518860735,213.263486574023,213.935608844105,213.745997146497,214.126590304868,214.05299146253,212.662735891434,212.021521792156,212.673614567498,213.491515665426,212.580989019088,213.291589131839,212.979044938115,211.714374754822,212.35457191969,211.389469906451,209.638974146908,209.284143842094,209.857869638296,209.191879048328,206.770185380002,205.457794854626,203.597220200535,203.054649083839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.857723649267,193.601413558126,194.979697924429,195.199124276698,196.650422282166,197.658905464218,198.930956710007,199.79490483586,201.636072569329,202.308701750728,203.376465569444,203.97697784472,206.345496230101,207.264198645294,207.202061206286,208.12063161826,208.2074660517,210.239301070487,211.577074342831,213.924488554661,215.159720846133,215.808788443905,216.939097424277,217.765313163451,216.049253279009,214.614313321088,214.18315640778,214.089775462965,212.293347632735,212.549507698672,212.371697297653,213.204143074959,214.511833091434,215.400846195502,213.717926863939,213.500217552313,213.624377746099,213.503700894515,213.9087382617,214.57232666597,215.974552918694,214.993625878282,215.1059360707,213.917198239667,213.543977498427,213.409633661564,211.759163584896,210.36767882893,210.564519791597,209.524226401097,208.572683638763,206.523023507079,204.439435537343,203.045880142439,203.117960734624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.011748123751,195.037612086684,195.676768933424,196.435905347966,196.28774390791,197.198558288608,198.436067555862,199.666122388518,200.61635439405,200.634847513392,202.358725957314,204.250672319556,205.584958496773,206.596595562903,207.796572886588,208.274640244706,210.016206778131,209.486309925668,210.063530192829,211.182993292032,212.949655648017,214.506716083904,215.316677831424,215.123553814338,216.007007944398,216.286707013873,216.263634303017,214.187056696147,213.798415880547,214.770446540877,213.918996808983,212.729564218788,213.881208590668,214.574236297343,214.4549902963,215.131714620064,214.052901090061,214.549162087736,213.797033340756,214.284594710952,214.84525264507,215.906348471097,217.794489657827,216.872339518427,216.453954566673,216.764700974519,215.501555016906,214.64471614551,214.10826467508,212.726302064148,211.85431313727,210.619736763703,208.762277582214,207.748105664419,204.707967632986,203.377498303481,203.106931391496,201.512981897973,200.702414301013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.664320035244,196.150267074709,196.850331824313,197.93850384474,197.751950796951,198.462900105382,198.410078570987,201.076271431966,201.268888875969,202.189177512909,202.702687653892,202.807034241678,203.797326629426,206.07137969735,206.7149910282,208.6542285925,209.949930064036,209.770761662927,209.874371056894,209.674292062714,210.360089832024,212.932194268203,214.592104175507,214.51737714066,214.628240537444,217.691982352034,216.181950188285,214.468522736775,213.536288367076,214.523568120691,214.727211525597,214.854874314732,214.437547727692,214.643910768998,214.41990700668,215.113186584524,214.565628695524,214.314150695768,214.58879793532,214.288074712977,214.184556437022,214.723442069366,217.160442028159,217.828282915533,217.916427846458,218.325978450011,217.470142826346,217.018794835523,216.610753271847,215.496861227036,214.369671615954,213.357648028835,211.238056390663,209.287957604473,207.124120426886,205.527041682142,205.04348152489,203.347279147087,202.720166363333,201.167473812028,199.853650499851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.89584906991,197.35973537384,198.783754031891,198.923960202236,199.532325272402,198.529020924117,199.930235580099,199.501103029679,202.056445532923,203.089428245111,204.149055834788,204.148495866697,204.171843758551,205.738680515535,206.654968949765,208.25840117635,208.772654425117,209.376939895205,209.739568668116,208.71195767222,210.340842526927,212.330821153913,213.279073128827,214.648378126151,214.983001338916,215.506844073939,215.272804189018,215.3239746837,214.719150006888,213.902298181933,215.68134142097,214.461531699487,215.205297009932,215.155972000478,215.547817324353,215.36307028674,215.131528745149,214.849306952338,214.410621516117,214.741279656161,213.989876028904,214.802658759585,215.988568396339,217.99703367496,219.22119844391,219.907843465778,219.266571244896,218.682375557273,218.067072539437,218.693301472499,217.927359090981,216.251374927016,215.555051062105,214.048885175713,211.461130317321,208.402746361649,206.218721239037,204.401655758452,204.548542339161,204.300227057697,203.537052950092,201.408628228369,201.831928951225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.843716250172,198.805376693333,198.594492775992,200.292206056364,201.395997635287,201.814035448817,201.035465028477,201.852286637291,202.904475061064,204.422499615959,204.832803838498,206.225359069979,204.278836552689,205.539468445106,206.304389133208,207.946189326967,208.6046151825,208.811904922784,210.159241675901,209.970783418179,209.500873727505,210.92863692406,213.70189250057,213.416522772133,214.895949468311,215.288627057166,214.039560130785,213.551038559685,213.109526624899,214.060855755799,214.530339915905,215.111527895782,214.913651984759,215.196766458761,214.340085718212,215.53751686324,214.382768419785,215.71642066097,214.927212153636,214.821527871268,215.014349122425,214.990065445593,215.178391202334,216.971141941293,218.4548338485,220.008928398705,221.072265048868,220.117088247368,219.48584902631,220.585829820622,218.70772287091,218.89687260959,218.08547964074,217.213918014514,215.195292303767,213.667482564289,211.187266245579,207.884572146184,205.310789780625,205.320243903977,204.848734015759,204.500741335127,203.240803664483,202.559569509793,200.774605920553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.310777200105,201.328073230604,201.407591016034,201.678135120575,202.783375122305,202.344679909655,203.19940289132,202.211466393093,203.604423324945,205.045017172221,205.140796308273,205.112281774847,206.673247625715,206.447819079679,206.438743090212,209.51497956753,208.654132685597,209.531314139633,210.540152201363,210.352131700977,210.062188653416,211.818150126899,211.487762859264,213.187380223735,213.866788675812,214.438958851617,214.270311866657,213.696847700031,212.065022680747,213.127939977962,212.332158111129,212.408095458801,214.000697101286,213.872907316363,214.096072860975,214.660880426676,214.334855775435,214.872284713745,215.742977177961,217.053736455593,215.532349519223,215.479989739907,215.177773748192,215.754988426249,218.140465313952,219.847692437649,221.193759247708,221.866377587164,221.32725353564,219.017082465043,220.392766050277,219.875843314849,219.455773870394,219.25709544782,218.112517767369,216.322879525675,214.293709247788,212.950032910312,209.134540680864,206.799467097052,206.369696226019,205.847383084037,205.134493696652,204.819831370994,202.460182500253,201.372335985709,199.332265906378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.392817400807,203.981300130421,204.517757284191,205.843482231031,206.133487213383,204.426527082319,203.359488261891,205.42030509129,205.010018356215,205.655736438945,205.851266844694,206.91460935911,208.056669474561,208.024322219938,208.366612221271,210.731929629536,210.205969279382,210.532932481254,210.978833881397,211.595836776395,211.908918651317,211.47113613148,213.338578636872,214.377763664503,214.762569750409,214.737767204799,213.606867562138,212.346690474995,212.376580301886,212.468655940336,212.244269853907,211.534320645109,212.98760791927,212.687511769386,215.120686338313,215.472196064608,215.045109820184,216.331084871304,217.181893852624,217.037564157186,215.970983457949,214.997257415072,216.447108148761,217.70140196444,219.456857240107,220.741070719145,220.879570960372,221.195833540771,220.890909330303,220.551411084646,221.289341009236,219.517038025091,219.392313506406,219.372211474464,219.416041325067,217.176957789992,214.972857298073,212.432588908343,210.482815567304,208.357540687825,206.60188056028,207.518272194656,207.21618985668,205.933972529984,204.766970995882,202.376815951524,198.882041512387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
