"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.767392918433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.668041083893,119.857684254789,120.538858548799,123.630342184917,120.361484420196,125.162381116403,124.89904959225,130.22131976898,130.511738171826,128.279282009477,129.006439142183,127.140621236318,129.176870337028,127.468547593961,124.523783563817,122.65771193541,123.48096595486,125.989602494951,128.999243119279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.325077909861,113.509280088976,114.817946578886,114.405966021222,117.008147039405,119.773179425598,121.521596578967,123.237233807136,123.954227593869,125.300690464029,128.58755361305,130.469892449231,133.459906057036,134.860529763636,130.304617724417,127.410759726178,126.57364067923,130.594203106072,131.766743522851,126.418905522335,128.991868737628,130.569615786176,131.641347156739,132.93090120634,132.602294800532,133.712003167288,131.479186060636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.186211982774,120.174709240746,120.588816841457,118.101785823855,117.320491011682,119.00391550868,119.429593316332,121.971256914731,122.225944517253,122.190952916731,127.696584224047,129.098953367361,128.963878922847,133.160089593769,134.098476900801,132.72375349915,130.58143396268,132.021508463249,131.880185358589,134.870518962369,133.380062320948,132.422229399656,132.739926128102,135.677610913655,136.736500590274,137.263199371718,136.448650930171,136.354647200313,136.746271120208,133.793139873635,132.778712560987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.864291807236,112.282546873674,115.530816642177,121.074039663189,121.266285809429,121.843258951589,118.942006869726,121.100153344885,121.436035237569,122.490906849768,121.596589224833,124.265500491267,123.752228245474,127.745849000303,129.468772463445,131.531089321049,134.218083846292,133.182015961999,131.853833652052,129.619436058385,128.922714231733,135.030139233799,136.512112967305,137.974329723484,137.32643236566,134.604480049203,137.671982422235,141.26591527621,138.372522625865,137.355592220137,137.282481841311,138.628593711569,134.499169211217,137.453145316591,138.705219236006,137.207943980508,134.674987892387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.260392978815,108.183320244952,110.74670724378,114.592500298117,119.648928301751,120.032246428161,120.774777763308,120.47673512693,124.890428294374,121.323112605601,124.295431047268,122.880958204442,123.394748145474,125.898654923949,126.364842308471,126.228492547599,130.36986771978,132.377866616812,134.482298404684,135.6084447705,132.962038035067,131.59191346858,135.711957180442,136.329426886525,138.241431134614,143.41107001462,142.774938203004,139.417952623181,141.396182755653,141.962647316172,142.685180112653,141.317749583698,138.446151972001,138.914402939939,140.681197286293,141.399595009441,141.252181047309,139.978006461278,134.976317318445,134.429925041075,133.016441459241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.245651406669,107.456984987874,109.746453771507,112.228595777402,113.013237587766,116.739721082794,122.257053773176,118.948664128291,119.163778125063,122.116003140822,124.578498892774,124.669778707853,126.249879266196,123.886856681075,124.516694980977,126.390257895418,125.016920044077,126.738816696886,131.975874383417,131.958804890176,135.411094795346,134.335691340705,136.448215467713,136.085424644437,139.174978317778,139.623047697237,144.498491484931,146.50552159281,146.296004349346,144.330145491186,140.720088106489,145.568199592503,143.937977829675,143.665580758513,142.003773022793,141.50852408606,141.329404624942,142.852939894757,140.72796900592,141.645027054967,137.965972523615,137.160550861439,138.763409377381,138.514013102391,138.118039459463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.531928279662,110.018031168705,111.434984505528,114.277019227492,114.048345253016,114.918127296628,118.481792776875,117.859596648496,119.052387597975,124.049458597147,123.672670815039,124.671862114539,125.241919532361,127.466822172294,123.687062181876,122.776590813978,123.221985127656,125.00762268058,124.192164608917,129.212237353822,131.417812487886,134.364973760633,136.538007711693,137.763620189978,138.557847934663,141.298419011564,140.400731304651,141.779127429899,144.799533981019,144.423683508179,145.232928593701,144.76493402534,147.955632957413,147.991452094276,145.714268209328,142.697118283229,141.611050356466,143.56894113586,145.591285500065,143.565867702855,144.254291158373,145.474339041649,143.341169624803,140.799043287633,143.02189830299,141.486607658575,138.970577011407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.243914815625,105.24177102427,106.423235999667,108.188837921216,110.353495383675,115.466776161014,114.884983291617,117.295427718637,117.855013317726,120.641112849657,120.335523202902,122.308287498167,122.335363532857,122.696576088461,124.54530816663,126.303728640639,124.401482789209,123.433227185052,121.131528614624,123.49948980599,125.475020593871,128.82010715445,130.566705961263,134.428806731777,137.078943912242,136.093350635968,137.286483138627,139.576502299688,140.740421096399,140.933965028737,145.246111860727,146.599265919058,144.925465861222,147.262533661385,147.123250529534,149.705613444384,147.250765898047,144.003118841466,143.510402543412,143.677898962529,147.721979558734,147.648447466866,148.174099269993,149.728708322675,148.878735184464,148.066337106327,146.818380585955,144.045806680287,140.746621739368,137.440408279084,131.768083739719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.695172364367,106.596496220335,105.76740498418,108.243834391329,110.967451752777,112.188202102222,114.610802052425,116.343959321865,116.506544456456,117.862386859738,120.208934072516,120.917497456006,120.909428142205,122.827354077385,123.919434877807,123.62764002879,123.732192080282,124.226701423519,121.565355826471,123.799191796935,124.380525193286,124.144483193919,127.374441211706,129.269478124583,133.226723777808,134.781046973312,135.482543593343,135.91964127898,139.351519989801,142.514348389498,143.736986505773,143.879868957369,147.286175772578,146.376601598609,145.221234484094,148.253854029032,149.677382169801,149.09527294113,147.341340570657,145.52574295824,144.66731972097,149.174383641649,150.234591125047,149.480868779576,149.730800973334,150.976418530836,148.728008965199,146.429219145906,144.322928051407,141.354535999382,136.877627625972,134.77041732653,137.185995506387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
