"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.281160646936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.92311456336,152.102076043143,152.649993917701,157.40222037907,158.468424411086,164.227507982304,171.256286162621,174.40406449403,172.650995156768,169.560947067134,167.282081656386,166.23093629668,166.475791515553,166.126867345414,163.482435975048,162.556999075509,159.67450942048,166.4333114766,169.868530363553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.045891077811,152.498227981737,153.180607768459,151.490902245283,151.322782467067,149.584430275679,153.125397924473,161.228326628335,164.149091068121,165.687433480559,172.000139060811,175.291562117893,175.485954162879,171.802515533147,167.907755744916,166.823887799579,165.870377561353,167.640945256187,167.143063206268,162.977946800314,163.969930602531,165.594481981301,167.375149716809,170.711430895233,170.462466385374,171.167508662358,170.653477650757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.247983297986,159.816406721982,159.541497323681,152.345136134929,153.326680483485,154.598329708046,150.369169480322,150.345071306355,150.198169520064,161.046732506004,166.659497320248,171.323591722929,174.610394283438,175.71782968462,176.023817738935,169.666624165358,168.989625444147,168.134310123957,167.083117741248,168.82744530072,168.499732474961,165.089770751774,166.291526462253,169.374065149634,170.815405374423,170.549937701801,170.986670040241,170.736675260718,171.424237830851,171.520631479983,170.072842325526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.646793808981,157.321163937045,156.799125015723,158.969552008534,159.507715015142,157.273997447297,153.614292412455,156.313686102383,159.813311561727,156.336097738643,149.447242037973,155.264811098155,158.532962242986,165.790142828632,172.996501407004,176.924070315968,178.330551895468,179.749974604061,172.346315367338,167.837000823764,168.280033128109,170.063070062668,170.275837106815,168.361800782273,165.608433279761,165.344311649719,169.875487531872,171.202616187459,170.830728868248,170.029456335357,170.066865862008,171.040379758683,169.154654667651,171.516670920524,173.475606047131,172.758314017663,172.440731979777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.453982978156,158.218645254056,157.362435739567,154.75913921547,155.994239447357,158.496950289756,159.04604713795,156.456260928112,156.030737989187,158.292401811431,160.969964990599,158.247854036138,155.320009857089,159.32142328636,165.176322327873,170.576269097608,175.952994538401,177.429176801638,179.015117529143,179.795504057682,173.60599746351,171.875241686914,171.00385526584,169.491200652589,171.167627245395,173.013669420705,171.065846477451,168.631642953172,171.33568796859,172.192472930156,172.863494814511,171.334791232308,169.514392317404,169.728736190651,172.524655997986,174.508915349459,174.648419039771,175.320157279332,172.23362940918,169.903219179236,172.823834816911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.670378241833,167.092602793487,163.723500660028,160.880992408771,153.207153512221,155.198489582635,155.257938438934,156.422188202679,157.261012434613,160.506243118072,163.825476362712,159.522537590855,161.472833487937,160.74952213869,157.061842801635,162.294477116097,168.848847249887,173.265497640318,178.39580049415,178.751108232236,179.635292539881,179.858698128013,175.98005820286,171.294712895987,173.333126111126,171.422362317153,176.592932858357,177.277657902706,175.713570076788,175.389877312553,172.473580314646,173.429687230222,173.278475986599,171.575545194199,171.57334115313,171.077765663186,171.672899683315,175.519315423895,174.746564730051,176.742878652726,173.471090889411,173.420434590694,175.311183119765,176.086905236425,177.845972608278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.288227504328,167.781888508899,164.460485095383,163.882623706634,157.087590496431,151.778420770428,155.280470125337,153.994896669473,157.538585598513,162.339286191147,163.2745999481,162.359736746183,161.299688928442,164.244523312593,159.340588054235,159.384254661025,159.95455560264,163.898386446819,169.695462907312,175.015768682109,177.202249985077,180.181803869085,179.330362975193,176.68444245991,172.887044530326,174.364923893994,174.683019837604,177.482791514158,178.502516775284,173.488248512482,175.383102968171,174.843172022953,178.018265670623,176.105432497848,174.507654470203,171.321511483172,171.19565767442,173.78486912962,178.225623073463,179.313541911727,178.397172779328,181.670048367015,177.438078498211,174.145757536046,179.520497090985,178.134460187813,179.279214713409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.671359597394,162.715883147808,164.283215177353,162.349231696494,161.215424289548,163.542248385382,152.29823743834,153.181126771212,155.086911351288,155.329461370445,160.351676500501,162.421492370844,163.766024359454,162.249203372844,161.172763817514,162.077184995117,158.067387848764,161.799610373893,156.331003542119,166.662011487182,171.823313488649,174.325666867742,176.867050112138,177.762178265676,179.888259588758,176.522397338729,173.501298150214,175.382028387373,176.114397559169,176.039554821948,179.465385492902,178.497337215044,175.538446514142,176.647977957814,174.432101900097,175.066970626052,174.495451731541,173.304662958332,172.756517577599,175.51112569677,179.426764287559,181.515296229681,182.244218555015,183.624576866482,183.192693588514,182.838227475283,182.816731882982,178.758473507123,177.878581182731,177.379096975908,176.263423217521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.577850095977,158.768530228946,161.259964587958,160.835825437488,163.070634181354,161.205368863854,156.678277189516,155.543091645065,152.886596026441,155.619476650707,156.991053950342,161.76620058225,162.807730319433,164.743249482536,163.690686535953,163.183932294992,161.593785709619,160.875558184373,157.613779226536,161.915119993855,168.510556898966,172.231986350372,174.081611567545,176.043774324329,178.066891114566,180.058969276143,176.374174581873,173.462252055184,175.208527928439,178.337386733686,177.317482551523,178.563976929752,177.657714213662,176.719143763956,175.315594235612,180.25690126483,178.261215166896,178.094309836515,172.349191882579,174.215737045787,177.156801776648,182.73593891992,183.08640163175,185.902451194268,184.381419130923,185.274234145702,185.94076558014,180.495956487897,180.45865503126,179.330478031605,177.481606076835,177.821331346693,180.577813389992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
