"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.552980513717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.508497187474,285.043856274785,292.429646859492,302.076149339864,313.249102153542,304.138126514911,320.156211871642,336.317341063046,353.553390593274,328.823660949148,343.469467462503,318.783407197388,328.823660949148,313.25152653668,379.922421044925,274.885408641495,257.205984686558,302.076149339864,281.239407312543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.258240356725,269.258240356725,276.134025429682,284.821110503657,301.039864469807,306.646795942554,325.960120260132,350.891721190455,325.960120260132,373.284005825018,399.941058844013,396.655180559885,370.354508317185,364.589455714301,350.891721190455,354.853570640597,340.036762718386,357.769181447122,374.926507206323,305.163890393343,301.039864469807,320.156211871642,285.043856274785,285.043856274785,325.941648009378,316.227766016838,302.919926172945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.390753524675,276.134025429682,268.381764542386,267.947576710307,276.062554432558,285.043856274785,307.147543263234,350.722509031293,348.209706929603,353.553390593274,378.318648760539,391.311896062463,403.05457744323,391.107997361682,359.217707052098,375,350.869428160694,359.666249357739,381.433944893352,381.598190777236,375.832409459323,371.243344718109,336.854801232458,350.354216529047,345.32855497352,309.232921921325,304.138126514911,328.787866690535,350.354216529047,353.553390593274,350.620347228653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.849528301415,254.950975679639,257.313955237217,269.258240356725,281.133927139957,279.508497187474,275.755866362009,285.043856274785,333.541601603158,375.780150824618,357.945526581909,340.036762718386,363.919235291085,366.878562902374,385.26541546298,401.848835732308,395.284707521047,353.553390593274,375.832409459323,391.311896062463,354.371184648084,381.608438061844,388.104367406501,378.318648760539,392.718327782707,364.692900026298,333.423653086808,389.84980906205,333.541601603158,340.073500653962,382.426463519459,357.945526581909,357.845216258394,353.553390593274,370.093164256691,375.780150824618,382.426463519459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.998767129326,230.488611432322,237.170824512628,246.221445044903,261.007662722764,270.416345659799,285.043856274785,285.043856274785,309.232921921325,345.23031046592,357.945526581909,369.493192963859,353.553390593274,378.318648760539,372.39259507066,380.238242236499,395.284707521047,399.882117688026,382.426463519459,412.214505014548,401.246515724284,379.938844789691,381.587943492628,380.642804308353,395.655948031232,400.695189159374,400.780488547035,406.970514902493,431.566912540802,406.970514902493,382.426463519459,362.237181418742,367.733028770758,357.823828836255,347.311099736245,363.853995266973,388.104367406501,411.142023667963,388.104367406501,401.517532614777,412.166436636582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.937184335382,251.246890528022,235.849528301415,230.351288974057,230.488611432322,249.905536126123,261.007662722764,257.390753524675,270.416345659799,298.233804282114,320.156211871642,336.317341063046,350.891721190455,362.904007078765,357.945526581909,355.694556887733,373.284005825018,375.832409459323,400.780488547035,385.194441664392,388.104367406501,393.168453432124,382.426463519459,394.693882800095,385.194441664392,387.982045923426,427.200187265877,406.970514902493,426.832864181876,418.907220286149,436.49779040559,421.670217033967,395.284707521047,362.376325536997,332.488169310149,351.7632335092,348.209706929603,371.651718682963,394.963251421008,408.316178547576,395.284707521047,401.12761121177,419.076365356005,430.061493299582,422.396329012731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.679270612816,250,257.298369105617,257.390753524675,237.154308309988,248.063490585513,250,261.007662722764,270.416345659799,276.134025429682,301.650342013237,315.873975599914,327.356096346027,403.080345962357,345.32855497352,364.005494464026,374.75395950111,380.56023187794,383.089186600445,403.112887414927,382.426463519459,382.426463519459,380.726905129879,379.672384935687,382.868342297525,403.867998707084,392.5110951685,378.318648760539,401.917532995133,400.780488547035,399.5500686808,425.73465914816,436.606229914325,406.970514902493,380.788655293195,357.75769454648,333.482627344983,357.679665910767,423.915210951546,403.112887414927,380.757780211537,378.318648760539,403.887360535088,427.200187265877,445.112345369121,430.052497474346,406.970514902493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.221445044903,254.950975679639,259.000400183827,237.170824512628,250,257.390753524675,270.090705856421,288.214428777681,265.738127973901,305.163890393343,285.043856274785,303.050327107531,305.163890393343,382.344037843707,355.628015152663,368.731396858021,366.093981356699,375.589184800707,378.074696163074,391.311896062463,369.120576505835,398.759038482834,399.904887544693,388.012921005084,380.788655293195,388.104367406501,380.788655293195,424.154700396138,429.383549903339,448.910248542315,403.112887414927,427.200187265877,427.200187265877,388.694857470233,412.177061370284,391.311896062463,406.922294558898,390.757113073547,378.105107099572,350,390.757113073547,355.316760088797,391.311896062463,406.824442310225,413.497555296568,436.606229914325,425.59312704475,430.116263352131,413.823633931171,355.356641190861,341.06745741634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.390753524675,257.390753524675,251.246890528022,257.390753524675,250,249.893703426939,263.32132923812,265.544573023524,254.827201287648,319.35274599825,305.163890393343,301.039864469807,319.98353412869,325.960120260132,325.960120260132,360.555127546399,375.608823423355,363.853995266973,347.311099736245,410.311410428973,412.310562561766,381.608438061844,421.766290773889,408.500500786955,413.823633931171,415.463648718209,388.446572791446,402.295088641211,413.823633931171,444.899692482751,424.841382032022,437.321392113398,425.436883517735,409.87690851801,378.318648760539,384.856402734172,403.112887414927,425.73465914816,402.936843763201,375.664613635486,362.486128936713,348.991144650147,376.617841270763,378.318648760539,390.512483795333,371.651718682963,425,414.196743494549,436.316074166466,412.480157314052,381.296241522943,336.328971119944,303.688023498472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
