"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.361382810603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.439629450577,217.734146859842,217.668440318173,216.696481002726,215.724103557211,216.570813635415,216.497572763962,216.422842450721,217.335045380136,217.884447928036,218.003432172727,216.897297506503,216.752519392229,215.887704194258,216.264919991307,216.984927560674,216.580520802318,216.863829875877,216.180932671503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.408582315626,217.640811808054,219.397895968376,220.039466562064,219.882403469605,219.550982900951,220.198814736709,218.246904092682,218.130216075284,218.868665227953,219.24324401667,218.349100174855,219.49303202567,220.646860614769,220.160946594432,219.023303913736,219.278748514153,218.679871138348,219.183009914521,219.961020882644,219.489868734248,219.461543583699,218.781139869609,219.424465677509,217.993488072312,219.136495253445,218.908574042065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.437819944273,216.8500395706,217.86907491253,220.06452370423,221.493765011571,221.550851365115,222.531919272116,222.311286155863,221.051571533846,221.027608089455,220.154952244004,221.180149698759,221.567565908484,221.972168304613,222.705405681911,221.942447774376,221.374729959333,221.56045301612,221.192576977942,221.71027302212,221.546745640123,222.060685236973,221.789302510543,221.172072320885,221.485918616646,221.361608814723,222.015662887947,221.287549861914,222.599309117493,222.480076443447,222.258843046454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.458288345769,217.931065589647,217.793360254029,218.550471813654,219.254911460154,220.481694538327,223.024352398516,225.610114890713,224.466259723106,225.559422036548,225.695849887891,225.560637274679,225.781497091525,224.499360639774,223.69074669916,224.421068988198,224.886443208914,224.665160822811,224.277269912803,223.443363949539,224.404011842924,224.73818387029,224.173659641052,224.253897119287,225.009585387977,225.000732441125,223.957147055802,223.928312659594,225.193398929692,224.077141340632,223.86481911117,224.25431832841,224.904072859211,224.411258785491,224.278099691466,223.800265840935,223.841695411793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.416012202565,220.214438074989,220.325373026494,220.408184011951,220.228252081367,221.02674136365,222.145123972371,223.52115943431,224.956728156391,228.031203199201,228.856136817574,228.711136759092,228.821193175874,228.306888622098,227.339655159237,227.792122726471,226.574002357262,227.222883038929,226.758928702098,226.732033507101,226.861548417707,226.150775412387,226.033478628749,226.436406715858,226.734382059147,226.774817523161,227.541592104278,226.802653835296,227.258900714498,228.069106454561,227.929495752702,227.465661588091,226.222940772883,227.308984398985,226.577395788807,226.923300305691,227.515419203472,226.907372107065,226.403856029835,225.929065777053,226.132763512561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.175080843466,220.07112880974,220.507129687079,222.417373732257,223.647377877224,223.05228825331,222.90917235267,223.865068193861,224.270231779231,227.047987553226,228.473294496548,229.729697973564,230.763454034028,231.526026193942,231.655676428489,232.548400967598,232.28800191453,230.830831935631,230.175150872093,229.70991534667,229.33430231723,229.111973108869,228.894554040369,228.657355472218,228.241941326234,228.92233687013,229.186354729546,229.454103919651,230.266837293219,229.078674927697,229.510441729934,230.91567780437,230.262839576457,230.459827158835,229.44524979636,230.512370450056,229.685471872281,230.161166239704,228.470770898706,228.080853012817,228.59025896124,227.748632231361,227.943381152006,226.346165863192,225.538097629197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.026868603841,221.485083319399,221.762130863746,221.945019198693,224.440723533562,225.257670386413,226.093992326689,226.309844770196,227.118954838313,227.673488305857,229.323010140645,229.853080316919,232.483826242206,233.322068820257,234.061871161754,234.949568092643,235.551923873344,233.898763547891,233.894083933311,233.566989025835,232.994633609864,232.423003328318,232.256758666971,231.555691070111,230.447718366747,230.618829574792,232.080804682101,231.276998827955,231.521551842974,231.846559086984,233.11788007956,232.696064966965,233.463468879565,232.758954315249,231.805787525009,233.181525871943,232.550182247822,232.61137633977,232.174369818365,231.338198287356,229.03524630987,230.157238746958,230.369701043966,228.82986697918,228.115507539056,226.116944386306,224.523029005813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.136972811841,221.438801875163,222.128221696565,223.92903256627,224.799434302336,225.554741607431,226.786028719386,228.844550200555,229.6025642065,230.500571678654,231.320793512926,232.715325068567,233.229849536982,233.469849146644,234.447161832262,234.888106624608,235.675546935489,236.689260492091,236.757743858234,236.359119714994,236.198440864587,237.181336161026,235.93700627859,234.376080573382,233.728310794156,233.837896416658,233.326075731018,233.059388955662,233.213877021516,233.636800517888,234.087933964856,234.003824181155,235.334416016688,234.424138158224,235.460320044313,235.541093795311,234.65034071281,234.94219153099,234.509882353176,233.374019838541,234.004949251421,232.714106911636,231.806424222002,231.975585960038,231.815938344672,230.522835764944,229.323614329388,227.429008308204,226.010860021065,226.485527215418,224.281141523054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.214633745977,222.452793395351,222.482291796588,223.044357572225,225.165352196857,226.928747705075,227.8498352476,229.726164347053,230.775442195177,232.363965963566,234.098583533822,234.857171983193,235.941371753474,236.6662518329,235.809309542236,236.492440548693,236.679512087007,237.415624760216,238.87341906064,238.86881471864,238.363403688254,238.141206264108,237.570780127542,237.510040647227,236.763635214962,236.524779082453,234.961262154356,234.9800892615,235.052750812557,234.682873735391,235.123606106361,235.89425305508,235.975131950974,236.818815855943,237.117545067048,237.349543840786,237.633957807024,236.533923164475,236.283082581872,235.967769595979,234.863847489805,234.990398441486,235.024124192005,234.232241813361,234.043568637194,232.353291984764,230.976593666106,229.776038084558,228.751419229867,228.024718172665,227.148045982676,226.332755187459,225.366185510156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
