"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.931680844706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.908817560594,176.255243335672,175.259946232092,173.098500179579,172.570009667086,171.698613374072,171.986687368126,170.927853750761,172.320535220052,170.625372544234,169.354947413488,169.405633457277,168.795026074444,169.902968210067,169.383855109094,169.298367693816,169.768533688622,169.234036254735,171.609580167997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.02867223042,172.9519911002,174.190140526076,175.566644562802,176.405469443409,175.777610503387,176.461813180125,173.568857137878,173.614869234796,172.190662288381,174.276812531341,174.682922456801,172.387884776696,172.31311895901,170.796256045889,171.568188577509,171.65661012818,173.007309124283,172.841963949149,173.352972983239,172.902297647973,172.323376386127,172.585757676397,173.131467022804,173.707194877045,173.625598319259,175.20840191462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.072190823727,174.405932705438,174.932114043201,176.681738191297,180.151603533061,179.387452041916,178.94383005808,179.147786885688,178.748587445414,176.66120252142,175.448346010943,176.150257029326,175.650400085632,174.267903646284,174.116255525086,172.032040206805,171.961554113671,174.230204666905,174.716357367791,174.667896048093,175.386443070916,174.639872327697,174.72775802217,174.660142137397,175.424075064699,174.858744473461,173.90519309248,175.371766143178,176.615402798929,175.826080423837,175.830022157763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.133012825509,177.335730124723,177.746814142157,177.668198250546,175.855351210271,178.517986860456,179.695375162457,181.815071226374,181.11022962025,180.288163245364,179.936141338395,180.649221943955,179.333142105672,179.464484030633,178.063153501719,177.602809831509,175.89436920838,175.603564420146,174.832712707436,173.642742284497,175.154106041005,175.281503051363,175.688860649147,177.951349349593,178.490603029283,178.110132598329,177.672301008488,178.103159919664,176.460430726324,177.540887107626,177.214262069939,176.961192494672,177.121421772554,178.658400970527,177.085090958167,175.280384805319,175.245779451384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.104976987232,180.688728331902,180.167039907982,180.409581542615,181.010470134054,180.380445786751,180.864932500181,183.924896608891,184.771859391319,184.402912399765,182.792500641833,182.144978188213,182.449660956307,182.831478453305,184.071357445621,183.235076390184,180.990139737109,178.700851940523,177.077840151354,176.99237903505,176.716101115275,176.783495584377,176.558998250857,175.816988502104,177.419939727005,178.964360695204,182.278147894946,179.679959860571,179.606889258966,179.842684157801,180.788400914531,179.962750608649,180.447386182887,180.311161386516,181.091722891438,179.805776607221,179.806004483826,177.569405710845,176.596625545922,177.309806426401,178.186689460767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.03659440892,181.553695885641,182.074811356587,182.496347928671,182.46578018333,183.233154340047,184.287378930861,186.030114807013,184.923738300343,184.430157842953,186.119023141113,187.485932962751,184.807461807476,183.411416280425,183.275839989512,185.129131442498,185.970043081395,185.671753258297,182.532229127074,181.300284273177,178.275925615083,178.630926928911,179.228309541459,178.087092158064,177.466378885107,177.156261568113,177.40092299734,180.614533588707,181.554580793061,181.085067731944,182.066400378498,181.582981353264,182.192222733121,181.926108652283,181.568698863183,182.849151978839,181.567672366641,182.491490224463,180.612230081647,179.039395560401,178.858234684503,179.733969841864,180.138288506524,179.215884512227,177.611769288769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.135233160515,181.467926043473,182.898139721589,182.736087133476,184.197926965383,186.644055902534,186.394865940987,187.054003808047,188.003705787294,187.522910848369,188.104955571565,188.283923799895,186.086665691028,187.247038352997,186.164115648868,185.695131804743,187.925011968745,187.148957088167,187.453105717144,185.239369186108,183.712467896441,181.652354192073,182.130329032896,181.466251219303,179.657324967206,179.71171681933,179.404542170361,181.460700963209,182.430447812583,183.372635533131,182.445231163957,184.620550589617,184.653247056676,183.210657918863,184.430560561203,184.559492879864,184.01408496622,183.528597636783,182.493523528537,181.647081110097,179.89450252338,180.605083779115,180.953968065743,180.742453496749,181.623273634993,180.451618704791,180.13106847471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.003003663091,182.753809567367,183.383357301149,183.803477351176,184.470860450706,184.381265538402,185.624305477096,186.592589723259,189.207753643955,188.981254414104,189.166126671778,188.641695446878,189.239095641635,188.801244394622,188.128866521057,187.598026209547,187.733369267474,188.053663678233,188.669872099576,189.424307123674,186.825672519481,185.210533109417,184.630756308567,183.220437452826,184.524399279849,183.473635931773,181.723626335957,182.749309589027,182.699251567297,184.299830335249,182.219702339526,184.952894032392,184.289359087728,184.940634347971,185.797149455372,185.813098211375,186.271596203344,186.416719321634,185.675848741627,184.773314912435,183.438798399361,181.704314727395,181.202967543938,181.371738626236,182.546002616434,182.328280148523,183.278394798547,181.867294648452,180.222289668891,178.153945499564,179.70615809394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.660778870389,184.321875353059,184.958961263165,185.179907855442,186.843200876827,188.158392093338,187.476537628415,188.241324723682,188.437321547507,189.198337268017,190.26428670243,191.199995443372,189.678709720299,190.507416282419,189.313330112937,188.258803419635,187.92440099097,188.14001692098,187.932014296853,189.941937995434,188.468825250993,187.387057896142,187.013524891463,185.755119045163,186.631168000305,185.23363157089,184.851357578251,184.861645792242,184.742506908514,184.591890202203,185.567980842489,184.905194741407,185.065101833977,185.756791290188,186.265178749379,187.236969447018,187.596282070273,186.660627999513,186.14066254615,185.987648587535,185.851969832484,183.640783913925,183.765357249833,183.450768126782,184.441157037777,184.733980629978,184.320463153184,184.4597994725,184.189753697209,180.974799633441,179.915375241629,179.100523441285,177.774243421442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.039520482096,183.641050170913,184.312048182337,186.65012209794,188.633232640307,189.13385238086,190.483723451397,191.439864739209,190.776100550363,189.885113597697,189.680309007795,190.557126182196,192.659868067864,190.946438691806,192.007708238018,190.689285713539,190.372309372153,189.822659239492,190.564955612349,190.526024620535,189.700592453134,190.197863559666,189.532163483524,189.011954452395,188.427843638476,185.766898354021,184.524769989631,185.542981841247,186.421267582464,186.813427638805,189.280072094159,187.379043044948,187.830426150513,186.212386879539,188.099962157661,188.36009995697,189.007533306798,187.832981577873,188.149104810416,186.943942569816,188.104469569049,187.456256977959,186.371470410148,184.87551646388,185.503125449859,184.59880104152,184.490873059245,186.560567347383,186.33796459913,185.187811188039,181.723662205339,181.578194373192,180.629324069849,178.636587432291,178.012802635225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.351627618233,180.32329591381,183.140705856686,185.522163113494,186.544123895446,188.108280795147,189.482186234012,189.82752886797,193.244700619768,194.081068074831,193.259511546467,193.231828239709,193.631018707881,193.349933568072,193.961020015324,193.17417904251,192.095780183552,190.796342882564,192.417047595354,192.181736674692,192.13411898589,192.799644928473,192.959175279324,192.206336688155,191.032457630615,190.669777243254,188.997239930793,187.350508111915,186.986538931672,187.457359172275,188.906584472399,188.773116100046,190.701314331492,190.312312161035,189.473986588788,188.418826219499,189.925046810833,189.887018435156,190.225182320231,188.430383642287,188.679877560351,189.608249960894,189.36964535736,188.368541754516,188.345716444777,187.59727547884,187.021687915709,186.821636459897,186.104496961742,186.766111203976,187.635099930564,186.769923656202,183.679544418608,183.449172964682,182.770061399781,181.346407604343,181.159378040087,177.8947758291,177.685307916411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
