"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.998405099611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676.14974312606,663.088313761504,649.518874643679,641.774143753968,646.374003304561,634.174456202648,642.748006609122,658.093376649793,679.811055889556,676.609563164293,681.220364317291,696.867848954137,674.304202598564,682.825014187383,692.368532745034,709.09105254092,692.368532745034,689.653329453423,676.14974312606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681.220364317291,675.462804305315,691.465834296967,686.476510887299,694.62219947249,670.820393249937,660.018939122204,654.31261641512,668.248370517327,661.910114743686,663.793231264202,680.493212750847,681.449269812078,673.145600891813,687.84082460988,694.62219947249,705.999362542257,720.459628768598,735.272058492637,729.511540090587,736.969050744889,709.7512932316,706.443245930601,692.368532745034,679.153885360306,673.145600891813,668.248370517327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676.156061419679,686.916518747388,697.535969361446,696.867848954137,718.718847093759,697.759112514494,682.367203197809,664.971430282019,668.248370517327,676.14974312606,677.30834483281,687.84082460988,677.768164871043,682.367203197809,681.449269812078,667.083203206317,689.653329453423,707.759432777161,711.512473537885,729.511540090587,728.868986855663,732.92552090181,727.795539771547,723.271742241545,716.32743909472,706.443245930601,693.044016884728,669.178775069201,688.748267908283,691.463471199894,686.476510887299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674.0720033295,660.964526932945,702.894917198673,693.268886509929,698.427690551901,694.847069097691,707.76934891478,707.76934891478,700,679.613705398539,682.825014187383,684.650762537341,672.913401622749,687.15866774859,680.073525436772,674.304202598564,677.30834483281,697.759112514494,689.655711206686,705.114925427462,713.482092915106,717.850027804108,723.916173890115,724.132788585261,715.891053163818,726.722092687432,707.548584904245,718.935461788905,700.446286306095,690.560772751826,680.760544279058,700.446286306095,702.226339161266,725.430906427345,728.868986855663,728.439987891857,692.138955339588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.624638338938,707.106781186548,718.717268823454,691.465834296967,710.633520177595,715.017482303755,724.132788585261,712.825501240675,716.109246129269,718.068220769559,701.78344238091,700.446286306095,693.271231193102,705.779710674655,701.114864343502,687.15866774859,691.231512041185,667.083203206317,677.30834483281,693.044016884728,703.112998490375,711.073132666395,716.109246129269,727.366540807742,727.795539771547,720.459628768598,738.664335134708,726.722092687432,739.287747929281,712.825501240675,721.543484483091,713.262286670706,718.471689982615,723.055127546399,726.076499557389,751.040684954414,749.791377089383,747.484128142285,726.722092687432,720.459628768598,698.881285177581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.106781186548,722.619954435872,715.441067555397,733.780503446665,726.722092687432,720.445526581909,708.870150682071,715.017482303755,702.894917198673,704.893051345546,727.366540807742,725.215453213673,707.548447055931,688.748267908283,679.837166360714,705.779710674655,700,697.759112514494,697.316284049068,699.549863214989,686.476510887299,709.31085878532,717.850027804108,707.106781186548,707.548447055931,716.109246129269,729.511540090587,751.040684954414,744.56256593737,722.619954435872,735.484503485373,725.430906427345,726.722092687432,750.416550990182,768.310189530287,758.078069589413,751.872633371606,742.672270674358,753.740671584067,743.303437365925,729.082541126782,726.076499557389,725,707.990112925315,693.044016884728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.154093325512,745.821694508815,752.078611287124,757.874310027763,739.079534361991,738.025796613075,749.583101594292,736.968196813672,750,721.110255092798,735.455045419227,705.777488460341,708.870150682071,707.759432777161,707.327683045396,686.240362697035,702.20476339226,711.07299685774,718.677806432513,716.32743909472,713.262286670706,724.132788585261,735.696948478108,716.091693879596,709.311816551455,726.722092687432,728.868986855663,739.509489941375,751.040684954414,768.514422636177,743.303437365925,761.7824216464,761.577310586391,760.345316287277,776.611228350453,776.611228350453,781.619158221816,778.620575119872,778.620575119872,753.113686940865,727.795539771547,728.868986855663,721.543484483091,731.641523710344,715.454267733786,702.894917198673,681.220364317291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.821694508815,764.034901581303,770.146090037468,752.080447824566,777.414654966437,760.345316287277,755.38093363873,738.452744073189,761.987532706409,770.73506403185,735.272058492637,736.969050744889,728.868986855663,727.795539771547,727.366540807742,715.891053163818,729.511540090587,744.760423968314,735.272058492637,711.512473537885,724.132788585261,704.228266098352,715.454267733786,744.56256593737,735.272058492637,749.583101594292,727.795539771547,759.501032417382,751.664818918645,750.416550990182,757.874310027763,775.201560481771,770.146090037468,771.159175305747,779.61751023769,782.823390146609,798.827265433523,801.949231839258,784.019455786835,758.491306904178,763.420229872663,765.057160144808,760.345316287277,758.491306904178,742.672270674358,745.821694508815,744.141907377345,728.868986855663,708.870150682071,680.760544279058,685.769679866869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.041103982791,800.390529679106,792.540922072815,772.774605500505,775.805927888271,782.821354457213,765.245703162373,765.245703162373,761.987532706409,781.024967590665,776.409981581727,762.599121663098,765.873004773908,763.216876123687,758.491306904178,760.345316287277,753.318648760539,740.35271955875,761.577310586391,735.272058492637,745.603653585688,751.248499407374,750,713.482092915106,741.197874365417,747.047658166055,753.740671584067,763.216876123687,776.611228350453,773.177412425235,762.602204415048,752.080447824566,770.956771029562,780.022777762131,781.619158221816,781.224973997527,794.315718908482,821.769046415746,806.225774829855,811.249036979398,765.261393250698,770.146090037468,784.001622656109,762.602204415048,748.119122749498,736.756605752154,747.4939488487,729.082541126782,728.868986855663,713.482092915106,704.893051345546,693.942624078086,687.15866774859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
