"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.886501838101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.84974886769,206.507651113252,204.111039056072,201.500250030423,200.045210942954,200.042165596041,202.55933462617,199.947209203398,202.353211520098,200.227363104461,199.505910661481,200.122324510419,199.939730119508,202.46342929847,203.263597290938,203.24064406627,203.877325910303,202.719736682192,204.347310865828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.135905757167,204.561952281257,204.425363957504,204.825439631736,206.312664334822,206.924624457564,205.775680296875,202.464042774041,202.114590469562,201.928646219291,204.348057951759,204.848146133154,202.265758342776,203.474649727968,203.045266273726,203.770739505755,205.25623979695,205.473731100958,207.162991383383,207.74263221514,206.648682295658,206.169011078322,206.615814649959,206.987815273415,207.480150751651,208.376987528721,210.975032492543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.758036061268,206.510405907709,206.318366562426,207.072837129292,209.450253188857,209.43794543083,207.789313387062,208.62400543374,207.457084383941,205.622119639405,204.767927554243,204.910519137737,203.964583701538,204.069561219975,204.413263484376,203.578284214388,204.152311141771,206.20027281932,207.127009216206,209.033111771548,209.991753980027,208.30871267117,208.007853227985,206.899146858459,207.710425394318,208.281147722671,208.055823748604,208.581036247375,211.732685627067,212.223199255894,212.231090909548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.399247322311,211.809545136463,213.259259119373,212.17174487964,211.08904185636,210.385329138932,210.165827377272,212.773850437585,212.347247957605,211.584456771786,210.824021637255,209.217303564129,208.57282651912,211.20617142915,206.454794350415,205.723510839104,206.186645348259,205.641518468922,205.717412443211,206.821392866838,208.336827083714,210.396236155446,210.857669306836,210.613124468536,211.157796196802,211.871692052617,210.995676135502,211.476681442523,210.937784067104,209.108322429857,209.766305622244,209.450638742705,214.630188551201,213.305443191402,212.80172846203,211.233196111337,213.63670503001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.441019411583,215.962216855111,215.072254069777,214.706609231192,214.473180760969,214.898363150131,214.788180163457,217.478330359653,216.915035459089,216.127155166898,215.07683620964,214.22796259486,212.24952061488,212.540044245082,214.807281794716,214.459343820599,212.589407343649,209.782998296075,209.451788943051,209.984543566129,208.23573121476,210.205023204035,209.991674061805,209.516662521383,212.948831547171,214.148498376631,216.153021663127,214.473532808773,214.098694030278,214.084229073882,213.789983380179,211.799621095236,211.604022619208,213.26175990655,214.947506563302,215.476030771091,215.679347690289,213.948244051188,213.300155050049,214.05732367002,215.281619936198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.255193636641,217.398558276908,218.312458410785,218.196710655341,217.057313392597,217.97110974392,218.756024796165,219.433015415769,219.967441134461,218.896666670802,220.770644643367,221.30145170497,218.142990761746,217.638475518945,214.566766462867,214.25217716762,215.228225047166,217.150095357322,214.090880049151,212.043964489552,210.182600507514,210.651951655224,210.561454547954,208.887148430821,209.823955229091,209.827768744161,211.723237020013,215.971903634517,216.253361663058,215.515818169591,216.008362304329,215.401642489091,215.92400761522,213.707186139234,213.840988257512,215.383101023745,215.070229841937,216.747032449073,215.971648616633,214.034228886558,214.369519206325,215.129310985892,216.049736387177,215.185979789569,215.424757330984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.765410053597,218.920971933922,219.143736087502,219.316382099516,220.075997096629,220.713377208735,221.90818901281,222.290358270792,223.329152381171,222.87341449286,222.850503917783,222.427627286959,221.035202540991,222.23313777042,221.069257966003,218.731378865673,220.159089270665,219.207529544884,219.128671198465,218.149116549399,213.826640704487,214.445133691359,213.9229798935,214.639870133556,210.268031885444,211.067283379012,212.774296367424,215.071316791275,215.762135236742,215.462434414627,215.648289051093,218.090109044511,216.481712983951,216.614354325438,216.518377619889,215.553412884908,215.976987041377,216.753456802894,217.53161821322,216.062490406087,214.523518045168,214.957085827593,215.589107306299,215.362764868139,216.561984806936,216.755128220473,217.079164675998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.233834509973,221.719634048795,220.162824948368,221.009154340688,220.451287364769,221.632275453997,221.430449158384,223.292874126364,224.577665177504,223.885379710057,225.921452345649,224.512005200561,224.410977925148,224.141985129935,225.551528785885,223.678366353701,223.035105534751,221.48231410755,220.260475085292,219.998677939264,218.995028264758,218.226857422986,215.5351690788,215.038701730973,215.253485014359,214.27182329112,213.68100897463,214.683420033151,215.056962163717,216.206137931671,214.129955539745,216.194228829801,216.354817714732,217.44296282594,219.741866864054,220.055277083694,219.122578862863,218.386203476237,218.615779199031,218.655249963928,218.325074740626,214.872668776231,213.436190301712,214.503264072503,216.010323082821,214.999958356453,217.152818089543,218.397624524189,218.390681721925,215.875131114022,217.403141941055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.234011476923,221.393140041764,221.772082697622,221.939650023484,222.994936830961,223.604226572826,222.773001390699,223.837275400654,223.917100456994,224.903039599569,226.398997271613,226.881190028927,226.16595022048,226.635643093191,225.765766762966,224.961458258019,224.936203983084,224.261698651795,223.711724981905,221.361763456634,220.296321456636,221.37420547652,220.110811126753,218.464242599543,218.728810853855,215.873690795743,216.063243367862,214.646623837305,215.944438101208,215.723301519668,216.684118178721,216.308762384872,216.415974937192,216.708849676641,217.407750941759,220.430032827321,220.563989541169,220.149011656343,219.786221340215,220.121372487542,220.447212294675,216.871125466939,217.278790228507,215.992281304085,216.371222475178,217.285172631098,217.614574267371,217.137147387206,219.571562108783,217.962348549517,217.39606867263,217.570894135536,215.792331973827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
