"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.462980933189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.391057812699,607.427825333735,604.152298679729,589.192383064844,580.657740205862,577.16981903076,583.630876496438,562.267854279914,580.938237364428,570.087712549569,588.390175806228,584.412884528215,583.630876496438,603.904571617741,619.694964710979,632.269143732834,632.800629187123,608.776944842684,602.079728939615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.860543972428,582.947055223186,604.669331122391,625.829546792377,640.550254106606,617.391057812699,601.040764008565,602.066741877977,603.904571617741,592.610562496991,583.61748432114,606.588829351939,612.83137422516,565.37291186328,583.630876496438,601.93631126847,604.669331122391,608.276253029822,630.971473206198,649.037749287358,657.611644786346,640.800280898815,642.912601801931,626.473244203402,624.949838967734,604.407974279294,590.021186060297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.129154096517,577.16981903076,600.520607473216,612.818664786066,645.53067918645,629.409272818368,625.493552657842,608.699686563076,608.276253029822,612.882533606563,605.173007077432,604.669331122391,594.243216200236,608.276253029822,604.636961095107,585.194892559993,583.630876496438,608.186079982136,600.831331897263,632.006373349446,630.934284266061,640.714709856322,649.573736126465,640.312423743285,648.556088553642,637.377439199098,625,608.276253029822,619.921140577991,614.835663302659,608.237623890018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.090082779363,570.087712549569,589.941307190749,604.669331122391,612.612463489889,611.297080823174,624.811361294036,645.495011548301,630.834681380039,624.899677935468,624.811361294036,625,604.126391557977,608.436425888567,600.520607473216,601.93631126847,604.636961095107,637.377439199098,626.498204307083,623.814544747461,632.562070226179,629.421737965671,638.093663357066,648.354831597143,634.854961776819,650.15301275379,645.016200576468,650,648.556088553642,627.953738562726,625.14333051339,626.996810199223,632.949445058608,645.861776996026,640.312423743285,654.31261641512,632.418386828264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.028176301912,606.472792076107,618.22394232394,589.901531297189,610.327780786685,610.327780786685,630.822186376043,633.350602824992,625.487305155844,646.936230947415,626.996810199223,625.411875705875,639.026393636415,629.421737965671,621.970179600229,604.152298679729,602.027735716124,601.81115235359,608.276253029822,632.949445058608,640.75143930032,638.537906642733,638.809887515034,654.204801004742,654.216815793814,654.180744736926,659.923971579658,663.019492894137,661.749522278145,637.377439199098,646.822970621852,632.05113426301,629.483915600709,637.377439199098,637.180101109138,674.049620457054,670.407698829066,659.959648691607,648.63554168164,640.800280898815,618.958293249139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.430114796991,604.568064906428,612.612463489889,633.418646591371,626.694857289553,612.882533606563,612.850599196315,629.371817710691,619.72648063068,626.984345051919,648.471546215506,654.180744736926,637.377439199098,625.784806266157,626.959384948238,626.996810199223,608.622031740429,614.867789807295,600.422393374257,618.383410063683,617.454451761423,637.377439199098,655.944091360531,645.144065172958,649.037749287358,651.751594382963,651.920240520265,674.049620457054,670.621074505025,647.280130351281,649.939679937852,641.737600753701,637.377439199098,654.31261641512,675.462804305315,672.305355342301,673.145600891813,675.433839262646,682.756226968618,661.910114743686,640.312423743285,642.680874516497,642.613742423871,625.49980015984,612.882533606563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.465843842649,618.970920156997,632.455532033676,637.377439199098,637.377439199098,640.312423743285,648.95912750388,636.353019842777,636.396103067893,626.498204307083,637.105458326798,626.996810199223,638.550371790037,638.699187661521,640.800280898815,632.269143732834,628.209274082447,626.460749199406,633.488171801953,624.747967345311,625.49980015984,629.483915600709,638.809887515034,648.556088553642,666.232587125158,682.309861253783,672.994040949676,674.1936526031,675.462804305315,679.900327323148,673.034612290407,670.767534839578,656.112737497833,660.018939122204,676.849318534044,682.367203197809,688.066111046993,682.367203197809,682.309861253783,674.889239401125,665.639649362482,660.317616156472,649.987103050368,649.037749287358,636.396103067893,626.217097550043,605.18592184551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.714704582797,649.037749287358,651.848178239442,632.436981298332,660.697909810718,661.892391317905,656.220237420334,632.269143732834,649.037749287358,657.647321898295,634.517846479902,626.783536040308,629.421737965671,625.487305155844,638.846616959032,630.209099933385,640.800280898815,655.134766244784,642.613742423871,637.322089272342,642.680874516497,605.173007077432,642.354226698875,654.31261641512,649.72112328678,650.480591562884,674.053260353083,691.894661536044,695.004353573446,700.27166411336,676.756725592988,687.778126979599,679.003678248594,675.722744080151,672.994040949676,682.286870251871,707.106781186548,695.843804651417,694.317928551116,675.404874219977,673.145600891813,676.080799906483,675.462804305315,691.375209054789,672.506080989461,657.605638079756,651.640900523771,625.243652577922,618.945650848123,604.669331122391,600.774183784199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.409741432512,666.906596604214,663.746153351189,651.848178239442,656.220237420334,691.375209054789,676.296569820144,673.145600891813,660.018939122204,676.745115629535,651.920240520265,637.377439199098,664.101033007295,640.788084469927,654.204801004742,660.492240681145,649.114793335129,654.210808399278,656.124646584551,637.377439199098,657.611644786346,657.647321898295,654.31261641512,629.421737965671,651.642241529729,650.232485581839,656.91594110334,675,700,697.316284049068,707.526473976375,682.813568912644,676.522964107481,691.352101408227,676.803022063516,682.367203197809,704.249372022242,728.815314501457,701.525502178811,711.073132666395,687.66381760161,664.496658975002,673.145600891813,680.073525436772,675.433839262646,674.275237555895,667.113740563024,637.377439199098,636.297588792037,632.381241622852,617.454451761423,601.778265367632,583.313208657624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
