"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.659339545699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.388203202208,550.577719278832,541.473911789934,548.292804986533,561.860640913051,577.243886161432,580.510255771961,589.137098107519,579.87067523716,602.079728939615,586.030495646714,559.016994374947,534.446263233486,559.34471938946,580.110939455007,608.391410044241,633.004794985364,604.669331122391,621.037278450977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.941885035985,499.750223569146,539.676806420578,559.016994374947,579.381435111329,553.733355827173,555.721395869738,561.805126356106,559.248760143824,553.398590529466,577.16981903076,581.023786056024,534.697097218531,559.016994374947,579.87067523716,583.363032990484,571.25781839093,594.243216200236,617.454451761423,657.237106802501,625.056048945009,646.116332131775,680.073525436772,642.748006609122,667.083203206317,691.465834296967,697.394534105493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.211418282915,502.493781056044,498.121471129282,525.594901040716,537.117641959573,548.292804986533,573.417605284446,594.243216200236,584.191840085899,566.083494794138,555.188255569253,555.242193501705,561.400627475594,578.390153985129,604.669331122391,558.531542612444,559.293762329313,546.065237282821,561.805126356106,595.498474409419,608.789783094296,655.969589821235,656.220237420334,675.126838135919,697.892870128195,696.553514572249,679.262472100926,680.881711829741,716.17252550076,725.882572502309,696.553514572249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.026880943457,480.884601541784,530.381446793297,518.723178573608,559.016994374947,548.292804986533,519.755090204731,552.506477746782,559.277665385725,561.886124231945,604.255397538481,613.23539052138,546.03679873717,550.58914066639,564.025708633924,559.016994374947,560.802863027589,608.878597395529,592.755468119919,525.654090851331,559.293762329313,562.580073752665,604.152298679729,610.51743102885,640.921783788769,650.516582786819,673.145600891813,711.291529410845,679.420040372129,675,664.894486199467,726.722092687432,752.080447824566,695.183619389062,781.024967590665,800.390529679106,812.749027173254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.23583103198,445.451321456043,465.026880943457,485.41219597369,530.446907674075,531.543936480783,548.862460002504,570.087712549569,579.87067523716,555.090082779363,577.16981903076,598.7479926353,649.169620965553,631.742312266426,632.949445058608,606.265825284151,559.632341427985,575.332494270998,590.249929977957,585.98058795568,589.811065665605,552.268050859363,601.053751070203,576.112032253264,594.243216200236,617.548771114406,664.266512779321,653.507259694222,667.083203206317,665.676347784717,650.57639218419,675.462804305315,633.156449749863,721.543484483091,700.479771788711,745.821694508815,776.636345185071,797.260935955099,810.791488591234,777.390315668447,781.467200644978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.540896224615,530.56372945824,492.607275343732,469.847071274403,520.21630116712,491.172067609712,534.504419041577,548.947599773925,570.635610525666,595.95356476313,583.630876496438,604.573169148203,559.016994374947,641.2807473544,664.377501380727,656.220237420334,650.480591562884,592.813552701059,600.520607473216,579.87067523716,602.079728939615,602.594969297803,626.510669454387,618.547520794616,611.740043891523,579.87067523716,581.578913182034,592.693949075159,650.534301607658,656.320815862322,661.910114743686,662.208233272394,674.230411183927,675.231402152657,679.153885360306,707.774868015043,689.958805044023,743.303437365925,794.581023739741,781.325431863348,794.580987605853,782.673640854897,711.418709772725,711.073132666395,752.080447824566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.211418282915,524.993814318822,534.438958160799,570.087712549569,546.008241696039,510.204785711435,528.889763168401,559.740401932875,595.87339534511,637.377439199098,613.494906246377,610.744598769769,605.704905525604,621.321545233694,679.153885360306,664.266512779321,676.849318534044,661.606568794222,626.996810199223,602.079728939615,589.403678331885,594.43912901872,618.465843842649,604.72083677204,611.473543427416,625.300471866092,589.403678331885,577.16981903076,625.049920254981,608.276253029822,632.949445058608,651.980049917636,654.455274482797,682.825014187383,667.610171203554,672.681202353686,694.778256743916,689.090319530572,761.642937191015,745.821694508815,789.657837265425,795.20434969522,818.91696770796,818.91696770796,834.565234721048,772.217542884763,686.476510887299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.398590529466,537.355792155697,546.164736925122,601.040764008565,576.242671400585,515.388203202208,538.760888820278,529.784672213585,558.587057169389,577.16981903076,604.669331122391,643.96120081866,663.840309177215,649.040647461851,677.825798885187,677.825798885187,682.367203197809,657.91615394157,673.295808003525,669.848590071143,633.663610630134,604.669331122391,598.161472569925,588.575442332072,612.882533606563,638.881618777994,625.49980015984,610.694586267018,637.848509154629,604.210900920832,594.243216200236,613.748764227827,629.483915600709,654.31261641512,691.465834296967,667.758937024663,700.490787627474,704.483348192847,697.892870128195,700.196573760166,716.57636276887,756.36549925169,789.919627636981,789.382670192347,822.344210169926,831.038506929733,834.360312611453,850,664.971430282019,651.920240520265,660.018939122204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.207084648469,602.721987106568,617.454451761423,604.306685732403,594.32818554784,582.799966913875,579.87067523716,550.567888638631,548.342495559943,561.962333364775,590.021186060297,673.145600891813,743.115474468356,825.520196110178,760.772405197481,695.649068197631,705.779710674655,686.476510887299,667.747491749924,657.647321898295,645.523739301868,645.174395028197,615.044710139787,600.533611386599,621.577692815612,631.220389910402,650.250473478055,645.72211523265,621.24240256926,618.309970038669,604.759504170077,588.600734973774,637.741009232127,627.096176774397,651.920240520265,686.600797174448,702.004694325827,687.976584774461,707.639080121327,673.701066022709,686.893167031763,726.90783333732,766.009778852275,783.022988168291,785.015923405379,798.827265433523,801.117561296262,818.91696770796,786.642615020147,680.073525436772,673.232199948625,629.483915600709,662.039441955252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.669331122391,617.643090467388,630.971473206198,610.416864173869,618.465843842649,604.573169148203,637.464503688873,585.32754680629,576.591002413576,595.319366720702,617.454451761423,672.524947934339,805.386814374287,790.569415042095,832.165848854662,770.146090037468,785.015923405379,760.345316287277,735.696948478108,707.62809659954,678.844153539085,682.469935890046,682.367203197809,618.679118001563,600.737097890018,625.112097890018,637.535221209109,642.905250176078,640.151817914315,657.91615394157,642.748006609122,682.718508464344,704.383926753798,695.052645181216,632.467879859299,629.876177586396,682.43562346546,707.216584586263,728.906425250157,728.943863644652,735.792029589206,752.080447824566,745.821694508815,733.610658454897,853.325272800432,849.261328808508,768.062441183863,785.702916742766,734.97901533332,811.249036979398,794.512429103535,650.37591906796,697.488597690147,667.38798609495,666.196351862282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.061891441907,630.246288873522,614.21778374399,596.538254008476,624.067084968723,590.152428827959,605.18592184551,654.455274482797,690.032627347158,670.786824853672,725,722.749268071886,732.777050473664,732.150561069612,773.265584362976,804.540772312675,811.316336800037,811.939011303445,824.621125123532,764.852927038918,740.354644748042,744.186281426054,737.180641806408,711.073132666395,711.073132666395,661.910114743686,625.796741135822,608.391410044241,625.49980015984,652.508804614891,664.718759948406,658.963799211698,711.078624427288,717.287925231142,756.510159283212,732.368317187166,664.855870575085,660.30732548229,735.272058492637,704.194044054472,704.006392016436,751.664818918645,751.664818918645,746.184785053276,721.543484483091,715.342319969362,831.038506929733,841.180599734257,806.225774829855,803.50793399941,794.128844223182,816.241385865725,772.473265721115,701.027376646911,700.250228235044,696.151718720732,686.476510887299,726.722092687432,726.738203890439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.669331122391,596.343022093828,608.828233036606,625,615.480162447109,614.918693812442,616.995459814027,673.295808003525,707.106781186548,747.391513129954,705.779710674655,767.455563719566,767.484990822228,743.719784753232,761.403470464823,776.671400251127,811.402539460252,784.617741323761,784.865108518255,773.190069442675,760.345316287277,749.668909026132,729.113870562639,722.523590733395,713.542316921324,701.896689614469,681.107328928582,676.889621120328,622.837964100393,650.480591562884,676.918292092341,658.368051623021,721.654699060985,728.868986855663,704.670330402344,709.928758816398,719.809002444398,736.220457204182,697.316284049068,781.424980404389,770.146090037468,728.010988928052,773.189562814757,778.620575119872,759.183092590755,794.512429103535,800.390529679106,807.774721070176,817.389136213591,834.00800679711,782.673640854897,772.222687564326,766.034522941644,740.501217286499,654.516953150153,664.991630739666,715.940027529825,686.795943598954,794.512429103535,721.543484483091,697.561046477505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.557385812775,662.42655513146,657.619242727616,622.508384126263,605.681273799373,620.987117418711,648.556088553642,626.498204307083,682.549415898031,769.812537020155,725,744.336294964871,851.46931829632,781.430866799776,838.341423529018,820.060973342836,840.273697989677,824.384438705614,806.225774829855,801.432952752808,800.390529679106,783.30038868192,752.382051411922,728.010988928052,705.779710674655,728.855355983911,697.316284049068,680.073525436772,663.639374465312,650.024003006503,654.383945448959,670.924561901317,693.457287467355,729.03890102304,708.125985987743,769.550178575336,754.018477970438,740.689295418943,778.248578157943,739.493839484893,764.820879687413,751.768469017968,735.733773819923,746.092084584121,748.092392526638,765.873004773908,800.615528128088,813.17279836453,854.679578611158,746.184201382322,775.18759522143,813.17279836453,774.4918611253,755.933371675525,745.54255328651,734.100938533309,722.102520242988,738.211534619433,716.964799101408,720.104193462271,716.1353948088,677.871672073636,652.16998737585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
