"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.131521126763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.255314083132,240.30339873039,239.825205087119,239.391045971508,238.783353675956,238.614660358993,239.017739947705,239.144170591536,238.792181396088,237.559187851319,238.359680122475,237.106619493105,236.564762911803,234.810022025357,232.390789487331,231.308951413925,229.666241423955,227.678085965034,226.99131733274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.978413333923,241.09016601352,241.099195094196,241.741822919848,241.082841510198,241.177639518754,241.145071622286,240.360716558335,240.055429953589,239.719999844845,240.056255454607,239.872171808039,238.352619928997,238.495321931443,237.613705826107,238.527392100695,237.42702993837,236.393320976739,235.227862478857,232.770476183233,231.247777647063,229.794538341436,227.533944805939,226.537559539717,224.655831196272,223.628099300613,222.19752673883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.554876257635,241.446133805132,241.140421719372,241.668448263339,242.083406888899,242.646908893294,242.63165758503,242.810069215186,242.209080466603,241.310790140649,241.025932554877,241.271159768283,241.55956653927,240.043247093998,239.688398353288,239.69808350513,239.869969401369,239.822565538648,238.511683834063,237.953283556061,236.854499007975,234.340114948307,232.872138053504,231.403545266864,229.588326148048,227.569501103907,225.934590971424,225.004176367588,223.771024187363,222.713188144605,221.00248703434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.635670800749,240.15564153251,240.246834932613,241.223187399252,242.686371461779,242.830238107985,243.671018591565,243.72080551013,243.591005840379,244.299541014991,244.161459531768,243.456048708726,241.978633648182,241.227124301626,241.803022617142,241.956385091669,241.436386883504,241.128893572386,241.511683889939,241.758811311755,241.224017051666,240.511209651442,238.65220576139,237.958717459585,235.198987717697,234.074798826095,232.830392909172,230.92063632159,229.123466294381,228.07685878151,226.735268003225,225.866555461941,223.301693853624,222.982656242896,221.946884857272,220.040941979081,219.543168107304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.257203569047,240.059408833779,240.480903789466,240.729196564341,241.358900684368,242.568473116224,243.009810961166,244.248010911041,243.939998792182,244.705731359588,244.923417452025,245.59359992339,244.930538697957,244.941502279052,243.956213682186,242.411264229278,243.433855385775,243.069372562583,242.436838127705,241.991069053179,243.10889779767,243.202606171783,242.478499051702,242.534415558296,240.491927929789,239.42501869457,236.552088493775,235.87037929199,234.543076749806,233.409197233494,231.73524362302,229.300715560658,228.291641516719,227.156981584767,225.342447499007,224.256267941279,222.79154742189,221.175062735114,220.278836211277,219.156702981278,217.076036394029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.899800674285,237.905540228876,240.657357031439,240.501110862765,241.285431038556,241.281543047865,241.824448138729,242.923137569033,243.51429372183,244.303704169728,245.000874724815,245.320510389628,245.589747811628,246.589320536347,246.289746179783,244.867480270646,245.610048102918,244.522416969416,243.748509116564,243.632239102785,243.812987311183,243.470404796031,244.280414872208,244.757576064536,244.375805110053,243.44601183264,242.644503600723,239.823560334113,238.768036495479,238.07865279878,235.676045187876,234.547766049235,233.206165299592,231.566511454592,229.739670857066,229.235984043155,226.784560088492,226.178296377959,225.231206884568,223.84251446421,222.48081139539,221.103401879898,218.189749904832,216.362740858132,214.59416631734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.484715703921,238.435650126515,239.233106776425,240.561425269185,241.071833191091,242.739516116014,243.205011690288,243.506636842631,243.018697528424,244.477553769827,245.483974013178,246.281981287246,246.74304845688,246.650787603971,247.449112356942,246.485324850322,245.76248749143,245.367997784914,244.987729007552,243.837421659647,244.442741529534,244.421615854518,244.239704203222,244.563566751866,245.037308424499,245.028052189679,244.496118369906,243.056391742507,241.696737069842,240.918660143083,239.591824858447,237.655371253414,236.197432695014,234.788688814662,233.672113948573,232.572522777834,230.703787654577,228.470643534012,227.269234198552,227.031517019696,225.799679007855,224.194107591879,222.474578185717,219.758632131391,218.626091994817,216.500893588337,214.560352521616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.375753769135,238.993925887775,239.624937254719,239.890959203338,239.450172955696,241.082026976905,242.664729101208,243.545473605171,243.646571483426,243.807967169647,245.185383849836,245.59950745333,247.235315663774,247.87545923502,248.097329332878,247.774083017544,247.780245659281,247.397652927823,246.770126395765,246.580493414214,245.971888261184,244.723780631568,245.24105799516,246.074027153092,246.185147610257,246.867747448975,246.383266530097,245.898660486319,245.775342830537,244.91163359062,242.943304491568,241.888685271515,240.844885872532,239.246348147041,237.226401497886,236.17093704513,235.03161512103,234.242037141979,232.603251257065,230.798987757157,229.469347417128,227.95838590751,226.992823602675,225.565223248454,224.174466099707,222.353817904093,220.989867941122,218.024959447249,216.428971185571,212.96232517723,211.531046042306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.147686005458,239.003565650687,240.084136403254,240.192969890637,240.582929514066,241.701827806378,242.011059281716,243.611865927736,244.753707653137,245.118932235667,245.799042995947,245.823486165783,247.46717579534,247.512541093724,248.359999396488,248.417242342516,248.647141113134,248.077714392098,248.071032674812,248.043925354772,247.554093180591,246.038321643368,246.488457647965,246.662456152187,247.65397276676,247.709040071863,247.612656793471,247.416980428321,247.843693500031,247.639243080434,246.180857906925,245.190608449837,243.613565303023,241.57383424286,241.070411850538,239.978121872365,238.031568534418,237.186744136029,235.330028568291,235.070357233972,233.166956207413,230.441821814599,229.339165008131,227.766466077841,227.121605851714,226.421278801895,223.937037338786,221.483626701029,218.801033668305,217.734939626353,215.237640347276,212.559570881537,209.012364019689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
