"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915.491671180028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989.676622393701,986.74524305554,967.91867261416,948.625582137686,964.899345339289,957.527522851293,955.24865872714,952.931320392438,950.328890437411,950.328890437411,940.685959691468,927.968115076093,905.570918416187,886.636794646779,886.199362048654,857.570142136062,835.15451692399,860.017993640329,832.503720683896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.11222779921,1017.65479393714,1012.39195117188,1028.80336787851,1020.40892426186,995.131844224,989.002022242624,977.690927722164,962.094070244693,980.064248012254,984.606563292808,968.161657854678,961.963792499831,962.094070244693,950.056035961545,961.769203083567,939.51336638152,937.308128142412,915.073882341936,908.452475562226,873.12280724659,887.31497491111,894.400956298401,866.665516437749,857.054656349782,857.086660785071,824.940065458274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.5671987782,1019.63861072585,1020.10262851924,1027.6411547956,1026.18831789897,1024.68557091415,1030.70050223317,1011.37253347601,1006.18937083747,988.930825340704,992.376838540406,980.433577556379,979.753429360527,974.967927617688,983.718108393942,995.454500656891,980.01894970295,983.837966619919,973.484590498594,939.747306460625,922.182953541072,927.192127804056,908.982948134892,903.422272226231,896.82569511127,885.975772572839,877.781180971373,870.595799218269,875.204786828676,873.120478753802,859.835864064485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035.32481558244,1046.06009598109,1057.41429912783,1035.81165890875,1039.83171715427,1050.54267784741,1039.540827602,1027.54183113382,1032.40397586809,1030.75365864936,1030.70050223317,1025.97769624426,1013.03997946774,991.463486289848,977.880360780397,991.336771551475,989.002022242624,1015.01165504547,995.041069827466,995.57216694649,992.313724166506,977.880360780397,961.769203083567,939.747306460625,927.49744349192,933.040618212847,937.970729248166,892.302118326981,886.55710142696,909.901855601407,895.935790849288,866.474674849566,874.820693697137,861.974358263175,866.701629091906,853.851391412777,832.541290267336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064.1064715594,1088.9783454285,1083.04938422588,1054.75115548645,1046.60137648381,1060.54943862818,1065.58869931575,1064.39890701383,1053.26855449463,1055.03998638011,1064.30103057285,1060.51985229284,1050.73241307475,1030.77640640442,1013.03997946774,982.344135219425,980.433577556379,996.227253391775,1015.56403312352,1006.60216793198,1007.47019962063,1007.78221853732,995.607539444062,998.091890742646,984.483417452856,988.216810567688,951.831713815599,955.187161623518,941.076511235936,952.276307170929,925.337776166087,909.875932006177,901.446696115938,884.93405275181,867.791708502306,863.153806349038,866.410681596131,865.81042798601,851.441774528531,849.802187828805,827.986983200381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109.553612064,1100.327534544,1076.10402293265,1100.83615898382,1076.16216250154,1067.74680101158,1073.67229238651,1054.92864691495,1054.83923426227,1072.24766998197,1075.05714892748,1039.78278903678,1068.8779163216,1063.46601827815,1054.90632232022,1025.29721190248,1029.47179440709,1000.38130386115,1001.70151273913,1015.12767049618,1012.2796592341,1021.29277007558,1030.77640640442,1023.25851879151,991.494622830919,1020.34758260429,1018.90492011029,1005.60450290101,991.526600752597,988.907047305606,970.679105980719,951.798669991459,941.076511235936,925.261539158293,917.319539782033,879.096842437753,880.445947457251,884.301303236064,880.695747690427,872.773727526319,870.667788482426,863.240967116909,853.302408293801,871.854840315761,838.520832051791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125.01967880659,1125.13887174635,1099.80261870384,1077.37278723892,1101.8270894651,1088.9783454285,1081.95425041912,1079.53238194186,1054.75115548645,1077.37278723892,1079.48875367433,1060.66017177982,1079.55416954489,1073.71261316012,1068.8779163216,1049.27772648126,1060.35897536961,1024.75492563031,1007.78221853732,988.835575067044,1008.38651622151,1035.8570643219,1035.45345510799,1021.33491079077,1019.60714146775,1019.60714146775,1027.74023955472,1023.24132835039,1012.30682111512,1008.85465004464,1007.7550566563,980.022923975497,972.705587142941,963.508904045835,944.853666874984,925.337776166087,900.169238193372,886.654465250892,867.827747885489,878.186141057957,888.362631335334,916.581623589481,883.768271314941,880.695747690427,884.572630043594,876.427407147905,860.913349035775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150.53447782483,1128.27084242621,1147.68497804631,1126.08974246895,1127.40005398632,1125.13156637692,1107.15349767894,1114.83578128663,1102.46869214222,1071.06034195834,1054.75115548645,1073.71261316012,1081.95425041912,1085.41466730462,1082.45573665429,1093.44638643145,1066.36021120829,1047.09408846401,1049.71305607851,1049.22980786075,1027.91871752019,1025.27418205298,1019.91810186543,1039.55222498972,1052.2797523511,1044.57671278734,1030.77640640442,1027.5571481058,1039.83171715427,1029.54023951053,1012.39967605686,992.42438645756,998.052694458503,989.002022242624,963.160123569496,964.899345339289,948.592538313546,941.076511235936,905.745136816392,901.161333766316,884.590300647707,887.556245987566,902.735704704892,919.670856186489,921.954445729289,909.910481421055,908.570203627571,893.238059909481,882.249765476896,872.13817712562,864.713353882454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107.0229208028,1165.89411044637,1151.08644332213,1151.08644332213,1138.44717103099,1162.16392991695,1130.5443790988,1110.10264870161,1116.11399235611,1104.48654551476,1077.61310311262,1072.60314403562,1075.71551663942,1077.42394373359,1078.20228937792,1082.12002623087,1085.37502197701,1064.43565191441,1054.67451148655,1028.90679053539,1035.57957984514,1043.24045553292,1036.88884598258,1027.54949076973,1046.57136687422,1044.19481507956,1044.62912078881,1030.76503252689,1029.47940843595,1033.50133042972,1026.74644127872,1007.677236971,1007.35217901908,998.615950576721,985.203024761902,991.392289387927,975.999503083147,957.156316474751,951.955219265214,938.797187784788,905.640768345849,895.785499727838,935.809316020746,930.38970329642,937.548922983417,933.407735129724,905.77115340633,912.414379544733,912.414379544733,909.910481421055,894.228600344656,878.199505757301,867.68322875031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
