"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.011848041707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832.850299920788,848.896342317482,877.139950225938,862.046982478333,860.232526704263,858.589275651343,849.81597757895,845.007440410286,847.237176604144,829.531632506846,818.91696770796,808.737405904626,784.617741323761,766.893082508898,749.583101594292,707.761636423332,700.883212114668,691.465834296967,672.913401622749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.353678306765,841.871602685115,854.765971678053,862.764093215076,876.782736756547,882.289612086806,871.42095774451,879.452075601471,879.985508721938,887.054083610714,869.626356546304,860.232526704263,843.166515741506,831.602177892197,818.91696770796,807.387670324312,792.344211877762,773.177412425235,745.821694508815,730.366522635442,721.524765891076,707.327683045396,697.316284049068,713.26497792082,681.220364317291,667.083203206317,632.455532033676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804.28502170232,831.038506929733,848.71223987067,855.496853627769,854.216988559077,872.313178273152,910.013736160065,914.635210294673,910.013736160065,908.121092089829,917.877987534291,910.013736160065,873.7476235631,875.17853500029,862.77139221843,842.049473248221,819.866673191759,800.390529679106,787.593578182928,782.623792124926,760.345316287277,740.35271955875,726.722092687432,713.482092915106,723.265547565915,704.893051345546,707.539762341415,674.072800445907,677.536762718386,656.220237420334,640.312423743285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790.569415042095,809.699286597192,811.823883420034,813.941029804985,825.946231850893,836.284347062971,852.38586329506,849.624312039116,899.122641453915,903.292571694527,923.646668642418,916.856041044612,926.518270965031,905.883546599672,910.013736160065,913.95302536238,901.20043223317,876.426246651986,851.46931829632,843.166515741506,831.038506929733,802.726319542169,787.199296798863,752.080447824566,747.691942595246,727.795539771547,736.756605752154,727.795539771547,723.916173890115,707.548584904245,695.969241760779,695.956060301531,668.248370517327,660.255589901675,656.220237420334,656.220237420334,626.996810199223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767.874218625409,784.019455786835,822.14783433446,816.428998756473,820.630588938943,816.241385865725,825.189350480479,865.480786483546,875.713703573953,888.994367983239,887.764045228235,905.711030206707,901.561129354784,912.414379544733,918.558401538401,916.344243786117,916.856041044612,925,919.238815542512,899.650296697192,863.495801958527,855.131568824354,862.77139221843,857.316450618008,800.390529679106,782.023977879478,790.569415042095,770.146090037468,760.345316287277,749.791377089383,733.555069933666,725,718.068220769559,713.701763350851,700.446286306095,680.073525436772,672.681202353686,659.06978128972,674.304202598564,647.587197514099,654.31261641512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760.345316287277,778.818097970559,806.613197204152,797.845761570989,833.463783925733,829.720291609389,822.719837151898,825.946231850893,850.367567584747,870.7037383634,886.354824940939,871.42095774451,885.82376085571,958.18839483684,940.41190884828,932.559400181548,932.233393954945,920.766076413674,910.013736160065,918.558401538401,909.498342147479,911.542244532103,871.235266056142,844.641579008031,854.765971678053,862.77139221843,844.825601635866,813.745211422562,797.456871316145,796.082617890363,782.623792124926,762.602204415048,750.416550990182,726.076499557389,727.366540807742,707.548584904245,687.15866774859,682.596108692596,681.220364317291,673.607123216267,691.465834296967,676.14974312606,663.088313761504,661.201177712416,653.116428467692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733.56805845393,781.024967590665,806.225774829855,811.823883420034,824.042865713398,832.727235171832,854.765971678053,836.284347062971,884.590300647707,876.782736756547,887.407495692975,930.38970329642,925.337776166087,925.844070924266,955.24865872714,935.580162656518,951.1502643352,940.240676952613,919.574689164724,908.982948134892,903.119593409422,912.709997854461,901.027981523209,897.907504932957,897.38311906314,869.626356546304,852.200187265877,844.457476561219,843.166515741506,817.389136213591,794.512429103535,803.31154324965,803.308152254481,787.593578182928,732.713075909074,725,706.443245930601,707.327683045396,691.465834296967,680.073525436772,693.268886509929,702.894917198673,694.845322526154,693.946715332796,675.462804305315,674.304202598564,656.933779659315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.661338032752,728.438093006472,777.615901735163,794.512429103535,805.643942117543,852.934846414037,867.827747885489,880.695747690427,900.867487067226,878.208403512515,874.282792136763,900,883.326048943074,915.638142709864,935.245487914645,976.281209488332,956.39127471934,941.068074635678,944.389251392962,929.045208803102,940.41190884828,945.713785054588,917.367014289452,889.517903713574,910.013736160065,910.013736160065,903.808993221622,895.299803723331,885.295434515797,858.94808824514,862.77139221843,830.47168327819,812.015805390099,800.390529679106,806.418415237703,794.11900871343,768.519586273183,747.4939488487,728.868986855663,718.500654128308,711.940583044566,698.43285008265,695.071938722892,695.071938722892,685.769679866869,689.655711206686,681.220364317291,679.153885360306,655.266426917727,666.379775495517,656.220237420334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724.132788585261,745.821694508815,747.910847254407,767.499508538193,783.820364746026,834.415963413932,858.589275651343,913.258539901802,898.780117656372,907.088803041527,874.642784226795,902.25370613771,882.289612086806,901.387818865997,894.947284214775,904.329053611582,950.985819116494,950.328890437411,944.225510888725,956.71852678199,931.898719213072,941.076511235936,929.549485345008,921.954445729289,925,928.876263825444,927.526880943457,901.387818865997,893.378419260282,889.15533374155,889.517903713574,901.027981523209,845.19122420266,821.383918587275,813.745211422562,805.062109405231,782.623792124926,771.969856297841,747.4939488487,735.696948478108,739.509489941375,720.459628768598,708.870150682071,709.089956926471,697.535969361446,691.465834296967,693.268886509929,702.226339161266,682.367203197809,674.0720033295,674.304202598564,661.201177712416,658.35623905074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
