"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.299727546981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.899894099083,236.110504139856,236.693632275469,237.029018870383,237.072923004354,235.645977543901,235.527025471309,232.604744917592,232.285043602363,229.729717917014,229.496986522944,226.241293078351,224.057784023769,221.518222151369,220.701684603309,217.741811370354,215.10556775174,212.737675022433,211.535161503066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.56095981468,233.393956122062,234.001425743277,236.538264170631,236.100240837563,236.903407799695,236.850929150151,238.566504311726,238.425455931001,238.204555268054,235.339441019917,235.92971167365,232.295160752962,231.82022698273,229.672193418273,226.455874573611,224.38303017037,223.381128209091,222.795041163268,219.941003472069,215.058231154944,213.084406504779,214.014770008144,210.352141225221,209.141176827276,205.855593838721,201.956184145532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.267724355051,231.952267430483,233.194025567446,234.952853760922,234.964098082299,237.18525147159,238.250501087211,238.054532219141,239.672478685333,239.031070190966,238.190370495881,237.345905625409,236.045616830745,236.791751484665,234.469593082645,232.87951040552,232.737375539042,231.503730187353,228.141775196829,227.476112539911,221.767432212042,221.137715305977,216.933608874672,216.609068338598,215.868089833776,212.620574592352,209.707392063965,207.554592033858,204.740402335124,203.641486295732,200.758178706212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.074603745947,228.132334430817,229.561994752813,229.883353990484,232.111590501834,233.534431984072,235.418167828942,235.998766860394,238.036242102131,239.26709468747,240.046631151428,240.116197989286,239.396389714758,238.881861947323,237.626152820634,237.5567361104,236.695935030641,236.544041388082,234.11231610816,234.505879990871,232.130696533619,230.230118757654,226.656127625261,224.761251112754,220.044843837869,217.543758580496,216.062170888503,213.849741792143,213.63398555158,209.99118632267,208.612533466538,206.823665141666,204.862721097365,202.238337685058,199.275499263104,197.67073735356,193.137246573451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.789573883651,226.66122068195,229.144117605371,230.112416303741,229.374948191407,232.074075616607,231.434284695138,233.803268826731,235.051383266717,236.159518237775,237.812822746324,240.648067244751,240.818720909681,238.687754481184,239.617901922334,237.604996147011,236.998152886767,236.871670018464,237.137618431623,236.294019394843,236.062860370466,233.921572880019,233.842707672013,229.623308440526,225.663669224205,223.169367978868,221.908090731238,218.631791754017,217.105179400937,214.413834530947,212.423251409001,211.60434824044,209.150198890468,209.477599541136,206.099675165121,202.857441047973,199.564622043461,198.590023714965,193.810774576276,193.047906872917,191.246372672558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.42731439535,222.256033169825,223.65967133322,227.044118499766,230.156834165936,231.764752844928,233.240141176168,232.009352215992,233.012992279453,235.044291993608,235.705449604397,236.766151269161,239.130485199775,241.441894927065,241.176289920238,239.625591087519,239.659060449587,238.129130571163,237.175438568866,238.230783189939,237.756748551723,236.42857826153,234.3291447945,234.422824548592,233.169531862476,230.15290098891,227.612022478155,225.904421813381,223.567445269681,220.661493288419,220.208702641098,217.768719868741,213.15261842365,209.906768642307,210.342971418498,210.482267024002,207.850106905717,203.728404254762,200.946039999014,197.308102784281,196.145851095695,192.880754423718,192.400322719368,190.531293640858,186.871592130579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.256099443439,223.993820368339,224.080420883409,226.156980863437,227.532533341946,230.287921780462,231.030668169657,234.052937491115,235.597133858307,235.245471439613,235.845931201965,236.968363494651,239.501136774665,240.776091708162,241.013486558559,241.535251748754,240.724879323206,239.709917419869,239.190750088329,239.049216467451,238.576805656474,238.215499112536,237.81895707579,236.338631744052,235.92203433293,232.240778394097,229.760191375477,227.664686675617,226.116514765862,225.716990458981,221.885034682342,219.371146387222,218.556492148541,214.699560415875,212.241797441676,213.59904326741,211.237888857181,209.371551567955,206.262457508132,202.728697242843,198.456265385489,195.357770908008,194.006123213383,192.114480931678,190.509898791586,188.938149514478,186.701909061137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.983813084895,223.909495057848,223.006173560836,226.087823993154,228.516257548034,230.109669411192,229.006537494382,231.712356228449,234.602632594716,235.430157570728,236.717000183318,236.358672564944,237.361136671954,237.512174131389,240.965262738459,242.914950314945,244.162903788763,241.932230931621,241.593445293639,239.596806857485,240.029638661284,240.221692669417,239.362108227918,238.71420581892,239.461062238031,237.777511572723,237.398914135665,235.164612800332,233.479195275813,229.535284820184,228.99041263574,227.407987727707,222.813306574365,221.01722876368,218.341385817349,216.980722042327,216.609118378915,213.856949522296,212.137192785071,210.03872037418,207.652496828319,202.937971806952,199.169525700252,197.813750921427,194.712857251882,193.524741685104,191.175196370916,189.627862133446,186.812407051889,185.250917406983,179.561070803343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.723906928486,223.53266953842,225.099748345259,226.658141546695,225.917281029364,229.868855209084,231.200437496064,232.556057405194,233.844136016651,235.439241088355,237.550934549753,237.30721023317,237.545855120966,238.182638545802,239.235799230178,243.334254710611,243.209761721138,242.369028425846,243.394477560834,241.630731431247,239.107868012497,240.894015863139,241.797014742912,241.35804976218,241.156734537823,241.328197569264,238.207121003329,238.933461981831,239.016485961022,231.887523713735,231.240134956738,230.559699287009,226.773475131142,224.07979951031,221.028645419163,219.850117214838,217.242906353342,216.589752952135,216.124785650412,214.330172174852,211.075184483182,208.452377622408,204.15497733443,202.460527982833,198.351783857616,195.21251107796,194.462073836803,194.025001303202,192.904964176243,189.783882112497,185.389663195373,181.627772484411,179.840097817625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
