"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910.21034244442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051.18980208143,1029.53680245914,1054.9356838321,1035.91746775503,1029.5630140987,1026.08933217543,1009.05273618899,995.631076453783,1000.10135703503,964.818391683709,965.660395791398,952.297671109187,938.018239515616,896.172416446746,880.793111514359,850.128289220609,813.48512247204,801.56097709407,770.507881319626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.496682942814,990.514179807671,1044.77083219109,1066.2672013497,1076.22017670166,1068.75780975619,1058.05933278218,1075.73730424245,1061.33365389362,1061.40660528838,1007.94014807558,1005.99583880827,1010.29137990909,989.417203387957,952.01592161932,965.1582392476,936.173887470407,909.205324119877,866.773815085923,848.974282648818,840.585380280684,805.616932407908,806.254741039613,816.336875552653,778.680684931642,759.142147385098,744.093491893168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941.408519188137,985.678036934689,1028.41551245302,1057.90476568531,1061.55749809962,1072.89361040281,1096.67807107957,1101.48126174655,1101.13577727726,1096.07751756601,1109.63112892111,1064.17645234153,1030.91586756447,1044.74730276492,1019.80390271856,1006.45475075834,1007.78221853732,1011.4964162072,961.777324762595,905.883546599672,864.514026300938,862.644643655966,851.515145546257,825.892888831546,809.706737035082,797.333163208339,797.905854537015,764.034901581303,767.014941746717,759.111322534449,745.879130214832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971.639567616292,986.534178071257,957.233958675908,964.801919524097,985.337465088053,1011.95566820707,1049.89142617154,1068.18272292008,1085.96641621919,1110.57395423372,1123.67276046829,1131.98855975827,1123.89389505145,1092.22317266311,1085.78392341392,1087.07147786638,1071.82224138149,1051.52784365623,1009.23767398857,1013.21673718493,1020.11028815516,980.387627860637,929.045208803102,872.20079230315,862.299262344516,862.046982478333,858.399105126164,831.038506929733,806.225774829855,801.288128983907,795.631997478937,785.341550980508,781.362154128487,790.658154883878,778.620575119872,770.45902870353,731.959880666794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950.3699591323,975.66249920871,1008.26215091318,979.714422941085,956.899278380065,973.996321594325,980.717142266524,1044.01364715463,1069.25885682911,1085.36767440667,1091.20016064193,1103.06635402752,1104.85257789014,1138.52975367357,1141.41461489244,1116.70202953415,1110.18368368581,1102.55385356,1089.20836934229,1059.02914884881,1027.11662513178,1035.3192195883,1019.34357573775,1028.65203057205,961.769203083567,901.444015462668,917.988371278055,883.883476483184,870.7037383634,866.390680290796,845.946215784432,825.392889233207,815.708184339396,806.606480601885,794.236715131432,782.210293760229,781.424980404389,776.661462019689,785.79719131638,750.499654005029,754.069481857188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.883480916667,926.850973078819,989.253523189919,977.880360780397,1020.5616367477,980.122758904652,975.320460156558,962.308290053187,1009.63828468536,1064.71687688525,1090.06983856368,1101.96563507825,1100.47723921391,1116.61296356281,1128.43516986305,1138.57089545921,1132.19582304463,1108.80617798863,1085.67255937302,1098.48891483656,1090.32651563156,1063.92724912551,1040.58651248572,1012.70634899761,1016.45756849036,1006.23058987491,996.950306364241,984.917489329265,918.017577800151,918.26193740392,887.588568877932,880.784101409649,881.056496235626,833.30465980896,851.713907147792,812.271114298037,800.039024427352,800.390529679106,794.843393462185,781.662049770323,809.706737035082,776.731572151802,763.267989051863,761.268798715689,734.24512255573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.603078270644,918.025118243337,975.07200901951,990.917478897778,1025.94192214374,1000.6793985894,1012.42283656583,1004.14885167727,1082.24155381943,1061.62208630611,1082.32233175089,1123.3858208977,1118.03398874989,1125.0103374489,1118.96312262903,1118.42949020727,1142.536429069,1129.43569980765,1107.38827046392,1096.02758141807,1091.4791317252,1101.35836618013,1073.34801121983,1041.20161707983,1049.16363115013,1017.98461646618,1007.89823398803,989.041487631757,1002.76589920878,975.640604744166,919.485871345424,935.358033378294,936.082261342453,908.656275317947,866.422211941356,845.946215784432,809.5913066427,805.61256955264,792.973344228672,813.941029804985,810.934954296766,811.857606293646,800.390529679106,785.015923405379,775.433323648214,768.777014679708,742.250490157976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.302408293801,901.387818865997,951.733393873746,957.698940395336,1038.09939405625,1075.63716805931,1054.90297685363,1075.75544100009,1056.28129618509,1079.62562352517,1082.28268642328,1086.34869008811,1079.6736677971,1109.6346470482,1133.57840487546,1142.8302936734,1104.2961130956,1115.52834465478,1119.43065886191,1117.19514857522,1130.57643637969,1116.5370424539,1100.54189287762,1076.4868845775,1076.16216250154,1057.55560462873,1051.19351758342,1050.31988251004,1051.19351758342,1027.74023955472,1039.94417244317,1008.09807761383,971.779327236959,943.39811320566,953.013245904792,915.491671180028,878.026408845503,866.845714847871,826.527931554846,825.263468708836,826.744238191624,814.348830146624,805.062109405231,797.721249752239,794.512429103535,789.657866679516,789.382670192347,781.024967590665,760.468218211363,770.146090037468,739.45109659377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.72452808123,966.487037262543,980.304622604059,1025.30483272049,989.981875063143,1083.33163942848,1082.18759441222,1109.95269235736,1094.17961623677,1129.5737059695,1095.86548572147,1101.14301758013,1080.9746163027,1093.53185727897,1079.69897174283,1086.70821416087,1087.47093780602,1112.7645551413,1132.12944933798,1132.39969444446,1115.05042117264,1130.5419054595,1107.17793708391,1099.54259082903,1090.06159321864,1070.37328353089,1085.41466730462,1044.77083219109,1037.92147655282,1017.25428533581,1018.27510227299,1044.0343918638,1011.4964162072,994.082821394515,964.697166183792,953.570249932625,901.603466798349,884.321085042755,880.00326469615,840.236917357995,838.646264015152,831.122943341838,811.630655123433,813.941029804985,813.950625903489,797.721249752239,806.418656204233,797.304667095008,777.64101856978,776.611228350453,756.149468318024,750.416550990182,742.041103982791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
