"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.933211467266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.751141491077,127.482387949051,124.149503328799,128.981080980513,129.669883945297,126.372290201261,128.473080715788,125.358699837696,126.402283045836,126.197212522242,126.67524479678,124.893854170878,124.672856391116,125.599724902712,125.288749874606,124.048681624164,121.978967010116,120.420544921537,117.147952016638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.095258275993,129.488672548133,131.990033691982,133.015455029628,131.553568191117,130.646044949454,129.693991876354,129.003165208398,131.471512299407,130.857590306371,129.212358411596,128.281670306746,126.932375399133,126.548958882792,127.552004221456,129.825200313277,125.554658503523,126.286590867231,124.248621494293,123.823442296645,122.220281288961,119.50769337747,117.821465710755,114.747768766713,114.876437095858,114.523266076484,115.753447583694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.916927352767,134.586106928864,130.20113159025,131.110305481,135.068700615359,134.887200471417,132.975140290342,131.79118932162,132.668166485608,132.890013865322,133.828670562211,133.87380416349,132.789588410693,130.419810711717,129.37659787066,129.322088919317,127.366193917376,127.085192514212,126.911096537082,123.955718824641,124.742744699366,122.2256885602,122.953673787857,119.705579985237,117.334596051884,119.451743144751,117.828159172205,116.523417132521,114.800679373244,113.154486775986,110.095909404433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.394983489959,132.058228823492,129.238821955042,133.546723648384,133.281265933453,134.100730562647,133.094485731081,135.242510068743,135.601969162995,135.944299831539,134.912388720339,136.672298244984,134.239991584254,138.338624303611,134.621060619514,135.206700373214,132.233616235348,132.775330995285,129.314929567415,128.001545875179,128.186427925936,125.891998907079,122.750313516513,123.249271202429,124.392688899047,124.042155857678,124.551277957427,119.637612311949,121.346637402588,120.958998879261,121.162850259438,117.744804767618,116.432100767563,111.346357237591,111.858218907063,109.024483505926,106.307924370593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.559050372616,133.665887210341,135.613873659492,132.346253941194,130.822029396168,133.183353553031,136.824315476958,136.20720136039,135.634054112596,136.916972495757,138.104940106742,138.099259823914,138.392944325386,137.486125082149,141.333634316544,139.742009150769,139.309236774895,135.471035220561,133.727738339903,131.511077426779,129.093878055215,127.971953346674,127.287339032566,126.425442663862,124.504687799476,123.671002689109,125.380900220841,126.682005665503,126.710540744371,122.80791084649,124.072854262332,124.126818513025,124.799650978932,121.512293521532,119.178818892401,116.692351894794,114.998919649851,109.852610512868,107.491383669849,106.515958491168,100.260250777745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.098938172925,126.792928047242,128.894638734944,133.268635563931,135.886678109448,137.969247835871,135.831561482797,135.206428490126,138.134453798434,138.81086405347,140.900740519657,138.760524287868,137.40365230272,137.856045445306,139.938330922672,140.038940801625,139.41073530069,140.640257370088,140.605204265554,136.210380497411,133.774855116818,135.040735411772,130.191548167576,127.53101186509,126.494630309913,125.05991322815,124.10898817973,123.297835897425,127.063886986185,127.562919664811,124.590779729214,123.634527956332,124.88597411686,125.897723051039,124.841492904201,123.871058449679,122.192504908482,118.413152123729,113.136072491321,111.145528592514,107.557688774934,105.300690599844,103.715694800648,101.569324525579,101.90826895234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.308083502752,122.777658201772,128.617498952088,129.74712887908,134.206964517845,138.241037399701,138.168220168183,137.466158528495,136.789578468136,140.434989555375,142.062401018904,141.54868875559,141.199968465361,139.821799532678,140.411592762881,140.399247933259,141.57572221328,140.94854668487,141.130488877407,140.460674740508,135.157141706507,135.099856575389,133.781244622215,131.540162707446,130.223224932171,128.204420013462,126.923418251739,125.900384503692,122.493911426202,124.179800815401,124.806401470282,125.439203935081,124.794830952391,123.933665290331,122.717994361384,122.353604848875,123.745809067494,122.413865537306,119.904286466745,117.316190185809,111.179600410633,109.972407935424,108.242380805846,108.167892956004,104.44902831186,102.834836620674,100.29634600364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.641364966472,123.350361736753,125.378700839195,126.631493529667,131.994341763051,132.056909464496,136.958578412687,139.637348563244,139.398585945241,138.479686329035,140.789402441208,141.290351733301,142.030600482133,142.686008387814,141.566151173819,142.888214307627,140.104197784891,141.016232283128,141.970782350907,143.250028075162,141.164821034778,139.894598551094,138.323210471754,134.494545292394,133.01939753299,131.648479993042,130.402516752836,127.375113885062,124.920909193206,126.371477608451,123.819672990547,122.756963053245,125.811235339971,124.926169541031,123.788261761941,123.345558654028,121.998403927411,121.73595621065,122.778187676927,121.178214947685,119.537387222817,116.676821086364,115.110267322579,111.748756065416,110.478022442784,107.10636118146,106.178432913576,104.616793222463,102.152820811968,98.627168092957,98.6534315599055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.957247647173,121.383764809464,123.740069475922,128.836425088716,130.381607868145,130.958680654122,135.996839338983,139.558045547961,140.599740265127,140.015064586724,141.859028565257,144.866591372894,144.563552191083,145.016858040329,144.021344173334,146.2946843995,143.198569948123,141.771244100372,142.1939006886,142.572642593995,143.227374428806,141.291395139185,141.042772360688,137.188793791192,136.153036202031,132.78793006285,133.856447356041,131.417397498745,128.141768678254,126.570011765841,127.304440981591,123.453622093057,122.96392569977,123.356442407475,124.660058413148,125.439588579629,123.279482949643,121.495324556042,121.886969454741,121.337923093043,119.682502372469,115.899194238219,115.406434266201,115.757700924758,112.279178193785,110.158352174284,108.417132309173,107.387416879219,104.391359983553,103.302451192806,99.8894621551898,97.3796957610014,93.1727191444349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
